
DUELSAVIOR
#当真未亜#
来ないでぇ！, 殴打武器 Weapon\EFFECT_Bow00.bmp
シルヴェステル(攻撃), 回転発射 Bullet\EFFECT_ShootingCutter(White)01.bmp - Whiz.wav 発光
シルヴェステル(命中), シュートカッター 白
フェリオン・レイ, 大ビーム 緑
ホーリースプラッシュ, 光投射 黄
ホーリースプラッシュ(命中), 超爆発
#ブラックパピヨン#
パピヨン・ウィップ, 鞭
これはどう？(攻撃), 石
これはどう？(攻撃), 岩
これはどう？(攻撃), 鉄球
これはどう？(攻撃), ビン
これはどう？(攻撃), コマ
これはどう？(攻撃), バナナの皮
これはどう？(攻撃), 投擲武器 DGoods\EFFECT_FryingPan01.bmp
これはどう？(攻撃), 投擲武器 DGoods\EFFECT_Harisen01.bmp
これはどう？(攻撃), 投擲武器 DGoods\EFFECT_PicopicoHammer01.bmp
これはどう？(攻撃), 投擲武器 DGoods\EFFECT_LidofPan01.bmp
これはどう？(命中), 打撃
デタラメ投げ(攻撃), 石;岩;鉄球;ビン;バナナの皮
デタラメ投げ(攻撃), 鉄球;ビン;投擲武器 DGoods\EFFECT_FryingPan01.bmp
デタラメ投げ(攻撃), コマ;石;投擲武器 DGoods\EFFECT_PicopicoHammer01.bmp
デタラメ投げ(攻撃), バナナの皮;投擲武器 DGoods\EFFECT_Harisen01.bmp;石
デタラメ投げ(攻撃), 投擲武器 DGoods\EFFECT_FryingPan01.bmp;鉄球;投擲武器 DGoods\EFFECT_FryingPan01.bmp
デタラメ投げ(命中), 乱打
#ヒイラギ・カエデ#
分身(変わり身の術), ダミー
柊流忍法・閃光花火, ＭＡＰフラッシュ
クナイ(準備), クナイ
クナイ(攻撃), 斬撃;乱突
クナイ(命中), クリティカル斬撃
黒曜, 格闘
疾風, 打撃突撃
疾風(命中), 打撃;打撃;強打
紅蓮(攻撃), 打突
紅蓮(命中), 火炎弾
破衝拳, アッパー
槍連脚, 乱打
雷神, 急降下
雷神(命中), 急降下;落雷
クナイ乱れ撃ち(準備), クナイ
クナイ乱れ撃ち(攻撃), 斬撃;乱突;斬撃;乱突
クナイ乱れ撃ち(命中), 乱突
乱疾風, 打撃突撃
乱疾風(命中), 打撃;打撃;打撃;打撃;強打
紅蓮衝(攻撃), 大ビーム 赤 AntiAirMissile.wav
紅蓮衝(命中), 大ビーム 赤 Crash.wav
滅・破炎拳, アッパー
滅・破炎拳(命中), 超打 Bazooka.wav;炎
鬼神・槍連脚, 打撃突撃;乱打
鬼神・槍連脚(命中), 乱打 FightHit(1).wav;強打 Bazooka.wav
雷神衝, 急降下
雷神衝(命中), 急降下;大落雷
#リコ・リス#
魔紙, お札
魔導書, 本
すね砕き・魔物召喚, 本
すね砕き・魔物召喚(命中), 打撃;強打
すね砕き・魔物召喚(解説), $(ユニット)は召喚魔法を駆使して連続攻撃をかけた。
バラック, 落雷
マジックソード(攻撃), 魔法陣 青 - 相手ユニットＩＤ 背面
マジックソード(命中), 斬撃
ポヨリン召喚, 召喚 Barrier\EFFECT_Barrier04.bmp 32 - BeamCoat.wav
ポヨリン召喚(命中), 連打
ポヨリン召喚(解説), $(ユニット)はポヨリンを召喚して攻撃をかけた。
ネクロノミコン召喚(準備), パターン決定 4;召喚 DGoods\EFFECT_Catalog01.bmp 32 - BeamCoat.wav
ネクロノミコン召喚(攻撃)(対パターン_1), 小ビーム
ネクロノミコン召喚(攻撃)(対パターン_2), 爆弾
ネクロノミコン召喚(攻撃)(対パターン_3), 吹雪
ネクロノミコン召喚(攻撃)(対パターン_4), 多触手 赤
ネクロノミコン召喚(命中)(対パターン_1), 小ビーム
ネクロノミコン召喚(命中)(対パターン_2), 爆弾
ネクロノミコン召喚(命中)(対パターン_3), 吹雪
ネクロノミコン召喚(命中)(対パターン_4), 多触手 赤
ネクロノミコン召喚(解説), $(ユニット)はネクロノミコンを召喚して攻撃をかけた。
隕石召喚, 隕石
隕石召喚(命中), 大爆発
隕石召喚(解説), $(ユニット)は隕石を召喚して攻撃をかけた
オスクルム・インフェイム, スーパータックル乱舞 青
オスクルム・インフェイム(解説), $(ユニット)は魔力を身に纏い体当たりを仕掛けた。
テトラ・グラビトン, 隕石 Breath.wav;ＭＡＰ大爆発 Explode(Far).wav
テトラ・グラビトン(命中), 連続爆発
テトラ・グラビトン(解説), $(ユニット)は巨大な隕石を召喚し攻撃をかけた。
#ナナシ#
ひ～ちゃんですの～, 炎投射 青
ひ～ちゃんですの～(命中), 炎投射 青 Whiz.wav
ひ～ちゃんですの～(解説), $(ユニット)の呼び出した人魂が相手に取り付く。
包帯ですの～(準備), -
包帯ですの～, 鞭
包帯ですの～(解説), $(ユニット)は巻いてある包帯で攻撃をかけた。
頭もげますの～(準備), 瞬間変形 DUELS_Nanashi(NonHead).bmp;振る武器 DUELS_Nanashi(Head).bmp
頭もげますの～(攻撃), 回転投擲武器 DUELS_Nanashi(Head).bmp
頭もげますの～(命中), 打撃
頭もげますの～(解説), $(ユニット)は自分の頭部を放り投げた。
墓石ですの～, 強打
墓石ですの～(解説), $(ユニット)は地中から墓石を呼び出した。
多く回ってますの～(準備), 瞬間変形 DUELS_Nanashi(NonHead).bmp;振る武器 DUELS_Nanashi(Head).bmp
多く回ってますの～(攻撃), 回転投擲武器 DUELS_Nanashi(Head).bmp - - 速
多く回ってますの～(命中), 超打
多く回ってますの～(解説), $(ユニット)は自分の頭部を全力で放り投げた。
墓石いっぱいですの～, 打突;打突;強打 Bazooka.wav
墓石いっぱいですの～(解説), $(ユニット)は地中から複数の墓石を呼び出した。
#ルビナス・フローリアス#
攻撃無効化(光子結界), バリア 光子結界
エルダーアーク(準備), 振る武器 anime\EFFECT_DUELS_ElderArc.bmp 48
エルダーアーク, 斬撃
エレメンタルスピアー(準備), 振る武器 anime\EFFECT_DUELS_ElderArc.bmp 48
エレメンタルスピアー(攻撃), 振る武器突撃 anime\EFFECT_DUELS_ElderArc.bmp
エレメンタルスピアー(命中), 刺突;強打 -.wav
錬金術写身・三連(準備), 粒子集中
錬金術写身・三連(攻撃), 実弾発射 DUELS_RubinasFlloweriasU.bmp - Whiz.wav - - 残像;連斬撃
錬金術写身・三連(命中), 連斬撃
錬金術写身・間欠(準備), 粒子集中
錬金術写身・間欠(攻撃), 実弾発射 DUELS_RubinasFlloweriasU.bmp - Whiz.wav - - 残像;@戦闘アニメ_超爆発 相手ユニットＩＤ
錬金術写身・間欠(命中), 超打
錬金術写身・流線(準備), 粒子集中
錬金術写身・流線(攻撃), 斬撃;大ビーム 赤
錬金術写身・流線(命中), 大ビーム 赤
錬金術写身・流線(解説), $(ユニット)の振り降ろした剣から閃光が放たれた。
#セルビウム・ボルト#
ランニングスラッシュ(準備), ソード
ランニングスラッシュ(攻撃), ソード突撃
ランニングスラッシュ(命中), なぎ払い
エリアルセイバー(準備), ソード
エリアルセイバー(攻撃), ソード突撃;アッパー
エリアルセイバー(命中), クリティカル斬撃;@戦闘アニメ_振り上げ攻撃;振り上げ Crash.wav
ラウンドリップスラッシュ, ソード突撃
ラウンドリップスラッシュ(命中), クリティカル斬撃 Crash.wav;超打 -.wav
#ミュリエル＝シアフィールド#
雷弾, 球電
アーレアイアクタ, 凍結
アーレアイアクタ(命中), 凍結 Transform.wav
ブレウィス(攻撃), @戦闘アニメ_連続爆発命中
ブレウィス(命中), 連続爆発
ウルネラント(攻撃), 魔法放射 黄 Explode(1).wav
ウルネラント(命中), 強打
エストフリーグス, つらら
エストフリーグス(命中), つらら Transform.wav;つらら Transform.wav;つらら Transform.wav
イグニス(攻撃), @戦闘アニメ_連続大爆発命中
イグニス(命中), 連続大爆発;超爆発
エストアレストゥス(攻撃), @戦闘アニメ_大放電命中 赤 Thunderbolt.wav 対象ユニットＩＤ
エストアレストゥス(命中), 超打
チォールヌイー・ブーリァ, 重力圧縮
#ダウニー・リード#
ディスパイァー(準備), 振る武器 anime\EFFECT_DUELS_DisPaiar.bmp
ディスパイァー, レイピア
キル・ディメンジョン(準備), 振る武器 anime\EFFECT_DUELS_DisPaiar.bmp
キル・ディメンジョン, レイピア
デコイボム(攻撃), @戦闘アニメ_召喚準備 DUELS_DounyReadU.bmp - BeamSaber.wav - 相手ユニットＩＤ;@戦闘アニメ_爆発命中
デコイボム(命中), 強打
ネクロマンシー, 吸収 黒
イレイサー, 火炎弾 青 Beam.wav
イレイサー(命中), 爆発
アイシクル・ストーム(攻撃), ＭＡＰ氷柱 Ice.wav
アイシクル・ストーム(命中), 凍結 Transform.wav
ハイ・イレイサー(攻撃), 粒子集中 黒 Charge(High).wav 対象ユニットＩＤ;@戦闘アニメ_爆発命中
ハイ・イレイサー(命中), 大爆発;大爆発;大爆発;大爆発;大爆発;連続大爆発;超爆発
カースド・ナンバー(攻撃), 斬撃
カースド・ナンバー(命中), @戦闘アニメ_召喚準備 Action\EFFECT_Bloodcurdling03.bmp 64 - BeamCoat.wav 相手ユニットＩＤ;超打 Crash.wav
裁き(攻撃), 持続ビーム 白
裁き(命中), 超爆発
イクスハーラーティア・Ｍ, ＭＡＰ重力圧縮
イクスハーラーティア・Ｍ(解説), $(ユニット)はイクスハーラーティア・マテリオの呪文を唱えた。
#ロベリア・リード#
赤き剣(準備), 振る武器 anime\EFFECT_DUELS_RobeliaSword.bmp
赤き剣, 斬撃
シックススライサー(準備), 振る武器 anime\EFFECT_DUELS_RobeliaSword.bmp
シックススライサー(攻撃), 振る武器突撃 anime\EFFECT_DUELS_RobeliaSword.bmp;連斬撃
シックススライサー(命中), 連斬撃
カースド・ボーン(攻撃), 回転発射 Weapon\EFFECT_Femur01.bmp 16 Whiz.wav - 速;_
                      回転発射 Weapon\EFFECT_Femur01.bmp 16 Whiz.wav - 速;_
                      回転発射 Weapon\EFFECT_Femur01.bmp 16 Whiz.wav - 速
カースド・ボーン(攻撃), 回転発射 common\EFFECT_Skull02.bmp - Whiz.wav -
カースド・ボーン(命中), 乱打
エビル・エンジェル(準備), 光噴出 黒;振る武器 Weapon\EFFECT_DUELS_RobeliaSword.bmp
エビル・エンジェル(攻撃), 斬撃;光球 赤
エビル・エンジェル(命中), 光球 赤
暗黒剣技(準備), 振る武器 anime\EFFECT_DUELS_RobeliaSword.bmp
暗黒剣技(攻撃), 振る武器突撃 anime\EFFECT_DUELS_RobeliaSword.bmp;連斬撃
暗黒剣技(命中), 連斬撃;@戦闘アニメ_実弾発射攻撃 anime\EFFECT_DUELS_RobeliaSword.bmp - Whiz.wav 発光 速 残像;_
                クリティカル斬撃
#イムニティ#
血塗られた爪, 爪撃 
スライム召喚, 召喚 Barrier\EFFECT_Barrier04.bmp 32 - BeamCoat.wav
スライム召喚(命中), 連突
スライム召喚(解説), $(ユニット)はスライムを召喚して攻撃をかけた。
暗黒の書召喚, 召喚 DGoods\EFFECT_Catalog01.bmp 32 - BeamCoat.wav
暗黒の書召喚(準備), パターン決定 4;召喚 DGoods\EFFECT_Catalog01.bmp 32 - BeamCoat.wav
暗黒の書召喚(攻撃)(対パターン_1), 小ビーム
暗黒の書召喚(攻撃)(対パターン_2), 爆弾
暗黒の書召喚(攻撃)(対パターン_3), 吹雪
暗黒の書召喚(攻撃)(対パターン_4), 多触手 赤
暗黒の書召喚(命中)(対パターン_1), 小ビーム
暗黒の書召喚(命中)(対パターン_2), 爆弾
暗黒の書召喚(命中)(対パターン_3), 吹雪
暗黒の書召喚(命中)(対パターン_4), 多触手 赤
暗黒の書召喚(解説), $(ユニット)は暗黒の書を召喚して攻撃をかけた。
レイダット・アダマー, 大落雷
エヴェット・フルバン(攻撃), 魔法放射 赤 Thunderbolt.wav
エヴェット・フルバン(命中), 強打
#八虐無道#
斬りつけたい(準備), 振る武器 anime\EFFECT_DUELS_MudouSword.bmp 64
斬りつけたい, 斬撃
斬りつけたい(解説), $(ユニット)は持っている大剣で斬りつけてきた。
すっころばしたい！(準備), 振る武器 anime\EFFECT_DUELS_MudouSword.bmp 64
すっころばしたい！(攻撃), 振り下ろし;ＭＡＰ地震
すっころばしたい！(命中), 強打
すっころばしたい！(解説), $(ユニット)の一撃が大地を揺るがす。
投げて斬りつけたい(攻撃), 打撃突撃
投げて斬りつけたい(命中), 投げ飛ばし;@戦闘アニメ_斬撃攻撃;斬撃
投げて斬りつけたい(解説), $(ユニット)は$(相手ユニット)を掴もうと迫ってきた。
ぶん回したい(準備), 振る武器 anime\EFFECT_DUELS_MudouSword.bmp 64
ぶん回したい(攻撃), 回転斬撃
ぶん回したい(命中), クリティカル斬撃
ぶん回したい(解説), $(ユニット)は回転して斬りつけてきた。
火遁の術, 火炎放射
火遁の術(命中), 火炎放射;炎
叫びたい！(攻撃), ＭＡＰ地震 Roar.wav
叫びたい！(命中), 超打
叫びたい！(解説), $(ユニット)は雄叫びを放った。
膾におろしたい！(準備), 振る武器 anime\EFFECT_DUELS_MudouSword.bmp 64
膾におろしたい！(攻撃), スピンアタック 白 Swing(2).wav
膾におろしたい！(命中), スピンアタック 白 Slash.wav;クリティカル斬撃
膾におろしたい！(解説), $(ユニット)は勢いを付け、回転しつつ斬りつけてきた。
#シェザル#
分身(傀儡), ダミー
短刀, ドス
鎖鎌(準備), -
鎖鎌(攻撃), 回転発射 Weapon\EFFECT_Shuriken01.bmp 64 Swing(2).wav - 速
鎖鎌(命中), 斬撃
傀儡爆破(攻撃), @戦闘アニメ_召喚準備 DUELS_ShezalU.bmp - - - 相手ユニットＩＤ;@戦闘アニメ_大爆発命中
傀儡爆破(命中), 強打
銃型乱舞(準備), 振る武器 Weapon\EFFECT_Rifle01.bmp 32 - - 対象ユニットＩＤ 二刀流
銃型乱舞(攻撃), 5;GunPod.wav;3;MachineGun.wav;6;MachineGun.wav;4;GunPod.wav;2;GunPod.wav
銃型乱舞(命中), マシンガン
#救世主の鎧#
分身(分離・合体), 四方分離回避
背の刃, 斬撃
アームクロー(攻撃), ロケットパンチ
アームクロー(命中), 爪撃
クロー, 爪撃
分離攻撃(攻撃), 打撃突撃;連斬撃
分離攻撃(命中), 連斬撃
連続アームクロー(攻撃), ロケットパンチ
連続アームクロー(命中), 爪撃;@戦闘アニメ_ロケットパンチ攻撃;爪撃;@戦闘アニメ_ロケットパンチ攻撃;爪撃
回転攻撃(攻撃), スピンアタック 白
回転攻撃(命中), スピンアタック 白 Sword.wav;超打 Crash.wav
#神憑依体#
レーザー, 小ビーム 白
魔弾(攻撃), 火炎弾 緑 Beam.wav
魔弾(命中), 光球 緑
突進(攻撃), 振る武器突撃 -.bmp
突進(命中), 強打
ボディープレス(攻撃), ジャンプ
ボディープレス(命中), 叩き潰し Bazooka.wav
デスレーザー, 持続ビーム 赤
イレイサーキャノン, 超ビーム 青 MicroMissile.wav
噛み砕き, 打撃突撃
噛み砕き(命中), 透明化 相手ユニットＩＤ;2;光球 赤 Stab.wav 対象ユニットＩＤ;2;光球 赤 Stab.wav 対象ユニットＩＤ;2;光球 赤 Stab.wav 対象ユニットＩＤ;透明化 解除 相手ユニットＩＤ
#神#
ソニックウェーブ, 波動放射 緑
ソニックウェーブ(命中), 光球 緑 Glass.wav
神の脚, スーパーキック 青
メテオ(攻撃), 隕石 MicroMissile.wav;ＭＡＰ大爆発 Explode(Far).wav
メテオ(命中), 連続爆発
ジャッジメントアロー(攻撃), 光打ち上げ 青
ジャッジメントアロー(命中), 裁きの矢 青
アイシクル・タワー(攻撃), 粒子集中 青 相手ユニットＩＤ
アイシクル・タワー(命中), 大刺突 Ice.wav
ハレルヤ(攻撃), ＭＡＰフラッシュ MicroMissile.wav
ハレルヤ(命中), 光球 白 Thunderbolt.wav
ヘブンズバースト, 巨大ビーム 青 Breath.wav
時間停止(攻撃), 時間 対象ユニットＩＤ;時間 -.wav 対象ユニットＩＤ;時間 -.wav 対象ユニットＩＤ;ＭＡＰフラッシュ Glass.wav
時間停止(命中), 乱打;超打 Crash.wav;時間逆行;ＭＡＰフラッシュ Glass.wav
#ガルガンチュア#
要塞砲, ＭＡＰビーム MicroMissile.wav
#クレア#
びっくりどっきりパンチ, ロケットパンチ Hand\EFFECT_Punch(Red)07.bmp Slap(2).wav
びっくりどっきりパンチ(命中), 打撃
ドロップキック, キック
兵士突撃, 実弾発射 M_SoldierU.bmp 32
兵士突撃(命中), 打撃
影の従者, 実弾発射 DUELS_DariaCrafoordU.bmp 32
影の従者(命中), クリティカル斬撃
全軍突撃, 実弾発射 M_SoldierU.bmp 32 MultipleRocketLauncher.wav;実弾発射 M_SoldierU.bmp 32 -.wav;実弾発射 M_SoldierU.bmp 32 -.wav;_
実弾発射 M_SoldierU.bmp 32 -.wav;実弾発射 M_SoldierU.bmp 32 -.wav
全軍突撃(命中), 乱打
レベリオン, 巨大ビーム 赤 MicroMissile.wav
レベリオン(命中), 大ビーム 赤 MicroMissile.wav
モンスターレバー(準備), -
モンスターレバー(攻撃), Reload.wav
モンスターレバー(命中), -
モンスターレバー(回避), -
スケルトン(攻撃), 変形 DUELS_SkeletonU.bmp Whiz.wav;投擲武器 Weapon\EFFECT_Femur01.bmp
スケルトン(命中), 打突
アーケロン(攻撃), 変形 DUELS_AerKeronU.bmp Whiz.wav;刺突 AntiAirMissile.wav
アーケロン(命中), 強打
フローズンガーディアン(攻撃), 変形 DUELS_FrostGuardianU.bmp Whiz.wav;中ビーム 青 Ice.wav
フローズンガーディアン(命中), 中ビーム 青 Ice.wav
キマイラ(攻撃), 変形 DUELS_ChimaeraU.bmp Whiz.wav;ジャンプ
キマイラ(命中), 叩き潰し Bazooka.wav
ゴーレム(攻撃), 変形 DUELS_GolemU.bmp Whiz.wav;斬撃 AntiAirMissile.wav
ゴーレム(命中), 超打 Crash.wav
#モンスター・デュクロス#
目玉, 実弾発射 BodyParts\EFFECT_EyeBall(Red)01.bmp 32
目玉(命中), 打撃
衝撃破, フラッシュ
衝撃破(命中), 飛沫 Glass.wav
突撃, タックル
クロー(準備), -
イビルスター, 隕石
イビルスター(命中), 大爆発
アイビーム, 中ビーム 赤
トライボルト(攻撃), 斬撃
トライボルト(命中), クリティカル斬撃;大放電
#エスカ・ロニア#
天駆ケル竜牙・地屠ル虎爪, スーパータックル 紫
拳法(攻撃), 斬撃
拳法(攻撃), 振り上げ
拳法(攻撃), 振り下ろし
拳法(攻撃), なぎ払い
拳法(攻撃), キック
拳法(攻撃), アッパー
拳法(攻撃), 浴びせ蹴り
拳法(攻撃), スピンキック
拳法(攻撃), サマーソルト
拳法(命中), 打撃
気塊ヲ献ズ(準備), 粒子集中 紫 Boot.wav
気塊ヲ献ズ, 波動放射 紫
天空ヨリ地ヲ弾ク, 拡散ビーム 紫
天空ヨリ地ヲ弾ク(命中), 連続爆発
超級覇者旋影弾(攻撃), 透明化 対象ユニットＩＤ 反映;旋風 MicroMissile.wav
超級覇者旋影弾(命中), 透明化 対象ユニットＩＤ 反映;旋風 MicroMissile.wav;透明化 対象ユニットＩＤ 解除 反映;強打 -.wav
鳳凰連牙(攻撃), 振る武器突撃 -.bmp Flyby(high).wav
鳳凰連牙(命中), スーパータックル乱舞 紫 Combo.wav;「とどめッ！！」;スーパータックル 紫 Crash.wav
ヨリ高キ天空ヨリ地ヲ穿ツ, 拡散ビーム 紫 MicroMissile.wav;拡散ビーム 紫 -.wav
ヨリ高キ天空ヨリ地ヲ穿ツ(命中), 連続大爆発 Explode(1).wav;連続大爆発 Explode(1).wav
気合玉(準備), 粒子集中 紫 Charge(long).wav
気合玉(攻撃), 回転発射 Fire\EFFECT_FlameThrowerHit(Purple)06.bmp 64 Fire(2).wav 発光
気合玉(命中), 超爆発 Explode(Nuclear).wav
#ザコ用
骨, 大腿骨
二刀流, 青龍刀 二刀流
骨投擲, 投擲武器 Weapon\EFFECT_Femur01.bmp
骨大量投擲(攻撃), 投擲武器 Weapon\EFFECT_Femur01.bmp;投擲武器 Weapon\EFFECT_Femur01.bmp;投擲武器 Weapon\EFFECT_Femur01.bmp
骨大量投擲(命中), 乱打
毒液(攻撃), Splash.wav
毒液(命中), 光球 青 Splash.wav
引っ掻き, 斬撃
ロープ, フックロープ
鬼火(攻撃), 周囲回転 3 Fire\EFFECT_Fire(Red)01.bmp
鬼火(命中), 炎
尻尾(攻撃), なぎ払い
尻尾(命中), 打撃
滑空斬り(攻撃), ジャンプ;刺突
滑空斬り(命中), 斬撃
ファイアーブレス, 火炎放射
飛び蹴り(1), キック
頭突き, タックル
火炎連弾(攻撃), 火炎弾 AntiAirMissile.wav;火炎弾 AntiAirMissile.wav;火炎弾 AntiAirMissile.wav
火炎連弾(命中), 炎
火炎弾(攻撃), 粒子集中 赤 対象ユニットＩＤ;火炎弾 AntiAirMissile.wav
火炎弾(命中), 大爆発
自爆(攻撃), 粒子集中 赤 Charge(high).wav 対象ユニットＩＤ;透明化 対象ユニットＩＤ;@戦闘アニメ_超爆発命中 対象ユニットＩＤ
自爆(命中), @戦闘アニメ_透明化攻撃 対象ユニットＩＤ;連続大爆発 5
斬り上げ(攻撃), 振り上げ
斬り上げ(命中), 斬撃
蛇腹剣, 蛇腹剣
蛇腹剣(攻撃), 蛇腹剣 Swing(2)
格闘術, 打突
フック, フックロープ
地雷(攻撃), @戦闘アニメ_爆発命中 相手ユニットＩＤ
地雷(命中), 爆発 相手ユニットＩＤ
地雷(解説), $(ユニット)は仕掛けておいた地雷を爆発させた。
小刀(準備), 脇差
小刀(攻撃), 脇差突撃;なぎ払い
小刀(命中), 斬撃
呪印(攻撃), 粒子集中 赤 BeamShot.wav 相手ユニットＩＤ
呪印(命中), 飛沫 赤 Glass.wav
飛び蹴り(2), スーパーキック
投擲(攻撃), 石
投擲(攻撃), 岩
投擲(攻撃), 鉄球
投擲(攻撃), ビン
投擲(攻撃), コマ
投擲(攻撃), バナナの皮
投擲(攻撃), 投擲武器 DGoods\EFFECT_FryingPan01.bmp
投擲(攻撃), 投擲武器 DGoods\EFFECT_Harisen01.bmp
投擲(攻撃), 投擲武器 DGoods\EFFECT_PicopicoHammer01.bmp
投擲(攻撃), 投擲武器 DGoods\EFFECT_LidofPan01.bmp
投擲(命中), 打撃
爪, 斬撃
拳, 打突
叩きつけ(攻撃), 斬撃
叩きつけ(命中), 強打 Bazooka.wav
渾身の一撃(攻撃), 粒子集中 白 Charge(high).wav 対象ユニットＩＤ;打突 AntiAirMissile.wav
渾身の一撃(命中), 超打 Crash.wav
連続攻撃(攻撃), 粒子集中 白 Charge(high).wav 対象ユニットＩＤ;斬撃 AntiAirMissile.wav
連続攻撃(命中), 強打 Bazooka.wav;@戦闘アニメ_斬撃攻撃 AntiAirMissile.wav;_
強打 Bazooka.wav;@戦闘アニメ_斬撃攻撃 AntiAirMissile.wav;_
強打 Bazooka.wav;戦闘アニメ_粒子集中 白 Charge(high).wav 対象ユニットＩＤ;打突 AntiAirMissile.wav;超打 Crash.wav
エネルギーブレス, 中ビーム 緑 Breath.wav
ライトニングブレス, 火炎放射 黄 Breath.wav
トリプルブレス, 中ビーム 緑 Breath.wav;中ビーム 緑 Breath.wav;中ビーム 緑 Breath.wav
ツノ, 打突
ツノ(命中), 刺突
大突進(攻撃), ＭＡＰ移動タックル Roar.wav
大突進(命中), 超打 Crash.wav
触手叩きつけ(攻撃), 斬撃 AntiAirMissile.wav
触手叩きつけ(命中), 強打 Bazooka.wav
触手掻き回し(攻撃), 斬撃乱舞
触手掻き回し(命中), 乱打
触手連続叩きつけ(攻撃), 白兵連撃 AntiAirMissile.wav;白兵連撃 AntiAirMissile.wav;白兵連撃 AntiAirMissile.wav
触手連続叩きつけ(命中), 強打 Bazooka.wav;強打 Bazooka.wav;強打 Bazooka.wav;強打 Bazooka.wav;強打 Bazooka.wav;強打 Bazooka.wav
はたく(攻撃), 斬撃
はたく(命中), 打撃
砲撃(攻撃), 大キャノン砲 1 速 Bazooka.wav
砲撃(命中), 強打 Bazooka.wav
ドリル(攻撃), 打突 Drill.wav
ドリル(命中), 乱打
上昇攻撃(攻撃), 振り上げ AntiAirMissile.wav
上昇攻撃(命中), 超打 Crash.wav;@戦闘アニメ_急降下攻撃 Breath.wav;@戦闘アニメ_急降下命中 Shock(Low).wav
ブースト(攻撃), Breath.wav
ブースト(命中), 強打 Shock(Low).wav
冷凍ビーム(攻撃), 中ビーム 青 Ice.wav
冷凍ビーム(命中), 中ビーム 青 Ice.wav
冷凍弾(攻撃), ＭＡＰビーム 青 Ice.wav
冷凍弾(命中), 凍結 Ice.wav


#以下個別

当真大河
トレイター【剣】(準備), パターン決定 5;振る武器 anime\EFFECT_DUELS_Traitor.bmp
トレイター【剣】(攻撃)(対パターン_1), 斬撃
トレイター【剣】(攻撃)(対パターン_2), なぎ払い
トレイター【剣】(攻撃)(対パターン_3), 振り上げ
トレイター【剣】(攻撃)(対パターン_4), 振り下ろし
トレイター【剣】(攻撃)(対パターン_5), 連斬撃
トレイター【剣】(命中)(対パターン_1), 斬撃
トレイター【剣】(命中)(対パターン_2), なぎ払い
トレイター【剣】(命中)(対パターン_3), 振り上げ
トレイター【剣】(命中)(対パターン_4), 振り下ろし
トレイター【剣】(命中)(対パターン_5), 連斬撃
トレイター【剣】(解説), $(ユニット)はトレイターで攻撃をかけた。
トレイター【爆弾】(準備), 振る武器 Weapon\EFFECT_Bomb01.bmp
トレイター【爆弾】(攻撃), @戦闘アニメ_急降下攻撃共通 Weapon\EFFECT_Bomb01.bmp
