
御剣平四郎
膝鐘(攻撃), タックル
アースディバイド(命中), 超斬撃

ソフィーティア＝アレクサンドル
スライドフロー(攻撃), なぎ払い
スライドフロー(命中), なぎ払い;なぎ払い
アセンドスプラッシュ(攻撃), 斬撃
アセンドスプラッシュ(命中), 連斬撃
アセンションシュート, アッパー
ソードシャワー, 斬撃
セラフィムストライク, 刺突
ツインステップグレース(攻撃), 振り上げ
ツインステップグレース(命中), 打突;振り上げ
リプリザルエンジェル(攻撃), 格闘
リプリザルエンジェル(命中), 打突;打突;アッパー
セラフィムサテライト(攻撃), なぎ払い
セラフィムサテライト(命中), なぎ払い;アッパー Slash.wav;振り上げ;斬撃
エンジェルアーク(攻撃), 刺突
エンジェルアーク(命中), 刺突;放電 Thunder.wav;振り上げ Saber.wav

カサンドラ＝アレクサンドル
ボトムズプレス(攻撃), タックル
ボトムズプレス(命中), 打突
ダンシングスプラッシュ(攻撃), 斬撃
ダンシングスプラッシュ(命中), 斬撃;振り上げ Punch.wav
エンジェルパピヨン(攻撃), 打突
エンジェルパピヨン(命中), 打突 BreakOff.wav
シールドプラス(攻撃), 格闘
シールドプラス(命中), 連打
テンパランスシュート(攻撃), 斬撃
テンパランスシュート(命中), 斬撃 Punch.wav;アッパー
スターダストストライク(攻撃), 格闘
スターダストストライク(命中), 打突;刺突
シューティングスター, ロケットパンチ Anime/Shield/EFFECT_SmallShield01.bmp
エンジェルウィング(攻撃), 白兵回転
エンジェルウィング(命中), 連斬撃
エルフィンダンス(攻撃), なぎ払い
エルフィンダンス(命中), なぎ払い;刺突;横大斬撃

洪潤星
裏空斬, なぎ払い
極剛刃, 振り上げ
散峰蹴(攻撃), 格闘
散峰蹴(命中), 打突;打突;打突
落鶯斬, なぎ払い
無音断, 斬撃
絡脚旋雷放(攻撃), キック
絡脚旋雷放(命中), キック;唐竹割り BreakOff.wav
強襲飛来突(攻撃), 放電 Thunder.wav 対象ユニットＩＤ;急降下
強襲飛来突(命中), 刺突
昇雲猛禽蹴(攻撃), キック
昇雲猛禽蹴(命中), キック;キック;斬撃
洪式強襲猛嵐刃(攻撃), 発光 赤 Charge.wav 対象ユニットＩＤ;急降下
洪式強襲猛嵐刃(命中), 大斬撃 Crash.wav

成美那
腹突円蹴(攻撃), キック
腹突円蹴(命中), キック;なぎ払い Punch.wav
纏糸斬撃, なぎ払い
旋風光翼儀(攻撃), アッパー
旋風光翼儀(命中), 振り上げ
潜牙抱払刃(攻撃), なぎ払い
潜牙抱払刃(命中), なぎ払い;なぎ払い
孔式開宝儀(攻撃), 斬撃
孔式開宝儀(命中), 斬撃;アッパー
踊刃円舞(攻撃), 振り上げ
踊刃円舞(命中), 振り上げ;キック
天舞跳輪儀(攻撃), 白兵回転
天舞跳輪儀(命中), 連斬撃
纏糸振撃(攻撃), なぎ払い
纏糸振撃(命中), 斬撃
連牙転身撃(攻撃), なぎ払い
連牙転身撃(命中), なぎ払い;なぎ払い;大刺突
旋陣斬鷲撃(攻撃), 中心回転武器 Anime/Weapon/EFFECT_Naginata01.bmp
旋陣斬鷲撃(命中), 連斬撃;なぎ払い;@戦闘アニメ_放電攻撃 Thunder.wav 対象ユニットＩＤ;横大斬撃
成式揚身伐採儀(攻撃), 発光 赤 Charge.wav 対象ユニットＩＤ;振り下ろし
成式揚身伐採儀(命中), 唐竹割り Crash.wav

タリム(ソウルキャリバー)
ケントサン・ルッキート, 回転斬撃
ヴァイナルリール(攻撃), アッパー
ヴァイナルリール(命中), 振り上げ;ダブル斬撃
シーズベイン, ダブル斬撃
セイスティーヴォ(攻撃), なぎ払い
セイスティーヴォ(命中), なぎ払い;Saber.wav
ボルティファス(攻撃), 格闘
ボルティファス(命中), なぎ払い;なぎ払い;斬撃突撃
サイ・ベム(攻撃), なぎ払い
サイ・ベム(命中), なぎ払い;ダブル斬撃
ヴァートブレイリオディア(解説), $(ユニット愛称)はヴァートブレイ・リオディアで攻撃をかけた。
ヴァートブレイリオディア, 連続なぎ払い
マーレットファーディ(攻撃), 打突
マーレットファーディ(命中), 打突 BreakOff.wav;フォール 1;連斬撃;ダブル斬撃

イザベラ＝バレンタイン
スクイーム・ランブラー(攻撃), 刺突
スクイーム・ランブラー(命中), 刺突 Whip.wav
グリーディ・テジャス(攻撃), なぎ払い
グリーディ・テジャス(命中), なぎ払い;なぎ払い
カインド・アパス(攻撃), 斬撃
カインド・アパス(命中), ダメージ Whip.wav
ジルフェ・フェンサー(攻撃), １ＷＡＹ射出
ジルフェ・フェンサー(命中), 斬撃
ソーン・バインド, 刺突
テジャス・イェルド(攻撃), 刺突
テジャス・イェルド(命中), 刺突;なぎ払い
フィアレス・ノーム(攻撃), デフォルト Swing.wav
フィアレス・ノーム(命中), 刺突
ノーブル・ゴースト(攻撃), 振り上げ;振り下ろし
ノーブル・ゴースト(命中), 振り上げ Whip.wav;斬撃 Whip.wav
マイト・アトラス(攻撃), ８ＷＡＹ射出
マイト・アトラス(命中), クリティカル斬撃
バーニング・メタエレム(攻撃), 発光 赤 Charge.wav 対象ユニットＩＤ;なぎ払い
バーニング・メタエレム(命中), 横大斬撃 Crash.wav

ヴォルド(ソウルキャリバー)
リフティングソーサー, なぎ払い
ミュートスラッシュ(攻撃), なぎ払い
ミュートスラッシュ(命中), なぎ払い;斬撃;なぎ払い
マカブールギムレット(攻撃), 振り上げ;振り上げ
マカブールギムレット(命中), 連斬撃
イモータルベルチー(攻撃), なぎ払い
イモータルベルチー(命中), ダブル斬撃
デモンエルボー(攻撃), 打撃突撃
デモンエルボー(命中), 強打
ブラッディードリル(攻撃), キック
ブラッディードリル(命中), キック;@戦闘アニメ_急降下攻撃;踏み潰し Slash.wav
ギロチンバイト(攻撃), ダブル斬撃
ギロチンバイト(命中), ダブル斬撃;ダブル斬撃;ダブル斬撃
スティアラック, スーパーパンチ 緑
フールカーニバル, アッパー
ランドフィッシュ, なぎ払い
ローリングクレイジー(攻撃), 白兵回転
ローリングクレイジー(命中), 振り上げ

ロック(ソウルキャリバー)
ロックベアキック, キック
ロングホーン(攻撃), 格闘
ロングホーン(命中), アッパー
ロックナックル, 打突
ロックアバランチプレス, タックル
ブレイブファング(攻撃), 格闘
ブレイブファング(命中), 打突;強打
メテオハンマー(攻撃), 急降下
メテオハンマー(命中), 唐竹割り
ハンマーハリケーン(攻撃), 発光 赤 Charge.wav 対象ユニットＩＤ;なぎ払い
ハンマーハリケーン(命中), 強打 Crash.wav
Ｇブリスクヴォルケイノ(解説), $(ユニット愛称)はグランドブリスクヴォルケイノで攻撃をかけた。
Ｇブリスクヴォルケイノ(攻撃), 発光 赤 Charge.wav 対象ユニットＩＤ;振り上げ
Ｇブリスクヴォルケイノ(命中), 超打 Crash.wav

吉光(ソウルキャリバー)
毒霧(攻撃), 煙噴出 桃
毒霧(命中), 煙 桃
見得刀, なぎ払い
忍法草薙(攻撃), 刺突突撃
忍法草薙(命中), 刺突
繁吹雨(攻撃), 振り上げ
繁吹雨(命中), 振り上げ;斬撃
舞姫二連(攻撃), キック
舞姫二連(命中), キック;打突
忍法卍菊(攻撃), 白兵回転
忍法卍菊(命中), 連打
黄泉駆け, 日本刀突撃
打羽山魔(攻撃), なぎ払い
打羽山魔(命中), なぎ払い Punch.wav
極楽曼荼羅(攻撃), 白兵回転
極楽曼荼羅(命中), 斬撃
忍法達磨落とし(攻撃), 放電 Thunder.wav 対象ユニットＩＤ;急降下
忍法達磨落とし(命中), 踏み潰し
忍法卍独楽(攻撃), 発光 赤 Charge.wav 対象ユニットＩＤ;急降下
忍法卍独楽(命中), 突く武器急降下 Anime/Weapon/EFFECT_JapaneseBlade01.bmp

ラファエル＝ソレル
ヒールエクサイズ, なぎ払い
チェーンバイオネット(攻撃), なぎ払い
チェーンバイオネット(命中), なぎ払い;なぎ払い
ライトニングタロン, なぎ払い
ランページバレット, 連突
クイックスナイプ, 斬撃
ブラッドムーン(攻撃), キック
ブラッドムーン(命中), キック;振り上げ
ラピッドタックプラス(攻撃), レイピア突撃
ラピッドタックプラス(命中), 斬撃;斬撃;斬撃
ブレインスクリーパー(攻撃), 斬撃
ブレインスクリーパー(命中), 斬撃乱舞
ドレッドバレル(攻撃), レイピア突撃
ドレッドバレル(命中), 大斬撃
フュネラルドレッド(攻撃), 発光 赤 Charge.wav 対象ユニットＩＤ;刺突
フュネラルドレッド(命中), 大刺突 Crash.wav
メルトヴェク(攻撃), 打突
メルトヴェク(命中), 打突 BreakOff.wav;乱打 Whip.wav;放電

アイオーン＝カルコス
ローアーセルティス, なぎ払い
キリングバイト, 噛み付き
サンドリベンジャー, タックル
サンドランドプレデター(攻撃), 格闘
サンドランドプレデター(命中), 強打;投げ飛ばし
ハンティングテンペスト(攻撃), なぎ払い
ハンティングテンペスト(命中), なぎ払い;斬撃
ロンパーツイスター(攻撃), サマーソルト
ロンパーツイスター(命中), 連打

アズ＝ストゥルサ＝ウロウス
メリアックスーザ, なぎ払い
ロツェリオ(攻撃), なぎ払い
ロツェリオ(命中), なぎ払い;打突
スルバルト, タックル
テュダス・ルクスーザ(攻撃), なぎ払い;発光 赤 Charge.wav 対象ユニットＩＤ
テュダス・ルクスーザ(命中), なぎ払い;なぎ払い Crash.wav
ディ・メリアック, なぎ払い;なぎ払い
アディ・リアスファーザ(攻撃), なぎ払い
アディ・リアスファーザ(命中), ジャイアントスイング
クラックォ・アクシア(攻撃), タックル
クラックォ・アクシア(命中), 大刺突;アッパー

セルバンテス＝デ＝レオン
ニルヴァーナ(準備), カトラス
ニルヴァーナ(攻撃), ピストル Anime/Weapon/EFFECT_Cutlas01.bmp
ニルヴァーナ(命中), 銃弾
クラッシュキール, なぎ払い
キラーエックス, ダブル斬撃
ジオ・ダ・レイ, 刺突突撃
パイレーツクロス(攻撃), 斬撃
パイレーツクロス(命中), 連斬撃
シャドウフレア(攻撃), 急降下
シャドウフレア(命中), 突く武器急降下 Anime/Weapon/EFFECT_BlackSword01.bmp
ワイルドストーム(攻撃), 斬撃
ワイルドストーム(命中), 斬撃;刺突;大斬撃
ジェノサイドカルバリン(準備), カトラス
ジェノサイドカルバリン(攻撃), 発光 赤 Charge.wav 対象ユニットＩＤ;ピストル Anime/Weapon/EFFECT_Cutlas01.bmp
ジェノサイドカルバリン(命中), 赤ビーム 小
ファンタズムフリート(攻撃), 振り上げ
ファンタズムフリート(命中), 回転斬撃;刺突;踏み潰し

ティラ(ソウルキャリバー)
グラウンドパスウィング, なぎ払い
ダブルリズムビル, 連斬撃
アップボウネブ(攻撃), 回転投擲武器 Anime/Weapon/EFFECT_Chakram01.bmp 64
アップボウネブ(命中), 連斬撃
ダウンスピンスラスト, スーパーキック 青
クロスフィンレガート, なぎ払い;斬撃
アイビスメヌエット(攻撃), 振り上げ
アイビスメヌエット(命中), 振り上げ;回転斬撃
カナリーワルツ, 斬撃乱舞

ナイトメア・ジークフリート
ダークバイト, 打突
バックスピンスラッシュ, なぎ払い
スカイスプリッター, 振り上げ
スラッシュクロス, 連斬撃
ナイトカイゼル(攻撃), 放電 Thunder.wav 対象ユニットＩＤ;振り上げ
ナイトカイゼル(命中), アッパー Slash.wav
フェイタルドライブ(攻撃), 振り下ろし
フェイタルドライブ(命中), 唐竹割り;振り上げ

ナイトメア・ソウルエッジ
ストンピング(攻撃), デフォルト
ストンピング(命中), 打突
ソウルバーン(攻撃), 放電 対象ユニットＩＤ;光噴出 黄 対象ユニットＩＤ
ソウルバーン(命中), 強打
デスプレスクラッカー(攻撃), 打突
デスプレスクラッカー(命中), 打突;打突
Ｑハームフルスラッシャー(解説), $(ユニット愛称)はクイックハームフルスラッシャーで攻撃をかけた。
Ｑハームフルスラッシャー(攻撃), 放電 Thunder.wav 対象ユニットＩＤ;なぎ払い
Ｑハームフルスラッシャー(命中), 横大斬撃
ファントムスプリッター(攻撃), 振り上げ
ファントムスプリッター(命中), 斬撃
バービュアスラップ, なぎ払い
ブラッドヴォルテクス(攻撃), アッパー
ブラッドヴォルテクス(命中), 振り上げ
デスホーン(攻撃), 刺突
デスホーン(命中), 大刺突;投げ飛ばし

ザサラメール(ソウルキャリバー)
エンリルの懲罰(解説), $(ユニット愛称)はパニッシュメント・バイ・エンリルで攻撃をかけた。
エンリルの懲罰(攻撃), アッパー
エンリルの懲罰(命中), 斬撃
ティアマトの憤怒(解説), $(ユニット愛称)はラス・オブ・ティアマトで攻撃をかけた。
ティアマトの憤怒(攻撃), 白兵回転
ティアマトの憤怒(命中), 斬撃
シンの蒼き三日月(解説), $(ユニット愛称)はブルー・クレッセント・オブ・シンで攻撃をかけた。
シンの蒼き三日月(攻撃), 斬撃
シンの蒼き三日月(命中), 斬撃;なぎ払い
ナムタルの掛け鉤(解説), $(ユニット愛称)はフック・オブ・ナムタルで攻撃をかけた。
ナムタルの掛け鉤(攻撃), なぎ払い
ナムタルの掛け鉤(命中), なぎ払い;斬撃
ベーリット・セーリの鉤槍(解説), $(ユニット愛称)はピアース・オブ・ベーリット・セーリで攻撃をかけた。
ベーリット・セーリの鉤槍(攻撃), デフォルト
ベーリット・セーリの鉤槍(命中), 刺突;振り上げ
エレシュギガルの銀爪(解説), $(ユニット愛称)はシルバーネイル・オブ・エレシュギガルで攻撃をかけた。
エレシュギガルの銀爪(攻撃), なぎ払い
エレシュギガルの銀爪(命中), 斬撃;なぎ払い;刺突
キシャルへの供物(解説), $(ユニット愛称)はオファリング・トゥ・キシャルで攻撃をかけた。
キシャルへの供物(攻撃), 振り上げ
キシャルへの供物(命中), 振り上げ;@戦闘アニメ_なぎ払い攻撃;刺突;投げ飛ばし
マルドゥークの天雷(解説), $(ユニット愛称)はサンダー・オブ・マルドゥークで攻撃をかけた。
マルドゥークの天雷(攻撃), 振り上げ;斬撃
マルドゥークの天雷(命中), 連斬撃;@戦闘アニメ_放電攻撃 Thunder.wav 対象ユニットＩＤ;大斬撃

アビス(ソウルキャリバー)
黒き虚無たる新星(解説), $(ユニット愛称)はヴォイド・ノヴァで攻撃をかけた。
黒き虚無たる新星, ＭＡＰ重力弾
シャマシュの大鎌(解説), $(ユニット愛称)はサイズ・オブ・シャマシュで攻撃をかけた。
シャマシュの大鎌, なぎ払い
不吉なる次元の胎動(解説), $(ユニット愛称)はコズミック・エンブリオで攻撃をかけた。
不吉なる次元の胎動(攻撃), 光球 白
不吉なる次元の胎動(命中), ダメージ Explode.wav
ネルガルの暴掌(解説), $(ユニット愛称)はグラップル・オブ・ネルガルで攻撃をかけた。
ネルガルの暴掌(攻撃), 斬撃
ネルガルの暴掌(命中), 連斬撃
虚無たる新星への招聘(解説), $(ユニット愛称)はコール・フロム・ノヴァで攻撃をかけた。
虚無たる新星への招聘, 重力弾
フンババの黒き瘴気(解説), $(ユニット愛称)はブラック・ヒューム・オブ・フンババで攻撃をかけた。
フンババの黒き瘴気(攻撃), 斬撃
フンババの黒き瘴気(命中), 斬撃;打突;刺突
破滅呼ぶ超重(解説), $(ユニット愛称)はフェイタル・グラビティで攻撃をかけた。
破滅呼ぶ超重(攻撃), 振り上げ
破滅呼ぶ超重(命中), 投げ飛ばし
開かれし禁忌の門(解説), $(ユニット愛称)はゲート・オブ・クートゥーで攻撃をかけた。
開かれし禁忌の門(攻撃), 発光 赤 Charge.wav 対象ユニットＩＤ;交差ビーム 赤 赤 AntiAirMissile.wav
開かれし禁忌の門(命中), 交差ビーム 赤 赤
イシュタルへの生贄(解説), $(ユニット愛称)はサクリファイス・トゥ・イシュタルで攻撃をかけた。
イシュタルへの生贄(攻撃), 振り上げ
イシュタルへの生贄(命中), 振り上げ;振り上げ;大斬撃

ナイトテラー(ソウルキャリバー)
クイックアヴェンジャー, 刺突
ソウルブラスター, 小ビーム 青
キリングフォール, スーパーキック 赤
ソウルフレア(攻撃), 発光 青 Explode.wav 対象ユニットＩＤ
ソウルフレア(命中), ダメージ Explode.wav
マリシャスブレイカー(攻撃), 斬撃
マリシャスブレイカー(命中), 連斬撃;大斬撃
テラーイレイザー, 拡散ビーム 黄

インフェルノ(ソウルキャリバー)
ジオ・ダ・レイ, 刺突突撃
スカイスプリッター, 振り上げ
シャドウフレア(攻撃), 急降下
シャドウフレア(命中), 突く武器急降下 Anime/Weapon/EFFECT_BlackSword01.bmp
スラッシュクロス, 連斬撃
ファンタズムフリート(攻撃), 振り上げ
ファンタズムフリート(命中), 回転斬撃;刺突;踏み潰し
フェイタルドライブ(攻撃), 振り下ろし
フェイタルドライブ(命中), 唐竹割り;振り上げ

ソウルキャリバー
ソウルブラスター, 小ビーム 青
オリンポスグラップル(攻撃), 打突
オリンポスグラップル(命中), 打突 BreakOff.wav;投げ飛ばし
オリンポスブラスター, 大ビーム 白
オリンポスブレイク(攻撃), 発光 赤 Charge.wav 対象ユニットＩＤ;ＭＡＰ大爆発
オリンポスブレイク(命中), 超打
ゲートキーパー, ダブル斬撃

