
##２００３年９月９日修正
#一部、武装を統合したりしたエフェクトを削除。エフェクト追加

闘神伝
裂空斬, Saber.wav
ジェラシーシンフォニー(命中), 2;Whip.wav;2;Whip.wav;2;Whip.wav;2;Whip.wav;2;Whip.wav;2;Whip.wav;2;Whip.wav;Whip.wav;2;Whip.wav;2;Whip.wav
ジェラシーロンド, Sharara.wav
身霊貫通, Swing.wav
身霊貫通(命中), Combo.wav
大砲火炎放射, AntiShipMissile.wav
大砲火炎放射(命中), Fire.wav
大砲四連射, 2;Bazooka.wav;2;Bazooka.wav;2;Bazooka.wav;2;Bazooka.wav
神風の陣, 2;Swing.wav;2;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
神風の陣(命中), 2;Saber.wav;2;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav
空殺の陣, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
空殺の陣(命中), Combo.wav
イーグルビーク, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
イーグルビーク(命中), Combo.wav
ドラゴンブレス, Bow.wav
吹き矢, Bow.wav
吹き矢(命中), Stab.wav
ウキウキウキィ, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
ウキウキウキィ(命中), Punch(4).wav
パティズムエッジ, Bow.wav
アドベントブレイズ, Whiz.wav
アドベントブレイズ(命中), Fire.wav
ベニテンススクリュー, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
ベニテンススクリュー(命中), Drill.wav
デーモン・ハンド(命中), 5;Drill.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav
ブラッディトラップ(命中), 5;Drill.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav
デビルズスティンガー(命中), 5;Drill.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav
ツインデインジャー(命中), 3;Swing.wav;5;Punch.wav;6;Swing.wav;2;Punch.wav
ドンパ, Explode.wav
ドンパッパ, Explode.wav
カッポレ, Swing.wav
カッポレ(命中), Punch.wav
竜巻爪, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
竜巻爪(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav
ドドドーン, 2;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Explode(Small).wav
ドドドーン(命中), Explode(Small).wav
スピリッツダガー, Swing.wav
スピリッツダガー(命中), Stab.wav
ファシネイトビシャス(命中), 2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;7;Explode.wav
アトミックダイナマイツ, Shock(Low).wav
アトミックダイナマイツ(命中), Explode(Small).wav
アトミックスパルタン, 1;Swing.wav;1;Swing.wav;1;Swing.wav
アトミックスパルタン(命中), Punch(2).wav
トゥキャノン, Swing.wav
トゥキャノン(命中), Slash.wav
アトミックブロー(命中), Punch.wav
グリーンコロナ(命中), 3;Swing.wav;5;Punch.wav
ツインディンジャー(命中), 3;Swing.wav;5;Punch.wav;6;Swing.wav;2;Punch.wav
波輝弾, Cannon.wav
波輝弾(命中), Punch.wav
光臨波輝弾, Cannon.wav
光臨波輝弾(命中), Punch.wav
トリプルイリュージョン(命中), 2;Swing.wav;2;Punch.wav;2;Swing.wav;2;Punch.wav;2;Swing.wav;2;Punch.wav
アベル・スターダストナイト, 4;Explode(Small).wav;4;Explode(Small).wav;4;Explode(Small).wav;4;Explode(Small).wav;4;Explode(Small).wav;4;Explode(Small).wav;4;Explode(Small).wav
アベル・スターダストナイト(命中), 4;Explode(Small).wav;4;Explode(Small).wav;4;Explode(Small).wav;4;Explode(Small).wav;4;Explode(Small).wav;4;Explode(Small).wav;4;Explode(Small).wav
フェイタルメテオブロウ, 4;Explode(Small).wav;4;Explode(Small).wav;4;Explode(Small).wav;4;Explode(Small).wav;4;Explode(Small).wav;4;Explode(Small).wav;4;Explode(Small).wav
フェイタルメテオブロウ(命中), 4;Explode(Small).wav;4;Explode(Small).wav;4;Explode(Small).wav;4;Explode(Small).wav;4;Explode(Small).wav;4;Explode(Small).wav;4;Explode(Small).wav
イノセントファイア, Fire.wav
エンジェルアート(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav;5;Slash.wav;5;Slash.wav;4;Slash.wav;4;Slash.wav
サークルファング, Saber.wav
サークルファング(命中), Slash.wav
ファルシオンスラッシュ, Saber.wav
ファルシオンスラッシュ(命中), Stab.wav
ドラゴニックスラッシャー, Swing(2).wav
ドラゴニックスラッシャー(命中), Slash.wav
ドラゴンバスター, Swing(2).wav
ドラゴンバスター(命中), Slash.wav
ソニックブレード, 2;Swing.wav;2;Punch.wav
ソニックブレード(命中), FightHit(1).wav
ファイナルクラッカー, Storm.wav
ファイナルクラッカー(命中), 2;Swing.wav;7;Slash.wav
マジカル・キック, 2;Swing.wav;2;Punch.wav
マジカル・キック(命中), FightHit(1).wav
ラブリープッシュ, Swing.wav
ラブリープッシュ(命中), FightHit(1).wav
ピコピコ・ハンマー, Swing.wav
ピコピコ・ハンマー(命中), Shock(Low).wav
ドリーム・ハンマー, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
ドリーム・ハンマー(命中), Shock(Low).wav
オカルト・ハンマー, 2;Swing.wav;8;Shock(Low).wav
オカルト・ハンマー(命中), Punch(4).wav
セルフ・バーニング, 2;Swing(2).wav;2;Swing(2).wav;2;Swing(2).wav;2;Swing(2).wav
セルフ・バーニング(命中), Shock(Low).wav
天昇弾, Whiz.wav
天昇弾(命中), FightHit(1).wav
疾風符, Swing.wav
疾風符(命中), Stab.wav
跳乱撃, Whiz.wav
跳乱撃(命中), Punch.wav
旋回斬, Swing(2).wav
旋回斬(命中), Slash.wav
藍吸螺我, Swing.wav
藍吸螺我(命中), Slash.wav
玄水乱舞, Whiz.wav
玄水乱舞(命中), Combo.wav
足払い, Swing.wav
足払い(命中), Punch.wav
気孔蹴, Swing.wav
気孔蹴(命中), Punch.wav
大輪斬, Saber.wav
大輪斬(命中), Punch.wav
華厳撃, Swing.wav
華厳撃(命中), Punch.wav
白虎内気孔, Charge(long).wav
白虎内気孔(命中), -.wav
白虎天封殺, Swing(2).wav
白虎天封殺(命中), Shock(Low).wav

闘神伝
烈空斬, 3;Saber.wav;3;Saber.wav
烈空斬(命中), Saber.wav
絶滅斬(命中), Punch.wav
スワニー・スワップ, Swing.wav
スワニー・スワップ(命中), Slash(2).wav
クレイジープラネット(命中), 3;Punch(2).wav;5;Punch(3).wav;3;Punch(2).wav;5;Punch(3).wav;6;Swing.wav;2;Punch.wav
フラッシュサン(命中), 3;Punch(2).wav;5;Punch(3).wav;3;Punch(2).wav;5;Punch(3).wav;6;Swing.wav;2;Punch.wav
鬼の火, AntiShipMissile.wav
鬼の火(命中), Fire.wav
大陸撃沈弾(命中), 3;Combo.wav;3;Combo.wav;3;Swing.wav;9;Shock(Low).wav
大地百祭, Swing.wav
大地百祭(命中), 2;Explode.wav;2;Explode.wav;1;Explode.wav
凶力邪紅烈舞, 2;Swing.wav;2;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
凶力邪紅烈舞(命中), 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;7;Combo.wav
超力大仏滅, 2;Swing.wav;2;Swing.wav;1;Swing.wav;2;FastGun.wav
ファーサイド・ボルト, Swing.wav
ファーサイド・ボルト(命中), Crash.wav
三連炎華, Breath.wav
三連炎華(命中), Fire.wav
紅大華輪, Explode.wav
紅大華輪(命中), -.wav
トライアングルファイアブレス, Breath.wav
トライアングルファイアブレス(命中), Fire.wav
イビルファイア, Explode.wav
彗星脚, Jet.wav
彗星脚(命中), Punch.wav
呪精魚, Swing(2).wav
呪精魚(命中), Punch(2).wav
ゴスペルウェイブ(命中), Slash(2).wav
トウジン砲, Cannon.wav
トウジン砲(命中), Explode.wav
ハード・ローズ, -.wav
ハード・ローズ(命中), 2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav
ジ・エンド, 2;Saber.wav;2;Saber.wav;2;Saber.wav
ジ・エンド(命中), 2;Slash.wav;5;Combo.wav;5;Combo.wav
クレイジーブレード, -.wav
クレイジーブレード(命中), 2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav
デッド・エンド, 2;Saber.wav;2;Saber.wav;2;Saber.wav
デッド・エンド(命中), 2;Slash.wav;5;Combo.wav;5;Combo.wav
スカイダイブリベンジ, Breath.wav
スカイダイブリベンジ(命中), 2;Saber.wav;2;Saber.wav;2;Saber.wav
アルティメイトファントム, -.wav
アルティメイトファントム(命中), 3;FightHit.wav;3;FightHit.wav;3;FightHit.wav;3;FightHit.wav;3;FightHit.wav;3;FightHit.wav;3;FightHit.wav;3;FightHit.wav;3;FightHit.wav
アルティメットファントム, -.wav
アルティメットファントム(命中), 3;FightHit.wav;3;FightHit.wav;3;FightHit.wav;3;FightHit.wav;3;FightHit.wav;3;FightHit.wav;3;FightHit.wav;3;FightHit.wav;3;FightHit.wav
竜神天昇, 2;Swing.wav;2;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;5;Cannon.wav;3;Cannon.wav;3;Cannon.wav
竜神天昇(命中), 2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav
イーグルファング, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
イーグルファング(命中), 5;Drill.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav
フラッシュプレリュード, Whiz.wav
フラッシュプレリュード(命中), Whip.wav


##以下、ＳＳ版

闘神伝
ゲイルシューター,  2;Swing.wav;2;Beam.wav
ゲイルシューター(命中), FightHit(1).wav
キャノンスラッシュ, 2;Saber.wav;2;Saber.wav
キャノンスラッシュ(命中), Slash.wav
イージスウォール, Charge(Long).wav
イージスウォール(命中), Charge(Long).wav
ミラージュセイバー, 2;Swing.wav;2;Beam.wav;2;Beam.wav;2;Beam.wav;2;Beam.wav;2;Beam.wav;2;Beam.wav
ミラージュセイバー(命中), 2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav
ファントムブレイド(命中), 2;Saber.wav;2;Punch.wav;2;Saber.wav;2;Saber.wav;Punch.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav
ブレイクアウト, Swing.wav
ブレイクアウト(命中), Gun.wav
サイドワインダー, -.wav
サイドワインダー(命中), 2;Slash.wav;2;Slash.wav
ライトニングスティンガー, 2;Saber.wav;2;Saber.wav;2;Saber.wav
ライトニングスティンガー(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav
ジャミングアウト, -.wav
ジャミングアウト(命中), 2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav
カッティングエッジ, -.wav
カッティングエッジ(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
プラズマファング, Whiz.wav
プラズマファング(命中), Explode(Small).wav
ダンシングシャドウ, -.wav
ダンシングシャドウ(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;8;Swing(2).wav;1;FightHit(1).wav
ボンバーボール, Cannon.wav
ボンバーボール(命中), Explode(Small).wav
ボンバーボーリング, Cannon.wav
ボンバーボーリング(命中), Explode(Small).wav
レインボーボンバー, MultipleRocketLauncher(Light).wav
レインボーボンバー(命中), 2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav
ビリビリステッキ, Thunder.wav
ビリビリステッキ(命中), Combo.wav
スタンハンマー, Thunder.wav
スタンハンマー(命中), 3;Combo.wav;5;Combo.wav;6;Swing.wav;5;Thunder.wav
ラインボンバー, MultipleRocketLauncher(Light).wav
ラインボンバー(命中), 2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav
ロンロンパニック, -.wav
ロンロンパニック(命中), 3;Combo.wav;5;Combo.wav;5;Combo.wav
迅雷脚, -.wav
迅雷脚(命中), 2;FightHit(1).wav;2;FightHit(1).wav;8;Explode.wav
死滅斬, Explode.wav
死滅斬(命中), Explode.wav
鬼神断, Cannon.wav
鬼神断(命中), Explode.wav
回転疾風, 2;Swing(2).wav;2;Swing(2).wav;2;Swing(2).wav
回転疾風(命中), Punch(3).wav
虚空剣, Swing(2).wav
虚空剣(命中), 2;Saber.wav;2;Saber.wav;2;Saber.wav
轟王壊滅剣, 2;Swing(2).wav;2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav
轟王壊滅剣(命中), 2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav
剛拳打・落命印, -.wav
剛拳打・落命印(命中), 2;FastGun.wav;2;FastGun.wav;2;FastGun.wav;2;FastGun.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav
邪蘭剣舞(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
全滅斬(命中), Punch.wav
極楽門(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav

##修正

闘神伝
サンダー・リング, Whiz.wav
サンダー・リング(命中), Whip.wav
ラトル・スネーク, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
ラトル・スネーク(命中), 1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav
サラマンダー(命中), 3;Whip.wav;3;Whip.wav;Whip.wav;2;Whip.wav;2;Whip.wav;2;Whip.wav;1;Whip.wav;1;Whip.wav
オーロラ・レボリューション, 2;Swing.wav;2;Swing.wav;2;Swing.wav
オーロラ・レボリューション(命中), 2;Whip.wav;2;Whip.wav;2;Whip.wav
ラブ・シャワー, 2;Swing(2).wav;5;Sharara.wav
ラブ・シャワー(命中), FightHit(2).wav
ラブ・ラバー(命中), 2;Whip.wav;2;Whip.wav;2;Whip.wav;2;Whip.wav;2;Whip.wav;2;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav
コール・ミー・クイーン,  2;Sharara.wav;7;Swing(2).wav
コール・ミー・クイーン(命中), Combo.wav
罰, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
罰(命中), 5;Drill.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
ショルダー・クラッシュ, Swing(2).wav
ショルダー・クラッシュ(命中), FightHit(1).wav
ヘルズ・ゲート(命中), 2;FightHit(2).wav;2;FightHit(2).wav;2;FightHit(2).wav;2;FightHit(2).wav;2;FightHit(2).wav;2;FightHit(2).wav
