##２００３年１２月１１日：新規作成

#闘神伝・バトルアニメーションデータ#

#該当(あるいは近いもの)がない場合は、指定なしです。
#一部、パイロットダイアログに影響がある物はカット(指定なし)しています。

#一部の技で闘神伝昴に流用している物もあります。

##２００４年５月２日付修正
#一部技のエフェクトミスを修正。

###２００４年８月２２日修正
#１、炎魔烈襲砕のアニメーション追加(白虎～も同じ)。
#２、誤動作するアニメーションを修正。(ジ・エンド)
#３、未指定の物を追加(ラストジャッジなど…)


##フルメンバー＋ガイア、ショウ、トレーシー、カオス、闘神兵
##(ショウ、エイジ、カイン、闘神兵で一部共通アニメーションがあります)

闘神伝
蹴撃弾(攻撃), タックル
スターダスト・ナイト(命中), -
フレンチキッス(攻撃), タックル
フレンチキッス(命中), -
蹴り上げ(攻撃), 格闘
蹴り上げ(命中), 強打
サンダー・リング(攻撃), 気弾
サンダー・リング(命中), 電撃
オーロラ・レボリューション(攻撃), タックル
オーロラ・レボリューション(命中), 連打
ラトル・スネーク(攻撃), 鞭;回転斬撃
ラトル・スネーク(命中), 連打
ラブ・シャワー(攻撃), タックル
ラブ・シャワー(命中), 強打
サラマンダー(攻撃), タックル
サラマンダー(命中), 乱打
ラブ・ラバー(攻撃), -
ラブ・ラバー(命中), 乱打
コール・ミー・クイーン(攻撃), 急降下
コール・ミー・クイーン(命中), 連打
ハード・ローズ(攻撃), タックル
ハード・ローズ(命中), 刺突;刺突
コフィン(攻撃), タックル
コフィン(命中), 連斬撃
ビッグディッパー(攻撃), アッパー
ビッグディッパー(命中), 斬撃
サザンクロス(攻撃), タックル
サザンクロス(命中), 斬撃;斬撃
デス(攻撃), -
デス(命中), 大斬撃
ヘルムクラッシュ(攻撃), 急降下
ヘルムクラッシュ(命中), 急降下
エンジェル・ティアーズ(攻撃), なぎ払い
エンジェル・ティアーズ(命中), 斬撃
グランド・クロス(攻撃), タックル
グランド・クロス(命中), 大斬撃
ジ・エンド(攻撃), なぎ払い
ジ・エンド(命中), 唐竹割り;連打
曇発破(攻撃), -
曇発破(命中), 爆発
曇怒呼車(攻撃), タックル
曇怒呼車(命中), 連打
曇破(攻撃), -
曇破(命中), 爆発
喝砲烈(攻撃), タックル
喝砲烈(命中), 強打
媚露和了(攻撃), -
媚露和了(命中), 斬撃
怒呼怒呼曇怒呼車(攻撃), -
怒呼怒呼曇怒呼車(命中), 大爆発
轟怒曇(攻撃), -
轟怒曇(命中), 大爆発
怒々曇発破(攻撃), タックル
怒々曇発破(命中), -
疾風突き(攻撃), 和槍;刺突
疾風突き(命中), 刺突
豪力風神(攻撃), タックル
豪力風神(命中), 斬撃
豪力雷神(攻撃), 気弾
豪力雷神(命中), 爆発
豪力天舞(攻撃), アッパー
豪力天舞(命中), 連斬撃
超力門土砲(攻撃), 連気弾
超力門土砲(命中), 連続爆発
凶力邪紅烈舞(攻撃), タックル
凶力邪紅烈舞(命中), アッパー;斬撃;斬撃;斬撃
超力大仏滅(攻撃), 連気弾
超力大仏滅(命中), 連続爆発
風と太陽の怒り(攻撃), タックル
風と太陽の怒り(命中), 打撃
大地の怒り(攻撃), 地表衝撃波
大地の怒り(命中), 爆発
大地の目覚め(攻撃), アッパー
大地の目覚め(命中), 強打
無茶蹴り(攻撃), 打突
無茶蹴り(命中), 打突
大地の場外ホームラン(攻撃), なぎ払い
大地の場外ホームラン(命中), 超打
大地の雄叫び(攻撃), タックル
大地の雄叫び(命中), タックル
爆裂大自然(攻撃), タックル
爆裂大自然(命中), 連打
大地百祭(攻撃), 地表衝撃波
大地百祭(命中), 連続爆発
大陸撃沈弾(攻撃), タックル
大陸撃沈弾(命中), 乱打
副腕(攻撃), 打突
副腕(命中), 打突
火の赤(攻撃), 連気弾
火の赤(命中), 炎
水の青(攻撃), 気弾
水の青(命中), 強打
風の緑(攻撃), -
風の緑(命中), 連打
終末の闇(攻撃), タックル
終末の闇(命中), 連打
終の黒(攻撃), 気弾
終の黒(命中), 強打
犬招き(攻撃), 打突
犬招き(命中), 打突
牡丹(攻撃), 連気弾
牡丹(命中), 炎
燕(攻撃), タックル
燕(命中), 斬撃
鬼の火(攻撃), 打突
鬼の火(命中), 打突;炎
獅子の舞(攻撃), タックル
獅子の舞(命中), タックル
五十嵐(攻撃), タックル
五十嵐(命中), 連打
罰(攻撃), スーパーキック
罰(命中), 斬撃乱舞
魔竜刃(攻撃), タックル
魔竜刃(命中), 斬撃;斬撃;斬撃;連打
業火の紅(攻撃), タックル
業火の紅(命中), 連打;炎
龍撃弾(攻撃), タックル
龍撃弾(命中), 打撃
彗星脚(攻撃), タックル
彗星脚(命中), 打撃
月光扇(攻撃), アッパー
月光扇(命中), 打撃
閃光牙(攻撃), アッパー
閃光牙(命中), 打撃
烈空斬(攻撃), 気弾;気弾
烈空斬(命中), 爆発;爆発
絶滅斬(攻撃), タックル
絶滅斬(命中), 唐竹割り
死昇斬(攻撃), アッパー
死昇斬(命中), 連斬撃
飛翔斬(攻撃), アッパー
飛翔斬(命中), 斬撃;斬撃
呪精魚(攻撃), タックル
呪精魚(命中), 連打
炎魔烈襲砕(準備), オーラ上昇 白
炎魔烈襲砕(攻撃), @戦闘アニメ_エネルギーフィールド展開準備
炎魔烈襲砕(命中), 乱打
自らを絶つ(攻撃), デフォルト Swing.wav
自らを絶つ(命中), -
地獄極楽門(攻撃), タックル
地獄極楽門(命中), 斬撃乱舞
万鬼猛襲剣(攻撃), タックル
万鬼猛襲剣(命中), 斬撃乱舞
極楽門(攻撃), タックル
極楽門(命中), 斬撃乱舞
スーパーアッパー(攻撃), アッパー
スーパーアッパー(命中), アッパー
エレクトロスパルタン(攻撃), アッパー
エレクトロスパルタン(命中), アッパー
エレクトロダイナマイツ(攻撃), -
エレクトロダイナマイツ(命中), 爆発
スカイダイバー(攻撃), アッパー
スカイダイバー(命中), 打撃
エレクトロシャドウ(攻撃), トンファー
エレクトロシャドウ(命中), 強打
ハニームーン(攻撃), アッパー
ハニームーン(命中), アッパー
ジャックポット(攻撃), タックル
ジャックポット(命中), 斬撃
ブルッドチーク(攻撃), タックル
ブルッドチーク(命中), 連打
ペイルスライダー(攻撃), アッパー;アッパー
ペイルスライダー(命中), 強打;強打
クレイジープラネット(攻撃), タックル
クレイジープラネット(命中), 乱打;アッパー
Ｉ．Ｍ．Ｃ．(攻撃), タックル
Ｉ．Ｍ．Ｃ．(命中), 超打
外道ガス(攻撃), 気弾
外道ガス(命中), 強打
残酷カッター(攻撃), タックル
残酷カッター(命中), 斬撃乱舞
邪道ラン(攻撃), タックル
邪道ラン(命中), タックル
非道ドリル(攻撃), タックル
非道ドリル(命中), 強打
邪道ウェイブ(攻撃), 気弾
邪道ウェイブ(命中), 強打
地獄蠎(攻撃), 地表衝撃波
地獄蠎(命中), 爆発
地獄轟火(攻撃), 火炎弾
地獄轟火(命中), 炎
地獄山蛯(攻撃), タックル
地獄山蛯(命中), タックル
地獄粉砕(攻撃), タックル
地獄粉砕(命中), タックル
超無残搾り(攻撃), 気弾;気弾;気弾
超無残搾り(命中), 強打
木端微塵(攻撃), タックル
木端微塵(命中), 超打


#ウラヌス、マスター、ヴァーミリオン、デヴィッド、シズク、ナギサ、バイホウ

闘神伝
翼(攻撃), 振り下ろし
翼(命中), 斬撃
イーグル・レイジ(攻撃), 弓矢
イーグル・レイジ(命中), 刺突
スワニー・スワップ(攻撃), アッパー
スワニー・スワップ(命中), 斬撃
コカトリス(攻撃), @戦闘アニメ_エネルギーフィールド展開準備
コカトリス(命中), 乱打
ファイアー・ホーク(攻撃), タックル
ファイアー・ホーク(命中), タックル
フェニックス(攻撃), ホーミングレーザー
フェニックス(命中), ホーミングレーザー
イレース(攻撃), 刺突
イレース(命中), 刺突
リセット(攻撃), アッパー
リセット(命中), 斬撃
デリート(攻撃), 気弾;気弾;気弾
デリート(命中), 強打;強打
シュレッド(攻撃), タックル
シュレッド(命中), 斬撃乱舞
ハルマゲドン(攻撃), ホーミングレーザー
ハルマゲドン(命中), ホーミングレーザー
ラストジャッジ(攻撃), オーラ上昇 白
ラストジャッジ(命中), 連打
エルボープレス(攻撃), タックル
エルボープレス(命中), 強打
空中射撃(攻撃), リボルバー
空中射撃(命中), 銃弾
ボディープレス(攻撃), タックル
ボディープレス(命中), 強打
ショットガン(攻撃), ショットガン
ショットガン(命中), 銃弾
デリンジャー(攻撃), リボルバー
デリンジャー(命中), 銃弾
メガブーム(攻撃), リボルバー
メガブーム(命中), 銃弾
硫酸かけ(攻撃), -
硫酸かけ(命中), 強打
ピースメーカー(攻撃), ショットガン;リボルバー;ショットガン;リボルバー
ピースメーカー(命中), 銃弾;銃弾;銃弾;銃弾
デスマリオネット(攻撃), ワイヤー
デスマリオネット(命中), 強打;強打;強打;銃弾
ヴァームザリッパー(攻撃), ショットガン;リボルバー;ショットガン;リボルバー;ショットガン;リボルバー;ショットガン;リボルバー;ショットガン;リボルバー
ヴァームザリッパー(命中), 銃弾;銃弾;銃弾;銃弾;銃弾;銃弾;銃弾;銃弾;銃弾;銃弾;銃弾;銃弾;銃弾
孔雀(攻撃), 格闘
孔雀(命中), 格闘
颪(攻撃), 投げナイフ
颪(命中), 刺突
夢鉄砲(攻撃), タックル
夢鉄砲(命中), 強打
夢桜(攻撃), アッパー
夢桜(命中), 斬撃
渦潮の舞(攻撃), タックル
渦潮の舞(命中), タックル
地雷震(攻撃), -
地雷震(命中), 爆発
不死蝶(攻撃), タックル
不死蝶(命中), 乱打
三連炎華(攻撃), ホーミングレーザー
三連炎華(命中), 炎
紅大華輪(攻撃), 火炎放射
紅大華輪(命中), 炎
明日のアッパー(攻撃), タックル
明日のアッパー(命中), 強打
リバーサル・トラップ(攻撃), チェーンソー
リバーサル・トラップ(命中), 斬撃
トカレフ(攻撃), ピストル
トカレフ(命中), 銃弾
リバーサル・レイズ(攻撃), チェーンソー
リバーサル・レイズ(命中), 斬撃
アッパー・ボーイ(攻撃), アッパー
アッパー・ボーイ(命中), アッパー
フレイム・マッシャー(攻撃), タックル
フレイム・マッシャー(命中), 斬撃乱舞
フレイム・クラッシャー(攻撃), タックル
フレイム・クラッシャー(命中), 斬撃乱舞
タックル・デカ(攻撃), タックル
タックル・デカ(命中), タックル
全弾発射(攻撃), ピストル
全弾発射(命中), 銃弾;銃弾;銃弾;銃弾;銃弾;銃弾;銃弾;銃弾;銃弾;銃弾;銃弾;銃弾;銃弾
巖城スペシャル(攻撃), タックル
巖城スペシャル(命中), 斬撃;斬撃;斬撃;タックル;銃弾
猿・ドリル(攻撃), タックル
猿・ドリル(命中), 強打
猿的曇発破(攻撃), -
猿的曇発破(命中), 爆発
猿的曇怒呼車(攻撃), タックル
猿的曇怒呼車(命中), 連打
猿的曇破(攻撃), -
猿的曇破(命中), 爆発
猿的喝砲烈(攻撃), タックル
猿的喝砲烈(命中), 強打
猿・興奮気味(攻撃), タックル
猿・興奮気味(命中), 斬撃
猿・二つ(攻撃), 気弾;気弾
猿・二つ(命中), 大爆発
猿的轟怒曇(攻撃), -
猿的轟怒曇(命中), 大爆発
猿的怒々曇発破(攻撃), タックル
猿的怒々曇発破(命中), -



#裏キャラ各種(アタワに関しては、エリスと非共通の物に限る)

闘神伝
ナイトロジェン・ブレス(攻撃), 気弾
ナイトロジェン・ブレス(命中), 爆発
ミッドナイト・ビヨンド(攻撃), アッパー
ミッドナイト・ビヨンド(命中), 連斬撃
スカル・クラッシュ(攻撃), -
スカル・クラッシュ(命中), 唐竹割り
ナイトロジェン・ブラスト, 火炎弾
ナイトロジェン・ブラスト(命中), 炎
アイアン・ヘブン(攻撃), タックル
アイアン・ヘブン(命中), 斬撃乱舞
アイアン・メイデン(攻撃), タックル
アイアン・メイデン(命中), 斬撃乱舞
ジャイアントスイング(攻撃), -
ジャイアントスイング(命中), ジャイアントスイング
グルグル(攻撃), 格闘
グルグル(命中), 格闘
ドカドカ(攻撃), タックル
ドカドカ(命中), タックル
バキバキ(攻撃), アッパー
バキバキ(命中), 斬撃
ウキウキウキィ(攻撃), タックル
ウキウキウキィ(命中), 連打
エンシェント・ダブルクロウ(攻撃), タックル
エンシェント・ダブルクロウ(命中), タックル
ニー・クラッシュ(攻撃), -
ニー・クラッシュ(命中), 打撃
レッグ・ドライバー, 投げナイフ
レッグ・ドライバー(命中), 刺突
シューティングスター, スーパーキック
シューティングスター(命中), スーパーキック
ブレイク・ライズ, アッパー
ブレイク・ライズ(命中), 連斬撃
スパーク・フレアー(攻撃), 投げナイフ;投げナイフ;投げナイフ
スパーク・フレアー(命中), 刺突;刺突;刺突
Ｌ・エクスプロージョン(攻撃), タックル
Ｌ・エクスプロージョン(命中), 乱打
ルナティック・ペイン(攻撃), タックル
ルナティック・ペイン(命中), 斬撃乱舞
ダブル・ブラッディクロー(攻撃), -
ダブル・ブラッディクロー(命中), 強打
フラッシュプレリュード(攻撃), 気弾
フラッシュプレリュード(命中), 電撃
ゴールデンバレリーナ(攻撃), タックル
ゴールデンバレリーナ(命中), 連打
スターエクセキューション, 鞭;回転斬撃
スターエクセキューション(命中), 連打
スプラッシュホールド(攻撃), タックル
スプラッシュホールド(命中), 強打
ヘイトリッドワルツ(攻撃), タックル
ヘイトリッドワルツ(命中), 乱打
ジェラシーシンフォニー(攻撃), -
ジェラシーシンフォニー(命中), 乱打
ジェラシーロンド(攻撃), 急降下
ジェラシーロンド(命中), 連打
サイドスライサー(攻撃), タックル
サイドスライサー(命中), 刺突;刺突
クレイジーブレード(攻撃), タックル
クレイジーブレード(命中), 連斬撃
ブラストブレード(攻撃), アッパー
ブラストブレード(命中), 斬撃
ナイトメアクラッシュ(攻撃), タックル
ナイトメアクラッシュ(命中), 斬撃;斬撃
ジェノサイドクラッシャー(攻撃), -
ジェノサイドクラッシャー(命中), 大斬撃
キリングソード(攻撃), -
キリングソード(命中), 踏み潰し
エボニー・スライサー(攻撃), なぎ払い
エボニー・スライサー(命中), 斬撃
バーサーカー・ブラスト(攻撃), タックル
バーサーカー・ブラスト(命中), 大斬撃
デッド・エンド(攻撃), 大斬撃
デッド・エンド(命中), 唐竹割り;連打
ドンパッパ(攻撃), -
ドンパッパ(命中), 爆発
ドンドコショ(攻撃), タックル
ドンドコショ(命中), 連打
ドンパ(攻撃), -
ドンパ(命中), 爆発
カッポレ(攻撃), タックル
カッポレ(命中), 強打
竜巻爪, タックル
竜巻爪(命中), 斬撃;斬撃
ドドドーン(攻撃), -
ドドドーン(命中), 大爆発
ドドドンパッパ(攻撃), タックル
ドドドンパッパ(命中), -
身霊貫通(攻撃), 和槍;刺突
身霊貫通(命中), 刺突
神風の陣(攻撃), -
神風の陣(命中), 斬撃
トウジン砲, 気弾
トウジン砲(命中), 爆発
大砲火炎放射(攻撃), 火炎放射
大砲火炎放射(命中), 炎
空殺の陣(攻撃), アッパー
空殺の陣(命中), 連斬撃
大砲四連射(攻撃), 連気弾
大砲四連射(命中), 連続爆発
竜神天昇(攻撃), 連気弾
竜神天昇(命中), 連続爆発
美人局流れ桜・乱舞(攻撃), タックル
美人局流れ桜・乱舞(命中), 超打;爆発;爆発;爆発;爆発;爆発
ローリングシステム(攻撃), タックル
ローリングシステム(命中), 連打
ウェイブ・システム(攻撃), 格闘
ウェイブ・システム(命中), 格闘
チャージ・システム(攻撃), 格闘
チャージ・システム(命中), 格闘
スプリットセカンドシステム(攻撃), 格闘
スプリットセカンドシステム(命中), 格闘
イドの剣(攻撃), ホーミングレーザー
イドの剣(命中), ホーミングレーザー
ハイパーウエイブシステム(攻撃), タックル
ハイパーウエイブシステム(命中), 乱打
ドラゴンブレス(攻撃), 矢
ドラゴンブレス(命中), 強打
ベアキラー(攻撃), 格闘
ベアキラー(命中), 格闘
ジャガーファング(攻撃), タックル
ジャガーファング(命中), タックル
イーグルビーク(攻撃), タックル
イーグルビーク(命中), 連打
イーグルファング(攻撃), スーパーキック
イーグルファング(命中), 斬撃乱舞
イーグルファイア(攻撃), タックル
イーグルファイア(命中), 連打;炎
ヘル・フェニックス(攻撃), アッパー
ヘル・フェニックス(命中), 強打
ヘル・エクスキュージョナー(攻撃), タックル
ヘル・エクスキュージョナー(命中), タックル
パティズムエッジ(攻撃), 矢
パティズムエッジ(命中), 矢
ゴスペルウェイブ(攻撃), アッパー
ゴスペルウェイブ(命中), 斬撃
アドベントブレイズ(攻撃), 急降下
アドベントブレイズ(命中), 急降下;炎
ベニテンススクリュー(攻撃), タックル
ベニテンススクリュー(命中), 超打
プロトンダイナマイト(攻撃), -
プロトンダイナマイト(命中), 爆発
アトミックスパルタン(攻撃), アッパー
アトミックスパルタン(命中), アッパー
アトミックダイナマイツ(攻撃), -
アトミックダイナマイツ(命中), 爆発
スカイスクレイパー(攻撃), アッパー
スカイスクレイパー(命中), 打撃
アトミックブロー(攻撃), トンファー
アトミックブロー(命中), 強打
グリーンコロナ(攻撃), アッパー
グリーンコロナ(命中), アッパー
トゥキャノン(攻撃), タックル
トゥキャノン(命中), タックル
ロッククラッシャー(攻撃), タックル
ロッククラッシャー(命中), 超打
ツインデインジャー(攻撃), アッパー;アッパー
ツインデインジャー(命中), 強打;強打
フラッシュサン(攻撃), タックル
フラッシュサン(命中), 乱打;アッパー
死の舞(攻撃), 格闘
死の舞(命中), 格闘
スピリッツダガー(攻撃), 投げナイフ
スピリッツダガー(命中), 刺突
ファントムテイル(攻撃), タックル
ファントムテイル(命中), 強打
スプリッツダンス(攻撃), アッパー
スプリッツダンス(命中), 斬撃
ファシネイトビシャス(攻撃), タックル
ファシネイトビシャス(命中), タックル;連打;連打;爆発
トライアングルファイアブレス(攻撃), ホーミングレーザー
トライアングルファイアブレス(命中), 炎
イビルファイア(攻撃), 火炎放射
イビルファイア(命中), 炎
スキンヘッド(攻撃), タックル
スキンヘッド(命中), 強打
Ｄ．チェーンソー(攻撃), チェーンソー
Ｄ．チェーンソー(命中), 強打
イビルソー(攻撃), チェーンソー
イビルソー(命中), 強打
ブラッディトラップ(攻撃), チェーンソー;アッパー
ブラッディトラップ(命中), 斬撃;斬撃;斬撃
カーシッドアッパー(攻撃), タックル
カーシッドアッパー(命中), アッパー
デーモン・ハンド(攻撃), タックル
デーモン・ハンド(命中), 斬撃乱舞
デビルズスティンガー(攻撃), タックル
デビルズスティンガー(命中), 斬撃乱舞


##ヴェイル、アベル、お子様ナル(カインと共用不可な物)、クピードー、リッパー、ロンロン
##ボルフ、リュウジ、リカ、シュウ、白虎

闘神伝
レッドフィスト, 打突
レッドフィスト(命中), 強打
グランドタックル, タックル
グランドタックル(命中), タックル
波輝弾, 気弾
波輝弾(命中), 爆発
光臨波輝弾, 気弾
光臨波輝弾(命中), 爆発
トリプルイリュージョン, アッパー
トリプルイリュージョン(命中), アッパー;アッパー;アッパー
アベル・スターダストナイト, -
アベル・スターダストナイト(命中), 爆発;爆発;爆発;爆発
アルティメットファントム, タックル
アルティメットファントム(命中), 乱打
スカイダイブリベンジ, タックル
スカイダイブリベンジ(命中), 斬撃;斬撃
フェイタルメテオブロウ, -
フェイタルメテオブロウ(命中), 爆発;爆発;爆発;爆発
アルティメイトファントム, タックル
アルティメイトファントム(命中), 乱打
ファナティックイリュージョン, タックル
ファナティックイリュージョン(命中), 乱打
リトルプリンセス, タックル
リトルプリンセス(命中), 打撃
ソニック・スラッシュ, 気弾
ソニック・スラッシュ(命中), 爆発
イノセントファイア, 火炎放射
イノセントファイア(命中), 炎
レインボー・スプラッシュ, -
レインボー・スプラッシュ(命中), 乱打
エンジェルアート, タックル
エンジェルアート(命中), 連打;連打;斬撃乱舞
サークルファング, 青龍刀
サークルファング(命中), 青龍刀
ファルシオンスラッシュ, 青龍刀
ファルシオンスラッシュ(命中), 斬撃
ドラゴニックスラッシャー, 青龍刀
ドラゴニックスラッシャー(命中), 青龍刀
ドラゴンバスター, 青龍刀
ドラゴンバスター(命中), 斬撃
ソニックブレード(攻撃), -
ソニックブレード(命中), 強打
ファイナルクラッカー(攻撃), 青龍刀
ファイナルクラッカー(命中), 大斬撃
マジカル・キック(攻撃), -
マジカル・キック(命中), 強打
ラブリープッシュ, ピコピコハンマー
ラブリープッシュ(命中), タックル
ピコピコ・ハンマー, ピコピコハンマー
ピコピコ・ハンマー(命中), ピコピコハンマー
ドリーム・ハンマー, ピコピコハンマー
ドリーム・ハンマー(命中), 連打
オカルト・ハンマー, ピコピコハンマー
オカルト・ハンマー(命中), 連打
セルフ・バーニング(攻撃), スピンアタック
セルフ・バーニング(命中), 超打
天昇弾(攻撃), 気弾
天昇弾(命中), 強打
疾風符(攻撃), 刺突
疾風符(命中), 斬撃
跳乱撃(攻撃), -
跳乱撃(命中), 強打
旋回斬(攻撃), なぎ払い
旋回斬(命中), 斬撃
藍吸螺我(攻撃), ブーメラン
藍吸螺我(命中), 斬撃
玄水乱舞(攻撃), -
玄水乱舞(命中), 乱打
足払い(攻撃), なぎ払い
足払い(命中), 強打
気孔蹴(攻撃), 打突
気孔蹴(命中), 打突
大輪斬(攻撃), なぎ払い
大輪斬(命中), 強打
華厳撃(攻撃), 棒
華厳撃(命中), 強打
白虎内気孔(準備), オーラ上昇 白
白虎内気孔(攻撃), @戦闘アニメ_エネルギーフィールド展開準備
白虎天封殺(攻撃), 急降下
白虎天封殺(命中), 急降下
イージスウォール(準備), オーラ上昇 白
イージスウォール(攻撃), @戦闘アニメ_エネルギーフィールド展開準備
イージスウォール(命中), 強打
ゲイルシューター(攻撃), アッパー;小ビーム
ゲイルシューター(命中), 小ビーム
キャノンスラッシュ(攻撃), アッパー
キャノンスラッシュ(命中), 斬撃
ファントムブレイド(攻撃), タックル
ファントムブレイド(命中), 斬撃乱舞
ミラージュセイバー(攻撃), アッパー;小ビーム;小ビーム;小ビーム
ミラージュセイバー(命中), 小ビーム;小ビーム;小ビーム
ブレイクアウト(攻撃), タックル
ブレイクアウト(命中), 銃弾
サイドワインダー(攻撃), タックル
サイドワインダー(命中), 連斬撃
ジャミングアウト(攻撃), タックル
ジャミングアウト(命中), 連斬撃
ライトニングスティンガー(攻撃), タックル
ライトニングスティンガー(命中), 斬撃;斬撃;斬撃
プラズマファング(攻撃), 気弾
プラズマファング(命中), 爆発
カッティングエッジ(攻撃), タックル
カッティングエッジ(命中), 斬撃乱舞
ダンシングシャドウ(攻撃), タックル
ダンシングシャドウ(命中), 斬撃乱舞;アッパー
ハンマー型スタンガン(攻撃), ハンマー
ハンマー型スタンガン(命中), 強打
ボンバーボール(攻撃), 気弾
ボンバーボール(命中), 爆発
ボンバーボーリング(攻撃), 気弾
ボンバーボーリング(命中), 爆発
レインボーボンバー(攻撃), タックル
レインボーボンバー(命中), 連続爆発
ビリビリステッキ(攻撃), 電撃
ビリビリステッキ(命中), 電撃
ラインボンバー(攻撃), 連気弾
ラインボンバー(命中), 連続爆発
スタンハンマー(攻撃), タックル
スタンハンマー(命中), 連打;連打;アッパー;連打;電撃
ロンロンパニック(攻撃), タックル
ロンロンパニック(命中), 乱打
迅雷蹴(攻撃), 連打
迅雷蹴(命中), 連打;爆発
死滅斬(攻撃), 斬撃
死滅斬(命中), 爆発
鬼神断(攻撃), 気弾
鬼神断(命中), 爆発
回転疾風断(攻撃), タックル
回転疾風断(命中), 連打
虚空剣(攻撃), タックル
虚空剣(命中), 斬撃
轟王壊滅剣(攻撃), 斬撃
轟王壊滅剣(命中), 連続爆発
剛拳打・落命印(攻撃), タックル
剛拳打・落命印(命中), 連打
邪蘭剣舞(攻撃), タックル
邪蘭剣舞(命中), 乱打
