


ASELIA
ヘビーアタック, Saber.wav
イグニッション(命中), Explode(Far).wav
アポカリプス(準備), Charge.wav
アポカリプス, Beam.wav
アポカリプス(命中), Explode(Long).wav
スターダスト(準備), Charge.wav
スターダスト, Beam.wav
スターダスト(命中), Explode(Nuclear).wav
スィング, Slash(2).wav
ダブルスィング, Slash(2).wav
トリプルスィング, Slash(2).wav
ファイアエンチャント, Slash(2).wav
ダークインパクト(準備), Charge.wav
ダークインパクト, Warship.wav
ダークインパクト(命中), 4;FightHit(4).wav;Explode.wav
カオスインパクト(準備), Charge.wav
カオスインパクト, Warship.wav
カオスインパクト(命中), 4;FightHit(4).wav;Explode.wav
ディバインインパクト(準備), Charge.wav
ディバインインパクト, Warship.wav
ディバインインパクト(命中), 4;FightHit(4).wav;Explode.wav
ブラッドラスト, Fold.wav
サクリファイス, Fold.wav
居合の太刀, Saber.wav
居合の太刀(命中), Slash(3).wav
雲散霧消の太刀, Saber.wav
雲散霧消の太刀(命中), Slash(3).wav
月輪の太刀, Saber.wav
月輪の太刀(命中), Slash(3).wav
星火燎原の太刀, Saber.wav
星火燎原の太刀(命中), Slash(3).wav
天壌無窮の太刀, Saber.wav
天壌無窮の太刀(命中), 3;Slash(3).wav;3;Slash(3).wav;3;Slash(3).wav;Slash(3).wav
ペネトレイト, Saber.wav
ペネトレイト(命中), Slash(3).wav
イクシード, Saber.wav
イクシード(命中), Slash(3).wav
ライトニングブラスト(準備), Charge.wav
ライトニングブラスト, Thunder.wav
ライトニングブラスト(命中), Storm.wav
サンダーストーム(準備), Charge.wav
サンダーストーム, Thunder.wav
サンダーストーム(命中), Storm.wav
ゲイル, Saber.wav
ゲイル(命中), Slash(2).wav
ワールウィンド, Saber.wav
ワールウィンド(命中), Slash(2).wav
ビジョンズ, Sharara.wav
トラスケード, Sharara.wav
スウォードダンス, Missile.wav
スウォードダンス(命中), Slash(3).wav
タイムアクセラレイト, Missile.wav
タイムアクセラレイト(命中), Explode.wav
タイムコンポーズ, Sharara.wav
オース, Saber.wav
オース(命中), Slash(3).wav
オーラフォトンレイ, Beam.wav
オーラフォトンレイ(命中), 2;Beam.wav;2;Beam.wav;2;Beam.wav;2;Beam.wav;Explode(Nuclear).wav
ワールド, Saber.wav
ワールド(命中), 3;Slash(3).wav;3;Slash(3).wav;8;Slash(3).wav;Explode(Nuclear).wav
オーラフォトンブレイク, Beam.wav
オーラフォトンブレイク(命中), 2;Beam.wav;2;Beam.wav;2;Beam.wav;2;Beam.wav;Explode(Nuclear).wav
秩序の杖, Saber.wav
秩序の杖(命中),  Slash(3).wav
神々の怒り, Beam.wav
神々の怒り(命中), 5;Thunder.wav;Thunder.wav
空間断絶, Fold.wav
空間断絶(命中), 3:FightHit(3).wav;Explode(Nuclear).wav
限界突破(準備), Sharara.wav
限界突破, Saber.wav
限界突破(命中), 3:FightHit(3).wav;Explode(Nuclear).wav
不浄, Fold.wav
炎帝, Sharara.wav
炎帝(命中), Fire.wav
流転, Saber.wav
流転(命中), Slash(3).wav
エレクトロンブレード, Saber.wav
エレクトロンブレード(命中), Slash(3).wav
ライトバースト, Beam.wav
ライトバースト(命中), Explode.wav
薙ぎ払う, Slash(3).wav
ファイアブレス, Beam.wav
ファイアブレス(命中), Explode(Nuclear).wav
アイスブレス, Beam.wav
アイスブレス(命中), Explode(Nuclear).wav
ダークブレス, Beam.wav
ダークブレス(命中), Explode(Nuclear).wav
ネイチャーブレス, Beam.wav
ネイチャーブレス(命中), Explode(Nuclear).wav
フォトンブレス, Beam.wav
フォトンブレス(命中), Explode(Nuclear).wav


