#####################################################################
# マイナーデータ掲示板に投稿されている戦闘用アイコンを指定しています。
# また、アセリア、ウルカに関しては個別ユニット名指定でのアニメの他に、
# 各スピリット共通武装等のアニメも別途使用していますので
# 抜き出してコピーする時は注意して下さい。

高嶺悠人
永遠神剣『求め』, 斬撃武器 Anime\EFFECT_ASELIA_TheDesire.bmp
コネクティドウィル(準備), 振る武器 Anime\EFFECT_ASELIA_SacredKeeper.bmp 発光;オーラ上昇 白
コネクティドウィル(攻撃), 振り下ろし;振り上げ;なぎ払い
コネクティドウィル(命中), 超斬撃;超斬撃;超斬撃


存在のアセリア
永遠神剣『存在』, 斬撃武器 Anime\EFFECT_ASELIA_Existence.bmp
リープアタック(準備), 振る武器 Anime\EFFECT_ASELIA_Existence.bmp
インパルスブロウ(準備), 振る武器 Anime\EFFECT_ASELIA_Existence.bmp
フューリー(準備), 振る武器 Anime\EFFECT_ASELIA_Existence.bmp
ヘヴンズスウォード(準備), 振る武器 Anime\EFFECT_ASELIA_Existence.bmp

永遠のアセリア
永遠神剣『永遠』, 斬撃武器 Anime\EFFECT_ASELIA_Eternal.bmp
リープアタック(準備), 振る武器 Anime\EFFECT_ASELIA_Eternal.bmp
インパルスブロウ(準備), 振る武器 Anime\EFFECT_ASELIA_Eternal.bmp
フューリー(準備), 振る武器 Anime\EFFECT_ASELIA_Eternal.bmp
ヘヴンズスウォード(準備), 振る武器 Anime\EFFECT_ASELIA_Eternal.bmp
エタニティーリムーバー(準備), 羽;オーラ上昇 青
エタニティーリムーバー(攻撃), フェイスアップ;振る武器突撃 Anime\EFFECT_ASELIA_Eternal.bmp 斬撃;斬撃;斬撃
エタニティーリムーバー(命中), 振り下ろし;振り上げ;唐竹割り;超斬撃


冥加のウルカ
永遠神剣『冥加』, 斬撃武器 Anime\EFFECT_ASELIA_GreatBlessing.bmp
カオスインパクト(準備), 羽;炎 黒 Charge.wav
居合の太刀(準備), 振る武器 Anime\EFFECT_ASELIA_GreatBlessing.bmp
雲散霧消の太刀(準備), 振る武器 Anime\EFFECT_ASELIA_GreatBlessing.bmp
月輪の太刀(準備), 振る武器 Anime\EFFECT_ASELIA_GreatBlessing.bmp
星火燎原の太刀(準備), 振る武器 Anime\EFFECT_ASELIA_GreatBlessing.bmp

深遠の翼ウルカ
永遠神剣『深遠』, 斬撃武器 Anime\EFFECT_ASELIA_Profound.bmp
ディバインインパクト(準備), 羽;炎 黒 Charge.wav
居合の太刀(準備), 振る武器 Anime\EFFECT_ASELIA_Profound.bmp
雲散霧消の太刀(準備), 振る武器 Anime\EFFECT_ASELIA_Profound.bmp
月輪の太刀(準備), 振る武器 Anime\EFFECT_ASELIA_Profound.bmp
星火燎原の太刀(準備), 振る武器 Anime\EFFECT_ASELIA_Profound.bmp
天壌無窮の太刀(準備), 羽;オーラ上昇 黒
天壌無窮の太刀(攻撃), フェイスアップ ウルカ・ブラックスピリット(攻撃); 振る武器突撃 Anime\EFFECT_ASELIA_Profound.bmp 斬撃
天壌無窮の太刀(命中), 振る武器突撃 Anime\EFFECT_ASELIA_Profound.bmp 斬撃;斬撃乱舞

漆黒の翼ウルカ
永遠神剣『拘束』, 斬撃武器 Anime\EFFECT_ASELIA_GreatBlessing.bmp
ダークインパクト(準備), 羽 黒;炎 黒 Charge.wav
永遠神剣『冥加』, 斬撃武器 Anime\EFFECT_ASELIA_GreatBlessing.bmp
カオスインパクト(準備), 羽;炎 黒 Charge.wav
居合の太刀(準備), 振る武器 Anime\EFFECT_ASELIA_GreatBlessing.bmp
雲散霧消の太刀(準備), 振る武器 Anime\EFFECT_ASELIA_GreatBlessing.bmp
月輪の太刀(準備), 振る武器 Anime\EFFECT_ASELIA_GreatBlessing.bmp
星火燎原の太刀(準備), 振る武器 Anime\EFFECT_ASELIA_GreatBlessing.bmp

岬今日子
永遠神剣『空虚』, 突く武器突撃 Anime\EFFECT_ASELIA_Emptiness(Thrust).bmp
ペネトレイト, 刺突武器 Anime\EFFECT_ASELIA_Emptiness(Thrust).bmp
イクシード, 刺突武器 Anime\EFFECT_ASELIA_Emptiness(Thrust).bmp 発光
ライトニングブラスト(準備), 魔法陣 紫 Charge.wav 背面
ライトニングブラスト(攻撃), メガショックビーム 紫
ライトニングブラスト(命中), メガショックビーム 紫;電撃
ライトニングハリセン(準備), ハリセン
ライトニングハリセン(攻撃), 斬撃;ショックビーム 紫
ライトニングハリセン(命中), ショックビーム 紫;電撃 
サンダーストーム(準備), 魔法陣 紫 Charge.wav
サンダーストーム(攻撃), 大放電 対象ユニットＩＤ;大電撃 相手ユニットＩＤ
サンダーストーム(命中), 大電撃

紫電のキョウコ
永遠神剣『依存』, ハリセン
永遠神剣『依存』, 剣
永遠神剣『依存』, 打突
ペネトレイト(攻撃), 突く武器突撃 Wind\EFFECT_WindCutter(Purple)02.bmp 発光
ペネトレイト(命中), スーパーパンチ 紫
イクシード(攻撃), 突く武器突撃 Wind\EFFECT_WindCutter(Purple)02.bmp 発光
イクシード(命中), スーパーパンチ 紫;@戦闘アニメハリセン_攻撃;電撃
ライトニングブラスト(準備), 魔法陣 紫 Charge.wav 背面
ライトニングブラスト(攻撃), メガショックビーム 紫
ライトニングブラスト(命中), メガショックビーム 紫;電撃
ライトニングハリセン(準備), ハリセン
ライトニングハリセン(攻撃), 斬撃;ショックビーム 紫
ライトニングハリセン(命中), 落雷
サンダーストーム(準備), 魔法陣 紫 Charge.wav 背面
サンダーストーム(攻撃), 大放電 対象ユニットＩＤ;大落雷 相手ユニットＩＤ
サンダーストーム(命中), 大落雷
スパークレシーブ, 放電
シャイニングブレイカー(準備), 突く武器変形 LightWeapon\EFFECT_LightSword(Purple)01.bmp 32 LightWeapon\EFFECT_LightSword(Purple)02.bmp 48 Reload(4).wav
シャイニングブレイカー(攻撃), 突く武器突撃 LightWeapon\EFFECT_LightSword(Purple)02.bmp
シャイニングブレイカー(命中), スーパータックル 紫 Slash.wav;斬撃;斬撃;大斬撃

ASELIA
永遠神剣『献身』(準備), 振る武器 Anime\EFFECT_ASELIA_Dedication.bmp
永遠神剣『聖緑』(準備), 振る武器 Anime\EFFECT_ASELIA_HolyGreen.bmp
永遠神剣『理念』(準備), 振る武器 Anime\EFFECT_ASELIA_Idea.bmp
永遠神剣『再生』(準備), 振る武器 Anime\EFFECT_ASELIA_Regenerate.bmp
永遠神剣『静寂』, 斬撃武器 Anime\EFFECT_ASELIA_BlueSpiritSword.bmp
永遠神剣『孤独』, 斬撃武器 Anime\EFFECT_ASELIA_BlueSpiritSword.bmp
永遠神剣『熱病』, 斬撃武器 Anime\EFFECT_ASELIA_BlueSpiritSword.bmp
永遠神剣『消沈』(準備), 振る武器 Anime\EFFECT_ASELIA_RedSpiritDoubleSword.bmp
永遠神剣『赤光』(準備), 振る武器 Anime\EFFECT_ASELIA_RedSpiritDoubleSword.bmp
永遠神剣『大樹』(準備), 振る武器 Anime\EFFECT_ASELIA_GreenSpiritSpear.bmp;投擲武器  Anime\EFFECT_ASELIA_GreenSpiritSpear(Throw).bmp
永遠神剣『大樹』, 投擲武器 Anime\EFFECT_ASELIA_GreenSpiritSpear(Throw).bmp
永遠神剣『曙光』(準備), 振る武器 Anime\EFFECT_ASELIA_GreenSpiritSpear.bmp;投擲武器  Anime\EFFECT_ASELIA_GreenSpiritSpear(Throw).bmp
永遠神剣『曙光』, 投擲武器 Anime\EFFECT_ASELIA_GreenSpiritSpear(Throw).bmp
永遠神剣『失望』, 日本刀突撃
永遠神剣『月光』, 日本刀突撃
永遠神剣(ブルースピリット), 斬撃武器 Anime\EFFECT_ASELIA_BlueSpiritSword.bmp
永遠神剣(レッドスピリット), 斬撃武器 Anime\EFFECT_ASELIA_RedSpiritDoubleSword.bmp
永遠神剣(グリーンスピリット)(準備), 振る武器 Anime\EFFECT_ASELIA_GreenSpiritSpear.bmp;投擲武器 Anime\EFFECT_ASELIA_GreenSpiritSpear(Throw).bmp
永遠神剣(グリーンスピリット), 投擲武器 Anime\EFFECT_ASELIA_GreenSpiritSpear(Throw).bmp
永遠神剣(ブラックピリット), 日本刀突撃
# ブルースピリット
阻止(アイスバニッシャー), 魔法陣 青
エーテルシンク, 魔法陣 青
エーテルシンク(クリティカル), 飛沫 青 -.wav;@戦闘アニメ_結界発動 青 Glass.wav
サイレントフィールド(準備), 魔法陣 青
サイレントフィールド(攻撃), ＭＡＰ光噴出 青
サイレントフィールド(命中), -
サイレントフィールド(クリティカル), 飛沫 青 -.wav;@戦闘アニメ_結界発動 青 Glass.wav
リープアタック, 斬撃
インパルスブロウ, 斬撃
フューリー, 連斬撃
ヘヴンズスウォード(準備), 羽; オーラ上昇 青
ヘヴンズスウォード(攻撃), 斬撃
ヘヴンズスウォード(命中), クリティカル斬撃
阻止(サイレントフィールドⅡ), 魔法陣 青
# グリーンスピリット
ストライク, 投げ槍
パワーストライク, 刺突突撃
パワーストライク(命中), 刺突突撃
ライトニングストライク, 連突
ライトニングストライク(命中), 連突
ソニックストライク, 乱突
ソニックストライク(命中), 乱突
エレメンタルブラスト(準備), 魔法陣 緑 Charge.wav 背面
エレメンタルブラスト(攻撃), 魔法集中 緑 大
エレメンタルブラスト(命中), 炎 緑 sharara.wav;爆発
アースプライヤー, 魔法陣 緑 対象ユニットＩＤ 背面;回復魔法
ハーベスト, 魔法陣 緑 対象ユニットＩＤ 背面;回復魔法
キュアー, 魔法陣 緑 対象ユニットＩＤ 背面;回復魔法
エンジェルプライヤー(使用), @戦闘アニメ_フェイスアップ攻撃;魔法陣 緑 対象ユニットＩＤ 背面
エンジェルプライヤー(発動), 回復魔法
ウィンドウィスパー, 魔法陣 緑 対象ユニットＩＤ 背面;炎 白;防御力ＵＰ
# レッドスピリット
ふぁいあぼると(準備), 魔法陣 赤 Charge.wav
ふぁいあぼると, 火炎弾 青 Beam.wav
ふぁいあぼると(命中), 爆発
ふぁいあぼ～る(準備), 魔法陣 赤 Charge.wav
ふぁいあぼ～る, 火炎弾 赤 Beam.wav
ふぁいあぼ～る(命中), 爆発
ふれいむれ～ざ～(準備), 魔法陣 赤 Charge.wav
ふれいむれ～ざ～, 中ビーム 赤 Beam.wav
ふれいむれ～ざ～(命中), 爆発
いんふぇるの(準備), 魔法陣 赤 Charge.wav
いんふぇるの, 炎投射 赤 Beam.wav
いんふぇるの(命中), 炎 赤
あ～くふれあ(準備), 魔法陣 赤 Charge.wav
あ～くふれあ, ＭＡＰ炎 赤
あ～くふれあ(命中), 炎 赤
いんしねれ～と(準備), 魔法陣 赤 Charge.wav
いんしねれ～と, 炎投射 赤 Beam.wav
いんしねれ～と(命中), 炎 赤
らいとにんぐふぁいあ(準備), 魔法陣 赤 Charge.wav
らいとにんぐふぁいあ, 電撃 Beam.wav
らいとにんぐふぁいあ(命中), 爆発
いぐにっしょん(準備), 魔法陣 赤 Charge.wav
いぐにっしょん, 大ビーム 赤 Beam.wav
いぐにっしょん(命中), 火柱
あぽかりぷす(準備), 魔法陣 赤 Charge.wav
あぽかりぷす, 波動放射 レッド Beam.wav
あぽかりぷす(命中), 大落雷
すた～だすと(準備), 魔法陣 赤 大 Charge.wav
すた～だすと, 隕石 Storm.wav
すた～だすと(命中), 超爆発
はいぺりおんすたーず(準備), 魔法陣 赤 大 Charge.wav
はいぺりおんすたーず, フェイスアップ;衛星ビーム ASELIA_OruhaliruTheFlameofRegenerateU.bmp 青
はいぺりおんすたーず(命中), 超爆発
ファイアボルト(準備), 魔法陣 赤 Charge.wav
ファイアボルト, 火炎弾 赤 Beam.wav
ファイアボルト(命中), 爆発
ファイアボール(準備), 魔法陣 赤 Charge.wav
ファイアボール, 火炎弾 赤 Beam.wav
ファイアボール(命中), 爆発
フレイムレーザー(準備), 魔法陣 赤 Charge.wav
フレイムレーザー, 中ビーム 赤 Beam.wav
フレイムレーザー(命中), 中ビーム 赤;爆発
インフェルノ(準備), 魔法陣 赤 Charge.wav
インフェルノ, 炎投射 赤 Beam.wav
インフェルノ(命中), 炎 赤
アークフレア(準備), 魔法陣 赤 Charge.wav
アークフレア, ＭＡＰ炎 赤
アークフレア(命中), 炎 赤
インシネレート(準備), 魔法陣 赤 Charge.wav
インシネレート, 炎投射 赤 Beam.wav
インシネレート(命中), 炎 赤
ライトニングファイア(準備), 魔法陣 赤 Charge.wav
ライトニングファイア, 電撃 Beam.wav
ライトニングファイア(命中), 中ビーム 赤;爆発
イグニッション(準備), 魔法陣 赤 Charge.wav
イグニッション, 大ビーム 赤 Beam.wav
イグニッション(命中), 火柱
アポカリプス(準備), 魔法陣 赤 Charge.wav
アポカリプス, 波動放射 レッド Beam.wav
アポカリプス(命中), 大落雷
アポカリプスⅡ(準備), 魔法陣 赤 Charge.wav
アポカリプスⅡ, 波動放射 レッド Beam.wav
アポカリプスⅡ(命中), 大落雷
スターダスト(準備), 魔法陣 赤 大 Charge.wav
スターダスト, 隕石 Storm.wav
スターダスト(命中), 超爆発
スィング, 連斬撃
ダブルスィング, 白兵連撃
トリプルスィング, 白兵連撃
ファイアエンチャント(準備), 魔法集中 赤 小
ファイアエンチャント, 白兵連撃
# ブラックスピリット
ロウアーレジスト, 煙 白 
アイアンメイデン, 石柱 黒
テラー, 煙 黒 
ウィークン, 煙 橙
イニシャライズ(攻撃), ＭＡＰ地表衝撃波 白
イニシャライズ(クリティカル), 光噴出 白
マインドブレイク(準備), 炎 黒 Charge.wav
マインドブレイク, 中ビーム 黒 Beam.wav
マインドブレイク(命中), 光球放出 黒
ダークインパクト(準備), 炎 黒 Charge.wav
ダークインパクト, 中ビーム 黒 Beam.wav
ダークインパクト(命中), 爆発
カオスインパクト(準備), 炎 黒 Charge.wav
カオスインパクト, 中ビーム 黒 Beam.wav
カオスインパクト(命中), 爆発
ディバインインパクト(準備), 炎 黒 Charge.wav
ディバインインパクト, 中ビーム 黒 Beam.wav
ディバインインパクト(命中), 爆発
ブラッドラスト, 液体噴射 黒 
サクリファイス, 液体噴射 黒 Fold.wav
カウンターアタック, 日本刀突撃
居合の太刀, 日本刀突撃
居合の太刀(命中), 斬撃突撃
雲散霧消の太刀, 日本刀突撃
雲散霧消の太刀(命中), 斬撃乱舞
月輪の太刀, 日本刀突撃
月輪の太刀(命中), 斬撃乱舞
星火燎原の太刀, 日本刀突撃
星火燎原の太刀(命中), 斬撃乱舞
# その他味方
永遠神剣『時詠』, 斬撃武器 Anime\EFFECT_ASELIA_TimeComposed.bmp
永遠神剣『時果』, 斬撃武器 Anime\EFFECT_ASELIA_EndofTime.bmp
スウォードダンス(攻撃), 投擲武器 Anime\EFFECT_ASELIA_Familiar.bmp 32 速 残像
スウォードダンス(命中), 振る武器突撃 Anime\EFFECT_ASELIA_TimeComposed.bmp 斬撃;振り上げ;振り下ろし;振り上げ;振り下ろし
タイムアクセラレイト(準備), 時間
タイムアクセラレイト(攻撃), 投擲武器 Anime\EFFECT_ASELIA_Familiar.bmp 32 速 残像
タイムアクセラレイト(命中), 振る武器突撃 Anime\EFFECT_ASELIA_TimeComposed.bmp 斬撃;分身斬撃
クリティカルワン(準備), 時間
クリティカルワン(攻撃), 投擲武器 Anime\EFFECT_ASELIA_Familiar.bmp 32 速 残像
クリティカルワン(命中), @戦闘アニメ_フェイスアップ攻撃;振る武器突撃 Anime\EFFECT_ASELIA_TimeComposed.bmp 斬撃;分身斬撃;超斬撃
ビジョンズ(使用), 時間 対象ユニットＩＤ Flair.wav
ビジョンズ(発動), 回復魔法
タイムコンポーズ(使用), 時間 対象ユニットＩＤ Flair.wav
タイムコンポーズ(発動), 回復魔法
タイムシフト, @戦闘アニメ_振る武器準備 Anime\EFFECT_ASELIA_EndofTime.bmp;時間逆行;オーラ上昇 白;@ＳＰアニメ_覚醒 相手ユニットＩＤ
シールド防御(タイムトリップファン), 鉄扇
永遠神剣『因果』(準備), 振る武器 Anime\EFFECT_ASELIA_Karma.bmp
ゲイル, 斬撃武器 Anime\EFFECT_ASELIA_Karma.bmp
ワールウィンド, 斬撃武器 Anime\EFFECT_ASELIA_Karma.bmp
ワールウィンド(命中), 振り下ろし;振り上げ;大斬撃
トラスケード, 魔法陣 緑 対象ユニットＩＤ 背面;炎 緑 Charge.wav;防御力ＵＰ
シールド防御(オーラフォトンバリア), 結界 緑 BeamCoat.wav オーラフォトンバリア
永遠神剣『理想』, 斬撃武器 Anime\EFFECT_ASELIA_Idea.bmp
へイルストライク(攻撃), @戦闘アニメ_テレポート発動 -.wav " ";振り上げ;振り上げ;振り上げ;３ＷＡＹ射出
へイルストライク(命中), オールレンジ;斬撃;斬撃;斬撃
アイスクラスター(準備), @戦闘アニメ_振る武器準備 RingBeam\EFFECT_RingBeam(Green)03.bmp 48 Charge(High).wav
アイスクラスター(攻撃), -
アイスクラスター(命中), 氷塊落下
ハルシネイション(攻撃), @戦闘アニメ_テレポート発動 -.wav " ";振る武器突撃 Anime\EFFECT_ASELIA_Idea.bmp 斬撃
ハルシネイション(命中), 振る武器突撃 Anime\EFFECT_ASELIA_Idea.bmp 斬撃
パーチドジャッジメント(準備), 振る武器 RingBeam\EFFECT_RingBeam(Green)03.bmp 48 Charge(High).wav
パーチドジャッジメント(攻撃), -
パーチドジャッジメント(命中), 光噴出 白 Explode(High).wav
ピュリファイ, 魔法陣 白 対象ユニットＩＤ 背面;オーラ上昇 白;回復魔法
ナポリたんラッシュ, 格闘
ナポリたんラッシュ(命中), 乱打;強打
オーラフォトンビーム(準備), 魔法陣 白 背面;オーラ上昇 白
オーラフォトンビーム, ビーム 白
オーラフォトンビーム(命中), 爆発
Ｄ・Ｋ・Ｂ(攻撃), 透明化;回転投擲武器 ("Unit\" & Info(ユニット,対象ユニットＩＤ,グラフィック))
Ｄ・Ｋ・Ｂ(命中), スーパータックル;大爆発
健やかなる旋律(使用), 音符
健やかなる旋律(発動), 回復魔法
# 敵エトランジェ＆エターナル
永遠神剣『誓い』, 斬撃武器 Anime\EFFECT_ASELIA_Oath.bmp
オース, 斬撃武器 Anime\EFFECT_ASELIA_Oath.bmp
オーラフォトンレイ(準備), 魔法陣 白 背面
オーラフォトンレイ, 大ビーム 白
オーラフォトンレイ(命中), 大爆発
永遠神剣『世界』, シミター
ワールド, 斬撃乱舞
ワールド(命中), 大爆発
テンタクルスウォ－ド, ８ＷＡＹ射出
テンタクルスウォード(命中), オールレンジ;Slash.wav;Slash.wav;Slash.wav;Slash.wav
オーラフォトンブレイク(Ｍ)(準備), 魔法陣 白 背面
オーラフォトンブレイク(Ｍ), 超ビーム 白
オーラフォトンブレイク(Ｍ)(命中), 光噴出 白;大爆発
オーラフォトンブレイク(準備), 魔法陣 白 背面
オーラフォトンブレイク, 超ビーム 白
オーラフォトンブレイク(命中), 光噴出 白;大爆発
永遠神剣『秩序』(準備), 振る武器 Anime\EFFECT_ASELIA_Order.bmp
秩序の杖(準備), 振る武器 Anime\EFFECT_ASELIA_Order.bmp
秩序の杖(攻撃), ６ＷＡＹ射出
秩序の杖(命中), オールレンジ;Slash.wav;Slash.wav;Slash.wav;Slash.wav
神々の怒り, 魔法陣 緑 Charge.wav
神々の怒り(命中), 大落雷
攻撃無効化(秩序), @戦闘アニメ_振る武器準備 Anime\EFFECT_ASELIA_Order.bmp;結界 黄色
永遠神剣『無我』, 斬撃武器 Anime\EFFECT_ASELIA_Selflessness.bmp
空間断絶(準備), 振る武器 Anime\EFFECT_ASELIA_Selflessness.bmp
空間断絶(攻撃), 光球 黒 対象ユニットＩＤ
空間断絶(命中), @戦闘アニメ_結界発動 白 Flair.wav " ";大斬撃;大爆発
#限界突破(準備), 魔法陣 黒 大 Sharara.wav
#限界突破, 斬撃
#限界突破(命中), 大爆発
永遠神剣『不浄』, 鞭
不浄, 鞭突撃
永遠神剣『炎帝』, 魔法陣 赤
炎帝(準備), 魔法陣 赤 Charge.wav
炎帝, 炎長距離
炎帝(命中), 炎;爆発
炎帝＜Ｍ＞(準備), 魔法陣 赤 Charge.wav
炎帝＜Ｍ＞, ＭＡＰ炎の壁
炎帝＜Ｍ＞(命中), 炎;連続爆発
永遠神剣『流転』, 斬撃武器 Anime\EFFECT_ASELIA_Vicissitudes.bmp 二刀流
当て身技(『流転』), エネルギーフィールド展開 黒 BeamCoat.wav
流転, 振る武器 Anime\EFFECT_ASELIA_Vicissitudes.bmp 二刀流
流転(命中), 斬撃乱舞
# ホワイトスピリット
永遠神剣『禍根』, 斬撃武器 Anime\EFFECT_ASELIA_RootofEvil.bmp
エレクトロンブレード, 斬撃武器 Anime\EFFECT_ASELIA_RootofEvil.bmp
エレクトロンブレード(命中), 斬撃乱舞
ライトバースト, 拡散ビーム 白
ライトバースト(命中), 旋風
# 門番の龍
薙ぎ払う, なぎ払い
ファイアブレス, 大ビーム 赤 Beam.wav
ファイアブレス(命中), 爆発
アイスブレス, 大ビーム 青 Beam.wav
アイスブレス(命中), 爆発
ダークブレス, 大ビーム 黒 Beam.wav
ダークブレス(命中), 爆発
ネイチャーブレス, 大ビーム 緑 Beam.wav
ネイチャーブレス(命中), 爆発
フォトンブレス, 大ビーム 白 Beam.wav
フォトンブレス(命中), 超爆発
# スピたん由来武装
ネリープアタック, 斬撃
アルティメットアサルト(攻撃), 急降下
アルティメットアサルト(命中), 急降下 青 Slash.wav;大爆発
フローズンエンチャント, 凍斬撃
スプレマシースラスト(攻撃), 急降下
スプレマシースラスト(命中), 急降下 青 Slash.wav;大爆発
アブソリュートゼロ(準備), 振る武器 Anime\EFFECT_ASELIA_BlueSpiritSword.bmp
アブソリュートゼロ(攻撃), 泡球
ブラインドフューリー, 連斬撃
ヘヴンズスウォード改(準備), 羽; オーラ上昇 青
ヘヴンズスウォード改(攻撃), フェイスアップ; 斬撃; 斬撃; 斬撃
ヘヴンズスウォード改(命中), 振り下ろし; 振り上げ; クリティカル斬撃
エクステンション(準備), 魔法陣 赤 Charge.wav
エクステンション, 大ビーム 赤 Beam.wav
エクステンション(命中), 火柱
フルスィング, 白兵連撃
フレイムスイング(準備), 魔法集中 赤 小
フレイムスイング, 炎斬撃
フレイムエンチャント(準備), 魔法集中 赤
フレイムエンチャント, なぎ払い大炎斬撃
ジェントルストーム, 魔法陣 緑 対象ユニットＩＤ 背面;回復魔法
曙光(準備), 振る武器 Anime\EFFECT_ASELIA_GreenSpiritSpear.bmp;投擲武器  Anime\EFFECT_ASELIA_GreenSpiritSpear(Throw).bmp
曙光(攻撃), 投擲武器 Anime\EFFECT_ASELIA_GreenSpiritSpear(Throw).bmp
曙光(命中), 爆発
オーバーラン, 魔法陣 緑 対象ユニットＩＤ 背面;炎 白;攻撃力ＵＰ
鏡花水月の太刀, 日本刀突撃
鏡花水月の太刀(命中), 斬撃乱舞
光風斎月の太刀, 日本刀突撃
光風斎月の太刀(命中), 光球
奥義・一撃必殺, 日本刀突撃
奥義・一撃必殺(命中), 大斬撃












