ＨｉＭＥ
ミロク！(解説), $(パイロット)はミロクを地面に突き刺して攻撃をかけた。
幻影(解説), 聖ヴラスは幻影で攻撃をかけた。
幻覚能力(解説), ヴラスは幻覚能力で攻撃をかけた。
二三のチャイルド？(解説), 二三のチャイルド？は絵にも描けない美しい攻撃をかけた。
矛(解説), $(パイロット)は絵にも描けない美しい攻撃をかけた。
ホワイトラビット(解説), ホワイトラビットは持っていた武器で攻撃をかけた。
金色の光(解説), アリッサは髪を解いて金色の光を放った。
黄金の雷(解説), アルテミスは黄金の雷で攻撃をかけた。
アイザック(解説), アイザックは重力制御で攻撃をかけた。
１０Ｇ(解説), アイザックは重力制御で攻撃をかけた。
捕獲(解説), アイザックは捕獲攻撃をかけた。

黒曜の君
紙符・殴(解説), $(パイロット)は紙符を手に印を結んだ。
紙符・斬(解説), $(パイロット)は紙符を手に印を結んだ。
無数の腕(解説), 媛星のチャイルドは無数の腕で攻撃をかけた。
阻止(無数の腕)(解説), 媛星のチャイルドは無数の腕で$(対象ユニット使用武器)を防いだ。

藤乃静留＆清姫
粘液(解説), 清姫は粘液で攻撃をかけた。

光黙天＋ミロワール
攻撃無効化(シールド展開)(解説), 雪之の展開したシールドが攻撃を防いだ。
天誅ビーム(解説), 執行合体チャイルドは天誅ビームで攻撃をかけた。
反射レーザー(解説), 執行合体チャイルドはレーザーを反射して攻撃をかけた。
粛清フラッシャー(解説), 執行合体チャイルドは粛清フラッシャーで攻撃をかけた。
スーパー粛清フラッシャー(解説), 執行合体チャイルドはスーパー粛清フラッシャーで攻撃をかけた。
黙示録サンシャイン(解説), 執行合体チャイルドは黙示録サンシャインで攻撃をかけた。

アリッサ＝シアーズ＆メタトロン
メタトロン(解説), メタトロンは腕で攻撃をかけた。
衝撃波(解説), メタトロンは衝撃波で攻撃をかけた。
雷撃(解説), メタトロンは雷撃で攻撃をかけた。
地震(解説), メタトロンは地震で攻撃をかけた。

Ａ＝シアーズ＆サンダルフォン
サンダルフォン(解説), サンダルフォンは腕で攻撃をかけた。
衝撃波(解説), サンダルフォンは衝撃波で攻撃をかけた。
雷撃(解説), サンダルフォンは雷撃で攻撃をかけた。
冷気(解説), サンダルフォンは冷気で攻撃をかけた。

深優＝グリーア＆カマエル
カマエル(解説), カマエルは腕で攻撃をかけた。
衝撃波(解説), カマエルは衝撃波で攻撃をかけた。
雷撃(解説), カマエルは雷撃で攻撃をかけた。

玖我紗江子＆デュランデュラン
デュランデュラン(解説), デュランデュランは跳びかかって攻撃をかけた。
クロームカートリッジ(解説), デュランデュランはクロームカートリッジで攻撃をかけた。
プルトニウムカートリッジ(解説), デュランデュランはプルトニウムカートリッジで攻撃をかけた。

楯祐一＆玖我なつき＆鴇羽舞衣
攻撃無効化(炎の壁)(解説), 舞衣の炎の壁が攻撃を防いだ。
宝輪のエレメント(解説), 舞衣は宝輪のエレメントで攻撃をかけた。
銃のエレメント(解説), なつきは銃のエレメントで攻撃をかけた。

