
ＴＦ
変形(トランスフォーム), Transform.wav
六連レーザー砲(ボム)(準備), 瞬間変形 TFM_Bomb(V)U.bmp
六連レーザー砲(ボム)(攻撃), ニードルレーザー連射 緑
六連レーザー砲(ボム)(命中), ニードルレーザー連射 緑
ミサイル(ショット)(準備), 瞬間変形 TFM_Shot(V)U.bmp
ミサイル(ショット)(攻撃), ミサイル 1
ミサイル(ショット)(命中), 爆発
対空砲(クラック)(準備), 瞬間変形 TFM_Crack(V)U.bmp
対空砲(クラック)(攻撃), ミサイル 2
対空砲(クラック)(命中), 連続爆発 2
二連マシンガン(ダスター)(準備), 瞬間変形 TFM_Duster(V)U.bmp
二連マシンガン(ダスター)(攻撃), 機関銃
二連マシンガン(ダスター)(命中), 機関銃
スピンソー(ホイール)(準備), 突く武器 Unit\TFM_Wheel(V)U.bmp 32 Sword.wav
スピンソー(ホイール)(攻撃), 回転斬撃 Drill.wav
スピンソー(ホイール)(命中), 回転斬撃 Drill.wav
ドリル(クラッシュ)(準備), 突く武器 Unit\TFM_Crash(V)U.bmp 32 Sword.wav
ドリル(クラッシュ)(攻撃), ドリル
ドリル(クラッシュ)(命中), ドリル
クロー(リーコン)(準備), -
クロー(リーコン)(攻撃), 斬撃
クロー(リーコン)(命中), 爪撃
手裏剣(フレイム), 手裏剣
ガトリング砲(グライド), ガトリング
ミサイル(セイル)(準備), 瞬間変形 TFM_Sale(V)U.bmp
ミサイル(セイル)(攻撃), ミサイル 1
ミサイル(セイル)(命中), 爆発
ミサイル(ノット)(準備), 瞬間変形 TFM_Knot(V)U.bmp
ミサイル(ノット)(攻撃), ミサイル 1
ミサイル(ノット)(命中), 爆発
ミサイル(フロート)(準備), 瞬間変形 TFM_Float(V)U.bmp
ミサイル(フロート)(攻撃), ミサイル 1
ミサイル(フロート)(命中), 爆発
機銃(スパイク)(準備), 瞬間変形 TFM_Spike(V)U.bmp
機銃(スパイク)(攻撃), バルカン
機銃(スパイク)(命中), バルカン
牽引(ウインチ)(準備), 瞬間変形 TFM_Winch(V)U.bmp
牽引(ウインチ)(攻撃), フックロープ
牽引(ウインチ)(命中), 打撃 Reload.wav
ミサイルポッド(ドラフト)(準備), - Sword.wav
ミサイルポッド(ドラフト)(攻撃), ＭＡＰ小型ミサイル
ミサイルポッド(ドラフト)(命中), 連続爆発 2
ハンドガン(プロール), ビームライフル 緑
Ｗガトリングランチャー(ツイスト), 拡散ビームライフル 緑
ソニックミサイル(準備), 瞬間変形 TFM_Sonic(V)U.bmp
ソニックミサイル(攻撃), 小型ミサイル 1
ソニックミサイル(命中), 小爆発

アッパーパワーリンクス
ハイパーモード(アルマダコンボイ(S)), 変形 TFA_OptimusPrime(PL)(S)U.bmp Transform.wav
ハイパーモード(究極総司令官マグナコンボイ(S)), 変形 TFA_OptimusPrime(PL)(O)U.bmp Transform.wav
変形(究極総司令官マグナコンボイ), 変形 TFA_OptimusPrime(PL)U.bmp Transform.wav
変形(究極総司令官マグナコンボイ(V)), 変形 TFA_OptimusPrimeO(PL)(V)U.bmp Transform.wav
コンボイガン, ビームランチャー EFFECT_TFA_Convoygun(PL).bmp 32 赤
スパークアタック(準備), 瞬間変形 TFA_CoronaSparkplug(V)U.bmp
マックスファイヤー(準備), 決め画像 Unit\TFA_CoronaSparkplug(V)U.bmp Sword.wav 前面
プラズマブラスター, ビームランチャー EFFECT_TFA_Plasmablaster.bmp 32 赤

アンダーパワーリンクス
プラズマブラスター, ビームランチャー 赤

パワーリンクス
ハイパーモード(アルマダコンボイ(S)), Transform.wav
ハイパーモード(究極総司令官マグナコンボイ(S)), Transform.wav
変形(究極総司令官マグナコンボイ), Transform.wav
変形(究極総司令官マグナコンボイ(V)), Transform.wav
コンボイガン, ビームランチャー 赤
スパークアタック(準備), 瞬間変形 TFM_Prime(PL)(V)U.bmp
マックスファイヤー(準備), 決め画像 Unit\TFM_Prime(PL)(V)U.bmp Sword.wav 前面
プラズマブラスター, ビームランチャー 赤
バレルマシンガン, サブマシンガン
フルバーストモード(準備), 決め画像 TFM_Barrel(PL)(V)U.bmp Sword.wav 前面;瞬間変形 Unit\TFM_Fullburstmode(PL).bmp
エナジーブラスト(準備), 決め画像 Unit\TFM_Hook(PL)(V)U.bmp Sword.wav 前面
キャプチャーミサイル(準備), -
キャプチャーミサイル(攻撃), クロスボウ
キャプチャーミサイル(命中), 打撃 Reload.wav
ポイントブラスター, ビームライフル 赤
ジョルトガン, ビームライフル 赤
ジャイアントバズーカ(準備), 決め画像 Unit\TFM_Jolt(PL)(V)U.bmp Sword.wav 前面
ホットロッドジャンプ(準備), 決め画像 Unit\TFM_Jolt(PL)(V)U.bmp Sword.wav 前面;変形 Unit\TFM_HotrodJump(PL).bmp 32 Sword.wav
グリッドトランブル(準備), 瞬間変形 TFM_Grid(V)U.bmp
グリッドトランブル(攻撃), スーパーブーメラン 白
グリッドトランブル(命中), スーパーブーメラン 白
ウィングブレード, ビームサーベル 赤
ナル光線キャノン(準備), 決め画像 Unit\TFM_Grid(V)U.bmp Sword.wav 前面
サーチレーザー(準備), 瞬間変形 TFM_Search(PL)(V)U.bmp
アイアンミサイル(準備), 決め画像 TFM_Search(PL)(V)U.bmp Sword.wav 前面
ストームミサイル(準備), 決め画像 TFM_Canon(PL)(V)U.bmp Sword.wav 前面
キャノンレーザー(準備), 瞬間変形 TFM_Canon(PL)(V)U.bmp
サンダーミサイル(準備), 瞬間変形 Unit\TFM_Thunder(PL)(V)U.bmp
ウィング回転(準備), 決め画像 Unit\TFM_Thunder(PL)(V)U.bmp Sword.wav 前面;回転
フルバースト(準備), 決め画像 TFM_Barrel(PL)(V)U.bmp Sword.wav 前面

ジェットファイヤー
ミサイル, ミサイル 2
パルスレーザー(準備), -
パルスレーザー(攻撃), ニードルレーザー連射
パルスレーザー(命中), 連続爆発 4

ラチェット
キャプチャーミサイル(準備), -
キャプチャーミサイル(攻撃), クロスボウ
キャプチャーミサイル(命中), 打撃 Reload.wav
アークレーザー, 小ビーム 赤
ポイントブラスター, ビームライフル 赤
エナジーブラスト(準備), 決め画像 Unit\TFM_Hook(V)U.bmp Sword.wav 前面
エナジーブラスト(攻撃), シュートカッター 赤
エナジーブラスト(命中), シュートカッター 赤

ホットロッド
ジョルトガン, ビームライフル 赤
チェーンソーカッター(準備), -
チェーンソーカッター(攻撃), キック
チェーンソーカッター(命中), 斬撃 Drill.wav
ジャイアントバズーカ(準備), 決め画像 Unit\TFM_Jolt(V)U.bmp Sword.wav 前面
ジャイアントバズーカ(攻撃), スーパーミサイル
ジャイアントバズーカ(命中), 大爆発
ホットロッドジャンプ(準備), 決め画像 Unit\TFM_Jolt(V)U.bmp Sword.wav 前面;変形 Unit\TFM_HotrodtJump.bmp Transform.wav
ホットロッドジャンプ(攻撃), タックル
ホットロッドジャンプ(命中), 強打
ジャンプ(ホットロッドジャンプ), 変形 Unit\TFM_HotrodJump.bmp Sword.wav;瞬間変形

グラップ
オートフック(準備), -
オートフック(攻撃), フックロープ
オートフック(命中), 打撃 Reload.wav
ジャイアントクレーン, タックル
ロングランチャー(準備), 決め画像 Unit\TFM_Lift(V)U.bmp Sword.wav 前面
ロングランチャー(攻撃), 中ビーム 赤
ロングランチャー(命中), 中ビーム 赤
ハンドレーザー, 小ビーム 赤
ショベルアタック, タックル
スーパーショベルアタック(準備), 決め画像 Unit\TFA_Lift(PL)(V)U.bmp Sword.wav 前面
スーパーショベルアタック(攻撃), スーパータックル 赤
スーパーショベルアタック(命中), ダブル大斬撃
コスモテクター投擲, @戦闘アニメ_対象指定発射 対象ユニットＩＤ 相手ユニットＩＤ Shield\EFFECT_BeamShield(Yellow)01.bmp 32 Bazooka.wav 発光

デバスター
ドーザーキャノン(準備), 決め画像 Unit\TFM_Dart(V)U.bmp Sword.wav 前面
ドーザーキャノン(攻撃), 中ビーム 赤
ドーザーキャノン(命中), 中ビーム 赤
ドーザーバケット, タックル

シルバーボルト
ターボレーザー(準備), 瞬間変形 Unit\TFM_Turbo(V)U.bmp
ターボレーザー(攻撃), ニードルレーザー 緑
ターボレーザー(命中), ニードルレーザー 緑
ショルダーマインＲ, ＭＡＰ小型ミサイル
ショルダーマインＬ, ミサイル
スリークカノン, ビームライフル 赤
シルバーボルトジャンプ(準備), 決め画像 Unit\TFM_Turbo(V)U.bmp Sword.wav 前面;変形 Unit\TFM_SilverboltJump.bmp Transform.wav
シルバーボルトジャンプ(攻撃), タックル
シルバーボルトジャンプ(命中), 強打
ジャンプ(シルバーボルトジャンプ), 変形 Unit\TFM_SilverboltJump.bmp Sword.wav;瞬間変形

ステッパー
クロスダガー, ナイフ
クロスダガー・ガンモード, レーザーガン 黄
ジャイアントアッパー, スーパーパンチ 青
トレインモード, 決め画像 Unit\TFM_Char(V)U.bmp Sword.wav 前面;変形 TFM_Steiper(T)U.bmp 32 Sword.wav

メガトロン
ジャックナイフ, 刺突

ショックウェーブ
キャノンビーム砲, ２連中ビーム
サーフェイスカノン, 拡散ビーム

スタースクリーム
グリッドトランブル(準備), 瞬間変形 TFM_Grid(V)U.bmp
グリッドトランブル(攻撃), スーパーブーメラン 黒
グリッドトランブル(命中), スーパーブーメラン 黒
バルカン, バルカン
ウィングブレード, ビームサーベル 赤
ナル光線キャノン(準備), 決め画像 Unit\TFM_Grid(V)U.bmp Sword.wav 前面
ナル光線キャノン(攻撃), ２連中ビーム
ナル光線キャノン(命中), ２連中ビーム

アイアンハイド
サーチレーザー(準備), 瞬間変形 TFM_Search(V)U.bmp
サーチレーザー(攻撃), ２連小ビーム 緑
サーチレーザー(命中), ２連小ビーム 緑
フィンガーカノン, ニードルレーザー連射
アイアンミサイル(準備), 決め画像 TFM_Search(V)U.bmp Sword.wav 前面
アイアンミサイル(攻撃), ミサイル 2
アイアンミサイル(命中), 爆発 2

サンドストーム
ストームマシンガン, 機関砲
ストームミサイル(準備), 決め画像 TFM_Canon(V)U.bmp Sword.wav 前面
ストームミサイル(攻撃), ミサイル 2
ストームミサイル(命中), 爆発 2
キャノンレーザー(準備), 瞬間変形 TFM_Canon(V)U.bmp
キャノンレーザー(攻撃), 小ビーム 緑
キャノンレーザー(命中), 小ビーム 緑

ランページ
テレポート(瞬間移動), テレポート
ヘルファイヤー, 鉄パイプ 二刀流
ヘルファイヤーミサイル, ミサイル 2

スラスト
サンダーミサイル(準備), 瞬間変形 Unit\TFM_Thunder(V)U.bmp
サンダーミサイル(攻撃), 小型ミサイル 1
サンダーミサイル(命中), 小爆発
スカイショット, ニードルレーザー
ウィング回転(準備), 決め画像 Unit\TFM_Thunder(V)U.bmp Sword.wav 前面;回転
ウィング回転(攻撃), ＭＡＰ竜巻
ウィング回転(命中), 竜巻

ユニクロン
バグ軍団, ３ＷＡＹ射出
プラネットストライク, ミサイル 3
カオスブリンガー, 超ビーム 緑
雷撃, 大電撃
捕食, ＭＡＰブラックホール

ダブルフェイス
変形(秘密偵察員ダブルフェイス(V)), Transform.wav
ダブルミサイル, ミサイル 2
ガトリングマシンガン, 機関銃

スカージ
触手, 触手 黒

マイクロン・バグ軍団
レーザー砲, ニードルレーザー連射 緑

バンブル
スピードアタック(準備), -
スピードアタック(攻撃), ＭＡＰ移動タックル 緑
スピードアタック(命中), 爆発

ダークサイド
バリア, バリア

