### 銀河連邦警察 --------------------------------------------------------

宇宙刑事ギャバン
蒸着, -
脱出, どこにいるんです……父さん……
脱出, 逃げるが勝ち！
射程外, ここを戦場にしてはいけない！
射程外, いったいどこへ…！？
射程外, 卑怯者！
射程外, どこへ消えちまったんだ……どこへ！？
射程外, 殺気が薄れた…！
射程外(対宇宙犯罪組織マクー), それにしてもマクーめ！
射程外(対宇宙犯罪組織マクー), マクーめ。罠を張り巡らせてたな！
射程外(対宇宙犯罪組織マクー), マクーらしいやり方だ！
射程外(対宇宙犯罪組織マクー), やり方が汚いぞ、マクー！
射程外(対ハンターキラー), ハンターキラー！ 卑怯者！
射程外(対ハンターキラー), 出て来い！ ハンターキラー！！
射程外(対サン・ドルバ), 出て来い！ サンドルバ！！
射程外(対サン・ドルバ), サンドルバ！ どこだ！？
射程外(対ダブルモンスター), 出て来い！ ダブラー！！
攻撃, いくぞっ！！
攻撃, いくぜっ！！
攻撃, 今だ！
攻撃, よぉーし！
攻撃, よし、今だ！
攻撃, お前たちの思い通りには、させん！
攻撃, 逃がさん！
攻撃, そうはさせん！！
攻撃, 俺たちがいる限り、貴様の思い通りにはさせん！！
攻撃, 叩き潰すんだ！
攻撃(電子星獣ドル), ドル、発進！！
攻撃(電子星獣ドル), 急げ、ドル！
攻撃(電子星獣ドル), 電子星獣ドル、発進！！
攻撃(高次元戦闘車ギャビオン), ギャビオン、ゴー！！
攻撃(高次元戦闘車ギャビオン), ギャビオン、出動！！
攻撃(地中用戦闘車モグリラン), モグリラン、発進！！
攻撃(対ステルス), 消えた！？: レーザースコープ！
攻撃(対宇宙犯罪組織マクー), さあ来い！ マクー！
攻撃(対宇宙犯罪組織マクー), いくぞっ！ マクー！！
攻撃(対宇宙犯罪組織マクー), この悪魔ども！
攻撃(対宇宙犯罪組織マクー), マクー！！ 人の命を何だと思ってるんだ！！
攻撃(対宇宙犯罪組織マクー), やはりお前たちか！
攻撃(対宇宙犯罪組織マドー), マドーめ！
攻撃(対宇宙犯罪組織マドー), 好き勝手にはさせんぞ、マドー！
攻撃(対不思議界フーマ), フーマ！ 容赦しないぞ！
攻撃(対不思議界フーマ), 銀河の平和を、フーマに乱させはせん！
攻撃(対ドン・ホラー), 貴様がマクーの首領、ドン・ホラーか！
攻撃(対ドン・ホラー), ドン・ホラー！ いくぞっ！！
攻撃(対魔王サイコ), まさに不死身だ！
攻撃(対戦士サイコラー), まさに不死身だ！
攻撃(対ハンターキラー), ハンターキラー！！
攻撃(対ハンターキラー), 奴がマクーの仕掛け人なんだ！
攻撃(対サン・ドルバ), サンドルバ！！
攻撃(対サン・ドルバ), サンドルバ！ 勝負っ！！
攻撃(対サン・ドルバ), 貴様はサンドルバ！
攻撃(対魔女キバ), 魔女キバ！！
攻撃(対獣星人ダブルマン), 立て！ ダブルマン！！
攻撃(対サイダブラー), 右胸だ！
攻撃(対サーベルダブラー), 爪を恐れていてはやられてしまう！ 爪を攻めなくては！！
攻撃(対魔女モニカ), 君は、みんなが言うような、冷酷無残な女殺し屋じゃないはずだ！
攻撃(対暗黒銀河女王), 暗黒銀河女王！ 俺が、貴様の野望を打ち砕く！！
攻撃(対テンタクル怪人), 子供に対して何という残忍なことをするんだ！
攻撃(対オクトパス怪人), 子供に対して何という残忍なことをするんだ！
攻撃(対デスター怪人), 子供に対して何という残忍なことをするんだ！
攻撃(対エゴス怪人), また出てきたな、エゴス怪人！
攻撃(対エゴス怪人), いい加減にしたらどうだ、エゴス！
攻撃(対ベーダー怪物), デンジ星の人々の無念、俺たちが晴らす！
攻撃(対ベーダー怪物), 母さんが愛した地球を、ベーダーに汚させはせん！！
攻撃(対大地の拳魔マク), さあ来い！ マク！！
攻撃(対ネオ生命体ドラス), ドラス…！ 恐るべき怪物だ！
かけ声, 来たな！
かけ声, いくぞっ！！
かけ声, 今だ！
かけ声, よぉーし！
かけ声, よし、今だ！
かけ声, お前たちの思い通りには、させん！
かけ声, いくぜっ！！
かけ声, 逃がさん！
かけ声, そうはさせん！！
かけ声, 俺たちがいる限り、貴様の思い通りにはさせん！！
かけ声, 叩き潰すんだ！
かけ声(電子星獣ドル), ドル、発進！！
かけ声(電子星獣ドル), 急げ、ドル！
かけ声(電子星獣ドル), 電子星獣ドル、発進！！
かけ声(高次元戦闘車ギャビオン), ギャビオン、ゴー！！
かけ声(高次元戦闘車ギャビオン), ギャビオン、出動！！
かけ声(地中用戦闘車モグリラン), モグリラン、発進！！
かけ声(対ステルス), 消えた！？: レーザースコープ！
かけ声(対ステルス), 消えた！？: レーザースコープ！
かけ声(対ステルス), エレクトロソナー！
かけ声(対宇宙犯罪組織マクー), さあ来い！ マクー！
かけ声(対宇宙犯罪組織マクー), いくぞっ！ マクー！！
かけ声(対宇宙犯罪組織マクー), この悪魔ども！
かけ声(対宇宙犯罪組織マクー), マクー！！ 人の命を何だと思ってるんだ！！
かけ声(対宇宙犯罪組織マクー), やはりお前たちか！
かけ声(対宇宙犯罪組織マドー), マドーめ！
かけ声(対宇宙犯罪組織マドー), 好き勝手にはさせんぞ、マドー！
かけ声(対不思議界フーマ), フーマ！ 容赦しないぞ！
かけ声(対不思議界フーマ), 銀河の平和を、フーマに乱させはせん！
かけ声(対ドン・ホラー), 貴様がマクーの首領、ドン・ホラーか！
かけ声(対ドン・ホラー), ドン・ホラー！ いくぞっ！！
かけ声(対魔王サイコ), まさに不死身だ！
かけ声(対戦士サイコラー), まさに不死身だ！
かけ声(対ハンターキラー), ハンターキラー！！
かけ声(対ハンターキラー), 奴がマクーの仕掛け人なんだ！
かけ声(対サン・ドルバ), サンドルバ！！
かけ声(対サン・ドルバ), サンドルバ！ 勝負っ！！
かけ声(対サン・ドルバ), 貴様はサンドルバ！
かけ声(対魔女キバ), 魔女キバ！！
かけ声(対獣星人ダブルマン), 立て！ ダブルマン！！
かけ声(対サイダブラー), 右胸だ！
かけ声(対サーベルダブラー), 爪を恐れていてはやられてしまう！ 爪を攻めなくては！！
かけ声(対魔女モニカ), 君は、みんなが言うような、冷酷無惨な女殺し屋じゃないはずだ！
かけ声(対暗黒銀河女王), 暗黒銀河女王！ 俺が、貴様の野望を打ち砕く！！
かけ声(対テンタクル怪人), 子供に対して何という残忍なことをするんだ！
かけ声(対オクトパス怪人), 子供に対して何という残忍なことをするんだ！
かけ声(対デスター怪人), 子供に対して何という残忍なことをするんだ！
かけ声(対エゴス怪人), また出てきたな、エゴス怪人！
かけ声(対エゴス怪人), いい加減にしたらどうだ、エゴス！
かけ声(対ベーダー怪物), デンジ星の人々の無念、俺たちが晴らす！
かけ声(対ベーダー怪物), 母さんが愛した地球を、ベーダーに汚させはせん！！
かけ声(対大地の拳魔マク), さあ来い！ マク！！
かけ声(対ネオ生命体ドラス), ドラス…！ 恐るべき怪物だ！
ギャバンパンチ, ギャバンパンチ！！
ギャバンパンチ, ギャバン・パンチ！！
ギャバンパンチ, ギャバンパンチッ！ ちゅうっ！
ギャバンパンチ, ギャバン！ アッパーパンチ！！
ギャバンパンチ, ギャラクティカ・クラッシュ！！
シルバービーム, シルバービーム！！
シルバービーム, シルバービームッ！！
シルバービーム, ギャバン・ビーム！！
スパイラルキック, スパイラルキック！！
スパイラルキック, とうっ！！ スパイラルキック！！
スパイラルキック, ギャバンキック！！
スパイラルキック, ギャバンキック！！
スパイラルキック, ギャバンキック！！ とうっ！！
ディメンションボンバー, ディメンションボンバー！！
レーザーＺビーム, レーザー！ Ｚビーム！！
レーザーＺビーム(攻撃無効化), Ｚビームが効かない！？
ギャバンアッパーパンチ, ギャバン！ アッパーパンチ！！
ギャラクティカクラッシュ, ギャラクティカ・クラッシュ！！
スタチックショック, スタッチックショック！！
エレクトロフラッシュ, エレクトロフラッシュ！！
ギャバンショック, ギャバンショック！！
サイバリアンレーザー, サイバリアンレーザー！ 発射！！
サイバリアンレーザー, サイバリアン・レーザー！！
サイバリアンロケッター, サイバリアンロケッター！！
ドルギランレーザー, レーザー光線、発射！
ドルギランレーザー, レーザーサーチ！！
スクリューアタック, スクリューアタック！！
ドルキック, ドル・キック！！
ドルファイヤー, ドルファイヤー！！
ドルファイヤー, ドル・ファイヤー！！
ドルレーザー, ドルレーザー！！
ギャビオンミサイル, ギャビオンミサイル！！
ギャビオンミサイル, ギャビオン・ミサイル！！
ギャビオンレーザー, ギャビオン・レーザー！！
スクーパー, スクーパー出動！
スクーパー, エレクトロソナー！ スクーパー出動！
スクーパー, スクーパーーッ！！
スクーパーレーザー, スクーパーレーザー、発射！！
宇宙刑事連続斬り, -
サポートアタック, ちゅうっ！！
サポートアタック(宇宙刑事シャリバン), いいぞ、シャリバン！
サポートアタック(宇宙刑事シャイダー), シャイダー！ 後は俺が引き受けた！
サポートアタック(宇宙刑事アラン), ありがとう、アラン！
サポートガード, 下がれ！ とうっ！！
サポートガード, みんな怪我はないか！
サポートガード, もう大丈夫だ！
サポートガード, あまり危ない橋は渡らない方がいいと思うな
サポートガード, 俺のことなら心配いらないぜ。無敵のギャバンだ！
サポートガード, 今助けてやる！ ようし！
サポートガード(人間), 早く逃げろ！
サポートガード(人間), 早く安全な場所へ！
サポートガード(ミミー(ギャバン)), 俺はミミーを見殺しにはできない！
サポートガード(ミミー(ギャバン)), 気まぐれおてんば娘にも困ったもんだぜ！
サポートガード(ミミー(ギャバン)), まったく無茶をする奴だ！
サポートガード(宇宙刑事シャリバン), 下がれシャリバン！
サポートガード(宇宙刑事シャイダー), シャイダー、無事か！？
サポートガード(宇宙刑事アラン), アラン！ 大丈夫か！
サポートガード(宇宙刑事ボイサー), 父さんに指一本触れさせないぞ！
変形(宇宙刑事ギャバン(サイバリアン)), サイバリアァーーン！！
変形(宇宙刑事ギャバン(サイバリアン)), 逃がさん！ サイバリアーーン！！
ドルギラン, 超次元高速機！ ドルギラーーン！！
電子星獣ドル, 電子星獣ドルーーーッ！！
ギャビオン, ギャビオォォォーーン！！
忍耐(宇宙刑事ギャバン(ユニット)), バリアー！！
忍耐(宇宙刑事ギャバン(ユニット)), ギャバンバリアー！！
忍耐(宇宙刑事ギャバン(ユニット)), ギャバン！ フル・パワー！！

## (対盲属性), おああっ！？ 目がぁぁ…っ！！
## (対凍属性), このままでは……凍ってしまう…！

## 回避(対味方), みんなどうした！？ よせ！
## 攻撃(対味方), おい！ みんな目を覚ませ！
## 回避(対宇宙刑事シャリバン), よせ、やめろ！
## ダメージ小(対宇宙刑事シャリバン), 目を覚ませ！ 目を覚ませ、おい！
## 攻撃(対宇宙刑事シャリバン), どうしたんだ、シャリバン！？

## 攻撃, 父さん……あなたが命懸けで守り通した、この宇宙の平和を、これからは俺が守ります！ 見ていてください！
## かけ声, 父さん……あなたが命懸けで守り通した、この宇宙の平和を、これからは俺が守ります！ 見ていてください！
## ダメージ大, ぐぅ…っ！ 父さんも……父さんも、こうして頑張ったんだ！！



ミミー(ギャバン)
回避, やった！
回避, あー、びっくりした……
回避, あたしもう心臓が止まりそう…！
回避, うまくいくかしら？
回避, やっぱり予想した通りよ！
回避, 怖かった……
回避, どうしたのかしら……しきりと胸騒ぎがして……
回避, 私はバード星人よ。地球人より予知能力があるわ…！
ダメージ小, きゃあ！？
ダメージ小, いたぁ～い！ 何するのよ！
ダメージ小, 怒るわよ！
ダメージ小, 馬鹿にしないで！
ダメージ中, ああっ！？ ギャバン、何とかして！
ダメージ中, もう、大変……
ダメージ中, どうすればいいの、パパ？
ダメージ中, 今に取り返しのつかないことになるわ！
ダメージ中, どうしたのかしら…！？
ダメージ中(対ダブルモンスター), 恐ろしいダブラーよ…！
ダメージ大, バード星へ帰りたい……ギャバンと一緒に……
ダメージ大, やめて！ やめてぇーっ！
ダメージ大, ギャバン！ 助けて！
ダメージ大, ああっ！？ ギャバン！！
破壊, きゃあああーーーっ！！
破壊, 神様……ギャバンをお守りください……
脱出, 悪いけどゴメン！ お先に～！
射程外, どこへ消えてしまったのかしら…？
攻撃, えいっ！
攻撃, そこよっ！
攻撃, やぁっ！
攻撃(対テンタクル怪人), やめなさい！ 子供をいじめるなんて卑怯よ！
攻撃(対オクトパス怪人), やめなさい！ 子供をいじめるなんて卑怯よ！
攻撃(対デスター怪人), やめなさい！ 子供をいじめるなんて卑怯よ！
サポートアタック, 一人でどこへいくつもりなの？
サポートアタック, ひどいわ！ 私を置いてくなんて
サポートアタック(宇宙刑事ギャバン), ギャバン、あなたのいる場所はあたしのいる所！
サポートガード(宇宙刑事ギャバン), あっ、ギャバン！
サポートガード(宇宙刑事ギャバン), ギャバン！ しっかりしてギャバン！
サポートガード(宇宙刑事ギャバン), ギャバンを殺さないで！
サポートガード(宇宙刑事ギャバン), ギャバン、しっかりして！
変形(ミミー(インコ)), レーザー・ビジョン！
変形(ミミー(インコ)), ここから先は見つかると危険だわ…！
介抱, すぐに楽になるわ
介抱, ひどい目に遭ったわね



宇宙刑事アラン
回避, そうはいかん！
回避, フッ、甘いぞっ！
回避, それで狙ったつもりか？
回避, どこを狙っている？ それでは当たらないな
回避, 遅い！ 宇宙刑事を甘く見てもらっては困る！
回避, ！ そこかぁっ！
ダメージ小, 宇宙刑事アランを甘く見ないでもらおう！
ダメージ小, かすり傷程度ならば！
ダメージ小, この程度で私の邪魔をしないでもらおう！
ダメージ小, くっ！ 私の足止めが目的か！？
ダメージ小, ふっ 私には使命があるのだよ！
ダメージ中, 宇宙刑事アランはこの程度ではやられん！
ダメージ中, 私は使命を果たすためにここにいるのだ！
ダメージ中, くっ！ これで屈していては使命を果たせん！
ダメージ中, 私はまだ使命を果たしていない！
ダメージ中, 敵ながらなかなか！ しかし私には使命があるのだ！！
ダメージ大, ぐぁぁぁっ！ だ、だが私は倒れん！.倒れるわけにはいかん！
ダメージ大, 私には使命がある……ここでやられるわけにはいかない！
ダメージ大, この宇宙刑事アラン！ このようなところでやられるわけには！
ダメージ大, 私はまだ戻れない！ 使命を果たさねば！
ダメージ大, 私を待っているものがいる！ だから倒れるわけにはいかないのだ！
破壊, ぐぁぁぁぁっ！ ここで終わるのか！？
破壊, 使命を果たせず……とは！
破壊, なんということだ……
射程外, そんなところから攻撃とは……私が怖いのか？
射程外, 死角からか……敵ながらなかなかだ！
射程外, 敵ながらなかなかだが……かまっている暇はないのだ！
攻撃, 宇宙刑事アランだ！
攻撃, 宇宙刑事アラン！ 参上！
攻撃, 私の邪魔をしないでもらおう！
攻撃, こんなところでぐずぐずしている余裕はないのだ！
攻撃, そこをどいてもらおうか！
攻撃, 容赦はしない！
攻撃, 覚悟はできたか！
攻撃, 私は宇宙刑事！ 守るべき者のために戦う！
攻撃, 私の前に立つ以上……覚悟はいいな！
攻撃, 私の使命の邪魔をするというのなら……容赦はしない！
攻撃, 私は使命を果たさねばならんのだ！
攻撃(対宇宙犯罪組織マクー), 許さん！ マクー！
攻撃(対宇宙犯罪組織マクー), マクー討伐は全宇宙刑事の使命だ！
攻撃(対ワーラ(ギャバン)), リン王女を返してもらう！
攻撃(対ワーラ(ギャバン)), 王女の救出は、私の使命なんだ！
攻撃(対ワーラ(ギャバン)), 早く王女を連れて帰らないと、ビーズ星はマクーの植民地にされてしまう！
攻撃(対デストロン怪人), おやおや……どこの星にも悪党はいるものだ！
攻撃(対デストロン怪人), デストロンの改造人間、私が討つ！
攻撃(対仮面怪人), おやおや……どこの星にも悪党はいるものだ！
攻撃(対仮面怪人), 黒十字軍の侵略、宇宙刑事が許さん！
攻撃(対クライム), おやおや……どこの星にも悪党はいるものだ！
攻撃(対クライム), 宇宙刑事として、犯罪結社クライムの悪事を見過ごすわけにはいかん！
攻撃(対マシン獣), マシン獣は私が引き受けよう！
攻撃(対マシン獣), バラノイアの侵略、放っておけばいずれはビーズ星をも脅かす！
攻撃(対ダッカー), なるほど、なかなかの達人と見えるが……
攻撃(対ダッカー), ではこの国指折りの腕前とやら、見せていただこうか！
ハイパーモード(宇宙刑事アラン(宇宙服)), 宇宙刑事！ アラン！！




伊賀電(森林パトロール)
回避, たあーっ！！
回避, 危ないっ！
回避, 思ったとおりだ！
回避, こっちだ！
回避, ここだよ！
回避, おっと！ 誰かをお探しかい？
回避(対高命中率), もうお陀仏かと思った…
ダメージ小, 鳥たちが落ち着かないな…！
ダメージ小, しまった！
ダメージ小, ようし……敵がその気だったら、こっちも！
ダメージ小, 本気でかかってこいっ！
ダメージ小, よし、このまま一気にいくぞ！
ダメージ小, どうした！ さあ、もっとこいっ！
ダメージ中, タ、タンマ！ 待った！
ダメージ中, おわあっ！？
ダメージ中, 今に見てろよ！
ダメージ中, ようし……それなら！
ダメージ中, なんて奴だ…！
ダメージ中, 何者だ…！ いったい奴は！？
ダメージ中, こういう時は冷静に行動することが大事なんだ！
ダメージ中, こいつはちょっとおかしいな…！
ダメージ大, おわぁぁぁーーっ！？
ダメージ大, うわぁぁぁぁーーっ！！
ダメージ大, どうしたんだ！？ いったいどうなってるんだ！
ダメージ大, 負けてたまるか…！ 負けてっ！！
ダメージ大, 負けるものか…！ 俺は負けんぞ！！
破壊, うっ！？ うわぁぁぁーっ！！
脱出, 今度会ったら叩きのめしてみせるぜ！
脱出, 一時退却だ！
射程外, いったいどこへ消えてしまったんだ……
射程外, 視線を感じる……
攻撃, おまえ、密猟者だろう！
攻撃, 殺された動物たちに代わって、俺がやっつけてやる！
攻撃, 山を荒らす奴は許さん！
攻撃, とっ捕まえて、パンチを食らわしてやるんだ！
攻撃, さては……密猟者！
攻撃, 来たな！！
攻撃, いくぞっ！！
攻撃, どうなったって知らないぞ！
攻撃, 許さん！！
攻撃, 来いっ！！
攻撃, 俺はお前たちを許せない！ いくぞっ！！
攻撃, 何としても叩き出してやる！
攻撃, さあ来いっ！
攻撃, 逃がさん！

## 宇宙刑事になる前の電用メッセージ。シャリバンフォルダの電に付加してください。
// SetSkill 伊賀電 "メッセージ=伊賀電(森林パトロール)" -1




コム長官
回避, 油断するな
回避, 十分に警戒するんだ
回避, 何度戦っても結果は同じだ
回避, 狙いが散漫だ
ダメージ小, 無駄なことだ！
ダメージ小, 本気でかかってこい！
ダメージ小, そんなことでは通用せん
ダメージ小, この程度はかすり傷にすぎない
ダメージ小(対宇宙刑事), 打ち込みが甘い！ もっと切っ先にパワーを集中するんだ！
ダメージ中, これは厄介な事態になりそうだぞ……
ダメージ中, 手強い相手が敵に回ったな…！
ダメージ中, 焦っちゃあいけない…！
ダメージ中, なかなかやるじゃないか
ダメージ大, こんなことは初めてだ……
ダメージ大, まともに戦って倒すのは容易じゃない……
ダメージ大, 見事な腕だ…！
ダメージ大, 驚くべきパワーだ…！
ダメージ大(対宇宙犯罪組織マドー), 奴らは本気だ……私に復讐するつもりなんだ
破壊, おぉぉーっ！？
破壊(対宇宙刑事), そこまで！
破壊(対宇宙刑事シャリバン), よくやったぞ、シャリバン
射程外, 今、私が動くべきじゃない……
攻撃, ふん！
攻撃, 命懸けの戦いになるぞ
攻撃, 弱点を突くんだ！
攻撃, 臨戦態勢を取れ！
攻撃, そこだっ！
攻撃, とおーっ！
攻撃(対宇宙刑事), テストをしよう！
攻撃(対宇宙刑事), よし、次のテスト！
攻撃(対宇宙犯罪組織マクー), マクーの魔の手が伸びている！
攻撃(対宇宙犯罪組織マドー), 相手はマドーだ。気を許すな
サポートアタック, よく頑張った！
サポートガード(宇宙刑事ギャバン), 待てギャバン！
サポートガード(ミミー(ギャバン)), 落ち着くんだミミー
激励(対宇宙刑事ギャバン), 任せたぞ、ギャバン！




大山小次郎
回避, あぁ～！ 来たぁ、来たぁぁ～！？
回避, こないでっ、こないでぇ～！
回避, あぁ、出たぁ！？
回避, おぉおぉぉ！？ ………ビックリしたぁ～
回避, 出たぁぁ～～！？ 烈ッちゃぁぁ～ん！
回避, あぁ～……すンごい音したなぁ…！ なんだべ？
回避, やったやった！ やぁ～実に素晴らしい！
回避, 逃げろ！！ 逃げろ逃げろぉぉ～！？
回避, やったよやった！ くぅ～、やったやった！
回避, 出たァァァ～～～！！？
回避, おぉお！？ あ、あぶねぇなぁ……
回避, 見事なもんでしょ～
攻撃無効化, はぁ～すげぇもんだなぁ～～……
攻撃無効化, いやぁたまげだねぇオイ……
攻撃無効化, 何が起こったかさ～っぱりわからねぇ……
攻撃無効化, いやぁ～ビックリしたなぁたまげたなぁ……
攻撃無効化, 安心だ、安心！
ダメージ小, 無駄だ無駄だ、無駄だって！ おい無駄だよぉ～
ダメージ小, なんだァ、びっくりさせんなぁホント馬鹿にして……
ダメージ小, ホントにもぉ、わけわかんねぇなぁ～もぉ～……
ダメージ小, ちょっと離してくださいよぉ！？ ネェちょっと、お願い！
ダメージ小, な、なんだべこりゃ？
ダメージ小, ハハハハハハ、なんのなんの！
ダメージ小, なんだよぉ～、けたたましいなぁ。けたたましいよぉ
ダメージ小, やめろやめろ！ やめろって！
ダメージ中, あぁ！？ あいてて、ア痛い！？ あぁ～痛ぇ～……
ダメージ中, おいおい、なしてこうなるんだばよぉ……
ダメージ中, おぉ、ちょっと！？ 助けてくれぇ！ 助けてくれぇよぉ～！？
ダメージ中, あ～いてて！？ 足つっちゃったよ……
ダメージ中, 弱っちまったよぉ……どうしたらよかんべなぁ～…！
ダメージ中, 馬鹿力だなぁや……
ダメージ中, も～、たまんねぇよ！
ダメージ中, た～いへんだこりゃ…！
ダメージ中(水中), 僕ダメなんだよぉ～、泳げないんだよぉ～、カナヅチなんだよぉ～……
ダメージ大, もぉ～ヤッ！
ダメージ大, アいてェ！？ アァ、お母さ～～ん！
ダメージ大, あら！？ アイタタタタタ、誰か、救急車！ 救急車ぁぁ～！？
ダメージ大, 助けてぇぇ～！？ お母ちゃぁ～～ん！！
ダメージ大, 助けてくださいっ！ ゴメンなさいっ！ スイマセン！
ダメージ大, アハハハハハハ！？ お母ちゃ～～ん！！
ダメージ大, あぁ～！？ 助けてくれぇ～！！
ダメージ大(水中), やめて、ヤメテ！？ 溺れる溺れる！ 神様ぁぁぁ～！？
破壊, なしてぇ？ なしてだぁぁ～～…？
破壊, あぁ～ヤラレタ。やられちまった……
破壊, あ～いっぱい飛んでる。.ＵＦＯがいっぱい、あぁいっぱいだぁ～…！
破壊, サヨナラ、サヨナラァ～…….全宇宙の生命体よ、さよならぁ～～……
破壊, スイマセンでした……
射程外, アレぇ…！？
射程外, 宇宙人さぁ～ん……早く出てきてくださ～い……
射程外, 薄気味悪いなァおい……
射程外, いやぁ～こらどっち行ったらよかんべなぁ…？
攻撃, え～い、こんにゃろっ！
攻撃, さぁ、ＵＦＯちゃん出ておいで～
攻撃, この大山小次郎はねェ、宇宙のエキスパートなんだよ？
攻撃, 自分の体は自分で守らねば！
攻撃, あちょー！
攻撃(対ドクターポルター), べっぴんだなぁ～～……
攻撃(対神官ポー), べっぴんだなぁ～～……
攻撃(対神官ポー), ゾクゾクする色気だぁ…！
攻撃(対獣星人ダブルマン), こうなればねぇ、ＵＦＯだげでなくて、宇宙人まで写してやるんだ！
攻撃(対獣星人ダブルマン), さぁ～、乗ってきたど！ ちょっと、撮らせてネ？
攻撃(対獣星人ダブルマン), あ、宇宙人だ！ ちょっと、１枚撮らせて？
攻撃(対ベム怪獣), あぁ～！？ バケモンだ、バケモンだ！！
攻撃(対ベム怪獣), タヌキでもねぇ、サルでもねぇ……なんだべ？
攻撃(対ダブルモンスター), あぁ～！？ バケモンだ、バケモンだ！！
攻撃(対ダブルモンスター), タヌキでもねぇ、サルでもねぇ……なんだべ？
攻撃(対魔怪獣), あぁ～！？ バケモンだ、バケモンだ！！
攻撃(対魔怪獣), タヌキでもねぇ、サルでもねぇ……なんだべ？
攻撃(対魔怪獣ユーホービースト), これは、ＵＦＯだ！ ＵＦＯだ、ＵＦＯだ！
攻撃(対不思議獣), あぁ～！？ バケモンだ、バケモンだ！！
攻撃(対不思議獣), タヌキでもねぇ、サルでもねぇ……なんだべ？
サポートアタック, あぁ～～……じれってぇなぁ～！
サポートガード, 必ず助けに行くぞぉ！
サポートガード, 今行くぞぉ～！ 助けに行くぞぉ！
混乱, あぁ～……いい心持ちになってきたぞぉ～……
恐怖, 来ないで！ くるなっ！ ああああ、かあさ～～ん！！
恐怖, あぁ～！？ 死にたくないっ！ あああ～助けて！ 死にたくないよ～！？

## ダメージ中(対凍属性), なんだか、体が冷やっこいなぁ……
