
ＷＡ２
フォトスフィア, 10;Cannon.wav;Glass.wav
ドリルプレッシャー(命中), 1;Swing.wav;Drill.wav
ファランクス, Whiz.wav
ファランクス(命中), Explode.wav
ビートイングラム, 8;Charge.wav;Saber.wav
ビートイングラム(命中), Explode.wav
アカ＆アオ(命中), Punch.wav
レッドパワー, Whiz.wav
キュベレイ, 5;Computer.wav;Explode(Far).wav
アースガルズ(命中), Crash.wav
ルシファア, Beam.wav
ルシファア(命中), Explode.wav
アースガルズ２, 3;Explode.wav;3;Explode.wav;Explode.wav
攻撃無効化(対消滅バリア), BeamCoat.wav
アースガルズパンチ(命中), Crash.wav
体当たり(命中), Explode.wav
アンカー, Warship.wav
アンカー(命中), Crash.wav
ドラゴニックガン, Beam.wav
ドラゴニックガンブラスター, 5;Thunder.wav;Beam.wav
ウルフファング(命中), Saber.wav
ラストウルフファング(命中), Saber.wav
ブラックダッシュ(命中), Saber.wav
ラージムーン, Beam.wav
ゲートオブイゾルデ, Whiz.wav
#ゲートオブイゾルデ(クリティカル), Bubble.wav
魔剣「狂気山脈」(命中), 1;Swing.wav;Slash.wav
超次元穿刀爆砕, Whiz.wav
超次元穿刀爆砕(命中), Explode.wav
八十禍津日神招来, 3;Whiz.wav;3;Whiz.wav;3;Whiz.wav;Whiz.wav
八十禍津日神招来(命中), 3;Crash.wav;3;Crash.wav;3;Crash.wav;Crash.wav
魔鍵「ランドルフ」(命中), 1;Swing.wav;Punch.wav
アイアンセイヴァー(命中), 1;Swing.wav;1;Slash.wav;1;Slash.wav;Slash.wav
トロメアダイナマイト, 2;Swing.wav;2;Swing.wav;7;Swing.wav;5;Explode(Small).wav;Shock(Low).wav
トロメアダイナマイト(命中), Explode.wav
前転撃ち, Gun.wav
サイドワインダー, 8;Gun.wav;3;Saber.wav;Saber.wav
ダグラス, Rifle.wav
ミリアム, Gun.wav
二挺拳銃, 1;Gun.wav;Gun.wav
刹, 3;Saber.wav;3;Saber.wav;Saber.wav
刹(命中), 3;Slash.wav;3;Slash.wav;Slash.wav
ショックウェイブ, 1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;Saber.wav
ショックウェイブ(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;Slash.wav
自家製爆弾, Explode(Far).wav
博士の異常な爆弾, Explode(Far).wav
シェフの気まぐれ爆弾, Explode(Far).wav
銃, Rifle.wav
ブレード(命中), 1;Swing.wav;Slash.wav
怪光線, LaserGun.wav
リミッターオフ(準備), BeamSaber.wav
リミッターオフ(命中), 1;Swing.wav;Slash.wav
友情クロス, Swing.wav
友情クロス(命中), Crash.wav
ダンプカータックル(命中), Punch.wav
爆弾パンチ(命中), Explode.wav
対戦車パンチ(命中), Explode.wav
えびぞり大回転分身パンチ(命中), Explode.wav
パンチ(命中), Punch.wav
ポイゾンバブル, Bubble.wav
クロー(命中), Saber.wav
ポイズンブレス, AntiShipMissile.wav
生体ミサイル, 3;Missile.wav;Missile.wav
レッグクロー(命中), Saber.wav
高周波ブレード, Saber.wav
高周波ブレード(命中), Slash.wav
体当たり(命中), Punch.wav
テリブルシェイド, Whiz.wav
イービルクェーサー, Whiz.wav
殺獣メーザー, LaserGun.wav
自爆, Explode(Far).wav
メルトダウン, Explode(Far).wav
ニュークリアスフィア, Explode(Nuclear).wav
投石抗議, Swing.wav
投石抗議(命中), Punch.wav
びりびりギニャア～～～！, LaserGun.wav
学校の恐い胸像, Swing.wav
学校の恐い胸像(命中), Crash.wav
ぱちくりまわす(命中), Combo.wav
ソニックハゥル, LaserGun.wav
生体レーザー, LaserGun.wav
ライザンバー, Thunder.wav
リパルサーブラスト, Beam.wav
暴徒鎮圧, Explode.wav
シュヴァルツシュトラール, Explode.wav
ドリルドリッガー(命中), Drill.wav
アルカンシエル, Whiz.wav
アビリティバインド, Whiz.wav
メガクラッシャー(命中), Crash.wav
ダークスターボウ, Explode(Far).wav
ブルーライアット, LaserGun.wav
ハイペリオンインフェルノ, 5;Explode.wav;5;Explode.wav;Explode.wav
大気圏突入, 2;Explode.wav;2;Explode.wav;2;Explode.wav;2;Explode.wav;Explode.wav
ギャラクシアンエクスプロージョン, 10;FastGun.wav;Explode(Far).wav
死の翼(命中), Punch.wav
ネガティブフレア, Explode(Far).wav
ヴァーミリオンディザスター, Fire.wav
インパクトボマー, Explode.wav
木っ端微塵(命中), Explode.wav
ブラックノヴァ, Explode(Far).wav
一兆℃, Explode(Far).wav
###解説###
リフレッシュ(解説), $(ユニット)は$(相手ユニット)にリフレッシュを使用した。
リフレッシュ(解説)(対自分), $(ユニット)は自分にリフレッシュを使用した。
ガーディアンロア(解説), $(ユニット)はガーディアンロアで攻撃をかけた。
ファーストエイド(解説), $(ユニット)はファーストエイドを使用した。
ターンアンデット(解説), $(ユニット)はターンアンデットで攻撃をかけた。
ロックボルト(解説), $(ユニット)はロックボルトで攻撃をかけた。
グラビトン(解説), $(ユニット)はグラビトンで攻撃をかけた。
ウォーターガン(解説), $(ユニット)はウォーターガンで攻撃をかけた。
ディープサブマージ(解説), $(ユニット)はディープサブマージで攻撃をかけた。
レッドビュート(解説), $(ユニット)はレッドビュートで攻撃をかけた。
ナパームフレア(解説), $(ユニット)はナパームフレアで攻撃をかけた。
ソニッククロー(解説), $(ユニット)はソニッククローで攻撃をかけた。
テンペストエッジ(解説), $(ユニット)はテンペストエッジで攻撃をかけた。
ライトニング(解説), $(ユニット)はライトニングで攻撃をかけた。
プラズマバースト(解説), $(ユニット)はプラズマバーストで攻撃をかけた。
アイスビーム(解説), $(ユニット)はアイスビームで攻撃をかけた。
アークティック(解説), $(ユニット)はアークティックで攻撃をかけた。
アローフラッシュ(解説), $(ユニット)はアローフラッシュで攻撃をかけた。
ノヴァストリーム(解説), $(ユニット)はノヴァストリームで攻撃をかけた。
ブラックゲート(解説), $(ユニット)はブラックゲートで攻撃をかけた。
ダークネビュラ(解説), $(ユニット)はダークネビュラで攻撃をかけた。
アルカナ１３(解説), $(ユニット)はアルカナ１３で攻撃をかけた。
タナトスボーダー(解説), $(ユニット)は$(相手ユニット)にタナトスボーダーを使用した。
タナトスボーダー(解説)(対自分), $(ユニット)は自分にタナトスボーダーを使用した。
ヴァルキリー(解説), $(ユニット)はヴァルキリーで攻撃をかけた。
コズミックレイ(解説), $(ユニット)はコズミックレイで攻撃をかけた。
スピードダウン(解説), $(ユニット)はスピードダウンで攻撃をかけた。
ゴールデンハンマー(解説), $(ユニット)はゴールデンハンマーで攻撃をかけた。
ラッキーワード(解説), $(ユニット)は$(相手ユニット)にラッキーワードを使用した。
ラッキーワード(解説)(対自分), $(ユニット)は自分にラッキーワードを使用した。
ジャッジメントディ(解説), $(ユニット)はジャッジメントディで攻撃をかけた。
ブレイブランサー(解説), $(ユニット)はブレイブランサーで攻撃をかけた。
フルリペア(解説), $(ユニット)は$(相手ユニット)にフルリペアを使用した。
フルリペア(解説)(対自分), $(ユニット)は自分にフルリペアを使用した。
コンバイン(解説), プーカはミーディアムとコンバインし、.ガーディアンを具現化させた。
ハイコンバイン(解説), プーカはミーディアムとハイ・コンバインし、.ガーディアンを具現化させた。
キュベレイ(解説), $(ユニット)はキュベレイを呼び出した。
アースガルズ(解説), $(ユニット)はアースガルズを呼び出した。
ルシファア(解説), $(ユニット)はルシファアを呼び出した。
アースガルズ２(解説), $(ユニット)はアースガルズ２を呼び出した。
攻撃無効化(理解できないモノは拒絶)(解説), $(ユニット)は理解できないモノを拒絶したッ！
びりびりギニャア～～～！(解説), $(ユニット)は不思議な光線で攻撃をかけたッ！
