
古代戦士
### 共通 ###
ハイパーモード(仮面ライダークウガ・トライチェイサー), Engine.wav
超自然発火能力(攻撃), 粒子集中 赤 -.wav
超自然発火能力(命中), 炎 相手ユニットＩＤ
格闘, 格闘
拳, 打突
アルティメットアタック, 格闘
アルティメットキック, スーパーキック 赤
### 解説 ###
ライジングマイティキック(解説), 赤の金のクウガはライジングマイティキックで攻撃をかけた。
アメイジングマイティキック(解説), 黒の金のクウガはアメイジングマイティキックで攻撃をかけた。
Ｒスプラッシュドラゴン(解説), 青の金のクウガはライジングスプラッシュドラゴンで攻撃をかけた。
Ｒブラストペガサス(解説), 緑の金のクウガはライジングブラストペガサスで攻撃をかけた。
Ｒカラミティタイタン(解説), 紫の金のクウガはライジングカラミティタイタンで攻撃をかけた。
Ｒビートゴウラムアタック(解説), クウガは金のゴウラム合体ビートチェイサーボディアタックで攻撃をかけた。
空中ブラストペガサス(解説), $(ユニット)はゴウラムに掴まって、空中からブラストペガサスで攻撃をかけた。
空中Ｒブラストペガサス(解説), 緑の金のクウガはゴウラムに掴まって、空中からライジングブラストペガサスで攻撃をかけた。

ダブルＲカラミティタイタン
Ｒカラミティタイタン(準備), 放電 Thunder.wav;変形 RKG_MaskedRiderKuugaU(RisingTitan).bmp -.wav;_
                            　　振る武器 Weapon\EFFECT_SaintGreatSword01.bmp 40 発光 二刀流
Ｒカラミティタイタン(攻撃), なぎ払い
Ｒカラミティタイタン(命中), なぎ払い;2;@戦闘アニメ_刺突攻撃;2;@戦闘アニメ_刺突攻撃;3;刺突;刺突
Ｒカラミティタイタン(解説), $(ユニット)は二刀のライジングカラミティタイタンで攻撃をかけた。

ゴウラムパージ
ビートチェイサーアタック(準備), 変形 RKG_BTCS-2000(Mighty).bmp Whiz.wav
ビートチェイサーアタック(攻撃), 振る武器突撃 -.bmp Bike.wav
ビートチェイサーアタック(命中), 強打 Punch.wav


人間
筋弛緩弾, ピストル
特殊ガス弾, ピストル
コルトパイソン, ピストル
神経断裂弾, ピストル
神経断裂弾(命中), ピストル;連続爆発
強化型神経断裂弾, ピストル
強化型神経断裂弾(命中), ピストル;連続爆発

グロンギ怪人
爪, 爪撃
吸血, 噛み付き
吸血(命中), 噛み付き;吸収 赤
首折り, ジャンプ
首折り(命中), ダメージ
バヅーパンチ, 打突
バヅーキック, スーパーキック
バヅー返し, 急降下;斬撃
バヅー返し(命中), 急降下 相手ユニットＩＤ
怪力, 格闘
頭突き, 振る武器突撃 -.bmp
頭突き(命中), 強打 Crash.wav
突き, 刺突
毒針, ニードル
パンチ, 打突
体液爆弾, 火炎弾 黒
体液爆弾(命中), 爆発
ヒレカッター, 振る武器突撃 -.bmp
ヒレカッター(命中), 斬撃
噛み付き, 噛み付き
チェーン, チェーン
突き, 打突
野獣投げ, 格闘
野獣投げ(命中), 投げ飛ばし
毒胞子, ＭＡＰ煙 緑
胞子体内注入, 格闘
胞子体内注入, 吸収 緑 相手ユニットＩＤ
回し蹴り, なぎ払い
回し蹴り(命中), ダメージ
双鎌(準備), 変形 RKG_MeGarimaBaU(SK).bmp Sword.wav
双鎌, 斬撃
斬首(準備), 変形 RKG_MeGarimaBaU(SK).bmp Sword.wav
斬首(攻撃), Swing.wav
斬首(命中), 「…ふりむくな」
斬首(とどめ), 横分割
吹き矢, ニードル
バックナックル, 打突
氷結ムチ, 鞭
鋼鉄の雨【MAP】, 振り上げ
鋼鉄の雨【MAP】(命中), ベアリング
鉄拳, 打突
鋼鉄の雨, 振り上げ
鋼鉄の雨(命中), ベアリング
モーニングスター, メイス
二又槍投擲(準備), トライデント
二又槍投擲(攻撃), 投げ槍 Bomb.wav
二又槍投擲(命中), ロケットパンチ Weapon\EFFECT_Spear01.bmp Stab.wav
二又槍, トライデント
バギブソンブレイク, 振る武器突撃 -.bmp Bike.wav
バギブソンブレイク(命中), 強打 Crash.wav
バダーキック, スーパーキック
ジャックナイフホイール, 振る武器突撃 -.bmp Bike.wav
ジャックナイフホイール(命中), 強打 Crash.wav
バダーパンチ, 打突
バダー返し, 急降下;斬撃
バダー返し(命中), 急降下 相手ユニットＩＤ
４日殺し, クナイ
ダーツ,	クナイ
チョップ, 振り下ろし
チョップ(命中), ダメージ
殺人術, 格闘
付け爪,	爪撃
エルボーブレード, なぎ払い
ストレート, 格闘
体当たり, 格闘
メリケンサック, 打突
ハンマー, ハンマー




ゴ・ジャーザ・ギ(俊敏体)
銛, 投げ槍

ゴ・ジャーザ・ギ(剛力体)
銛(準備), 変形 RKG_GoJazaGi(S) Whiz.wav:投げ槍
銛, 投げ槍
剣, 大剣

ゴ・ガドル・バ
拳, 打突
ボウガン, ボウガン
ロッド(準備), 振る武器 Weapon\EFFECT_JewelRod(Black)01.bmp 32
ロッド(攻撃), 斬撃
ロッド(攻撃), なぎ払い
ロッド(命中), ダメージ Punch.wav
剣, 大剣
ゼンベキ・ギブブ(準備), 放電 Thunder.wav
ゼンベキ・ギブブ, スーパーキック 赤
ゼンベキ・ギブブ(とどめ), @戦闘アニメ_超爆発命中
