ＭＥＺＺＯ
COLT_GOVERMENT, ピストル
@戦闘アニメ_ピストル攻撃;@戦闘アニメ_ピストル攻撃;@戦闘アニメ_ピストル攻撃;銃弾;銃弾;銃弾
コンビネーションアーツ(命中), 打撃;@戦闘アニメ_キック攻撃;@戦闘アニメ_振り上げ攻撃;アッパー;@戦闘アニメ_急降下攻撃;透明化;_
@戦闘アニメ_ピストル攻撃;@戦闘アニメ_ピストル攻撃;@戦闘アニメ_ピストル攻撃;銃弾;銃弾;銃弾;急降下
暗殺術(準備), 仕込み刃
暗殺術(準備), フォーク
暗殺術(準備), テーブルナイフ
暗殺術(準備), ドス
暗殺術(準備), 出刃包丁
暗殺術(準備), カッター
暗殺術(準備), ナイフ
暗殺術(攻撃), 刺突
暗殺術(命中), 刺突
暗殺術(命中), 刺突突撃
暗殺術(命中), 連突
水圧攻撃(準備), 粒子集中 青
水圧攻撃(攻撃), 斬撃
水圧攻撃(命中), 凍斬撃
急襲(準備), @戦闘アニメ_急降下攻撃;透明化
急襲(攻撃), ワイヤー
急襲(命中), ワイヤー;乱打
急襲(とどめ), 横分割
自爆(準備), 決め文字 3;4;決め文字 2;4;決め文字 1;4;決め文字 0
自爆(命中), 大爆発
足止め射撃(準備), ピストル
足止め射撃(攻撃), ピストル;ピストル;ピストル
エンジェル(準備), フラスコ
エンジェル(攻撃), フラスコ;1;ＭＡＰ大爆発
