餓狼ＭＯＷ
ライジングタックル(命中), 3;Punch.wav;3;Punch.wav;Punch.wav
ジャスティスハリケーン(命中), 6;Drill.wav;Crash.wav
ダイダロスアタック(準備), Charge.wav
ダイダロスアタック, 6;Swing.wav;6;Swing.wav;Swing.wav
ダイダロスアタック(命中), 6;Crash.wav;6;Crash.wav;Crash.wav
ビッグフォールグリフォン(準備), Charge.wav
ビッグフォールグリフォン, 
ビッグフォールグリフォン(命中), 6;Missile.wav;10;Null.wav;12;Jet.wav;Crash.wav
ブラストチャージ(命中), 6;;Shock(Low).wav;Punch(2).wav
ヘルロースター, Swing.wav
ヘルロースター(命中), Explode(Small).wav
ヘルアレスト(命中), 4;Explode(Small).wav;4;Explode(Small).wav;Explode(Small).wav
ヘルスナイプ, Swing.wav
ヘルスナイプ(命中), Explode(Small).wav
ヘルトラップ(命中), 5;Punch.wav;4;BreakOff.wav;Explode.wav
ガトリングフリーザー, Swing.wav
ガトリングフリーザー(命中), 5;Explode(Far).wav;Fire.wav
ラッキーストライク(命中), 1;「<B><BIG>避けてみなっ！！</BIG></B>」;7;Punch(3).wav;Explode(small).wav;14;「<B><BIG>避けてみなっ！！</BIG></B>」;1;Explode(Far).wav;「<B><BIG>避けてみなっ！！.……爆破ぁっ！！</BIG></B>」
クリーピングデス(命中), 4;Saber.wav;4;Saber.wav;4;Saber.wav;Slash.wav
オーヴァーキル(命中), Saber.wav
フォビア(命中), 4;Slash(4).wav;Slash(4).wav
ナイトメア, Beam.wav
ナイトメア(命中), Saber.wav
クロウ, 4;Bow.wav;Whiz.wav
クロウ(命中), Slash.wav
Ｖ．Ｏ．Ｄ, Swing.wav
Ｖ．Ｏ．Ｄ(命中), Slash.wav;Slash.wav;Slash(4).wav
モービットエンジェル, 4;Bow.wav;Whiz.wav
モービットエンジェル(命中), 5;BreakOff.wav;1;Stab.wav;「<BIG>いいだろ？ ククク……</BIG>」
フルブラスト, Charge.wav
フルブラスト(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;Slash.wav
魔神岩(命中), Punch(3).wav
豪弾劾(命中), Bazooka.wav
剛裂衝(命中), Punch(2).wav
黒炎流, GunPod.wav
黒炎流(命中), Shock(Low).wav
凶鳥刃(命中), 5;Slash.wav;Punch.wav
魔神破天弾, Bazooka.wav
魔神破天弾(命中), Crash.wav
魔神円月輪, Swing.wav
魔神円月輪(命中), 3;Slash.wav;3;Slash.wav;3;Slash.wav;3;Slash.wav;Slash.wav
シュワルツ・モーント(命中), 4;Breakoff.wav;Fire.wav
シュワルツ・フレイム, Whiz.wav
シュワルツ・フレイム(命中), Fire.wav
シュワルツ・シュトゥース, Whiz.wav
シュワルツ・シュトゥース(命中), Explode(Small).wav
シュワルツ・ランツェ(命中), Explode(Small).wav
シュワルツ・パンツァー, Whiz.wav
シュワルツ・パンツァー(命中), Explode(Small).wav
ヒムリッシュ・ゼーレ, LaserGun.wav
ヒムリッシュ・ゼーレ(命中), FastGun.wav
ヒムリッシュ・アーテム, Beam.wav;Beam.wav;Beam.wav
ヒムリッシュ・アーテム(命中), Explode(Small).wav;Explode(Small).wav;Explode.wav
