智代アフター
ハイパーモード(成体化), 光噴出 白 Charge(High).wav
10連蹴り(攻撃), EvilEye.wav;@戦闘アニメ_フェイスアップ準備 坂上智代(智代アフター);サマーソルト;透明化 対象ユニットＩＤ;@戦闘アニメ_転移 Whiz.wav
10連蹴り(命中), アッパー;連打;連打;連打;超打 Crash.wav
最終兵器智代(発動), オーラ上昇 青 Fire.wav
二天一流(準備), Reload(4).wav
二天一流(攻撃), 振り上げ;振り下ろし
二天一流(命中), 振り上げ;振り下ろし
一刀両断(準備), Reload(4).wav
一刀両断(攻撃), 振る武器突撃 -.bmp;なぎ払い
一刀両断(命中), 超斬撃
一刀両断(とどめ), 横分割
槍の舞(準備), Reload(4).wav
槍の舞(攻撃), 乱突
槍の舞(命中), 乱突;振り上げ
ダガー(準備), Reload(4).wav
ダガー(攻撃), ナイフ突撃
ダガー(命中), 斬撃
バゼラード(準備), Reload(4).wav
バゼラード(攻撃), ショートソード突撃
バゼラード(命中), 斬撃
つば飛ばし(攻撃), Bow.wav;1;Bow.wav;1;Bow.wav
乱れ打ち(準備), Reload(4).wav
乱れ打ち(攻撃), 投げナイフ;投げナイフ;投げナイフ
乱れ打ち(命中), 連突
突風斬り(準備), 粒子集中 赤
突風斬り(攻撃), 透明化 対象ユニットＩＤ;@戦闘アニメ_転移 Whiz.wav
突風斬り(命中), スーパータックル 赤 Bow.wav;透明化 対象ユニットＩＤ 解除;8;大斬撃
高速ラッシュ(準備), Reload(4).wav
高速ラッシュ(攻撃), 振る武器突撃 -.bmp
高速ラッシュ(命中), @戦闘アニメ_なぎ払い攻撃;なぎ払い;@戦闘アニメ_振り上げ攻撃;振り上げ;@戦闘アニメ_振り下ろし攻撃;振り下ろし;@戦闘アニメ_斬撃攻撃;大斬撃
オメガドライブ(準備), オーラ上昇 赤 Charge.wav
オメガドライブ(攻撃), EvilEye.wav;@戦闘アニメ_フェイスアップ準備 河南子(智代アフター);斬撃;地表衝撃波 赤 Earthquake.wav
オメガドライブ(命中), ダメージ Warship.wav
独壇場(発動), オーラ上昇 赤 Fire.wav
スリープ(準備), 粒子集中 桃 Charge.wav
スリープ(攻撃), 煙 桃 Bubble.wav
スリープ(命中), -.wav
スタッフ, 杖
ファイアボール(準備), 粒子集中 赤 Hittyuu.wav
ファイアボール(攻撃), 気弾 赤 MicroMissile.wav
ファイアボール(命中), 炎 Fire.wav
ファイアボール×３(準備), 粒子集中 赤 Hittyuu.wav
ファイアボール×３(攻撃), 連気弾 赤 MicroMissile.wav
ファイアボール×３(命中), 炎 Fire.wav
ファイアボール×５(準備), 粒子集中 赤 Hittyuu.wav
ファイアボール×５(攻撃), 連気弾 赤 MicroMissile.wav
ファイアボール×５(命中), 炎 Fire.wav
サンダーストーム(準備), 粒子集中 黄 Hittyuu.wav
サンダーストーム(攻撃), 落雷 Explode.wav
サンダーストーム(命中), 落雷
サンダーストーム×２(準備), 粒子集中 黄 Hittyuu.wav
サンダーストーム×２(攻撃), ＭＡＰ落雷 Explode(Nuclear).wav
サンダーストーム×２(命中), 落雷
メテオ(準備), 六芒星 黒 Hittyuu.wav
メテオ(攻撃), EvilEye.wav;@戦闘アニメ_フェイスアップ準備 三島とも(成体)(智代アフター);光打ち上げ 黒 TransForm.wav
メテオ(命中), @戦闘アニメ_隕石攻撃;大爆発 Explode(Nuclear).wav
アタック(発動), 魔法集中 赤 Fire.wav
シールド(発動), 魔法集中 青 Sword.wav
スピード(発動), 魔法集中 緑 Storm.wav
ひとでアタック(準備), -.wav
ひとでアタック(攻撃), 振る武器突撃 -.bmp;斬撃
ひとでアタック(命中), 強打
ひとでライズド(準備), -.wav
ひとでライズド(攻撃), 回転投擲武器 EFFECT_TomoyoA_StarFish.bmp Swing.wav
ひとでライズド(命中), 強打
ひとでローリング(準備), -.wav
ひとでローリング(攻撃), 振る武器突撃 -.bmp
ひとでローリング(命中), -.wav
ひとでヒート(準備), -.wav
ひとでヒート(攻撃), Cheer1.wav;ＭＡＰ煙 -.wav
ひとでヒート(命中), -.wav
風子親衛隊(準備), -.wav
風子親衛隊(攻撃), 振り上げ Wind.wav;10;人形 FastGun.wav;人形 FastGun.wav;人形 FastGun.wav
風子親衛隊(命中), 連打 FastGun.wav
棍棒, 棍棒
力任せの一撃, 棍棒
力任せの一撃(命中), 強打
突進, タックル
振り回し(攻撃), 白兵回転
振り回し(命中), 強打
引っ掻き(攻撃), 振る武器突撃 -.bmp
引っ掻き(命中), 爪撃 連続
ヒール(発動), 回復魔法泡 Sharara.wav
ヒール×３(発動), 回復魔法泡 Sharara.wav




