
アレサＳＦＣ
#------攻撃魔法------
ファイアバーン(準備), ユニット変色 黄 BeamCoat.wav
ダクネス(準備), ユニット変色 黄 BeamCoat.wav
ダクネス, 光投射 黒
バプティ(準備), ユニット変色 黄 BeamCoat.wav
バプティ(攻撃), 粒子集中 紫
バプティ(命中), 光球放出 紫
ケーラ(準備), ユニット変色 黄 BeamCoat.wav
ケーラ(攻撃), 五芒星 赤
ケーラ(命中), 飛沫 赤
スリープ(準備), ユニット変色 黄 BeamCoat.wav
スリープ, 音波
クァネフィー(準備), ユニット変色 黄 BeamCoat.wav
クァネフィー(発動), 回復魔法泡
#------その他------
ホールドアイ(攻撃), 邪眼瞬き 黒 黄
ストーンズアイ(攻撃), 邪眼瞬き 黒 白
パラライズガス, 煙噴射
体当たり, 格闘
棍棒, 棍棒
トリプルブロウ, 連打
カット／１．５, クリティカル斬撃
パラライズカット, 斬撃
ダブルカット, 連斬撃
大顎, 格闘
粘液, 液体噴射 緑
触手, 触手 橙
分身(分身トリック), 分身
分身トリック, ユニット変色 白 Hide.wav
催眠波, 虹色必殺光線
格闘, 打突
ホールドコイル, 触手 赤
爪, 爪撃
剣, 剣
メイス, モール
ボディプレス(攻撃), ジャンプ;地面衝撃 対象ユニットＩＤ
ボディプレス(命中), ダメージ
腕振り回し, スピンアタック 黄
ツウィンテイル, 格闘
双剣, サーベル 二刀流
薙ぎ払い, 横大斬撃
デスカット, 黒斬撃
ＨＰハーフ, ＭＡＰオーラ 緑
ヘル・ザ・ホール, ＭＡＰオーラ 赤
ダーク・リバース, ＭＡＰオーラ 青
触腕, 触手 橙
乱打, 多触手 橙
叫び声, ＭＡＰ風
噛み付き, 噛み付き
ガスブレス, 粒子噴射 黄
ファイアブラスト, 火炎放射
ダークローム, 必殺光線 黒
ハサミ, 斬撃
尻尾, 格闘
スリープパウダー, 粒子噴射 白
ドレインファング, 吸収
マインド・キル, ＭＡＰフラッシュ 紫
ハードラッシャー, 横大斬撃
ゼディアス, 連斬撃
パライザー, 斬撃
デッドスラッシュ, 斬撃乱舞
ダブルナックル, 打突;打突
グレア・アイ, フラッシュ 黄
ショルダーカノン, 大キャノン砲
カマ, 斬撃
ホールディヘアー, 触手乱舞 紫
ラウドファイア, 炎長距離
ライオット, 大落雷
バーニンラッシュ, 乱打
ディエンクローズ, 旋風 黒
グレア・フェンド(攻撃), 全拡散ビーム 紫;ＭＡＰ炎
グレア・フェンド(命中), 炎
バイタルリターン, ＭＡＰフラッシュ
エナジードレイン, ＭＡＰ発光 赤

