リーフキャラ
ジャンプ, 2;Stairs(Run).wav;Swing.wav
魔物の槍(命中), Stab.wav
火炎輪, Fire.wav
灼熱地獄, Storm.wav
死の言葉, BeamCoat.wav
死神のカマ, Saber.wav
死神のカマ(命中), Slash.wav
操り人形(命中), Slash.wav
夢心地, Whiz.wav
夢心地(命中), -.wav
夢心地(クリティカル), PowerDown.wav
額縁(命中), Punch.wav
突風, Storm.wav
突風(命中), Crash.wav
エナジードレイン, -.wav
エナジードレイン(命中), Whiz.wav
ネコだまし, Snap.wav
ネコひっかき, Saber.wav
ネコひっかき(命中), Slash.wav
ネコジャンプ, 2;Stairs(Run).wav;Swing.wav
ネコジャンプ(命中), Slash.wav
ネコ乱舞, -.wav
ネコ乱舞(命中), Combo.wav
アーマータックル(命中), Crash.wav
突撃！！, 1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav
突撃！！(命中), Crash.wav
スペル, Whiz.wav
聖なる剣, Swing.wav
聖なる剣(命中), Slash.wav
封印の壺(命中), Sharara.wav
マナブースト, 1;Shock.wav;Whiz.wav
天使銃, Whiz.wav
光の波動, LaserGun.wav
ライトボウ, 1;Glass.wav;Bazooka.wav
オーラブレード, Swing.wav
オーラブレード(命中), Slash.wav
ラインクルス, 1;Glass.wav;Bazooka.wav
フィルスソード, Swing.wav
フィルスソード(命中), Sword.wav
シャインクルス, Storm.wav;8;精神コマンド\gekirei[05-08].bmp 640 480 透過;Falir.wav;1;White.bmp 640 480;Clear
巻き付け, Whip.wav
巻き付け(命中), Sword.wav
オーラウィップ, Whip.wav
オーラウィップ(命中), Saber.wav
コルドット, Whiz.wav
コルドット(命中), Glass.wav
ムチの嵐, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
ムチの嵐(命中), 1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;Whip.wav
ダルコルド, Storm.wav
ダルコルド(命中), Glass.wav
オーラスタッフ, Punch.wav
ウィンド, Saber.wav
ヒダラド, Whiz.wav
ヒダラド(命中), Fire.wav
ウィルドバーン, MicroMissile.wav
ダルヒダラ, Storm.wav
ダルヒダラ(命中), Fire.wav
ダルウィン, MultipleRocketLauncher(Light).wav
凍結, Whiz.wav
凍結(命中), Glass.wav
烈風, Storm.wav
炎獄, Fire.wav
触手, Swing.wav
触手(命中), Whip.wav
腕, Swing.wav
腕(命中), Shock(low).wav
精神破壊, Whiz.wav
精神破壊(命中), Glass.wav
絶対零度, Storm.wav
絶対零度(命中), Glass.wav
アストラルウインド, Storm.wav
精神攻撃, Whiz.wav
精神攻撃(命中), Glass.wav
熱攻撃, 8;Charge.wav;Explode(Nuclear).wav
物理攻撃, 1;Shock(low).wav;1;Shock(low).wav;Shock(low).wav
物理攻撃(命中), Explode(Nuclear).wav
光弾, BeamShot.wav
熱線, Beam.wav
レーザー, LaserGun.wav
インフィニティ・スパイク, 7;Charge.wav;Inori.wav
インフィニティ・スパイク(命中), Explode(Far).wav
鬼神楽, Stairs(Run).wav
鬼神楽(命中), 4;Crash.wav;1;Explode.wav;1;Explode.wav;1;Explode.wav;1;Explode.wav;1;Explode.wav;Explode(Nuclear).wav
先輩ラヴラヴ, Storm.wav
先輩ラヴラヴ(鬼), Storm.wav
連携コンビネーション(命中), Combo.wav
アローウェイブ, 8;Storm.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;Bow.wav
アローウェイブ(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;Stab.wav
アローウェイブ(豹変), 8;Storm.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;Bow.wav
アローウェイブ(豹変)(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;Stab.wav
ナインヘル, 7;LaserGun.wav;1;White.bmp 480 480;1;Clear;Explode(Nuclear).wav
Ｒトライアングル, Thunder.wav

汎用
自己流パンチ, Swing.wav
自己流パンチ(命中), Punch.wav
真剣勝負, Flair.wav
真剣勝負(命中), Explode.wav
主役の意地, Glass.wav;1;White.bmp 480 480;Clear
主役の意地(命中), 1;Shock(low).wav;inori.wav
真・主役の意地, Glass.wav;1;White.bmp 480 480;Clear
真・主役の意地(命中), 1;Shock(low).wav;inori.wav
真・主役の意地(鬼), Glass.wav;1;White.bmp 480 480;Clear
真・主役の意地(鬼)(命中), 1;Shock(low).wav;inori.wav

