ＢＡＳＴＡＲＤ
シールド防御, BeamCoat.wav
封獄死霊砲, AntiShipMissile.wav
盲死荊棘獄(準備), Charge(Long).wav
盲死荊棘獄, Fold.wav
盲死荊棘獄(クリティカル), Whip.wav
むぁじっっくアイテム, Crash.wav
爆龍勁, Warship.wav
究極二等分断破(命中), Shock(Low).wav
秒殺閃空地獄極楽断, FlyBy.wav
秒殺閃空地獄極楽断(命中), 7;Slash.wav;7;Slash.wav;3;Swing.wav;7;Slash.wav;22;Explode(Far).wav
白蓮棍(命中), 2;Swing.wav;2;Punch.wav;Punch.wav
式蜘蛛邪骸食, 1;Bow.wav;1;Bow.wav;3;Shock(Low).wav;Shock(Low).wav
式蜘蛛邪骸食(命中), 2;Stab.wav;2;Stab.wav;Stab.wav
羅王赤熱円舞, 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;Fire.wav
羅王赤熱円舞(命中), Explode.wav
焦熱波, BeamShot.wav
炸裂剣(準備), BeamSaber.wav
妖撃百裂斬, FastGun.wav
妖撃百裂斬(命中), 1;Stab.wav;2;Slash.wav;1;Stab.wav;2;Slash.wav;1;Slash.wav;Stab.wav
攻殻鬼動剣(準備), BeamSaber.wav
吸血(命中), 2;Stab.wav;2;Stab.wav;Stab.wav
大回転吸血破壊光線, 2;LaserGun.wav;2;LaserGun.wav;2;LaserGun.wav;LaserGun.wav
超最強吸血破壊砲(準備), Charge(long).wav
超最強吸血破壊砲, Breath.wav

侍
鋼雷破弾, 1;Beam.wav;Beam.wav
焦熱波, BeamShot.wav
炸裂剣(準備), BeamSaber.wav
烈氷破弾, Whiz.wav
鍔鳴り(命中), 2;Swing.wav;Slash.wav
蝶舞阿修羅斬(準備), Wind.wav
蝶舞阿修羅斬(命中), 2;Slash.wav;1;Slash.wav;2;Slash.wav;Slash.wav
黒夜叉(命中), 2;Swing.wav;Slash.wav
不動冥王剣(命中), 1;Slash.wav;3;Slash.wav;Shock(Low).wav
真鋼割り(命中), 2;Swing.wav;Slash.wav
増長天金剛撃(命中), 2;Swing.wav;Bazooka.wav
士魂極真闘技(準備), Fire.wav
士魂極真闘技(命中), Explode(Nuclear).wav
狼牙(命中), 2;Swing.wav;Slash.wav
伐折羅黒狼剣, Bazooka.wav
ザンボ・トライデント(命中), 2;Swing.wav;Stab.wav

魔戦将軍
攻撃無効化, BeamCoat.wav
夜攘帝王剣, Saber.wav
夜攘帝王剣(命中),  3;Slash.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav
超・震空裂破, Saber.wav
超・震空裂破(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;Slash.wav
飛翔Ｖの字斬り, Bazooka.wav
飛翔Ｖの字斬り(命中), 2;Swing.wav;4;Slash.wav;Slash.wav
黒い断頭台(準備), AntiShipMissile.wav
黒い断頭台, 2;Swing.wav;Saber.wav
黒い断頭台(命中), Slash.wav
烈壊怒号撃滅破, 3;Swing.wav;2;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;Saber.wav
烈壊怒号撃滅破(命中), 1;Shock(Low).wav;Shock(Low).wav
火竜砲突撃破, Cannon.wav
火竜砲突撃破(命中), 2;Crash.wav;2;Crash.wav;Crash.wav
ブレード・ホイール, Charge(High).wav
ブレード・ホイール(命中), 3;Slash.wav;3;Slash.wav;3;Slash.wav;Slash.wav
ワルダーパンチ(命中), 2;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav;Punch.wav
ワルダーキック(命中), Bazooka.wav
ワルダードライバー(命中), Drill.wav
極上メテオドライヴァー(準備), BeamSaber.wav
極上メテオドライヴァー, Bazooka.wav
極上メテオドライヴァー(命中), 1;Shock(Low).wav;1;Shock(Low).wav;1;Shock(Low).wav;1;Shock(Low).wav;Shock(Low).wav
Ｔ．Ｅ．Ｏ．Ｓ．Ｖ(準備), 2;Reload.wav;Reload.wav
Ｔ．Ｅ．Ｏ．Ｓ．Ｖ, Hittyuu.wav
Ｔ．Ｅ．Ｏ．Ｓ．Ｖ(命中), LaserGun.wav
ケイジングプリズナー, MultipleRocketLauncher.wav
ケイジングプリズナー(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;Slash.wav
カゲヌイ, 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;Bow.wav
飛苦無, 1;Bow.wav;1;Bow.wav;Bow.wav
飛苦無(命中), Stab.wav
影道冥王斬, Fold.wav
影道疾風斬, Swing.wav
影道疾風斬(命中), 4;Stab.wav;4;Slash.wav;Slash.wav
影道魔神霊, Fold.wav
人形使い, 1;Saber.wav;2;Saber.wav;2;Saber.wav;1;Saber.wav;Saber.wav
妖斬獄縛陣, 2;Saber.wav;1;Saber.wav;1;Saber.wav;2;Saber.wav;Saber.wav
妖斬糸, 3;Saber.wav;1;Saber.wav;Saber.wav
妖斬糸(命中), 3;Slash.wav;Slash.wav
羅糸千方陣, 3;Saber.wav;1;Saber.wav;2;Saber.wav;1;Saber.wav;Saber.wav
羅糸千方陣(命中), 3;Slash.wav;1;Slash.wav;Slash.wav
妖斬億裂羅糸, 1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;Saber.wav
妖斬億裂羅糸(命中), 1;Slash.wav;1;Slash.wav;Slash.wav
法裂蛇咬斬, AntiAirMissile.wav
法裂蛇咬斬(命中), Stab.wav
死壊食腕溶蟲, AntiAirMissile.wav
魔鬼血蟲, AntiShipMissile.wav
剛力斥力鬣蛆, Bazooka.wav
虫嵐(準備), Door(Open).wav
虫嵐, MicroMissile.wav
虫嵐(命中), 1;BreakOff.wav;1;BreakOff.wav;1;BreakOff.wav;1;BreakOff.wav;BreakOff.wav
炸裂光弾(準備), BeamSaber.wav
炸裂光弾, 1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;BeamShot.wav
超重力子弾, Whiz.wav
超重力子弾(命中), Shock(Low).wav
輪舞斥力断百花繚乱, 3;Whiz.wav;3;Whiz.wav;3;Whiz.wav;Whiz.wav
輪舞斥力断百花繚乱(命中), 3;Shock(Low).wav;3;Shock(Low).wav;3;Shock(Low).wav;Crash.wav
次元刀(命中), Slash.wav
ラ・セーヌ(命中), 2;Swing.wav;Stab.wav
大次元斬(命中), Slash.wav
大殺界次空裂断(命中), 1;Slash.wav;1;Slash.wav;Slash.wav
神踏踏(準備), Snap(E).wav
神踏踏, Shock(Low).wav
神踏踏(命中), Crash.wav
撃放冷凍公女(準備), Snap(E).wav
撃放冷凍公女, Storm.wav
撃放冷凍公女(命中), Glass.wav
魔道開門, Snap(E).wav
瘴気の沼(クリティカル), Fold.wav
ざわめく妖樹(クリティカル), Search.wav
睡魔の茂み(クリティカル), PiyoPiyo.wav
吸精の宿り木(クリティカル), PowerDown.wav
緊縛の蔦(クリティカル), Whip.wav
蠱惑の泉(クリティカル), Sharara.wav
