
ギルティギア
ナパームデス(解説), $(パイロット)はギアの力の一部を解放し、.$(武器)で攻撃をかけた。
刺激的絶命拳(命中)(解説), 死角からのカンチョーが.$(相手パイロット)を襲った……！
#刺激的絶命拳(命中)(解説), 死角からのカンチョーが.$(相手パイロット)を襲ったアッー！
な×４にがでるかな！(解説), $(パイロット)は懐から取り出したアイテムを連続で投げつけた。
今週のＹＡＭＡＢＡ(命中)(解説), そして世界は核の炎に包まれた(？)
ディバインブレイド(解説), $(パイロット)は$(相手パイロット)の頭上で.火炎瓶を斬り落とした。
ミストファイナー(解説), $(パイロット)は一瞬の構えの後、目にも留まらぬ速さで抜刀した。
雲長の居合(解説), $(パイロット)は飛びかかりつつ、.目にも留まらぬ速さで抜刀した。
「それが俺の名だ」(解説), $(パイロット)は一瞬の構えの後、目にも留まらぬ速さで抜刀した。
「それが俺の名だ」(命中)(解説), 一瞬の内に$(相手パイロット)に『Ｊ』の剣閃が刻み込まれた。
木の実をとる時に……(解説), $(パイロット)は.木の実をとる時に使ってたんですで攻撃をかけた。
はじめはただの明かり……(解説), $(パイロット)は.はじめはただの明かりだったんですで攻撃をかけた。
よく話し相手に……(解説), $(パイロット)は.よく話し相手になってくれますで攻撃をかけた。
オールデッド(命中)(解説), $(パイロット)は$(相手パイロット)を.殴り飛ばしながら優雅にHAIKUを詠み上げた。
焼成(解説), $(パイロット)は輸血パックの血液をパラケルスに与え、諸刃モードになった。
変質(解説), $(パイロット)は輸血パックの血液をパラケルスに与え、極諸刃モードになった。
無知の闇(解説), $(パイロット)の背後から突如として巨大な扉が出現した。
無知の闇(命中)(解説), 扉はその中に広がる無限の闇に$(相手パイロット)を吸い込んだ。
ＢＲ・プロトタイプ(解説), $(パイロット)はバンディットリヴォルヴァー・プロトタイプで攻撃をかけた。
Ｆディストーション(解説), $(パイロット)はフレイムディストーションを発動した。

