################################ 解説 ################################

ロマサガ２モンスター
当て身技(風車)(解説), $(ユニット)は風車で$(相手武器)を弾いて反撃した。
みじん斬り, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;_
		2;Swing.wav;2;Swing.wav;2;Swing.wav;Swing.wav
みじん斬り(命中), 2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;_
			2;Saber.wav;2;Saber.wav;2;Saber.wav;Saber.wav
真空斬り, Swing.wav
真空斬り(命中), 0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;_
		0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;Saber.wav
みね打ち(命中), 2;Swing.wav;Punch.wav
巻き打ち(命中), 2;Swing.wav;1;Punch.wav;Saber.wav
強撃, Swing.wav
強撃(命中), 2;Swing.wav;Saber.wav
水鳥剣, 2;Swing.wav;2;Swing.wav;2;Swing.wav;Swing.wav
水鳥剣(命中), Saber.wav
無無剣, BeamSaber.wav
流し斬り, Whiz.wav
流し斬り(命中), Saber.wav
清流剣, 4;Interference.wav;2;Swing.wav;Swing.wav
清流剣(命中), Saber.wav
アクスボンバー, Whiz.wav
アクスボンバー(命中), BreakOff.wav
トマホーク, 2;Swing.wav;1;Whiz.wav;1;Whiz.wav;Whiz.wav
大木断(命中), 2;Swing.wav;Saber.wav
ブレードロール, 2;Swing.wav;2;Swing.wav;2;Swing.wav;Swing.wav
ブレードロール(命中), 2;Saber.wav;2;Saber.wav;2;Saber.wav;Saber.wav
動くな, 4;Bubble.wav;Whiz.wav
返し突き(命中), 2;Swing.wav;2;BreakOff.wav;2;BreakOff.wav;BreakOff.wav
脳天割り(命中), 2;Swing.wav;Punch.wav
骨砕き(命中), 2;Swing.wav;2;BreakOff.wav;BeamSaber.wav
骨砕き(クリティカル), 3;Reload.wav;3;Reload.wav;3;Reload.wav;Reload.wav
骨砕き(格闘)(命中), 2;Swing.wav;2;BreakOff.wav;BeamSaber.wav
骨砕き(格闘)(クリティカル), 3;Reload.wav;3;Reload.wav;3;Reload.wav;Reload.wav
オゾンビート, Whiz.wav
オゾンビート(命中), 2;Swing.wav;BeamSaber.wav
地裂撃, 2;Swing.wav;Bazooka.wav
地裂撃(命中), FastGun.wav
地裂撃(格闘), 2;Swing.wav;Bazooka.wav
地裂撃(格闘)(命中), FastGun.wav
グランドスラム, 2;Swing.wav;2;Bazooka.wav;FastGun.wav
グランドスラム(命中), FastGun.wav
祝福, 4;Bubble.wav;1;Whiz.wav;Sharara.wav
ダブルヒット, 2;Swing.wav;Swing.wav
ダブルヒット(格闘), 2;Swing.wav;Swing.wav
フェイント, Swing.wav
フェイント(格闘), Swing.wav
スネークショット, Swing.wav
スネークショット(命中), 5;Cannon.wav;Saber.wav
プラズマスラスト, 2;Swing.wav;Whiz.wav
プラズマスラスト(命中), Saber.wav
マッドバイター, 5;Whiz.wav;2;Swing.wav;Whiz.wav
マッドバイター(命中), Stab.wav
足払い(命中), 2;Swing.wav;BreakOff.wav
足払い(格闘)(命中), 2;Swing.wav;BreakOff.wav
二段突き, 2;Swing.wav;Swing.wav
二段突き(命中), 2;Stab.wav;Stab.wav
二段突き(ツノ), 2;Swing.wav;Swing.wav
二段突き(ツノ)(命中), 2;Stab.wav;Stab.wav
稲妻突き(命中), 2;Swing.wav;2;Stab.wav;BeamSaber.wav
くし刺し, 2;Swing.wav;Whiz.wav
くし刺し(命中), Stab.wav
くし刺し(ツノ), Whiz.wav
くし刺し(ツノ)(命中), Stab.wav
チャージ, Whiz.wav
チャージ(命中), Explode.wav
チャージ(ツノ), Whiz.wav
チャージ(ツノ)(命中), Explode.wav
当て身技(風車), 0.7;Swing.wav;0.7;Swing.wav;0.7;Swing.wav;0.7;Swing.wav;0.7;Swing.wav;_
		0.7;Swing.wav;0.7;Swing.wav;0.7;Swing.wav;0.7;Swing.wav;Swing.wav
風車(命中), 2;Saber.wav;2;Saber.wav;2;Saber.wav;Saber.wav
エイミング, 0.7;Swing.wav;0.7;Swing.wav;0.7;Swing.wav;0.7;Swing.wav;0.7;Swing.wav;_
		0.7;Swing.wav;0.7;Swing.wav;0.7;Swing.wav;0.7;Swing.wav;0.7;Swing.wav;Swing.wav
エイミング(命中), 3;Stab.wav;3;Punch.wav;3;Punch.wav;Punch.wav
一文字突き, Whiz.wav
一文字突き(命中), Saber.wav
活殺化石衝, Whiz.wav
活殺化石衝(命中), Stab.wav
サンダーボルト, 4;Thunder.wav;Thunder.wav
サンダーボルト(命中), 6;Thunder.wav;Thunder.wav
でたらめ矢, 6;Swing.wav;2;Bow.wav;2;Bow.wav;Bow.wav
影ぬい, 6;Swing.wav;Bow.wav
アローレイン, 6;Swing.wav;4;Bow.wav;4;Bow.wav;4;Bow.wav;2;Bow.wav;2;Bow.wav;Bow.wav
二本射ち, 6;Swing.wav;3;Bow.wav;Bow.wav
二本射ち(命中), 3;Stab.wav;Stab.wav
イド・ブレイク, Bow.wav
イド・ブレイク(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav;Slash.wav
影矢, 6;Swing.wav;Bow.wav
影矢(命中), 5;Slash.wav;Slash.wav
落鳳破, 6;Swing.wav;Bow.wav
落鳳破(命中), 0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;_
		0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;Slash.wav
キック(命中), 2;Swing.wav;BreakOff.wav
ソバット(命中), 2;Swing.wav;BreakOff.wav
ネコだまし(命中), 2;Swing.wav;Slap.wav
気弾, 4;Charge.wav;2;Swing.wav;Whiz.wav
気弾(命中), Punch.wav
コークスクリュー(命中), 2;Swing.wav;BreakOff.wav
不動金しばり, Charge.wav
カポエラキック(命中), 2;Swing.wav;BreakOff.wav
マシンガンジャブ, 0.7;Swing.wav;0.7;Swing.wav;2.5;Swing.wav;2;Swing.wav;2;Swing.wav;Swing.wav;Swing.wav
マシンガンジャブ(命中), 1.2;BreakOff.wav;1.2;BreakOff.wav;1.2;BreakOff.wav;1.2;BreakOff.wav;_
			1.2;BreakOff.wav;1.2;BreakOff.wav;1.2;BreakOff.wav;1.2;BreakOff.wav;_
			1.2;BreakOff.wav;1.2;BreakOff.wav;BreakOff.wav
サラマンダークロー(命中), 2;Swing.wav;Fire.wav
ふみつけ(命中), 2;Swing.wav;2;BreakOff.wav;2;BreakOff.wav;2;BreakOff.wav;BreakOff.wav
地獄爪殺法, Swing.wav
地獄爪殺法(命中), Slash.wav
ファイアーボール, Fire.wav
ファイアーボール(命中), Explode(Small).wav
阻止(セルフバーニング), Fire.wav
セルフバーニング(命中), Fire.wav
フレイムウィップ, Fire.wav
フレイムウィップ(命中), Fire.wav
生命の水, 5;Charge.wav;1.2;Sharara.wav;1.2;Sharara.wav;1.2;Sharara.wav;Sharara.wav
足がらめ, Whiz.wav
足がらめ(命中), Interference.wav
ストーンシャワー, 5;FastGun.wav;FastGun.wav
ストーンシャワー(命中), 1.2;BreakOff.wav;1.2;BreakOff.wav;1.2;BreakOff.wav;1.2;BreakOff.wav;1.2;BreakOff.wav;BreakOff.wav
アースヒール, 5;Charge.wav;1.2;Sharara.wav;1.2;Sharara.wav;1.2;Sharara.wav;Sharara.wav
ウインドカッター, 2;Whiz.wav;2;Whiz.wav;Whiz.wav
ウインドカッター(命中), 2;Saber.wav;2;Saber.wav;Saber.wav
体力吸収, Charge.wav
体力吸収(命中), 4;BeamShot.wav;BeamShot.wav
ライトボール, Whiz.wav
ライトボール(命中), Glass.wav
ペイン, Whiz.wav
ペイン(命中), Stab.wav
ホラー(命中), Laugh(OldMan).wav
デッドリードライブ, 10;Interference.wav
デッドリードライブ(命中), Glass.wav
熱風, Fire(2).wav
熱風(命中), Fire(2).wav
召雷, 4;Thunder.wav;Thunder.wav
召雷(命中), 6;Thunder.wav;Thunder.wav
サイクロンスクィーズ, Storm.wav
サイクロンスクィーズ(命中), 0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;_
				0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;Slash.wav
ファイアストーム, Fire.wav
ファイアストーム(命中), Fire.wav
太陽風, 10;Interference.wav
太陽風(命中), Fire.wav
ダイアモンドダスト, Charge.wav
ダイアモンドダスト(命中), 1.2;Stab.wav;1.2;Stab.wav;1.2;Stab.wav;Stab.wav
ヘルファイア, Fire.wav
ヘルファイア(命中), 8;Fire.wav;Fire.wav
ポイゾナスブロウ, AntiShipMissile.wav
ポイゾナスブロウ(命中), Explode.wav
イルストーム, 0.8;Interference.wav;0.8;Interference.wav;0.8;Interference.wav;0.8;Interference.wav;_
		0.8;Interference.wav;0.8;Interference.wav;0.8;Interference.wav;0.8;Interference.wav;_
		0.8;Interference.wav;0.8;Interference.wav;0.8;Interference.wav;0.8;Interference.wav;_
		0.8;Interference.wav;0.8;Interference.wav;0.8;Interference.wav;Interference.wav
イルストーム(命中), Bubble.wav
サンドストーム, Fire(2).wav
サンドストーム(命中), Fire(2).wav
ダークスフィア, Charge(long).wav
ダークスフィア(命中), Charge.wav
ゴーストライト(命中), BeamCoat.wav
ブレードネット, Bow.wav
ブレードネット(命中), 2;Punch.wav;Slash.wav
ぶちかまし, Whiz.wav
ぶちかまし(命中), Cannon.wav
トリプルヒット, 3;Punch.wav;3;Punch.wav;Punch.wav
ツノ(命中), 2;Swing.wav;Stab.wav
ライフスティール, 5;Whiz.wav;Charge.wav
ライフスティール(命中), 4;BeamShot.wav;BeamShot.wav
刺(命中), 2;Swing.wav;Stab.wav
クチバシ(命中), 2;Swing.wav;Stab.wav
ボーンダート, 2;Swing.wav;1;Swing.wav;1;Swing.wav;Swing.wav
ボーンダート(命中), Punch.wav
毒液, Bow.wav
毒液(命中), Splash.wav
巻きつき(命中), 2;Swing.wav;4;BreakOff.wav;2;Swing.wav;4;BreakOff.wav;2;Swing.wav;BreakOff.wav
花粉<毒>, 0.8;Breath.wav;0.8;Breath.wav;0.8;Breath.wav;0.8;Breath.wav;_
		0.8;Breath.wav;0.8;Breath.wav;0.8;Breath.wav;0.8;Breath.wav
花粉<毒>(命中), Breath.wav
花粉<暗闇>, 0.8;Breath.wav;0.8;Breath.wav;0.8;Breath.wav;0.8;Breath.wav;_
		0.8;Breath.wav;0.8;Breath.wav;0.8;Breath.wav;0.8;Breath.wav
花粉<暗闇>(命中), Breath.wav
花粉<混乱>, 0.8;Breath.wav;0.8;Breath.wav;0.8;Breath.wav;0.8;Breath.wav;_
		0.8;Breath.wav;0.8;Breath.wav;0.8;Breath.wav;0.8;Breath.wav
花粉<混乱>(命中), Breath.wav
催眠(命中), 4;Heartbeat(2).wav;4;Heartbeat(2).wav;Heartbeat(2).wav
触手(弱), Whiz.wav
触手(弱)(命中), 2;Whip.wav;Whip.wav
触手(強), Whiz.wav
触手(強)(命中), 2;Whip.wav;Whip.wav
粘液, Bow.wav
粘液(命中), Splash.wav
テラーボイス, Scream(Woman).wav
超音波, 3;Hittyuu.wav;3;Hittyuu.wav;3;Hittyuu.wav;3;Hittyuu.wav;Hittyuu.wav
超音波(命中), 3;Hittyuu.wav;3;Hittyuu.wav;3;Hittyuu.wav;3;Hittyuu.wav
超音波<MAP>, 3;Hittyuu.wav;3;Hittyuu.wav;3;Hittyuu.wav;3;Hittyuu.wav;Hittyuu.wav
超音波<MAP>(命中), 3;Hittyuu.wav;3;Hittyuu.wav;3;Hittyuu.wav;3;Hittyuu.wav
凝視<魅了>, BeamSaber.wav
凝視<マヒ>, BeamSaber.wav
吸血(命中), 2;Swing.wav;2;Stab.wav;4;BeamShot.wav;BeamShot.wav
吸血<遠隔>, Whiz.wav
吸血<遠隔>(命中), 2;Stab.wav;4;BeamShot.wav;BeamShot.wav
死神のカマ, Whiz.wav
死神のカマ(命中), 15;Laugh(OldMan).wav;Saber.wav
阻止(フリーズバリア), Freeze.wav
フリーズバリア(命中), Freeze.wav
火炎, Breath.wav
火炎(命中), Breath.wav
火炎<MAP>, 6;Breath.wav;0.8;Fire.wav;0.8;Fire.wav;0.8;Fire.wav;0.8;Fire.wav;_
		0.8;Fire.wav;0.8;Fire.wav;0.8;Fire.wav;Fire.wav
火炎<MAP>(命中), Fire.wav
冷気, Storm.wav
冷気(命中), Storm.wav
冷気<MAP>, 6;Storm.wav;0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;_
		0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;Slash.wav
冷気<MAP>(命中), Glass.wav
毒霧, 0.8;Breath.wav;0.8;Breath.wav;0.8;Breath.wav;0.8;Breath.wav;_
		0.8;Breath.wav;0.8;Breath.wav;0.8;Breath.wav;0.8;Breath.wav
毒霧(命中), Bubble.wav
電撃, Thunder.wav
電撃(命中), Thunder.wav
電撃<MAP>, Thunder.wav
電撃<MAP>(命中), Thunder.wav
メイルシュトローム, 0.8;Storm.wav;0.8;Storm.wav;0.8;Storm.wav;0.8;Storm.wav;_
			0.8;Storm.wav;0.8;Storm.wav;0.8;Storm.wav;0.8;Storm.wav;_
			0.8;Storm.wav;0.8;Storm.wav;0.8;Storm.wav;0.8;Storm.wav;_
			0.8;Storm.wav;0.8;Storm.wav;0.8;Storm.wav;Storm.wav
メイルシュトローム(命中), Interference.wav
凝視<石化>, BeamSaber.wav
毒撃(命中), 2;Swing.wav;Slash.wav
毒撃<遠隔>, Whiz.wav
毒撃<遠隔>(命中), Slash.wav

風の精霊(ＲＳ２)
ウインドカッター, 1.3;Whiz.wav;1.3;Whiz.wav;1.3;Whiz.wav;1.3;Whiz.wav;_
			1.3;Whiz.wav;1.3;Whiz.wav;1.3;Whiz.wav;Whiz.wav
ウインドカッター(命中), 1.5;Slash.wav;1.5;Slash.wav;1.5;Slash.wav;1.5;Slash.wav;_
			1.5;Slash.wav;1.5;Slash.wav;1.5;Slash.wav;Slash.wav

ジャン(ＲＳ２)
ウインドカッター, 1.3;Whiz.wav;1.3;Whiz.wav;1.3;Whiz.wav;1.3;Whiz.wav;_
			1.3;Whiz.wav;1.3;Whiz.wav;1.3;Whiz.wav;Whiz.wav
ウインドカッター(命中), 1.5;Slash.wav;1.5;Slash.wav;1.5;Slash.wav;1.5;Slash.wav;_
			1.5;Slash.wav;1.5;Slash.wav;1.5;Slash.wav;Slash.wav

セフィラス(ＲＳ２)
ウインドカッター, 1.3;Whiz.wav;1.3;Whiz.wav;1.3;Whiz.wav;1.3;Whiz.wav;_
			1.3;Whiz.wav;1.3;Whiz.wav;1.3;Whiz.wav;Whiz.wav
ウインドカッター(命中), 1.5;Slash.wav;1.5;Slash.wav;1.5;Slash.wav;1.5;Slash.wav;_
			1.5;Slash.wav;1.5;Slash.wav;1.5;Slash.wav;Slash.wav

ドクター(ＲＳ２)
ウインドカッター, 1.3;Whiz.wav;1.3;Whiz.wav;1.3;Whiz.wav;1.3;Whiz.wav;_
			1.3;Whiz.wav;1.3;Whiz.wav;1.3;Whiz.wav;Whiz.wav
ウインドカッター(命中), 1.5;Slash.wav;1.5;Slash.wav;1.5;Slash.wav;1.5;Slash.wav;_
			1.5;Slash.wav;1.5;Slash.wav;1.5;Slash.wav;Slash.wav

ケロリアン(ＲＳ２)
ウインドカッター, 1.3;Whiz.wav;1.3;Whiz.wav;1.3;Whiz.wav;1.3;Whiz.wav;_
			1.3;Whiz.wav;1.3;Whiz.wav;1.3;Whiz.wav;Whiz.wav
ウインドカッター(命中), 1.5;Slash.wav;1.5;Slash.wav;1.5;Slash.wav;1.5;Slash.wav;_
			1.5;Slash.wav;1.5;Slash.wav;1.5;Slash.wav;Slash.wav

ウィズゴブリン(ＲＳ２)
でたらめ矢(命中), Glass.wav
アローレイン(命中), Glass.wav
二本射ち(命中), 3;Glass.wav;Glass.wav

ジン(ＲＳ２)
ウインドカッター, 1.3;Whiz.wav;1.3;Whiz.wav;1.3;Whiz.wav;1.3;Whiz.wav;_
			1.3;Whiz.wav;1.3;Whiz.wav;1.3;Whiz.wav;Whiz.wav
ウインドカッター(命中), 1.5;Slash.wav;1.5;Slash.wav;1.5;Slash.wav;1.5;Slash.wav;_
			1.5;Slash.wav;1.5;Slash.wav;1.5;Slash.wav;Slash.wav
