# ロマンシングサ・ガ２ モンスター
# 装備武器
骨砕き(格闘),             1200,  1,  1,   +0,   -,  10,   -, AAAA,  +10, 突剋武L2剋突L2
ダブルヒット,             1300,  1,  1,  +10,   -,  15,   -, AAAA,   +0, 条突攻連L2 <!武属性使用不能状態>
ダブルヒット(格闘),       1300,  1,  1,  +10,   -,  15,   -, AAAA,   +0, 突攻連L2
地裂撃,                   1200,  1,  4,  -15,   -,  30, 100, -AC-,   +5, 条格地Ｍ直Ｓ <!武属性使用不能状態>
地裂撃(格闘),             1200,  1,  4,  -15,   -,  30, 100, -AC-,   +5, 格地Ｍ直Ｓ
オゾンビート, 　　　　  　1200,  1,  1,  +20,   -,  20, 100, AAAA,   +0, 条突浸 <!武属性使用不能状態>
グランドスラム,           1500,  2,  3,  -15,   1,  60, 110, -AC-,   +0, 条格地Ｍ投L1ＡL2 <!武属性使用不能状態>
動くな,                      0,  1,  4,  +20,   -,  10,   -, AAAA,  +30, 条魔不止 <!武属性使用不能状態>
祝福,                     回復Lv1 状態Lv2=攻撃力ＵＰ, 3, -, 40, 100, ＡL2

### 槍技
足払い,                      0,  1,  1,  +30,   -,   -,   -, -AAA,  +30, 武止
足払い(格闘),                0,  1,  1,  +30,   -,   -,   -, -AAA,  +30, 突止
二段突き,                 1200,  1,  1,  +15,   -,  10,   -, AAAA,   +5, 武連L2
二段突き(ツノ),           1200,  1,  1,  +15,   -,  10,   -, AAAA,   +5, 突連L2
稲妻突き,                 1300,  1,  1,  +10,   -,  10,   -, AAAA,  +10, 武雷
くし刺し,                 1000,  1,  4,   +0,   1,   -,   -, AAAA,   +0, 条実格Ｍ直 <!武属性使用不能状態>
くし刺し(ツノ),           1000,  1,  4,   +0,   1,   -,   -, AAAA,   +0, 実格Ｍ直
チャージ,                 1400,  1,  1,  -15,   -,  15,   -, AAAA,  +10, 武攻
チャージ(ツノ),           1400,  1,  1,  -15,   -,  15,   -, AAAA,  +10, 突攻
エイミング,               1400,  1,  1,  +20,   -,  15,   -, AAAA,  +20, 条接破攻後 <!武属性使用不能状態>
風車,                     1100,  1,  1,   +0,   -,  10,   -, AAAA,   +0, 武当 <当て身技>
一文字突き,               1400,  1,  2,  +10,   -,  30, 105, AAAA,  +10, 武格Ｐ
活殺化石衝,               1400,  1,  1,   +5,   -,  40, 110, AAAA,  +15, 武石L5
サンダーボルト,           1400,  4,  5,   +0,   -,  40, 100, AAAA,   +0, 魔雷ＡL1

### 小剣技
フェイント,                  0,  1,  1,  +40,   -,   -,   -, AAAA,  +30, 条不L1 <!武属性使用不能状態>
フェイント(格闘),            0,  1,  1,  +40,   -,   -,   -, AAAA,  +30, 不L1
スネークショット,         1200,  1,  2,  +10,   -,  20,   -, AAAA,   +0, 武格Ｐ
乱れ突き(ツノ),           1500,  1,  1,  +10,   -,  30, 100, AAAA,   +0, 突攻Ｑ
プラズマスラスト,         1100,  1,  3,  +20,   -,  15,   -, AAAA,   +0, 条雷格 <!武属性使用不能状態>
マッドバイター,           1100,  1,  1,  +20,   -,  10,   -, AAAA,  +20, 武狂乱

### 弓技
でたらめ矢,               1000,  1,  3,  -30,   2,   -,   -, AABA,  -10, 実格Ｍ扇L2
影ぬい,                      0,  1,  4,  -10,   3,   -,   -, AABA,  +15, 実格縛
アローレイン,             1100,  1,  3,  -10,   1,   -, 100, AABA,  -10, 実格Ｍ投L1
二本射ち,                 1200,  2,  4,   +0,   -,  20,   -, AABA,   +0, 実格連L2
イド・ブレイク,           1000,  3,  4,   -5,   -,  20,   -, AABA,  +15, 実格乱L2
影矢,                     1300,  1,  4,  -10,   -,  40, 105, AABA,  +20, 実格痛L2
落鳳破,                   1600,  1,  4,  +10,   1,  40, 100, ABBB,  -10, 実格

### 体術技
キック,                   1200,  1,  1,  +10,   -,   -,   -, AAAA,  +10, 突
ソバット,                 1300,  1,  1,  +10,   -,  10,   -, AAAA,   +0, 突Ｑ
ネコだまし,                  0,  1,  1,  +30,   -,  10,   -, AAAA,  +30, 突Ｓ
気弾,                     1200,  1,  2,  -10,   -,  15,   -, AABA,  -10, 実格Ｐ
コークスクリュー,         1400,  1,  1,   +0,   -,  20, 100, AAAA,   +0, 突攻
不動金しばり,                0,  1,  2,  +20,   -,  20,   -, AAAA,  +20, 痺L2
カポエラキック,           1400,  1,  2,   +0,   -,  30, 105, AAAA,  +10, 突格攻ＳL0Ｐ
マシンガンジャブ,         1600,  1,  1,  +15,   -,  50, 110, AAAA,   +0, 突
サラマンダークロー,       1200,  1,  1,  +10,   -,  10,   -, AACA,  +10, 突火Ｓ
ふみつけ,                 1000,  1,  1,  +20,   -,  10,   -, AAAA,  +10, 突Ｑ体L5ＡL1
地獄爪殺法,               1500,  1,  1,  +20,   -,  40, 110, AAAA,  +25, 突毒Ｍ扇L4ＡL2

### 火術
ファイアーボール,         1100,  1,  4,   -5,   -,  10,   -, AA-A,   +5, 魔術火
セルフバーニング,         1100,  1,  1,  +30,   -,   -,   -, AA-A,   +0, 魔術火射動 <自動反撃>
フレイムウィップ,         1300,  1,  3,  -10,   -,  20,   -, AA-A,  +10, 魔術火縛

### 水術
生命の水,                 回復Lv2, 1, -, 20,   -, 魔術水

### 土術
足がらめ,                    0,  1,  5,  -10,   -,  10,   -, -AC-,  +20, 魔術地低移止
ストーンシャワー,         1400,  3,  4,  -10,   -,  30, 100, AABA,  +10, 魔術地ＡL1
アースヒール, 　　     　 回復Lv3, 3, -, 30,   -, 魔術地

### 風術
ウインドカッター,         1100,  1,  2,  +10,   -,  10,   -, AABA,   +0, 魔術風Ｐ
体力吸収,                 1300,  2,  3,  -10,   -,  30, 100, AABA,  -10, 魔術風吸

### 天術
ライトボール,             1000,  1,  4,  -10,   -,  10,   -, AABA,  +10, 魔術Ｂ盲

### 冥術
ペイン,                   1000,  1,  4,  -10,   -,  10,   -, AAAA,  +20, 魔術闇Ｓ
ホラー,                      0,  1,  3,  +20,   -,  20,   -, AAAA,  +20, 魔術精恐乱
デッドリードライブ,          0,  1,  5,  +20,   -,  50, 100, AABA,  +30, 魔術闇低攻L2低防L2低運L2低移L2Ｍ拡ＡL2

### 合成術
熱風,                     1200,  3,  4,   +0,   -,  20, 100, AA-A,  +10, 魔術火風低運低移
召雷,                     1400,  4,  5,  -10,   -,  40, 100, AABA,  +10, 魔術雷ＡL1
サイクロンスクィーズ,     1200,  1,  3,   +0,   -,  15,   -, AAAA,  +15, 魔術水風Ｓ
ファイアストーム,         1400,  4,  5,  -10,   -,  40, 100, AACA,   +0, 魔術火風ＡL1
太陽風,                   1400,  1,  3,  -10,   -,  60, 110, AABA,   +0, 魔術Ｍ全火冷雷風ＡL2
ダイアモンドダスト,       1300,  3,  4,   -5,   -,  30, 100, AAAA,  +10, 実魔術冷ＡL1
ヘルファイア,             1400,  2,  3,  -10,   -,  30, 100, AACA,  +10, 魔術闇火冷ＡL1
ポイゾナスブロウ,         1300,  1,  3,  -10,   -,  20,   -, AAAA,  +15, 魔術毒
イルストーム,                0,  1,  4,  +30,   -,  40, 100, AACA,  +20, 魔術毒Ｍ扇L2ＡL2
サンドストーム,           1400,  4,  5,  -10,   -,  40, 105, AACA,  +10, 魔術地盲ＡL1
ダークスフィア,            300,  2,  4,  -10,   -,  30, 100, AACA,  +30, 魔術闇衰L3
ゴーストライト,              0,  1,  4,   +0,   -,  20, 100, AABA,  +10, 魔術魅L2ＡL1

### 敵専用技
ブレードネット,           1300,  2,  2,  +10,   4,   -,   -, AACA,   +0, 実縛Ｐ
ファングクラッシュ,       1200,  1,  1,  +20,   -,  10,   -, AAAA,  +10, 突攻
ぶちかまし,               1300,  1,  2,  -10,   -,  20, 100, AAAA,  +20, 突格攻ＫL1Ｐ
トリプルヒット,           1600,  1,  1,  +10,   -,  30, 105, AAAA,   +0, 突攻Ｑ連L3
ツノ,                     1100,  1,  1,  +20,   -,   -,   -, AAAA,  +10, 突
ライフスティール,          900,  1,  4,  +20,   -,  30, 105, AAAA,  -20, 魔死吸奪貫ＲＡL1
毒針,                     1200,  1,  2,  +15,   1,   -,   -, AABA,  +20, 実毒
刺,                       1000,  1,  3,   +5,   -,   -,   -, AABA,  +10, 突格
クチバシ,                 1000,  1,  1,  +20,   -,   -,   -, AAAA,  +15, 突盲
ボーンダート,             1300,  2,  2,  -10,   2,   -,   -, AAAA,   +0, 実格
針,                       1200,  1,  2,   +0,   1,   -,   -, AABA,  +10, 実
毒液,                      500,  1,  2,  +10,   -,  10,   -, AACA,  +20, 毒Ｐ
体当たり,                 1100,  1,  1,  +10,   -,   -,   -, AAAA,  +20, 突ＫL0
巻きつき,                 1000,  1,  1,  +15,   -,   -,   -, AAAA,  +10, 突縛Ｑ
花粉<毒>,                    0,  1,  2,  +20,   1,   -,   -, AA-A,  +20, 散毒ＰＭ扇L2
花粉<暗闇>,                  0,  1,  2,  +20,   1,   -,   -, AA-A,  +20, 散盲ＰＭ扇L2
花粉<混乱>,                  0,  1,  2,  +20,   1,   -,   -, AA-A,  +20, 散乱L2ＰＭ扇L2
催眠,                        0,  1,  3,   +0,   -,  30,   -, AAAA,  +20, 精眠Ｍ投L1ＡL2
触手(弱),                 1400,  1,  2,  -20,   -,  20,   -, AAAA,  +20, 突格Ｐ連L3
触手(強),                 1700,  1,  2,  -20,   -,  40,   -, AAAA,  +20, 突格Ｐ連L4
粘液,                        0,  1,  2,  +10,   -,  10,   -, AACA,  +20, 低運低移Ｐ
テラーボイス,                0,  1,  3,  +15,   -,  10,   -, AAAA,  +15, 精音恐L2乱L2
フェロモン,                  0,  1,  3,  +10,   -,  20, 100, AAAA,  +30, 魅精ＡL2
超音波,                   1100,  1,  3,  +10,   -,  10,   -, AAAA,   +5, 音
超音波<MAP>,              1000,  1,  3,  +10,   -,  40, 100, AAAA,   +5, 音Ｍ扇L2ＡL2
凝視<魅了>,                  0,  1,  3,  +20,   -,  10, 100, AAAA,  +20, 条視魅L2ＡL1 <!盲目状態>
凝視<マヒ>,                  0,  1,  3,  +20,   -,  10,   -, AAAA,  +20, 条視痺 <!盲目状態>
吸血,                     1300,  1,  1,  +10,   -,  20,   -, AAAA,  -10, 突吸
吸血<遠隔>,               1300,  3,  4,  +10,  10,   -,   -, AAAA,  -10, 実追吸
死神のカマ,               1500,  1,  2,   +5,   -,  30, 100, AAAA,  +30, 実攻追死痛L2
フリーズバリア,           1100,  1,  1,  +30,   -,   -,   -, AABA,   +0, 冷動 <自動反撃>
火炎,                      800,  1,  3,  -10,   -,  20,   -, AA-A,   +0, 火体L5
火炎<MAP>,                 700,  1,  3,  -10,   -,  40, 100, AA-A,   +0, 火体L5Ｍ扇L2ＡL2
冷気,                      800,  1,  3,  -10,   -,  20,   -, AABA,   +0, 冷体L5
冷気<MAP>,                 700,  1,  3,  -10,   -,  40, 100, AABA,   +0, 冷体L5Ｍ扇L2ＡL2
毒霧,                      500,  1,  4,  +20,   -,  10,   -, AACA,  +15, 毒体L5
電撃,                      800,  1,  4,   +0,   -,  20,   -, AAAA,  -10, 雷体L5
電撃<MAP>,                 700,  1,  4,   +0,   -,  40,   -, AAAA,  -10, 雷体L5Ｍ直
メイルシュトローム,       1400,  1,  4,  +20,   -,  50, 110, AAAA,  +20, 水ＳＭ全ＡL3
凝視<石化>,                  0,  1,  3,  +20,   -,  10, 100, AAAA,  +20, 条視石L5ＡL2 <!盲目状態>
毒撃,                      900,  1,  1,  +20,   -,   -,   -, AAAA,  +20, 突毒
毒撃<遠隔>,                900,  1,  4,  +20,  20,   -,   -, AAAA,  +20, 実追毒
マヒ爪,                    900,  1,  1,  +20,   -,   -,   -, AAAA,  +10, 突痺L2


# ロマンシングサ・ガ３ モンスター
パンチ,                  800, 1, 1, +30,  -,   -,   -, AAAA,  +0, 突
キック,                  800, 1, 1, +40,  -,   -,   -, AAAA,  +0, 突
爪,                      800, 1, 1, +35,  -,   -,   -, AAAA,  +0, 突連L2
レイピア,                900, 1, 1, +10,  -,   -,   -, AAAA, +15, 武
牙,                      900, 1, 1, +30,  -,   -,   -, AAAA,  +0, 突
かぎ爪,                  900, 1, 1, +35,  -,   -,   -, AAAA,  +0, 突
トゲ,                    900, 1, 1, +40,  -,   -,   -, AAAA,  +0, 突
尾撃,                    900, 1, 2,  +0,  -,   -,   -, AAAA, -10, 突格Ｐ
大剣,                   1000, 1, 1,  +0,  -,   -,   -, AAAA,  +0, 武
ツヴァイハンダー,       1000, 1, 1,  +0,  -,   -,   -, AAAA,  +0, 武
棍棒,                   1000, 1, 1, +10,  -,   -,   -, AAAA,  +0, 突
長剣,                   1000, 1, 1, +10,  -,   -,   -, AAAA,  +0, 武
三日月刀,               1000, 1, 1, +10,  -,   -,   -, AAAA,  +0, 武
獣人の槍,               1000, 1, 1, +10,  -,   -,   -, AAAA,  +0, 武
スリッジハンマー,       1000, 1, 1, +10,  -,   -,   -, AAAA,  +0, 突
ブラッディソード,       1000, 1, 1, +10,  -,   -,   -, AAAA,  +0, 武
突き,                   1000, 1, 1, +15,  -,   -,   -, AAAA,  +0, 突
体当たり,               1000, 1, 1, +20,  -,   -,   -, AAAA,  +0, 突
巻き斬り,               1000, 1, 1, +20,  -,   -,   -, AAAA,  +0, 武
角,                     1000, 1, 1, +20,  -,   -,   -, AAAA, +10, 突
カマ,                   1000, 1, 1, +20,  -,   -,   -, AAAA,  +0, 武連L2
ダブルアタック,         1000, 1, 1, +20,  -,   -,   -, AAAA, +10, 突連L2
かすみ二段,             1000, 1, 1, +25,  -,   5,   -, AAAA,  +5, 武
ハードヒット,           1100, 1, 1,  -5,  -,   -,   -, AAAA,  +5, 突
ファングクラッシュ,     1100, 1, 1, +10,  -,   -,   -, AAAA, +10, 突
舞千鳥,                 1100, 1, 1, +15,  -,   -,   -, AAAA,  +0, 武
突進,                   1100, 1, 1, +15,  -,   -,   -, AAAA,  +0, 突
パワーセーブ,           1100, 1, 1, +25,  -,   -,   -, AAAA,  +0, 突ＡL1
体落とし,               1100, 1, 1, +10,  -,   5,   -, AAAA,  +0, 突
巻き打ち,               1100, 1, 1, +20,  -,   5,   -, AAAA,  +0, 武
アクセルスナイパー,     1100, 1, 1, +20,  -,  10,   -, AAAA, +20, 突
吸血,                   1100, 1, 1, -10,  -,  15,   -, AAAA, +10, 突吸
バスターアクス,         1200, 1, 1,  +0,  -,   -,   -, AAAA,  +0, 武
払い抜け,               1200, 1, 1,  +5,  -,  10,   -, AAAA, +10, 武
踏みつけ,               1200, 1, 1, +10,  -,  10,   -, AAAA,  +0, 突
二段突き,               1200, 1, 1, +15,  -,  10,   -, AAAA,  +5, 武連L2
バックスタッブ,         1200, 1, 1, -15,  -,  10,   -, AAAA, +10, 武攻痛L2Ｑ
ノッキング,             1200, 1, 2,  +5,  -,  10,   -, AAAA,  +0, 突格連L5
稲妻キック,             1300, 1, 1,  +5,  -,  10,   -, AA-A, +10, 突雷
風車,                   1300, 1, 1,  +0,  -,  10,   -, AAAA, +15, 武反
強打,                   1300, 1, 1, -10,  -,  15,   -, AAAA,  +0, 突
三段斬り,               1300, 1, 1,  +5,  -,  15,   -, AAAA,  +0, 武連L3
ぶちかまし,             1300, 1, 2,  -5,  -,  20,   -, AAAA,  +0, 突格Ｐ
触手,                   1400, 1, 1, -20,  -,   -,   -, AAAA, +20, 突連L8
ダガージョー,           1400, 1, 1, +20,  -,  10,   -, AAAA, +20, 突後
エイミング,             1400, 1, 1, +20,  -,  15,   -, AAAA, +20, 武攻後
ミノスクラッシュ,       1400, 1, 1,  +0,  -,  20,   -, AAAA,  +0, 突連L3
超高速ナブラ,           1400, 1, 1, +20,  -,  20, 100, AAAA, +20, 接
ハイパーハンマー,       1400, 1, 1, -10,  -,  25,   -, AAAA,  +0, 突Ｓ
グライダースパイク,     1400, 1, 2, -10,  -,  25,   -, AAAA,  +5, 突格攻ＰＪL1
龍尾返し,               1500, 1, 1,  +0,  -,  35,   -, AAAA, +15, 武連L2
大車輪,                 1500, 1, 2, -15,  -,  30,   -, AAAA, -10, 武格Ｐ
マルチウェイ,           1500, 1, 3, -10,  -,  30,   -, AAAA,  +0, 武格連L5
削岩撃,                 1500, 1, 1,  +0,  -,  30, 110, AAAA, +10, 突
チャージ,               1500, 1, 1, -15,  -,  30, 110, AAAA, +10, 突
五段斬り,               1600, 1, 1, -10,  -,  25,   -, AAAA,  +0, 武連L5
スマッシュ,             1600, 1, 1, -15,  -,  35,   -, AAAA,  +0, 武
死神のカマ,             1600, 1, 1,  +5,  -,  30, 100, AAAA, +30, 武死痛L2
最強打,                 1700, 1, 1, -20,  -,  40,   -, AAAA,  +0, 突
明王拳,                 1900, 1, 1,  +0,  -,  45, 110, AAAA, +10, 突聖
三連撃,                 2100, 1, 1,  +0,  -,  30,   -, AAAA,  +0, 突連L3
三連撃(ブレス),         2100, 1, 1,  +0,  -,  30,   -, AAAA,  +0, 火冷雷連L3

遠当て,                  800, 1, 2,  -5,  -,   5,   -, AABA,  +0, 実格
トマホーク,              800, 1, 2, -10,  -,   5,   -, AACA,  +0, 実格
ダート,                 1000, 1, 2,  +5, 15,   -,   -, AABA,  +0, 実格Ｐ共L2
ドビーの弓,             1000, 1, 4,  +0, 20,   -,   -, AABA,  +0, 実格共L1
クロスボウ,             1000, 1, 4,  +0, 20,   -,   -, AABA,  +0, 実格共L1
岩石,                   1000, 1, 3,  -5,  3,   -,   -, AABA, -10, 実格
エルフショット,         1200, 2, 4, +20,  4,  10,   -, AABA, +10, 実格
五本射ち,               1300, 1, 4, -10,  4,   -,   -, AABA,  +0, 実格共L1連L5
ダートスペシャル,       1500, 1, 2, -20,  3,   -,   -, AABA,  +0, 実格共L2連L5
死ね矢,                 1600, 1, 4, -30, 20,  30,   -, AABA,  +0, 実格殺
十本射ち,               1800, 1, 4, -20,  2,   -, 105, AABA,  +0, 実格共L1連L10

針,                      900, 1, 3,  +5, 10,   -,   -, AABA, +10, 実
ビートルジュース,        900, 1, 3, +20,  -,   5,   -, AAAA, -10, 水
地震,                   1000, 1, 3,  +0,  -,  10,   -, -AB-,  +0, 格
体力吸収,               1000, 1, 3,  +0,  -,  10,   -, AAAA,  +0, 吸
超音波,                 1100, 1, 3, -10,  -,  10,   -, AAAA,  +5, 音
マッドサンダー,         1100, 1, 3, +10,  -,  15,   -, AAAA, +10, 雷Ｐ連L3
ブレードネット,         1100, 1, 4, +10, 30,   -,   -, AACA,  +0, 実
サンダーボール,         1100, 1, 3,  +5,  -,  10,   -, AAAA, +10, 雷
ファイアーボール,       1100, 1, 3, -10,  -,  10,   -, AA-A,  +0, 火
高温ガス,               1100, 1, 2,  +0,  -,  15,   -, AACA, -10, 火Ｐ
烈風剣,                 1200, 1, 3, -10,  -,  15,   -, AACA, +10, 風
落雷,                   1200, 1, 4, -10,  -,  15,   -, AAAA, +10, 雷
ライフスティール,       1200, 1, 3, -20,  -,  20, 105, AAAA,  +0, 吸貫死
火炎(単体),             1300, 1, 3, -10,  -,  20,   -, AA-A,  +0, 火
電撃,                   1300, 1, 4,  +0,  -,  15,   -, AAAA, +10, 雷
冷気,                   1300, 1, 4, +15,  -,  20,   -, AAAA,  +0, 冷
大震撃,                 1400, 1, 3, -10,  -,  30,   -, -AC-,  +0, 格
マルチショット,         1500, 2, 4, -10, 10,   -,   -, AABA, +10, 連L3
火炎,                   1500, 1, 4, -10,  -,  20,   -, AA-A,  +0, 火
エクトプラズムネット,   1800, 1, 2, -25,  -,  30, 110, AAAA, -20, 殺ＡL2

スコール,                800, 1, 3, +20,  -,   5,   -, AA-A, -10, 魔術水
ストーンバレット,        900, 1, 3, +10,  -,   5,   -, AACA,  +0, 魔術地
サンシャイン,            900, 1, 3,  +5,  -,   5,   -, AAAA, -10, 魔術Ｂ聖
シャドウボルト,          900, 2, 4, -10,  -,   5,   -, AAAA,  +0, 魔術
ヒートウェイヴ,         1000, 1, 3, +20,  -,  10,   -, AA--, -10, 魔術火風
ウインドダート,         1000, 1, 4, +15,  -,   5,   -, AABA, +10, 魔術風
エアスラッシュ,         1100, 1, 4,  -5,  -,   5,   -, AACA,  +5, 魔術火
スターフィクサー,       1100, 1, 4,  -5,  -,  10,   -, AACA,  +0, 魔術Ｂ
クラック,               1300, 1, 3, -10,  -,  15,   -, -AC-,  +0, 魔術地
サクション,             1300, 1, 3, -10,  -,  25,   -, AAAA,  -5, 魔術吸
メガサクション,         1400, 1, 4,  +0,  -,  25,   -, AAAA,  +0, 吸
ファイアウォール,       1500, 2, 4, -10,  -,  25,   -, AACA,  -5, 魔術火

フェイント,                0, 1, 1, +10,  -,   -,   -, AAAA, +10, 不
足払い,                    0, 1, 1, +10,  -,   -,   -, -AAA, +15, 突止
ねこだまし,                0, 1, 1, +25,  -,   -,   -, AAAA, +20, 突先ＳL0
花粉,                      0, 1, 1, +30,  -,   5,   -, AA-A, +10, 盲乱
インプリズン,              0, 1, 1, +20,  -,  10,   -, AAAA,  +5, 突痺L1
マインドステア,            0, 1, 1, +20,  -,  15,   -, AAAA,  +5, 突乱
