バースト・ロンド, 炎に燃える精霊たちよ、.我に従い力となれ……！;爆煙舞！
ラグナ・ブレード完全版, 悪夢の王の一片よ、;世界のいましめ解き放たれし、.凍れる黒き虚無の刃よ、;我が力我が身となりて、.共に滅びの道を歩まん、.神々の魂すらも打ち砕き……;神滅斬！！

ギガ・スレイブ, 闇よりもなお昏きもの、夜よりもなお深きもの、.混沌の海にたゆたいし、金色なりし闇の王、;我ここに汝に願う、我ここに汝に誓う、.我が前に立ち塞がりし、全ての愚かなるものに、.我と汝が力もて、等しく滅びを与えんことを……！;重破斬！！

ギガ・スレイブ完全版, 闇よりもなお昏きもの、;夜よりもなお深きもの、;混沌の海よたゆたいし存在、;金色なりし闇の王、;我ここに汝に願う、;我ここに汝に誓う、;我が前に立ち塞がりし、;全ての愚かなるものに、;我と汝が力もて、;等しく滅びを与えんことを……！;てりゃあぁぁぁ！！

神託の呪文, 闇の王が生み出せし、星を紡ぐ五つの光よ、;その力もて、.黄昏よりもなお昏きもの、.暁よりもなお眩きもの、;導かれし力を束ね、.我にただ天空を貫く一条の矢を与えん……！;てりゃあぁぁぁ！！

アストラル・ヴァイン, 永遠と無限をたゆたいし、すべての心の源よ、.我に従い力となれ……！;魔皇霊斬！

ゴズヴ・ロー, 永遠と無限をたゆたいし、全ての心の源よ、.盟約の言葉によりて、我に集いて力となれ……！;冥壊屍！

ダグ・ハウト, すべての命を育みし、母なりしこの無限の大地よ、.我が手に集いて力となれ……！;地撃衝雷！

ラ・ティルト, 永遠と無限をたゆたいし、全ての心の源よ、.尽きる事無き蒼き炎よ、;我が魂の内に眠りしその力、.無限より来たりて裁きを今ここに……！;崩霊裂！

メギド・フレア, この世ならざる物、浄化の光もて、.世界と世界を結ぶかなたへ消え去らん事を……！;浄化炎！

ホーリー・ブレス, 永遠をさまよう悲しきものよ、歪みし憐れなるものよ、.我の浄化の光もて、世界と世界を結ぶ道、.歩みて永遠に帰りゆけ……！;浄化結界！

ヴィスファランク, 全ての心の源よ、尽きる事無き蒼き炎よ、.我が魂の内に眠りしその力、.我が身となりて、深淵の闇を打ち払え……！;霊王結魔弾！

リザレクション, 聖なる癒しのその御手よ、母なる大地のその息吹、.我等が前に横たわる、傷つき倒れし彼のものに、.我等全ての力もて、再び力を与えんことを……！;復活！

スリーピング, 我、汝に安息を与え、.一時の夢に誘わん……！;眠り！

デモナ・クリスタル, 水にたゆとう精霊たちよ、.盟約の言葉によりて、我に従い力となれ……！;霊氷陣！

フェルザレード, 永遠と無限をたゆたいし、全ての心の源よ、.我が手に集いて閃光となり、深淵の闇を打ち払え……;螺光衝霊弾！

ダイナスト・ブレス, 大地の底に眠る野よ、凍える魂持ちたる覇王、.汝の昏き祝福で、我が前にある敵を討て……！;覇王氷河烈！

ダルフ・ゾーク, 蒼穹よりも蒼きもの、海の深きに眠る王、.汝の昏き凍れる刃で、我が前にある敵を討て……！;海王滅殺斬！

フロウ・ブレイク, 聖なる癒しのその御手よ、母なる大地のその息吹、.その大いなる慈悲の心もて、.この世ならざる歪みし流れを断ち切らんことを……！;崩魔陣！

リカバリィ, 聖なる癒しのその御手よ、母なる大地のその息吹、.願わくば我が前に横たわりしこのものに、.今ひとたびの力を与えんことを……！;治癒！

アーク・ブラス, 全ての力の源よ、母なりしこの無限の大地よ、.永遠を吹き過ぎ行く風よ、空をさまよう雷よ、.盟約の言葉により、我に従い力となれ……！;地霊咆雷陣！

ブラム・ブレイザー, 永遠と無限をたゆたいし、全ての心の源よ、.我に従い閃光となり、深淵の闇を打ち払え……！;青魔烈弾波！

エルメキア・フレイム, 永遠と無限をたゆたいし、全ての心の源よ、.光集いて閃光となり、深淵の闇を打ち払え……！;烈閃咆！

ヴァン・レイル, 空と大地を渡りしものよ、.やさしき流れたゆとう水よ、.盟約の言葉によりて、我に従い力となれ……！;氷窟蔦！

ディクリアリィ, 聖なる癒しのその御手よ、母なる大地のその息吹、.やさしき浄化の力もて、穢れの祓いを彼のものへ……！;麗和浄！
