
スレイヤーズ
インバースストライク, 格闘
ホーリー・ブレス(命中), 発光 白
セイルーンクラッシュ, 格闘
メギド・フレア(準備), 六芒星 白 Charge.wav
メギド・フレア(攻撃), 火炎弾 白
メギド・フレア(命中), 発光 白
ヴィスファランク(準備), 六芒星 白 Charge.wav
ヴィスファランク, スーパーパンチ 白
愛情ダブルインパクト, 同時スーパーパンチ
リカバリィ(準備), 六芒星 白 Charge(Long).wav
リカバリィ, 回復魔法
#
リザレクション(準備), 六芒星 白 Charge(Long).wav
リザレクション, 回復魔法
ディクリアリィ(準備), 六芒星 白 Charge(Long).wav
ディクリアリィ, 回復魔法
ニンジンフレア・アロー(準備), 五芒星 Charge.wav
ニンジンフレア・アロー(攻撃), 光投射 赤 PiyoPiyo.wav
ニンジンフレア・アロー(命中), 炎 赤
ロッド, ロッド
防御結界呪文, バリア発動
#
ディム・ウィン, 強風 
ブラム・ブレイザー(準備), 五芒星 Charge.wav
ブラム・ブレイザー, 波動放射
ダルフ・ストラッシュ(準備), 五芒星 Charge.wav
ダルフ・ストラッシュ(攻撃), 中ビーム 青
ダルフ・ストラッシュ(命中), 飛沫 青
ルビーアイ・ブレード(準備), 黒剣;オーラ上昇 赤
ルビーアイ・ブレード(攻撃), 光剣突撃 赤
ルビーアイ・ブレード(命中), ハイパービームサーベル 赤
黒い短剣【黒霧炎】(準備), 五芒星 Charge.wav
黒い短剣【黒霧炎】(攻撃), 重力弾
黒い短剣【黒霧炎】(命中), 煙 黒
黒い短剣, ナイフ
アビスフレア(準備), 五芒星 Charge.wav
アビスフレア(攻撃), 炎長距離
アビスフレア(命中), 炎
#
スァイトフラング(準備), 五芒星 Charge.wav
スァイトフラング, ＭＡＰ煙
アーク・ブラス(準備), 五芒星 Charge.wav
アーク・ブラス, ＭＡＰ放電
ロングソード, ソード
アイシクル・ランス(準備), 五芒星 Charge.wav
アイシクル・ランス(攻撃), 氷弾;氷弾
アイシクル・ランス(命中), 氷柱
エルメキア・フレイム(準備), 五芒星 Charge.wav
エルメキア・フレイム, 波動放射 白
フェルザレード(準備), 五芒星 Charge.wav
フェルザレード(攻撃), 大ビーム 白
フェルザレード(命中), 発光
ラザ・クロウヴァ(準備), 五芒星 Charge.wav
ラザ・クロウヴァ(攻撃), 吹雪 緑
ラザ・クロウヴァ(命中), 放電
ルーン・フレイア(準備), 五芒星 Charge.wav
ルーン・フレイア(攻撃), 大ビーム 白
ルーン・フレイア(命中), 炎 白
アストラル・ブレイク(準備), 五芒星 Charge.wav
アストラル・ブレイク(攻撃), 魔法集中 白
アストラル・ブレイク(命中), 魔法放射 白
ディスラッシュ(準備), 五芒星 Charge.wav
ディスラッシュ(攻撃), 気斬 白;気斬 白;気斬 白
ディスラッシュ(命中), 連斬撃
#
#
#
黄金の翼, 斬撃
ゼラス・ファランクス, 大拡散ビーム 緑
ヴラバザード・フレア, 中ビーム 赤
ヴラバザード・フレア(命中), 炎投射
#
ゼナファ・剣形態, 風剣
ゼナファ・レーザーブレス, 小ビーム 黄
ゼナフスレイド, 風剣
ゼナフスレイド(命中), 気斬 白
メギドアーク, 大ビーム 赤
ルーンストライド(準備), -
ルーンストライド(攻撃), 拡散ビーム;拡散ビーム
ルーンストライド(命中), 乱突
#
誠意ある説得, 音符 Thunder.wav
平和主義者クラッシュ, 打撃突撃
平和主義者クラッシュ(解説), $(ユニット)は身もフタもない技で攻撃をかけた。
#
剣の咆哮, 波動放射
ハウリング・ソード, 鋼剣
剣の咆哮(2), 波動放射
ハウリング・ソード２, 鋼剣
#
錫杖, 錫杖
魔力弾, 気弾 黒
闇の錐, 拡散ビーム 黒
#
ハルバード, ハルバード
#
円月刀, シミター
#
突進, タックル
闇の閃光, 必殺光線 黒
闇の息吹, 破壊光線 黒
闇の咆哮, 巨大ビーム 黒
#
魔人の呪い, -
魔人の呪い(命中), 発光
真・魔人の呪い, -
真・魔人の呪い(命中), 発光
#
踏み潰す, 踏み潰し
魔力光線砲, 中ビーム
魔力光線砲(全開), 大ビーム
魔力の暴走, 大拡散ビーム 黒
#
ホーリー・レザスト(攻撃), 粒子集中 白
ホーリー・レザスト(クリティカル), 飛沫 白 Inori.wav
モーニングスター, モーニングスター
レーザーブレス, 小ビーム 黄
Ｍ・Ｓ一本足打法(準備), モーニングスター
Ｍ・Ｓ一本足打法(攻撃), 振り上げ
Ｍ・Ｓ一本足打法(命中), ダメージ
ディフラッシャー, 中ビーム 黄
フレイム・ブレス, 六芒星 白 相手ユニットＩＤ Charge(Long).wav
フレイム・ブレス(命中), 発光 白
Ｃディスティングレイト, 必殺光線 白
#
瘴気, 旋風 黒
赤い光, 波動放射 赤
転移攻撃(攻撃), スーパータックル
転移攻撃(命中), 斬撃
超光量発光, フラッシュ
連続魔力弾(準備), -
連続魔力弾(攻撃), 連気弾 黒;連気弾 黒;連気弾 黒
連続魔力弾(命中), 連続大爆発
鉤爪, 爪撃
魔力光, 波動放射
赤い剣, 呪剣
死の宝玉, 髑髏弾
内部破壊, -
内部破壊(命中), 爆発
死者の閃光, 必殺光線 黒
#
バスタードソード, ソード
片刃の剣, シミター
バトル・アクス, 両刃斧
瘴気の衝撃波, 旋風 黒
肉の槍, 刺突
肉の鞭, 打撃 Whip.wav
肉の触手, 触手
髪縛り, 触手乱舞 黒
魔力の衝撃波, 波動放射
闇のつぶて, 気弾 黒
闇の剣, エナジーブレード 黒
魔力弾,	光球 黒
魔力球,	球電
連爆光(攻撃), 連気弾 黒;連気弾 黒;連気弾 黒
連爆光(命中), 連続大爆発
魔力塊,	光球 黒
魔剣, 妖刀
剣風, 気斬 白
光の槍, 小ビーム 白
ドゥールゴーファ, 呪剣
衝撃波,	波動放射
瘴気の槍, 刺突
瘴気の刃, 斬撃
根, 触手
水流の刃, 斬撃 Splash.wav
大剣, 大剣
#
黒い影, 地表衝撃波 黒
餓骨杖, 錫杖
餓骨杖一閃(準備), 錫杖
餓骨杖一閃(攻撃), 黒斬撃
餓骨杖一閃(命中), 黒斬撃
#
炎の矢(攻撃), 光投射 赤 Bow.wav
炎の矢(命中), 炎 赤


汎用
無銘魔法剣, 銀剣
阻止(無銘魔法剣), 切り払い
ブラストソード, 銀剣
阻止(ブラストソード), 切り払い
魔風剣, 黒剣
魔風撃(準備), 黒剣
魔風撃, 強風
阻止(魔風撃), 強風
吸魔剣, 黒剣
阻止(吸魔剣), 魔法集中
ブレスブレード, 樹剣
神聖樹との共鳴(準備), 樹剣
神聖樹との共鳴(攻撃), オーラ上昇 白; 粒子集中 白 相手ユニットＩＤ
神聖樹との共鳴(命中), 光柱
乙女の祈り, ＭＡＰ音符
サーブ(準備), エレキギター
サーブ(攻撃), 白兵武器 石
サーブ(命中), 石
スネークホール(準備), エレキギター
スネークホール(攻撃), 白兵武器;石 MicroMissile.wav
スネークホール(命中), ダメージ
Ｓ・Ｏダム・ブラス(準備), エレキギター;五芒星 Charge.wav
Ｓ・Ｏダム・ブラス(攻撃), 気弾 黄色
Ｓ・Ｏダム・ブラス(命中), ダメージ
Ｓ・Ｏドラグ・スレイブ(準備), エレキギター;五芒星 黒;フェイスアップ 赤 Charge(high).wav
Ｓ・Ｏドラグ・スレイブ, 巨大ビーム 赤
ゴルンノヴァ(準備), オーラ上昇
ゴルンノヴァ, 光巨大剣
光の槍,	光槍
ラグド・メゼギス(準備), オーラ上昇 赤;光槍
ラグド・メゼギス(攻撃), 超ビーム
ラグド・メゼギス(命中), 超爆発
光の槌, 光鎚
ボーディガー(準備), オーラ上昇 赤;光鎚
ボーディガー(攻撃), 超ビーム
ボーディガー(命中), 超爆発
光の鉤爪, 連続なぎ払い
光の鉤爪(命中), 光連続なぎ払い
ネザード(準備), オーラ上昇 赤
ネザード(攻撃), 超ビーム
ネザード(命中), 超爆発
光の矢,	光弓矢
ガルヴェイラ(準備), オーラ上昇 赤;光弓矢
ガルヴェイラ(攻撃), 超ビーム
ガルヴェイラ(命中), 超爆発
ガルヴェイラ・スレイブ(準備), オーラ上昇 赤;光弓矢
ガルヴェイラ・スレイブ(攻撃), 巨大ビーム 赤
ガルヴェイラ・スレイブ(命中), 巨大ビーム 赤;超爆発
神託の呪文(準備), オーラ上昇 赤;光弓矢
神託の呪文(攻撃), 巨大ビーム 赤;巨大ビーム 緑;巨大ビーム 黄;巨大ビーム 青;巨大ビーム 白
神託の呪文(命中), 魔法集中 白;光柱;連続大爆発;連続大爆発;超爆発
光の束,	拡散ビーム



