
悪魔
フロストオーラ, Flair.wav
マハグライ, 2;BeamSaber.wav;2;BeamSaber.wav;BeamSaber.wav
マハグライバ, 2;BeamSaber.wav;2;BeamSaber.wav2;BeamSaber.wav;BeamSaber.wav
マハグラダイン, 2;BeamSaber.wav;2;BeamSaber.wav2;BeamSaber.wav;2;BeamSaber.wav;BeamSaber.wav
ジオ, Thunder.wav
ジオンガ, Thunder.wav
ジオダイン, Thunder.wav
マハジオ, 2;Thunder.wav;2;Thunder.wav;Thunder.wav
マハジオンガ, 2;Thunder.wav;2;Thunder.wav;2;Thunder.wav;Thunder.wav
マハジオダイン, 2;Thunder.wav;2;Thunder.wav;2;Thunder.wav;2;Thunder.wav;Thunder.wav
ハンマ, Whiz.wav
ハマオン, 2;Whiz.wav;Whiz.wav
マハンマ, 2;Whiz.wav;2;Whiz.wav;Whiz.wav
ムド, Whiz.wav
ムドオン, 2;Whiz.wav;Whiz.wav
マハムド, 2;Whiz.wav;2;Whiz.wav;Whiz.wav
パララアイズ, Glass.wav
ペトラアイズ, Glass.wav
ヘルズアイズ, Glass.wav
吸血, Stab.wav
悪魔のキス♂, -.wav
悪魔のキス♀, -.wav
デビルスマイル, Bubble.wav
ワイヤーブレス, 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;;1Bow.wav;1;Bow.wav;1;Bow.wav
サキュバスの目, Glass.wav
デスペアーナイト, Search.wav
メギド(準備), Charge.wav
メギド, Explode(Nuclear).wav
メギドラ(準備), Charge.wav
メギドラ, Explode(Nuclear).wav
メギドラオン(準備), Charge.wav
メギドラオン, Explode(Nuclear).wav
天罰, 2;Thunder.wav;2;Thunder.wav;Thunder.wav
パワーブレス, BeamCoat.wav
ダークブレス, BeamCoat.wav
水の壁, 4;Hide.wav:BeamCoat.wav
炎の壁, 4;Fire.wav;BeamCoat.wav
自爆, Explode.wav
吸い付き, Bubble.wav
愚者の声, Search.wav
花粉, Whiz.wav
テンタラフー, Search.wav
インサニティアイ,5;Charge.wav;1;Glass.wav;1;Glass.wav;2;Glass.wav
ドルミナー, Bubble.wav
シバブー, Glass.wav
プリンパ, PiyoPiyo.wav
ハピルマ, PiyoPiyo.wav
マリンカリン, Bubble.wav
マカジャマ, BreakOff.wav
セクシーダンス, Sharara.wav
ハッピーダンス, Sharara.wav
不幸のフラダンス, Sharara.wav
子守リ歌, Sharara.wav
ドロップボイス, Charge(long).wav
バインドボイス, Charge(long).wav
パニックボイス, Charge(long).wav
ランディヘイズ, Charge(long).wav
不気味な笑い, 1;Whiz.wav;1;Whiz.wav;1;Whiz.wav;1;Whiz.wav;1;Whiz.wav;1;Whiz.wav;1;Whiz.wav
タルンダ, PowerDown.wav
ラクンダ, PowerDown.wav
スクンダ, PowerDown.wav
デクンダ, BeamCoat.wav
タルカジャ, BeamCoat.wav
ラクカジャ, BeamCoat.wav
スクカジャ, BeamCoat.wav
マカカジャ, BeamCoat.wav
デカジャ, PowerDown.wav
テトラジャ, BeamCoat.wav
マカラカーン, BeamCoat.wav
テトラカーン, BeamCoat.wav
ランダマイザ, 2;Whiz.wav;2;Whiz.wav;Whiz.wav
ディア, Sharara.wav
ディアラマ, Sharara.wav
ディアラハン, Sharara.wav
メディア, 2;Sharara.wav;3;Sharara.wav;3;Sharara.wav
メディラマ, 2;Sharara.wav;3;Sharara.wav;3;Sharara.wav
メディアラハン, 2;Sharara.wav;3;Sharara.wav;3;Sharara.wav
パトラ, Sharara.wav
ペンパトラ, 2;Sharara.wav;2;Sharara.wav;2;Sharara.wav
ポズムディ, Sharara.wav
パララディ, Sharara.wav
ペトラディ, Sharara.wav
カルムディ, Sharara.wav
リカーム, Inori.wav
サマリカーム, Inori.wav
リカームドラ, Inori.wav
エストマ, Sharara.wav
ネクロマ, 3;Whiz.wav;Bubble.wav
逃げる, PowerDown.wav
仲間を呼ぶ, Charge(long).wav
リフトマ, FlyBy.wav
暴れまくり, Combo.wav
薙ぎ払い, 2;Swing.wav;Crash.wav
メガトンプレス, Crash.wav
引っ掻き, Saber.wav
毒引っ掻き, Saber.wav
麻痺引っ掻き, Saber.wav
毒針, MachineCannon.wav
ベノンニードル, MachineCannon.wav
麻痺針, MachineCannon.wav
風神撃, 4;Swing.wav;Storm.wav
雷神撃, 4;Swing.wav;Thunder.wav
はばたき, Storm.wav
九十九針, MachineCannon.wav
ヒステリービンタ, 2;Slap.wav;2;Slap.wav;2;Slap.wav;Slap.wav
ヒールドロップ, 3;Swing.wav;Punch.wav
イナズマキック, 2;Swing.wav;Thunder.wav
ハンマーパンチ, Punch(3).wav
雷霆蹴, 4;Swing.wav;Whip.wav
バルカンキック, FastGun.wav
だるま返し, 2;Swing.wav;Bazooka.wav
冥界破, 2;Bow.wav;Saber.wav
回転斬り, 4;Drill.wav;Stab.wav
ヒートウェイブ, 3;Saber.wav;Stab.wav
デスバウンド, 2;Saber.wav;2;Saber.wav;2;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav
メガストライク, Slash.wav
メガストライク(命中), Cannon.wav
