
ベルウィックサーガ
当て身(攻撃), 振る武器突撃 -.bmp
パラスセレニア(準備), オーラ上昇 黄 FlyBy(High).wav;放電
パラスセレニア(攻撃), 魔法放射 黄 Whiz.wav
パラスセレニア(命中), メガショックビーム 黄 ThunderBolt.wav;大放電 黄 ThunderBolt.wav
## 風魔法 ##
エアブレード(準備), オーラ上昇 緑 FlyBy(High).wav
エアブレード(攻撃), 魔法放射 緑 Whiz.wav;2;@戦闘アニメ_実弾発射攻撃 Anime\Common\EFFECT_SonicBoom(Green)01.bmp 40 AntiAirMissile.wav;@戦闘アニメ_実弾発射攻撃 Anime\Common\EFFECT_SonicBoom(Green)01.bmp 40 AntiAirMissile.wav
エアブレード(命中), 連斬撃 Saber.wav
ブリザード(準備), オーラ上昇 青 FlyBy(High).wav
ブリザード(攻撃), 魔法放射 青 Whiz.wav
ブリザード(命中), 吹雪;氷柱 Ice.wav
ウインドストーム(準備), オーラ上昇 緑 FlyBy(High).wav
ウインドストーム(攻撃), 魔法放射 緑 Whiz.wav;2;旋風 緑
ウインドストーム(命中), 斬撃 Saber.wav;斬撃 Saber.wav;斬撃 Saber.wav
パラスリアナ(準備), オーラ上昇 緑 FlyBy(High).wav;強風 Wind.wav
パラスリアナ(攻撃), 魔法放射 緑 Whiz.wav
パラスリアナ(命中), 連続描画 Anime\Wind\EFFECT_CU_Tornado(Green)[01-04].bmp 80 1.2 6 Storm.wav 下辺;クリティカル斬撃
## 神聖魔法 ##
ホーリー(準備), オーラ上昇 白 FlyBy(High).wav
ホーリー(攻撃), 魔法放射 白 Whiz.wav
ホーリー(命中), 光柱
スターライト(準備), オーラ上昇 白 FlyBy(High).wav
スターライト(攻撃), 魔法放射 白 Whiz.wav
スターライト(命中), 粒子集中 白 Charge.wav;3;粒子集中 白 Charge.wav;粒子集中 白 Charge.wav;発光 白 -.wav;フラッシュ Inori.wav
## 暗黒魔法 ##
バーサク(準備), オーラ上昇 黒 FlyBy(High).wav
バーサク(攻撃), 魔法放射 黒 Whiz.wav
バーサク(命中), -
スリープ(準備), オーラ上昇 黒 FlyBy(High).wav
スリープ(攻撃), 魔法放射 黒 Whiz.wav
スリープ(命中), -
ヘルウォーム(準備), オーラ上昇 黒 FlyBy(High).wav
ヘルウォーム(攻撃), 魔法放射 黒 Whiz.wav
ヘルウォーム(命中), 粒子噴射 黒 Chaff.wav
ジャヌーラ(準備), オーラ上昇 黒 FlyBy(High).wav
ジャヌーラ(攻撃), 魔法放射 黒 Whiz.wav
ジャヌーラ(命中), 決め画像 Anime\Animal\EFFECT_Snake01.bmp EvilEye.wav;2;発光 赤 Glass.wav
トゥマハーン(準備), オーラ上昇 黒 FlyBy(High).wav
トゥマハーン(攻撃), 魔法放射 黒 Whiz.wav;3;髑髏弾;髑髏弾;髑髏弾
トゥマハーン(命中), 炎 黒 Search.wav
バウクラッシュ(準備), オーラ上昇 黒 FlyBy(High).wav
バウクラッシュ(攻撃), 魔法放射 黒 Whiz.wav
バウクラッシュ(命中), 落下
ブラックメティオ(準備), オーラ上昇 黒 FlyBy(High).wav
ブラックメティオ(攻撃), 魔法放射 黒 Whiz.wav;3;_
@戦闘アニメ_斜め落ち共通 Anime\Hit\EFFECT_FireSlashHit(Black)01.bmp Jet.wav;_
@戦闘アニメ_斜め落ち共通 Anime\Hit\EFFECT_FireSlashHit(Black)01.bmp Jet.wav;_
@戦闘アニメ_斜め落ち共通 Anime\Hit\EFFECT_FireSlashHit(Black)01.bmp Jet.wav;_
@戦闘アニメ_斜め落ち共通 Anime\Hit\EFFECT_FireSlashHit(Black)01.bmp Jet.wav
ブラックメティオ(命中), 連続大爆発 黒 4

汎用
## 短剣 ##
カラドヴルフ, ナイフ
カラドヴルフ(攻撃), 連斬撃
カラドヴルフ(命中), 連斬撃
エアナイフ, ナイフ
エアナイフ(命中), 斬撃 Saber.wav;連続描画 Anime\Slash\EFFECT_SlashLineSide(White)[01-04].bmp 32 1.2 1 -.wav 方向判定;連続描画 Anime\Slash\EFFECT_SlashLine(White)[01-04].bmp 32 1.2 1 -.wav 方向判定
ブラッドナイフ, ナイフ
ブラッドナイフ(命中), 黒斬撃;ディレイ 2;@戦闘アニメ_オーラ上昇準備 黒 Fold.wav
ボルトナイフ, ナイフ
ボルトナイフ(攻撃), 振り上げ
ボルトナイフ(命中), 斬撃;放電
ナルコーゼ, ナイフ
ナルコーゼ(命中), 斬撃 Saber.wav;連続描画 Anime\Slash\EFFECT_SlashLineSide(White)[01-04].bmp 32 1.2 1 -.wav 方向判定;連続描画 Anime\Slash\EFFECT_SlashLine(White)[01-04].bmp 32 1.2 1 -.wav 方向判定
クロタロス, ナイフ
## 剣 ##
クリームヒルト, ソード
アバランチソード, ソード
アバランチソード(命中), 斬撃 Saber.wav
サンダーソード, 金剣
サンダーソード(命中), 雷斬撃
ファイアーソード, 炎剣
イグニートソード, 炎剣
イグニートソード(命中), 炎斬撃;連続大爆発 2
デヴァインソード, ソード
デヴァインソード(命中), 炎斬撃 白 Saber.wav
カリスソード, 振る武器 Weapon\EFFECT_FlambergeRapier1H01.bmp
ラーゼタール, 風剣
ラーゼタール(命中), 斬撃;ディレイ 2;2;@戦闘アニメ_オーラ上昇準備 緑 Charge.wav
アドラスティア, 大剣突撃
アドラスティア(命中), @戦闘アニメ_連続描画攻撃 Anime\Slash\EFFECT_SlashLine[01-04].bmp 48 3.2 1 Swing.wav 方向判定;大斬撃
バルムンク, 聖大剣
バルムンク(攻撃), 連続描画 Anime\Slash\EFFECT_SlashLineSide[01-04].bmp 48 3.2 1 Swing.wav 方向判定
バルムンク(命中), 横大斬撃
## 槍 ##
工房試作槍, スピア
カエルムスピア, 方天戟突撃(突)
カエルムスピア(命中), ダメージ 青 Stab.wav;大刺突
ヴォータンの槍・投擲, 投げ槍
ヴォータンの槍, スピア
ブリューナク, 竜騎槍
エウシュプロネ, スピア
エウシュプロネ(命中), 刺突;放電
ウインドスピア,	十字槍
ウインドスピア(命中), 刺突;強風
## 斧 ##
ダークアクス, 鋼の斧
ダークアクス(命中), 斬撃;煙 Chaff.wav
サンダーアクス, 金の斧
サンダーアクス(命中), ダメージ Crash.wav;放電
トールハンマー(ＢＷＳ), 金の斧
トールハンマー(ＢＷＳ)(命中), ダメージ Crash.wav;電撃
グルヴェイグ・投擲, 鋼の斧投擲
グルヴェイグ, 鋼の斧
タバルジン, 鋼の斧
タバルジン(命中), 大斬撃
## 弓 ##
聖弓ロスヴァイセ, 弓矢
聖弓ロスヴァイセ(命中), 刺突 -.wav;点打 Stab.wav
魔弓アペイロン, 弓矢
魔弓アペイロン(命中), 刺突 Stab.wav;放電 -.wav
## 石弓 ##
ブレンクロスボウ, クロスボウ
ブレンクロスボウ(攻撃), センタリング Reload(2).wav
ブレンクロスボウ(命中), 連続描画 Anime\Hit\EFFECT_DamageN[01-05].bmp 64 0.5 4 Stab.wav
オティヌスの弩, クロスボウ
オティヌスの弩・速射, クロスボウ
