
ロディ＝ラグナイト
###通常###
サバイバルナイフ, ナイフ
トリックスター(命中), 斬撃;ダメージ 青
ヒーリングファクター(準備), 発光 黄
ヒーリングファクター(使用), @戦闘アニメ_周囲回転準備 _GetWPBN(日本刀) Whiz.wav
ヒーリングファクター(発動), 光噴出 白 Sharara.wav
ディバイドショット(準備), 発光 黄
ディバイドショット(攻撃), 斬撃
ディバイドショット(命中), 打撃;光噴出 紫
ソウルブレイカー(準備), 発光 黄
ソウルブレイカー(攻撃), 斬撃
ソウルブレイカー(命中), 斬撃;光噴出 黒
ブラスターチャージ(準備), 発光 黄
ブラスターチャージ(攻撃), 斬撃;ＭＡＰオーラ 黄 Explode.wav
ブラスターチャージ(命中), 爆発
スラッシュレイヴ(準備), 発光 黄
スラッシュレイヴ(攻撃), 斬撃
スラッシュレイヴ(命中), 斬撃;なぎ払い
スラッシュレイヴ(クリティカル), @戦闘アニメ_斬撃命中;@戦闘アニメ_なぎ払い命中;_
　　　　　　　　　　　　　　　　@戦闘アニメ_斬撃命中;@戦闘アニメ_なぎ払い命中;_
　　　　　　　　　　　　　　　　@戦闘アニメ_斬撃命中;@戦闘アニメ_なぎ払い命中;_
　　　　　　　　　　　　　　　　@戦闘アニメ_斬撃命中;@戦闘アニメ_なぎ払い命中
ブレードギルティ(準備), 発光 黄
ブレードギルティ(攻撃), 投擲武器 _GetWPBN(日本刀(突)) 48 Whiz.wav
ブレードギルティ(命中), 点打 青;連続爆発 水色
マグナムファング(準備), 発光 黄
マグナムファング(攻撃), 振る武器突撃 -.bmp
マグナムファング(命中), 点連打 青;連続爆発 6 水色
シャドウバインド(準備), 発光 黄
シャドウバインド(攻撃), 投擲武器 _GetWPBN(日本刀(突)) 48 Whiz.wav
シャドウバインド(命中), 光噴出 黒
ダークスウィーブ(準備), 発光 黄
ダークスウィーブ(攻撃), 投擲武器 _GetWPBN(日本刀(突)) 48 Whiz.wav
ダークスウィーブ(命中), 光噴出 黒;連続爆発
フェイザーザップ(準備), 発光 黄
フェイザーザップ(攻撃), @戦闘アニメ_オーラ上昇準備 黄;斬撃
フェイザーザップ(命中), 斬撃;光噴出 青
フェイザーザップ(地)(準備), 発光 黄
フェイザーザップ(地)(攻撃), @戦闘アニメ_オーラ上昇準備 橙;斬撃
フェイザーザップ(地)(命中), 斬撃;発光 橙;ディレイ 5;岩柱
フェイザーザップ(水)(準備), 発光 黄
フェイザーザップ(水)(攻撃), @戦闘アニメ_オーラ上昇準備 水色;斬撃
フェイザーザップ(水)(命中), 斬撃;発光 水色;ディレイ 5;津波 Splash.wav
フェイザーザップ(火)(準備), 発光 黄
フェイザーザップ(火)(攻撃), @戦闘アニメ_オーラ上昇準備 赤;斬撃
フェイザーザップ(火)(命中), 斬撃;発光 赤;ディレイ 5;炎
フェイザーザップ(風)(準備), 発光 黄
フェイザーザップ(風)(攻撃), @戦闘アニメ_オーラ上昇準備 赤;斬撃
フェイザーザップ(風)(命中), 斬撃;発光 緑;ディレイ 5;竜巻 水色
フェイザーザップ(氷)(準備), 発光 黄
フェイザーザップ(氷)(攻撃), @戦闘アニメ_オーラ上昇準備 青;斬撃
フェイザーザップ(氷)(命中), 斬撃;発光 青;ディレイ 5;凍結 Freeze.wav;飛沫 青
フェイザーザップ(雷)(準備), 発光 黄
フェイザーザップ(雷)(攻撃), @戦闘アニメ_オーラ上昇準備 紫;斬撃
フェイザーザップ(雷)(命中), 斬撃;発光 紫;ディレイ 5;@戦闘アニメ_落雷攻撃 紫;飛沫 紫 -.wav
フェイザーザップ(聖)(準備), 発光 黄
フェイザーザップ(聖)(攻撃), @戦闘アニメ_オーラ上昇準備 白;斬撃
フェイザーザップ(聖)(命中), 斬撃;発光 白;ディレイ 5;大爆発 白
フェイザーザップ(闇)(準備), 発光 黄
フェイザーザップ(闇)(攻撃), @戦闘アニメ_オーラ上昇準備 黒;斬撃
フェイザーザップ(闇)(命中), 斬撃;発光 黒;ディレイ 5;大爆発 黒
インフィニティノヴァ(準備), 発光 黄
インフィニティノヴァ(攻撃), 斬撃;実弾発射 _GetWPBN(地表衝撃波(橙)) 64 速 Whiz.wav
インフィニティノヴァ(命中), 連続爆発 6
クロスディメンジョン(準備), 発光 黄
クロスディメンジョン(攻撃), 斬撃
クロスディメンジョン(命中), 光噴出 黒;オーラ 黒 Explode.wav
エースインザフォール(準備), 発光 黄
エースインザフォール(攻撃), @戦闘アニメ_オーラ上昇準備 白;振る武器突撃 -.bmp
エースインザフォール(命中), 斬撃;光噴出 白 Charge(High).wav;飛沫 白 -.wav
###フォース###
アクセラレイター, 発光 黄

セシリア＝レイン＝アーデルハイド
メイジスタッフ, 殴打武器 _GetWPBN(魔法杖３)

ジェーン＝マックスウェル
格闘, 格闘
ハンディキャノン, バズーカ _GetWPBN(フリントロック銃) 32

マクダレン＝ハーツ
ブロードソード, 剣

マザー(ＷＡ)
アルス・マグナ(攻撃), @戦闘アニメ_発光準備 緑
アルス・マグナ(命中), 飛沫 緑
Ｈ・トリス・メギストス, 特殊光線 橙
ネレゲイトハーロー, 必殺光線 橙

マザーフリード(ＷＡ)
アルス・マグナ(攻撃), @戦闘アニメ_発光準備 緑
アルス・マグナ(命中), 飛沫 緑
ファティマの奇跡(攻撃), 光球 緑
ファティマの奇跡(命中), 球体破裂 緑
セイファート小宇宙, 必殺光線 水色

ジークフリード(ＷＡ)
魔槍グラムザンバー, 竜騎槍
ジークインパルス(準備), 竜騎槍
ジークインパルス(攻撃), 打ち下ろし投擲武器 _GetWPBN(竜騎槍) 56 Whiz.wav
ジークインパルス(命中), ダメージ
ネガティブレインボウ, 虹色光線 Charge.wav

ジークツヴァイ(ＷＡ)
グラムザンバー, 竜騎槍
プロトンビーム, 中ビーム 赤

ベルセルク(ＷＡ)
ブラスターハウリング(攻撃), 魔法放射 橙 Shock(Low).wav
ブラスターハウリング(命中), 飛沫 橙
格闘, タックル
ディストラプトハンマー, 棘鉄球
ベルセルクブレイク(準備), 棘鉄球
ベルセルクブレイク(攻撃), 振り回し _GetWPBN(棘鉄球(回転)) 64
ベルセルクブレイク(命中), 連打;@戦闘アニメ_振る武器突撃攻撃 _GetWPBN(棘鉄球) 32;強打

レディ・ハーケン(ＷＡ)
ブレードギルティ(準備), 発光 赤
ブレードギルティ(攻撃), 回転投擲武器 _GetWPBN(長逆刃鎌) 40
ブレードギルティ(命中), 点打 青;連続爆発 水色
大鎌アズラエル, 斬撃武器 _GetWPBN(長逆刃鎌) 40
レイザーシルエット(準備), 発光 赤
レイザーシルエット(攻撃), 振る武器突撃 -.bmp
レイザーシルエット(命中), 斬撃突撃
ハーケン・テンペスト(準備), 発光 赤
ハーケン・テンペスト(攻撃), なぎ払い;実弾発射 _GetWPBN(波動放射(黄)) 48 速 Whiz.wav
ハーケン・テンペスト(命中), ダメージ 黄 Slash.wav
マグナムファング(準備), 発光 赤
マグナムファング(攻撃), 振る武器突撃 -.bmp
マグナムファング(命中), 点連打 青;連続爆発 6 水色

アルハザード(ＷＡ)
レーザー, 小ビーム 赤
攻撃デバイスエスペランザ(攻撃), ３ＷＡＹ射出
攻撃デバイスエスペランザ(命中), 光噴出 赤 LaserGun.wav;爆発
エレクトリッガー(攻撃), 実弾発射 _GetWPBN(爪２(黄)) 32 有線
エレクトリッガー(命中), 点打;電撃

アルハザード(正体)(ＷＡ)
レーザー, 小ビーム 赤
アルハザードシンフォニー, ２連中ビーム 赤
超電導メガクラッシュ(攻撃), 実弾発射 _GetWPBN(爪２(黄)) 32 有線
超電導メガクラッシュ(命中), 点打;大放電 紫

ゼット(ＷＡ)
ドゥームブリンガー, 野太刀
我流・一文字斬り(攻撃), なぎ払い;実弾発射 _GetWPBN(気斬(青)) 32 速 Whiz.wav
我流・一文字斬り(命中), ダメージ 青 Slash.wav
奥儀・凶刃乱舞(攻撃), 振る武器突撃 -.bmp
奥儀・凶刃乱舞(命中), 斬撃乱舞

モンスターゼット(ＷＡ)
ドゥームブリンガー, 野太刀
禁じ手・夜叉一文字(攻撃), 振る武器突撃 -.bmp
禁じ手・夜叉一文字(命中), 超斬撃 Slash.wav
秘技・花陣影殺(攻撃), @戦闘アニメ_スピン開始 緑
秘技・花陣影殺(命中), クリティカル斬撃

ブーメラン(ＷＡ)
ゼロアーマーアタック(準備), ブーメラン
ゼロアーマーアタック(攻撃), 振る武器突撃 _GetWPBN(ブーメラン) 32
ゼロアーマーアタック(命中), クリティカル斬撃
クレッセントファング, ブーメラン
ブーメラン・ダイナミック(準備), ブーメラン
ブーメラン・ダイナミック(攻撃), ブーメラン
ブーメラン・ダイナミック(命中), ブーメラン;@戦闘アニメ_ジャンプ攻撃;唐竹割り
Ｄブーメラン・ダイナミック(準備), 振る武器 _GetWPBN(ブーメラン) 32 二刀流
Ｄブーメラン・ダイナミック(攻撃), 斬撃 二刀流;回転発射 _GetWPBN(ブーメラン) 32;回転発射 _GetWPBN(ブーメラン) 32
Ｄブーメラン・ダイナミック(命中), ダメージ

ブーメランフラッシュ(ＷＡ)
魔剣ルシエド, 銀剣
Ｓブーメラン・マキシマム(攻撃), なぎ払い
Ｓブーメラン・マキシマム(命中), 超斬撃 Slash.wav
ＺＣエクスキュージョン(攻撃), 急降下
ＺＣエクスキュージョン(命中), 急降下;大爆発

ルシエド(ＷＡ)
紫電(攻撃), 落雷 紫
紫電(命中), 放電
紫電・改(攻撃), 落雷 紫
紫電・改(命中), 放電
ブラックファング(攻撃), 格闘
ブラックファング(命中), 噛み付き
ラージムーン, スーパーダイブ 黄

アースガルズ(ＷＡ)
バリア(対消滅バリア), バリア - 対消滅バリア 水色
バリア発動(対消滅バリア), バリア - 対消滅バリア 水色
格闘, タックル
対消滅バリア(攻撃), @戦闘アニメ_エネルギーフィールド展開準備 Charge(Silent).wav
対消滅バリア(命中), 飛沫 青

リリティア(ＷＡ)
格闘, タックル
コールドスリープ(攻撃), 小ビーム 青
コールドスリープ(命中), 凍結 Freeze.wav;飛沫 青
アイスビーム, 中ビーム 青
アブソリュート・ゼロ, 必殺光線 青 Charge(Silent).wav

ディアブロ(ＷＡ)
格闘, タックル
フレイムシューター(攻撃), 火炎弾 AntiAirMissile.wav
フレイムシューター(命中), 爆発
クリムゾンストーム, 必殺光線 橙 Breath.wav
ローリングアタック, スーパータックル 赤

バルバトス(ＷＡ)
アシッドミサイル, ＭＡＰミサイル
格闘, タックル
ランドマスター, 小型ミサイル 4
ジオストーム(攻撃), -
ジオストーム(命中), 落盤;落盤
リニアレールキャノン(攻撃), 大キャノン砲
リニアレールキャノン(命中), 大爆発

リヴァイアサン(ＷＡ)
格闘, タックル
トライデント, 刺突
リアクタートーピード(攻撃), ミサイル
リアクタートーピード(命中), 爆発
オーロラデストラクション(攻撃), 実弾発射 _GetWPBN(波動放射(青)) 48 速 Whiz.wav
オーロラデストラクション(命中), 爆発
ディープシーサイクロン, 水流

ベリアル(ＷＡ)
格闘, タックル
ジェノサイドフレア, 火炎放射
パイルバンカー(攻撃), 格闘
パイルバンカー(命中), 点打 Bazooka.wav
ブレードランス(準備), -
ブレードランス(攻撃), 振り下ろし
ブレードランス(命中), 強打

ルシファア(ＷＡ)
格闘, タックル
フォトンボウガン(準備), -
フォトンボウガン(攻撃), 実弾発射 _GetWPBN(光矢(黄)) 48 Beam.wav
フォトンボウガン(命中), 爆発
セフィロト, 大ビーム 黄
ビームフェンサー(準備), エナジーブレード 緑
ビームフェンサー(攻撃), なぎ払い 緑
ビームフェンサー(命中), 大刺突 緑

セト(ＷＡ)
格闘, タックル
イービルクェーサー(攻撃), 光球 黒
イービルクェーサー(命中), 爆発
メギドフレイム(攻撃), 光矢連射 橙 Beam(4Shot).wav
メギドフレイム(命中), 連続爆発
アーマゲドン(攻撃), 内蔵チェーンガン 橙 Beam(8Shot).wav
アーマゲドン(命中), 連続爆発 8
ブラックホールバレット, 重力弾

ＷＡ
###紋章魔法###
ヒール(使用), 発光 青 Whiz.wav
ヒール(発動), 回復魔法
リヴァイブ(使用), 発光 青 Whiz.wav
リヴァイブ(発動), 光噴出 白 Sharara.wav
モーニングコール(使用), 発光 青 Whiz.wav
モーニングコール(発動), 決め画像 _GetWPBN(目覚まし時計) AlarmClock.wav
クイック(使用), 発光 青 Whiz.wav
クイック(発動), オーラ上昇 水色 FlyBy(High).wav;決め文字 "RES" 白 -.wav
エアスクリーン(使用), 発光 青 Whiz.wav
エアスクリーン(発動), 竜巻 緑 Whiz.wav
シールド(使用), 発光 青 Whiz.wav
シールド(発動), オーラ上昇 白;決め文字 "DFP" 白 -.wav
プロテクト(使用), 発光 青 Whiz.wav
プロテクト(発動), オーラ上昇 白;決め文字 "MGR" 白 -.wav
フィールド(使用), 発光 青 Whiz.wav
フィールド(発動), 光噴出 白 Charge.wav
マイトボディ(使用), 発光 青 Whiz.wav
マイトボディ(発動), 光噴出 橙 Charg.wav
サクション(使用), 発光 青 Whiz.wav
サクション(発動), エネルギーフィールド展開 緑 BeamCoat.wav
リフレクト(使用), 発光 青 Whiz.wav
リフレクト(発動), エネルギーフィールド展開 橙 BeamCoat.wav
ハイド(使用), 発光 青 Whiz.wav
ハイド(発動), 魔法陣 黄 Charge.wav;透明化;光噴出 黄 -.wav
ライトウェポン(使用), 発光 青 Whiz.wav
ライトウェポン(発動), オーラ上昇 白
ダークウェポン(使用), 発光 青 Whiz.wav
ダークウェポン(発動), オーラ上昇 黒
ブレイク(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav
ブレイク(命中), 落盤
フリーズ(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav;小ビーム 青 チャージなし
フリーズ(命中), 凍結 Freeze.wav;飛沫 青
フレイム(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav;火炎放射
フレイム(命中), 連続爆発
ヴォルテック(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav
ヴォルテック(命中), 竜巻
スパーク(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav;落雷 紫
スパーク(命中), 飛沫 紫 -.wav;放電
ブラスト(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav;魔法放射 水色 -.wav
ブラスト(命中), 連続爆発
ヴァルキリー(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav;８ＷＡＹ射出 Beam(8Shot).wav
ヴァルキリー(命中), 連続爆発 8
アーマーダウン(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav
アーマーダウン(命中), 光噴出 青 PowerDown(2).wav;飛沫 青
スロウダウン(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav
スロウダウン(命中), 光噴出 紫 Charge(Silent).wav;飛沫 紫
フラッシュ(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav;フラッシュ 白
フラッシュ(命中), 飛沫 水色
マジックシール(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav
マジックシール(命中), 光噴出 緑 PowerDown(2).wav;飛沫 橙
スリープ(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav
スリープ(命中), 煙 Explode(Small).wav
コンフュージョン(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav;魔法放射 紫 Charge(Silent).wav
コンフュージョン(命中), 飛沫 紫
プリズン(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav;光球 白
プリズン(命中), 飛沫 白;光噴出 紫 Charge.wav
ディスペル(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav
ディスペル(命中), 飛沫 白
アナライズ(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav
アナライズ(命中), @ＳＰアニメ_偵察 - 対象ユニットＩＤ
ハイ・ヒール(準備), オーラ上昇 青
ハイ・ヒール(使用), 発光 青 Whiz.wav
ハイ・ヒール(発動), 回復魔法;光噴出 紫 Sharara.wav
ヒール・プラス(準備), オーラ上昇 青
ヒール・プラス(使用), 発光 青 Whiz.wav
ヒール・プラス(発動), 回復魔法;光噴出 黄 Sharara.wav
レストア(準備), オーラ上昇 青
レストア(使用), 発光 青 Whiz.wav
レストア(発動), 回復魔法
ハイ・リヴァイブ(準備), オーラ上昇 青
ハイ・リヴァイブ(使用), 発光 青 Whiz.wav
ハイ・リヴァイブ(発動), 光柱 白 Sharara.wav
ライフガード(準備), オーラ上昇 青
ライフガード(使用), 発光 青 Whiz.wav
ライフガード(発動), オーラ上昇 橙
カウンターアップ(準備), オーラ上昇 青
カウンターアップ(使用), 発光 青 Whiz.wav
カウンターアップ(発動), 粒子集中 白
ハイパー(準備), オーラ上昇 青
ハイパー(使用), 発光 青 Whiz.wav
ハイパー(発動), オーラ上昇 赤 Charge(High).wav;決め文字 "ATP" 白 -.wav
ハイ・シールド(準備), オーラ上昇 青
ハイ・シールド(使用), 発光 青 Whiz.wav
ハイ・シールド(発動), オーラ上昇 白;決め文字 "DFP" 白 -.wav
ダミードール(準備), オーラ上昇 青
ダミードール(使用), 発光 青 Whiz.wav
ダミードール(発動), 決め文字 "◆" 白 EvilEye.wav
ステータスロック(準備), オーラ上昇 青
ステータスロック(使用), 発光 青 Whiz.wav
ステータスロック(発動), オーラ上昇 青
ソウルサバイブ(準備), オーラ上昇 青
ソウルサバイブ(使用), 発光 青 Whiz.wav
ソウルサバイブ(発動), 周囲回転 _GetEFBN(光球) Whiz.wav
アンチマジック(準備), オーラ上昇 青
アンチマジック(使用), 発光 青 Whiz.wav
アンチマジック(発動), 魔法陣 白 Whiz.wav
ハイ・リフレクト(準備), オーラ上昇 青
ハイ・リフレクト(使用), 発光 青 Whiz.wav
ハイ・リフレクト(発動), エネルギーフィールド展開 橙 BeamCoat.wav
スーサイダルボム(準備), オーラ上昇 青
スーサイダルボム(使用), 発光 青 Whiz.wav
スーサイダルボム(発動), 周囲回転 _GetEFBN(光球) Whiz.wav;光噴出 白 Charge.wav
ハイ・ブレイク(準備), オーラ上昇 紫
ハイ・ブレイク(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav
ハイ・ブレイク(命中), 落盤;落盤
ハイ・フリーズ(準備), オーラ上昇 紫
ハイ・フリーズ(攻撃), @戦闘アニメ_オーラ上昇準備 紫;@戦闘アニメ_発光準備 紫 Whiz.wa;中ビーム 青 チャージなし
ハイ・フリーズ(命中), 凍結 Freeze.wav;飛沫 青
ハイ・フレイム(準備), オーラ上昇 紫
ハイ・フレイム(攻撃), @戦闘アニメ_オーラ上昇準備 紫;@戦闘アニメ_発光準備 紫 Whiz.wav;火炎放射
ハイ・フレイム(命中), 連続爆発 6
ハイ・ヴォルテック(準備), オーラ上昇 紫
ハイ・ヴォルテック(攻撃), @戦闘アニメ_オーラ上昇準備 紫;@戦闘アニメ_発光準備 紫 Whiz.wav
ハイ・ヴォルテック(命中), 連続描画 Anime\Common\EFFECT_Tornado[01-04].bmp 64 4 4 Storm.wav;クリティカル斬撃
ハイ・スパーク(準備), オーラ上昇 紫
ハイ・スパーク(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav;落雷 紫
ハイ・スパーク(命中), 電撃;放電
セイント(準備), オーラ上昇 紫
セイント(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav;特殊光線 白
セイント(命中), 特殊光線 白
ダークネス(準備), オーラ上昇 紫
ダークネス(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav;特殊光線 黒
ダークネス(命中), 特殊光線 黒
レインボウ(準備), オーラ上昇 紫
レインボウ(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav;虹色光線 LaserGun.wav
レインボウ(命中), 虹色光線 LaserGun.wav
ハイ・ブラスト(準備), オーラ上昇 紫
ハイ・ブラスト(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav;魔法放射 水色 -.wav
ハイ・ブラスト(命中), 連続爆発;大爆発
ライフドレイン(準備), オーラ上昇 紫
ライフドレイン(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav
ライフドレイン(命中), 吸収 赤
マジックドレイン(準備), オーラ上昇 紫
マジックドレイン(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav
マジックドレイン(命中), 吸収 緑
ラッキーシュート(準備), オーラ上昇 紫
ラッキーシュート(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav;魔法放射 紫 Sharara.wav
ラッキーシュート(命中), 飛沫 緑
イレイザー(準備), オーラ上昇 紫
イレイザー(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav
イレイザー(命中), 光噴出 紫 Charge.wav;飛沫 白
パニッシュ(準備), オーラ上昇 紫
パニッシュ(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav
パニッシュ(命中), 光噴出 白 PowerDown.wav
ハイ・プリズン(準備), オーラ上昇 紫
ハイ・プリズン(攻撃), @戦闘アニメ_発光準備 紫 Whiz.wav;光球 白
ハイ・プリズン(命中), 飛沫 白;光噴出 紫 Charge.wav
###解説###
Ｄブーメラン・ダイナミック(解説), $(ユニット)はダブル・ブーメラン・ダイナミックで攻撃をかけた。
Ｓブーメラン・マキシマム(解説), $(ユニット)はシャドウブーメラン・マキシマムで攻撃をかけた。
ＺＣエクスキュージョン(解説), $(ユニット)はゼロカウント・エクスキュージョンで攻撃をかけた。
