
ＷＡ
サバイバルナイフ(命中), 1;Swing.wav;Slash.wav
ブレード(命中), 1;Swing.wav;Slash.wav
アルス・マグナ, Whiz.wav
ヘルメス・トリス・メギストス, Whiz.wav
ネレゲイトハーロー, Whiz.wav
ファティマの奇跡, Whiz.wav
セイファート小宇宙, LaserGun.wav
ミスリルワイヤー, Bow.wav
ミスリルワイヤー(命中), Whip.wav
魔槍グラムザンバー(命中), 1;Swing.wav;Stab.wav
ジークインパルス, Swing.wav
ジークインパルス(命中), Stab.wav
ネガティブレインボウ, Beam.wav
プロトンビーム, Beam.wav
ブラスターハウリング, Shock(Low).wav
ディストラプトハンマー, Swing.wav
ディストラプトハンマー(命中), Explode.wav
ベルセルクブレイク, Swing.wav
ベルセルクブレイク(命中), 5;Explode.wav;Crash.wav
大鎌アズラエル(命中), 1;Swing.wav;Stab.wav
レイザーシルエット(命中), 1;Swing.wav;Stab.wav
ハーケン・テンペスト, Saber.wav
ハーケン・テンペスト(命中), Slash.wav
エスペランザ, 1;Saber.wav;Saber.wav
エスペランザ(命中), Explode.wav
エレクトリッガー, Bow.wav
エレクトリッガー(命中), 4;Stab.wav;Thunder.wav
アルハザードシンフォニー, Beam.wav
超電導メガクラッシュ, Bow.wav
超電導メガクラッシュ(命中), 4;Stab.wav;Thunder.wav
我流・一文字斬り, Saber.wav
我流・一文字斬り(命中), Slash.wav
破壊丸ドゥームブリンガー(命中), 1;Swing.wav;Slash.wav
奥儀・凶刃乱舞(命中), 1;Swing.wav;Slash.wav
禁じ手・夜叉一文字(命中), 1;Swing.wav;Slash.wav
秘技・花陣影殺(命中), 1;Swing.wav;Slash.wav
クレッセントファング, Swing.wav
クレッセントファング(命中), Punch.wav
ゼロアーマーアタック(命中), Explode.wav
ブーメラン・ダイナミック, Swing.wav
ブーメラン・ダイナミック(命中), Explode.wav
ダブル・Ｂ・ダイナミック, 4;Swing.wav;Swing.wav
ダブル・Ｂ・ダイナミック(命中), 4;Explode.wav;Explode.wav
魔剣ルシエド(命中), 1;Swing.wav;Slash.wav
シャドウ・Ｂ・マキシマム(命中), 1;Swing.wav;Slash.wav
ＺＣエクスキュージョン, Missile.wav
ＺＣエクスキュージョン(命中), Stab.wav
紫電, Thunder.wav
紫電・改, Thunder.wav
ウルフファング(命中), Saber.wav
ブラックダッシュ(命中), Saber.wav
レーザー, LaserGun.wav
対消滅バリアブレイク, BeamCoat.wav
#バリア発動(対消滅バリア), BeamCoat.wav
コールドスリープ, Whiz.wav
#コールドスリープ(クリティカル), Glass.wav
アブソリュートゼロ, Whiz.wav
アブソリュートゼロ(命中), 3;Glass.wav;3;Glass.wav;3;Glass.wav
フレイムシューター, Fire.wav
クリムゾンストーム, Storm.wav
クリムゾンストーム(命中), Fire.wav
ローリングアタック(命中), Crash.wav
アシッドミサイル, MultipleRocketLauncher(Light).wav
#アシッドミサイル(クリティカル), Bubble.wav
ジオストーム, Storm.wav
ランドマスター, Missile.wav
ランドマスター(命中), Explode.wav
リニアレールキャノン, 5;Thunder.wav;Warship.wav
リニアレールキャノン(命中), Explode.wav
トライデント(命中), 1;Swing.wav;Stab.wav
ディープシーサイクロン, 2;Swing.wav;2;Swing.wav;2;Swing.wav
ディープシーサイクロン(命中), Explode.wav
オーロラデストラクション, Shock(Low).wav
オーロラデストラクション(命中), Crash.wav
リアクタートーピード, Missile.wav
リアクタートーピード(命中), Explode(Nuclear).wav
ジェノサイドフレア, Fire.wav
パイルバンカー, Missile.wav
パイルバンカー(命中), 1;Swing.wav;Stab.wav
ブレードランス(命中), 1;Swing.wav;Crash.wav
フォトンボウガン, 3;Bow.wav;Beam.wav
セフィロト, LaserGun.wav
ビームフェンサー(準備), BeamSaber.wav
ビームフェンサー(命中), 1;Swing.wav;Slash.wav
イービルクェーサー, Beam.wav
メギドフレイム, Fire.wav
アーマゲドン, Storm.wav
ブラックホールバレット, 15;Warship.wav;Shock(Low).wav
###解説###
ダブル・Ｂ・ダイナミック(解説), $(ユニット)はダブル・ブーメラン・ダイナミックで攻撃をかけた。
シャドウ・Ｂ・マキシマム(解説), $(ユニット)はシャドウ・ブーメラン・マキシマムで攻撃をかけた。
ＺＣエクスキュージョン(解説), $(ユニット)はゼロカウント・エクスキュージョンで攻撃をかけた。
