
ダークストーカー
デビルストライク, 打突
連ね斬り(命中), 斬撃;斬撃;斬撃;斬撃;斬撃;斬撃
鬼首捻り, 立ち固め
黄金帷子, 炎 黄
ローリングフィン, アッパー
スクリュージェット, タックル
ポイズンブレス, 煙噴射 黒
ジェムズアンガー(攻撃), 光球 白;光球 白;光球 白;光球 白;光球 白;光球 白
ジェムズアンガー(命中), 乱打
クリスタルランサー, 立ち固め
ダイレクトシザーズ, なぎ払い
トリックフィッシュ, キック
シーレイジ, 津波
ウォータージェイル(攻撃), 光球 緑 Splash.wav
ウォータージェイル(命中), 飛沫 緑 Splash.wav
アクアスプレッド(命中), 光柱 Splash.wav
ビッグトラップ(攻撃), 斬撃
ビッグトラップ(命中), 投げ飛ばし
ビッグスタンプ, 打突
ビッグスノー(攻撃), 氷弾
ビッグスノー(命中), 凍結 glass.wav
ビッグブレス(攻撃), 煙噴射 白
ビッグブレス(命中), 凍結 glass.wav
ビッグタイフーン, キック
ビッグタイフーン(クリティカル), 凍結 glass.wav
Ｍ．Ａ．Ｐ．Ｓ．(命中), 爆発
ビッグタワーズ, 氷柱
ビッグブロウ(攻撃), 打突
ビッグブロウ(命中), 超打
ビッグブランチ, 立ち固め
ビッグスイング, ジャイアントスイング
ビッグフリーザー, 大ビーム 白
ビッグアイスバーン(命中), 落下 Splash.wav
ビッグスレッジ(攻撃), 打突
ビッグスレッジ(命中), 踏み潰し;スーパータックル
メリーターン, なぎ払い;なぎ払い
ソウルフラッシュ, 光球
ミスティックアロー, 投げ飛ばし
シャイニングブレイド(攻撃), アッパー
シャイニングブレイド(命中), アッパー Slash.wav
スプレンダーラブ(攻撃), アッパー
スプレンダーラブ(命中), 乱打
ルミナスイリュージョン, 分身斬撃
マインドレスドール, 分身 BeamSaber.wav マインドレスドール
針, 刺突
蜂(攻撃), ニードル連射 Flyby.wav
蜂(命中), ニードル連射 Combo.wav
Ｓ×ｐ, 連突
ΔＡ, スーパーキック
Ｏ．Ｍ．, 刺突
Ｒ．Ｍ．, 刺突
Ｑｊ(攻撃), 光球 -.wav
Ｑｊ(命中), 飛沫 白 Splash.wav
＋Ｂ(攻撃), ニードル連射 Flyby.wav
＋Ｂ(命中), ニードル連射 Combo.wav
サングェ＝パッサーレ(攻撃), 打突
サングェ＝パッサーレ(命中), 大爆発
ディオ＝セーガ(攻撃), 鎌投擲
ディオ＝セーガ(命中), 強風
イラ＝ピアノ(攻撃), 強風 対象ユニットＩＤ Storm.wav
イラ＝ピアノ(命中), 斬撃乱舞
イラ＝スピンタ(攻撃), ヘッドバット;強風 対象ユニットＩＤ Storm.wav
イラ＝スピンタ(命中), 斬撃乱舞
スプレジオ(命中), 強打
ネロ＝ファティカ(攻撃), 重力弾
ネロ＝ファティカ(命中), 発光 黒 BeamSaber.wav;大斬撃
フィナーレ＝ロッソ(命中), 乱打;強打 Splash.wav
プロヴァ＝ディ＝セルヴォ(命中), 連打
シールド防御(デミトリ＝マキシモフ), マント Swing.wav 赤 マント

エイリアン
コンフュージョナー(攻撃), 小型ミサイル
コンフュージョナー(命中), 放電
スラムディスクＥＸ, 鉄球
サーキットスクラッパー, 投げ飛ばし
マイトランチャー, グレネード
ジェノサイドバルカン(攻撃), デフォルト
ジェノサイドバルカン(命中), 打撃;バルカン
プラズマトラップ(攻撃), デフォルト
プラズマトラップ(命中), 放電
プラズマビーム, 小ビーム 青
リフレクトウォール(準備), 突く武器 Shield\EFFECT_BeamShield(Pink)01.bmp BeamSaber.wav 発光
リフレクトウォール(命中), 強打
イレイジングスフィア(攻撃), 光投射 白
イレイジングスフィア(命中), 連続大爆発
ファイナルガーディアンβ(攻撃), 機関砲
ファイナルガーディアンβ(命中), 機関砲;重機関砲;ガトリング
ノヴァプロミネンス(攻撃), 炎 赤 対象ユニットＩＤ
コロナウィップ(準備), -
コロナウィップ(攻撃), 炎 赤 対象ユニットＩＤ
コロナウィップ(命中), 投げ飛ばし
オービターブレイズ(攻撃), 炎 赤 対象ユニットＩＤ
オービターブレイズ(攻撃), なぎ払い
ソルスマッシャー(攻撃), 大キャノン砲
ソルスマッシャー(命中), 炎 赤
プラネットバーニング(準備), -
プラネットバーニング(攻撃), 炎 赤 対象ユニットＩＤ
プラネットバーニング(命中), ドライバー
ゾディアックファイア(攻撃), スーパータックル 赤 Fire.wav
ゾディアックファイア(命中), スーパータックル 赤 Fire.wav
パイルドヘル(攻撃), 炎 赤 対象ユニットＩＤ
パイルドヘル(命中), 火柱
コスモディスラプション(命中), 連続大爆発
シャイニングジェミニ, 分身 BeamSaber.wav シャイニングジェミニ

ダークハンター
シャリールマルナ(攻撃), -
シャリールマルナ(命中), 投げ飛ばし
ブリザードソード, 凍結
キルシュレッド, 回転投擲 Weapon\EFFECT_BlackSword01.bmp 遅
ソードグラップル(攻撃), -
ソードグラップル(命中), 斬撃乱舞
ライトニングソード(準備), -
ライトニングソード(攻撃), 乱突 Thunder.wav
ライトニングソード(命中), 乱突
イフリートソード(攻撃), 振り上げ
イフリートソード(命中), 炎 赤
スレイシュレッド, 回転投擲 Weapon\EFFECT_BlackSword01.bmp 遅
プレスオブデス(命中), 強打
チェンジイモータル(攻撃), スーパータックル 黒
チェンジイモータル(命中), スーパータックル 黒;電撃
車怒流, 爪撃
斬破, 斬撃乱舞
旋風舞, スーパータックル
暗器砲(攻撃), 鉄球
暗器砲(攻撃), 岩
暗器砲(攻撃), トマホーク投擲
暗器砲(攻撃), ハンマー投擲
暗器砲(攻撃), 手裏剣
暗器砲(攻撃), クナイ
暗器砲(攻撃), ブーメラン
暗器砲(攻撃), 扇子
暗器砲(攻撃), 回転投擲 Weapon\EFFECT_IronClaw01.bmp 遅
暗器砲(攻撃), 回転投擲 Weapon\EFFECT_WoodHammer01.bmp 遅
暗器砲(命中), 打撃
返響器, 音波
放天撃(攻撃), 打突
放天撃(命中), 投げ飛ばし;斬撃乱舞
地霊刀(攻撃), -
地霊刀(命中), アッパー Sword.wav
天雷破(攻撃), デフォルト Shock(Low).wav
天雷破(命中), 乱打;乱打
中華弾, 爆弾
斜断躯, なぎ払い
怒牙, 爪撃
バスケット(攻撃), 斬撃
バスケット(命中), 打突
チアー＆ファイアー, 火炎放射 赤
センチメンタルタイフーン(命中), 投げ飛ばし
シャイネス＆ストライク(攻撃), 斬撃
シャイネス＆ストライク(命中), 強打
クールハンティング(攻撃), マシンガン
クールハンティング(命中), ヘビーマシンガン
ビューティフルメモリー(攻撃), タックル
ビューティフルメモリー(命中), 連斬撃;打撃;打撃;投げ飛ばし Splash.wav
アップルフォーユー(準備), 爆弾
アップルフォーユー(攻撃), -
アップルフォーユー(命中), 大爆発

