#月と貴女に花束を・ｆｏｒ・ＳＲＣデータ
#エフェクトデータ
#------------------------------------------------------------------------------
汎用
格闘, Punch.wav
極彩色の光(準備), Hittyuu.wav
極彩色の光, LaserGun.wav
極彩色の光(命中), 1;Explode.wav;2;Explode.wav;2;Explode.wav;2;Explode.wav
極彩色の光球(準備), Charge(High).wav
極彩色の光球, Warship.wav
極彩色の光球(命中), Explode(Long).wav
古き月の波動(準備), 1;Hittyuu.wav;5;Charge(High).wav
古き月の波動, MultipleRocketLauncher.wav
古き月の波動(命中), Explode(Nuclear).wav
阻止(光の奔流), Charge.wav
阻止(極彩色の咆哮), GunPod.wav
変身(月森冬馬), 1;Charge.wav;5;Glass.wav
ハイパーモード(『古き月の力』), Charge(2).wav
ノーマルモード, -
攻撃無効化(冷気の壁), Hittyuu.wav
バリア貫通(冷気の壁), Glass.wav
氷の礫, 1;Bow.wav;1;Bow.wav;1;Bow.wav
氷の礫(命中), 1;BreakOff.wav;2;BreakOff.wav;2;BreakOff.wav
天使の鉄槌(準備), BeamSaber.wav
天使の鉄槌, EvilEye.wav
天使の鉄槌(命中), BeamCoat.wav
純白の神鳥(準備), Charge.wav
純白の神鳥, MicroMissile.wav
純白の神鳥(命中), Shock(Low).wav
ヒーリング, Hittyuu.wav
マインドヒール, Hittyuu.wav
雷華夢想・飛刀, 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav
雷華夢想・飛刀(命中), 1;Stab.wav;2;Stab.wav;2;Stab.wav
雷華夢想・降雨(準備), Thunder.wav
雷華夢想・降雨, 1;Thunder.wav;3;Thunder.wav;3;Thunder.wav
雷華夢想・降雨(命中), Explode.wav
雷華夢想・翔破(準備), BeamSaber.wav
雷華夢想・翔破, Beam.wav
雷華夢想・翔破(命中), Slash.wav
雷華夢想・翔破(クリティカル), 1;BeamSaber.wav;5;Explode.wav
雷華夢想・御剣(準備), BeamSaber.wav
雷華夢想・御剣, 1;Swing.wav;2;Swing.wav
雷華夢想・御剣(命中), 1;Slash.wav;2;Slash.wav
雷華夢想・蒼龍(準備), BeamSaber.wav
雷華夢想・蒼龍, 1;MultipleRocketLauncher.wav
雷華夢想・蒼龍(命中), Thunder.wav
雷華夢想・閃(準備), Thunder.wav
雷華夢想・閃, Glass.wav
雷華夢想・閃(命中), Shock(Low).wav
雷華夢想・閃(クリティカル), 1;Thunder.wav;2;Thunder.wav;2;Thunder.wav;2;Thunder.wav;2;Thunder.wav
攻撃無効化(炎の壁), Fire.wav
バリア貫通(炎の壁), Explode.wav
炎の鞭, Whip.wav
炎の鞭(命中), Explode(Small).wav
無炎殺(準備), -
無炎殺, Snap(E).wav
無炎殺(命中), 10;Explode(Long).wav
火炎弾, 1;Fire.wav;5;Missile.wav
火炎弾(命中), Explode.wav
紅蓮の飛礫, 1;Bow.wav;3;Bow.wav;3;Bow.wav
紅蓮の飛礫(命中), 1;Explode.wav;3;Explode.wav;3;Explode.wav
爆炎槍, 1;Fire.wav;5;Cannon.wav;5;Cannon.wav;5;Cannon.wav
爆炎槍(命中), Explode(Long).wav
太陽落とし, 1;Cannon.wav;10;Bomb.wav
太陽落とし(命中), Explode(Nuclear).wav
炎の突撃, Stairs(Run).wav
炎の突撃(命中), 1;Crash.wav;5;Fire.wav
ハウル・オブ・ヒート, -
ハウル・オブ・ヒート(命中), 15;Fire.wav
ハウル・オブ・ヒート(クリティカル), -
変身(都築静華(赤狼)), Fire.wav
光爪斬(準備), BeamSaber.wav
光爪斬, Swing.wav
光爪斬(命中), Slash.wav
黄金の炎, Swing.wav
黄金の炎(命中), Fire.wav
黄金の槍, Beam.wav
黄金の槍(命中), Stab.wav
反射(鏡反照), 1;Charge(2).wav;10;Glass.wav
当て身技(鏡反照), 1;Charge(2).wav
鏡反照, Glass.wav
鏡反照(命中), BeamCoat.wav
獣鳴斬, Jet.wav
獣鳴斬(命中), Slash.wav
獣鳴斬(クリティカル), 1;Jet.wav;5;Slash.wav
獣鳴斬(温羅), Jet.wav
獣鳴斬(温羅)(命中), Slash.wav
獣鳴斬(温羅)(クリティカル), 1;Jet.wav;5;Slash.wav
龍鳴波, MicroMissile.wav
龍鳴波(命中), Explode.wav
龍鳴波(クリティカル), MicroMissile.wav
龍鳴波・二連, MicroMissile.wav
龍鳴波・二連(命中), Explode(Far).wav
龍鳴波・二連(クリティカル), MicroMissile.wav
龍鳴波・三連, MicroMissile.wav
龍鳴波・三連(命中), Explode(Long).wav
龍鳴波・三連(クリティカル), MicroMissile.wav
氷剣(準備), Wind.wav
氷剣, Swing.wav
氷剣(命中), Slash.wav
冷球, Bazooka.wav
冷球(命中), BreakOff.wav
氷槍(準備), Wind.wav
氷槍, Swing.wav
氷槍(命中), Stab.wav
迎撃(柚本真矢), Cannon.wav
攻撃無効化(フリージングチェーン), Hittyuu.wav
バリア貫通(フリージングチェーン), 飛沫 白 Glass.wav
フリージングチェーン(準備), Wind.wav
フリージングチェーン, Cannon.wav
フリージングチェーン(命中), Stab.wav
フリージングチェーン(クリティカル), Glass.wav
Ｆ・チェーンⅡ(準備), Wind.wav
Ｆ・チェーンⅡ, 1;Cannon.wav;2;Cannon.wav
Ｆ・チェーンⅡ(命中), 1;Stab.wav;3;Stab.wav
Ｆ・チェーンⅡ(クリティカル), Glass.wav
Ｆ・チェーンⅢ(準備), Wind.wav
Ｆ・チェーンⅢ, 1;Cannon.wav;2;Cannon.wav;2;Cannon.wav
Ｆ・チェーンⅢ(命中), 1;Stab.wav;3;Stab.wav;3;Stab.wav
Ｆ・チェーンⅢ(クリティカル), Glass.wav
Ｆ・チェーンⅣ(準備), Wind.wav
Ｆ・チェーンⅣ, 1;Cannon.wav;2;Cannon.wav;2;Cannon.wav;2;Cannon.wav
Ｆ・チェーンⅣ(命中), 1;Stab.wav;3;Stab.wav;3;Stab.wav;3;Stab.wav
Ｆ・チェーンⅣ(クリティカル), Glass.wav
フリージングコフィン(準備), Wind.wav
フリージングコフィン, Storm.wav
フリージングコフィン(命中), EvilEye.wav
フリージングコフィン(クリティカル), Glass.wav
獣気掌, PowerDown.wav
獣気掌(命中), Tub.wav
結界発動, BeamSaber.wav
攻撃無効化(広域結界), BeamCoat.wav
バリア発動(広域結界), BeamCoat.wav
バリア貫通(広域結界), Glass.wav
獣気刀, Swing.wav
獣気刀(命中), Slash.wav
凍風(準備), Wind.wav
凍風, Storm.wav
凍風, EvilEye.wav
白い風(準備), Wind.wav
白い風, Storm.wav
白い風(命中), 1;EvilEye.wav;5;Explode(Far).wav
落雷, Thunder.wav
落雷(命中), Explode.wav
雷の鞭, Whip.wav
雷の鞭(命中), BeamSaber.wav
雷公鞭, Whip.wa
雷公鞭, Thunder.wav
雷帝(準備), Charge(2).wav
雷帝, 1;Thunder.wav;3;Thunder.wav;3;Thunder.wav;3;Thunder.wav
雷帝(命中), Explode(Long).wav
火竜昇, Swing.wav
火竜昇(命中), 1;FightHit(1).wav;4;Fire.wav
竜炎掌, Shock(Low).wav
竜炎掌(命中), Explode.wav
火竜閃, Punch.wav
火竜閃(命中), Explode(Long).wav
火竜閃乱舞, 1;Punch(4).wav;5;Punch(4).wav;5;Combo.wav
火竜閃乱舞(命中), 1;Explode.wav;3;Explode.wav;3;Explode.wav;5;Explode(Long).wav
紅蓮闘衣, Fire.wav
堕落纏, Swing.wav
堕落纏(命中), Search.wav
闇薙ぎ(準備), BeamSaber.wav
闇薙ぎ, 1;Saber.wav;2;Saber.wav
闇薙ぎ(命中), ;1Slash.wav;2;Slash.wav
暗黒剣舞, Hide.wav
暗黒剣舞(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav

#------------------------------------------------------------------------------
妖術士
虚空の魔手, Search.wav
虚空の魔手(命中), -
虚空の魔手(クリティカル), Stab.wav
闇の重圧, Interference.wav
闇の重圧(命中), -
爆裂球, Cannon.wav
爆裂球(命中), Explode.wav
暗闇の鷹, 1;Bow.wav;2;Bow.wav;2;Bow.wav;2;Bow.wav;2;Bow.wav
暗闇の鷹(命中), 1;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav
紅蓮の炎塔(準備), Reload.wav
紅蓮の炎塔, -
紅蓮の炎塔(命中), Fire.wav
爆ぜる妖蝶, UnitOn.wav
爆ぜる妖蝶(命中), Explode(Small).wav
妖蝶の舞(準備), Hide.wav
妖蝶の舞, Wind.wav
妖蝶の舞(命中), Explode.wav
炎球, Cannon.wav
炎球(命中), Explode.wav
妖蝶演舞(準備), Hittyuu.wav
妖蝶演舞, Hide.wav
妖蝶演舞(命中), Explode(Long).wav
羽ばたき, Whiz.wav
羽ばたき(命中), Shock(Low).wav
突進, Jet.wav
突進(命中), Crash.wav
爪, FlyBy.wav
爪(命中), Slash.wav
爆ぜる吐息, FastGun.wav
爆ぜる吐息(命中), 1;Explode.wav;3;Explode.wav;3;Explode.wav
白色の吐息, LaserGun.wav
白色の吐息(命中), Explode(Far).wav
三日月波, Whiz.wav
三日月波(命中), Slash.wav
黒点魔球(準備), Charge.wav
黒点魔球, Warship.wav
黒点魔球(命中), Explode.wav

#------------------------------------------------------------------------------
悪魔族
幻術, EvilEye.wav
幻術(命中), -
幻術(クリティカル), Fold.wav
蒼の衝撃, GunPod.wav
蒼の衝撃(命中), Crash.wav
風の呪符(準備), Page.wav
風の呪符, 1;Swing.wav;3;Storm.wav
風の呪符(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
雷の呪符(準備), Page.wav
雷の呪符, 1;Swing.wav;3;Thunder.wav
雷の呪符(命中), BeamSaber.wav
火の呪符(準備), Page.wav
火の呪符, 1;Swing.wav;3;Breath.wav
火の呪符(命中), Fire.wav
破砕の呪符(準備), Page.wav
破砕の呪符, Swing.wav
破砕の呪符(命中), Explode(Long).wav
百花繚乱(準備), 1;Page.wav;1;Page.wav;1;Page.wav
百花繚乱, 1;Swing.wav;2;Swing.wav;2;Swing.wav
百花繚乱(命中), 1;Slash.wav;3;BeamSaber.wav;3;Fire.wav
蒼の飛槍, Beam.wav
蒼の飛槍(命中), Explode.wav
衝撃波, MicroMissile.wav
衝撃波(命中), Crash.wav
蒼の光球, Drill.wav
蒼の光球(命中), Explode(Long).wav
烈風, Storm.wav
烈風(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
一五翼の神鳥(準備), Charge(Long).wav
一五翼の神鳥, 1;AntiShipMissile.wav
一五翼の神鳥(命中), Explode(Nuclear).wav
阻止(魔力消去), BeamSaber.wav

#------------------------------------------------------------------------------
鬼族
闘気解放, GunPod.wav
闘気解放(命中), -
闘気解放(クリティカル), Shock(Low).wav
大地の鉄槌, Warship.wav
大地の鉄槌(命中), Shock(Low).wav
地龍召還, GunPod.wav
地龍召還(命中), Stab.wav
鬼の剣, Swing.wav
鬼の剣(命中), Slash.wav
爆炎球, Cannon.wav
爆炎球(命中), Explode.wav
地龍召陣, 1;GunPod.wav;5;GunPod.wav;5;GunPod.wav;5;GunPod.wav
地龍召陣(命中), 1;Stab.wav;4;Stab.wav;4;Stab.wav;4;Stab.wav
火炎斬, 1;Swing.wav;3;Swing.wav;3;Swing.wav;3;Swing.wav
火炎斬(命中), 1;Explode(Far).wav;8;Fire.wav
龍王咆哮(準備), Hittyuu.wav
龍王咆哮, MultipleRocketLauncher(Light).wav
龍王咆哮(命中), Explode(Long).wav
龍王咆哮(クリティカル), 1;Explode.wav;2;Explode.wav;2;Explode.wav;2;Explode.wav;2;Explode.wav
神鳥召還(準備), Charge(Long).wav
神鳥召還, AntiShipMissile.wav
神鳥召還(命中), Explode(Nuclear).wav

#------------------------------------------------------------------------------
竜人族
重力結界, Interference.wav
重力結界(命中), -
魔力の衝撃, GunPod.wav
魔力の衝撃(命中), Crash.wav
魔力の波動, BeamSaber.wav
魔力の波動(命中), Explode(Small).wav
手刀, Swing.wav
手刀(命中), Slash.wav
地震, Earthquake.wav
地震(命中), Earthquake.wav
魔力の拳(準備), BeamSaber.wav
魔力の拳, Punch(4).wav
魔力の拳(命中), Crash.wav
煉獄の炎, Warship.wav
煉獄の炎(命中), Explode.wav
千翼の神鳥(準備), Charge(Long).wav
千翼の神鳥, AntiShipMissile.wav
千翼の神鳥(命中), Explode(Nuclear).wav

#------------------------------------------------------------------------------
鳥人族
攻撃無効化(漆黒の羽), Hide.wav
バリア貫通(漆黒の羽), -
羽乱射, MachineGun.wav
羽乱射(命中), 1;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav
エアロブレイク(準備), -
エアロブレイク, -
エアロブレイク(命中), Explode(Long).wav
エアロブレイク(クリティカル), -

#------------------------------------------------------------------------------
妖魔
黒の鍵, EvilEye.wav
黒の鍵(命中), Bubble.wav
大火球(準備), Charge.wav
大火球, Warship.wav
大火球(命中), Explode(Long).wav
阻止(見えない力場), EvilEye.wav
攻撃無効化(火喰い), Fold.wav
邪眼, EvilEye.wav
邪眼(命中), Slash.wav
六角棒, Swing.wav
六角棒, FightHit(1).wav
巨大剣, Swing.wav
巨大剣(命中), Slash.wav
剣圧, GunPod.wav
剣圧(命中), Crash.wav
攻撃無効化(略奪の糸陣), Fold.wav
略奪の糸, -
略奪の糸(命中), Bubble.wav
束縛の糸, -
束縛の糸(命中), BreakOff.wav
略奪の髪, -
略奪の髪(命中), Interference.wav
妖爆弾, Cannon.wav
妖爆弾(命中), Explode.wav
妖爆拳(準備), BeamSaber.wav
妖爆拳, Punch.wav
妖爆拳(命中), Shock(Low).wav
妖爆撃(準備), BeamSaber.wav
妖爆撃, Jet.wav
妖爆撃, (命中), Shock(Low).wav
阻止(水の鎧), Shower.wav
太刀, Swing.wav
太刀(命中), Slash.wav
紅蓮の矢, 1;Bow.wav;1;Bow.wav;1;Bow.wav
紅蓮の矢(命中), 1;Stab.wav;2;Stab.wav;2;Stab.wav
紅蓮剣舞, 1;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
紅蓮剣舞(命中), 1;Explode(Far).wav;8;Fire.wav
紅蓮掌, Shock(Low).wav
紅蓮掌(命中), Explode(Long).wav
存在する恐怖, Inori.wav
存在する恐怖(命中), -
触手, Whip.wav
触手(命中), Stab.wav
赤光の刃, Beam.wav
赤光の刃(命中), Slash.wav
光の吐息, Breath.wav
光の吐息(命中), 1;Explode(Far).wav
全てを無に帰す光, MicroMissile.wav
全てを無に帰す光(命中), Explode(Nuclear).wav
銀の刃, 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav
銀の刃(命中), 1;Stab.wav;2;Stab.wav;2;Stab.wav
炎の息, Breath.wav
炎の息(命中), Fire.wav
鉈, Swing.wav
鉈(命中), Slash.wav
鎌, Swing.wav
鎌(命中), Slash.wav
雷光, Thunder.wav
雷光(命中), Explode(Small).wav
火炎爪牙, Swing.wav
火炎爪牙, 1;Slash.wav;3;Fire.wav
火炎弾三連, Missile.wav;2;Missile.wav;2;Missile.wav
火炎弾三連(命中), Explode.wav
鱗八方乱れ撃ち, 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav1;Bow.wav
鱗八方乱れ撃ち(命中), 1;Stab.wav;2;Stab.wav;2;Stab.wav1;Stab.wav;2;Stab.wav
鱗, 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav
鱗(命中), 1;Stab.wav;2;Stab.wav;2;Stab.wav
数多の蛇, 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav
数多の蛇(命中), 1;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav
強襲, Whiz.wav
強襲(命中), Crash.wav
黒妖球, Cannon.wav
黒妖球(命中), Explode.wav
攻撃無効化(吸収結界), Fold.wav
力の吸収, -
力の吸収(命中), Fold.wav
四つ手拳撃, Punch(4).wav
四つ手拳撃(命中), Crash.wav
不可視の刃, Swing.wav
不可視の刃(命中), Slash.wav
巨大な双剣, 1;Swing.wav;4;Swing.wav
巨大な双剣, 1;Slash.wav4;Slash.wav
攻撃無効化(水の盾), Flair.wav
水弾, Cannon.wav
水弾(命中), Splash.wav
水波, MultipleRocketLauncher.wav
水波, Splash.wav
風弾, Cannon.wav
風弾(命中), Crash.wav
風牙, Jet.wav
風牙(命中), Slash(4).wav
火弾, Missile.wav
火弾(命中), Explode.wav
炎波, Breath.wav
炎波(命中), Fire.wav
雷弾, Cannon.wav
雷弾(命中), Thunder.wav
落雷, Thunder.wav
落雷(命中), Explode.wav
冷弾, Cannon.wav
冷弾(命中), Ice.wav
極寒の吐息, Whiz.wav
極寒の吐息(命中), Ice.wav
反射(斥力), BeamSaber.wav
重力波, Interference.wav
重力波(命中), -
超重力波, Interference.wav
超重力波(命中), -
阻止(消失力場), Hide.wav
魔閃光, Glass.wav
魔閃光(命中), Explode(Small).wav
