#月と貴女に花束を・ｆｏｒ・ＳＲＣデータ
#アニメーションデータ
#------------------------------------------------------------------------------
汎用
鉤爪, 爪撃
迦陵頻伽, 持続ビーム 白 Swing.wav;持続ビーム 白 Swing.wav
迦陵頻伽(命中), 持続ビーム 白 Slash.wav;持続ビーム 白 Slash.wav
神鳥召還, 炎 AntiShipMissile.wav
龍魂の剣, 大剣
分身(具現分身), 分身 Search.wav
攻撃無効化(守りの太刀), ビームコート BeamCoat.wav 守りの太刀
バリア貫通(守りの太刀), Glass.wav
攻撃無効化(迦陵頻伽), ビームコート Hittyuu.wav 迦陵頻伽
攻撃無効化(結界), バリア BeamCoat.wav 結界
バリア発動(結界), エネルギーフィールド展開 BeamCoat.wav
バリア貫通(結界), 発光 桃 Glass.wav
攻撃無効化(梟龍の力), ビームコート BeamCoat.wav 梟龍の力
バリア貫通(梟龍の力), -
阻止(狼魂の槍), 切り払い Saber.wav

#------------------------------------------------------------------------------
人狼族
格闘, 格闘
咆哮衝撃波, 波動放射 ホワイト GunPod.wav
咆哮衝撃波(命中), 強打 Crash.wav
咆哮衝撃波(クリティカル), -
裂光の飛刀(準備), エナジーブレード イエロー BeamSaber.wav
裂光の飛刀, 振り上げ;小ビーム イエロー ;小ビーム イエロー;小ビーム イエロー;小ビーム イエロー
裂光の飛刀(命中), 乱突
光技, 中ビーム イエロー
裂光の剣, エナジーブレード イエロー
黄金の雷, 落雷
純白の光(準備), 光噴出 黄 ;オーラ上昇 白 Charge(High).wav
純白の光, スーパータックル ホワイト Jet.wav
純白の光(命中), スーパータックル ホワイト Shock(Low).wav
極彩色の咆哮, 波動放射 オレンジ AntiShipMissile.wav
極彩色の咆哮(命中), 強打 Crash.wav
極彩色の咆哮(クリティカル), -
極彩色の爪, エナジーカッター突撃 オレンジ
極彩色の爪(命中), 爪撃
極彩色の飛刀(準備), エナジーブレード オレンジ Hittyuu.wav
極彩色の飛刀, 小ビーム オレンジ;小ビーム オレンジ;小ビーム オレンジ;小ビーム オレンジ
極彩色の飛刀(命中), 乱突
極彩色の剣, エナジーブレード突撃 オレンジ
極彩色の光(準備), 粒子集中 オレンジ Hittyuu.wav
極彩色の光, ホーミングレーザー オレンジ LaserGun.wav
極彩色の光(命中), ホーミングレーザー オレンジ Explode.wav
極彩色の光球(準備), オーラ上昇 オレンジ Charge(High).wav
極彩色の光球, 光球 橙 Warship.wav
極彩色の光球(命中), 大爆発 Explode(Long).wav
古き月の波動(準備), 光噴出 オレンジ Hittyuu.wav;オーラ上昇 橙 Charge(High).wav
古き月の波動, 必殺光線 橙 MultipleRocketLauncher.wav
古き月の波動(命中), 必殺光線 橙 Explode(Nuclear).wav
阻止(光の奔流), 魔法放射 黄 Charge.wav
阻止(極彩色の咆哮), 魔法放射 橙 AntiShipMissile.wav
変身(月森冬馬), 魔法集中 黄 Charge.wav;魔法放射 黄 速 Glass.wav
ハイパーモード(『古き月の力』), 魔法集中 橙 Charge(2).wav;魔法放射 橙 Glass.wav
ノーマルモード, -
攻撃無効化(冷気の壁), 吹雪 Hittyuu.wav
バリア貫通(冷気の壁), 飛沫 白 Glass.wav
氷の礫, 氷弾 Bow.wav;氷弾 Bow.wav;氷弾 Bow.wav
氷の礫(命中), 打撃 BreakOff.wav;打撃 BreakOff.wav;打撃 BreakOff.wav
天使の鉄槌(準備), @戦闘アニメ_光打ち上げ攻撃 ホワイト BeamSaber.wav
天使の鉄槌, 光打ち下ろし ホワイト EvilEye.wav
天使の鉄槌(命中), 粒子噴射 白 BeamCoat.wav
純白の神鳥(準備), オーラ上昇 白 Charge.wav
純白の神鳥, 波動放射 ホワイト 残像 MicroMissile.wav
純白の神鳥(命中), 羽;粒子噴射 白 Shock(Low).wav
ヒーリング, 回復魔法 Hittyuu.wav
マインドヒール, 回復魔法 Hittyuu.wav
雷華夢想・飛刀, ニードルレーザー ブルー Bow.wav;ニードルレーザー ブルー Bow.wav;ニードルレーザー ブルー Bow.wav
雷華夢想・飛刀(命中), 刺突;刺突;刺突
雷華夢想・降雨(準備), 落雷
雷華夢想・降雨, ＭＡＰ落雷 Thunder.wav
雷華夢想・降雨(命中), 爆発
雷華夢想・翔破(準備), スーパーブーメラン ブルー BeamSaber.wav
雷華夢想・翔破, スーパーブーメラン ブルー Beam.wav
雷華夢想・翔破(命中), 斬撃
雷華夢想・翔破(クリティカル), 放電;@戦闘アニメ_爆発命中
雷華夢想・御剣(準備), エナジーブレード ブルー 二刀流
雷華夢想・御剣, エナジーブレード ブルー 二刀流
雷華夢想・御剣(命中), 雷斬撃 二刀流
雷華夢想・蒼龍(準備), 放電
雷華夢想・蒼龍, 大ビーム ブルー MultipleRocketLauncher.wav
雷華夢想・蒼龍(命中), 大ビーム ブルー Thunder.wav
雷華夢想・閃(準備), 落雷
雷華夢想・閃, 発光 青 Glass.wav 対象ユニットＩＤ
雷華夢想・閃(命中), スーパータックル ブルー Shock(Low).wav
雷華夢想・閃(クリティカル), @戦闘アニメ_大落雷命中
攻撃無効化(炎の壁), @戦闘アニメ_火柱命中
バリア貫通(炎の壁), 飛沫 赤 Glass.wav
炎の鞭(準備), @戦闘アニメ_内蔵ガトリング攻撃 Fire.wav
炎の鞭, 白兵武器 Whip.wav
炎の鞭(命中), 小爆発 Explode(Small).wav
無炎殺(準備), -
無炎殺, Snap(E).wav
無炎殺(命中), 10;大爆発 Explode(Long).wav
火炎弾, 火炎弾
紅蓮の飛礫, ニードルレーザー 赤 Bow.wav;ニードルレーザー 赤 Bow.wav;ニードルレーザー 赤 Bow.wav
紅蓮の飛礫(命中), 連続爆発 3 Explode.wav
爆炎槍(準備), 魔法集中 赤 Fire.wav
爆炎槍, 中ビーム 赤 Cannon.wav;中ビーム 赤 Cannon.wav;中ビーム 赤 Cannon.wav
爆炎槍(命中), 連続大爆発 3 Explode(Long).wav
太陽落とし(準備), @戦闘アニメ_火柱命中;@戦闘アニメ_炎打ち上げ攻撃 赤 Cannon.wav
太陽落とし, 炎打ち下ろし Bomb.wav
太陽落とし(命中), 超爆発
爪, 爪撃
炎の突撃, スーパータックル レッド Stairs(Run).wav
炎の突撃(命中), 強打;火柱
ハウル・オブ・ヒート, 波動放射 ホワイト GunPod.wav
ハウル・オブ・ヒート(命中), 15;炎
ハウル・オブ・ヒート(クリティカル), -
変身(都築静華), 炎
光爪斬, エナジーカッター突撃 イエロー
光爪斬(命中), 爪撃
黄金の炎, 斬撃;火炎弾 黄
黄金の炎(命中), 炎 黄 Fire.wav
黄金の槍, 中ビーム イエロー
黄金の槍(命中), 中ビーム イエロー Stab.wav
反射(鏡反照), 魔法集中 黄 中 Charge(2).wav 相手ユニットＩＤ;@戦闘アニメ_ＭＡＰ発光攻撃 イエロー Glass.wav
獣鳴斬, 気斬 ブルー Jet.wav
獣鳴斬(命中), 斬撃
獣鳴斬(クリティカル), @戦闘アニメ_気斬攻撃 ブルー Jet.wav;@戦闘アニメ_斬撃命中
獣鳴斬(温羅), 気斬 ブルー Jet.wav
獣鳴斬(温羅)(命中), 大斬撃
獣鳴斬(温羅)(クリティカル), @戦闘アニメ_気斬攻撃 ブルー Jet.wav;@戦闘アニメ_大斬撃命中
龍鳴波, 波動放射 レッド MicroMissile.wav 遅
龍鳴波(命中), 爆発 Explode.wav
龍鳴波(クリティカル), @戦闘アニメ_波動放射攻撃 レッド MicroMissile.wav 遅
龍鳴波・二連, 波動放射 レッド MicroMissile.wav
龍鳴波・二連(命中), 大爆発 Explode(Far).wav
龍鳴波・二連(クリティカル), @戦闘アニメ_波動放射攻撃 レッド MicroMissile.wav
龍鳴波・三連, 波動放射 レッド MicroMissile.wav 残像
龍鳴波・三連(命中), 超爆発 Explode(Long).wav
龍鳴波・三連(クリティカル), @戦闘アニメ_波動放射攻撃 レッド MicroMissile.wav 残像
氷剣(準備), エナジーブレード ホワイト Wind.wav
氷剣, エナジーブレード ホワイト
氷剣(命中), 凍斬撃
冷球, 光球 白 Bazooka.wav
冷球(命中), 吹雪 BreakOff.wav
氷槍(準備), 風 Wind.wav
氷槍, 中ビーム 白 Swing.wav
氷槍(命中), 中ビーム 白 Stab.wav
攻撃無効化(フリージングチェーン), 吹雪 Hittyuu.wav
バリア貫通(フリージングチェーン), 飛沫 白 Glass.wav
フリージングチェーン(準備), 風 Wind.wav;チェーン
フリージングチェーン, 実弾発射 Weapon\EFFECT_Chain02.bmp 32 Cannon.wav 発光 残像 有線
フリージングチェーン(命中), 刺突
フリージングチェーン(クリティカル), 発光 白 Glass.wav
Ｆ・チェーンⅡ(準備), 風 Wind.wav;チェーン
Ｆ・チェーンⅡ, 実弾発射 Weapon\EFFECT_Chain02.bmp 32 Cannon.wav 発光 残像 有線;実弾発射 Weapon\EFFECT_Chain02.bmp 32 Cannon.wav 発光 残像 有線
Ｆ・チェーンⅡ(命中), 刺突;刺突
Ｆ・チェーンⅡ(クリティカル), 発光 白 Glass.wav
Ｆ・チェーンⅢ(準備), 風 Wind.wav;チェーン
Ｆ・チェーンⅢ, 実弾発射 Weapon\EFFECT_Chain02.bmp 32 Cannon.wav 発光 残像 有線;実弾発射 Weapon\EFFECT_Chain02.bmp 32 Cannon.wav 発光 残像 有線;実弾発射 Weapon\EFFECT_Chain02.bmp 32 Cannon.wav 発光 残像 有線
Ｆ・チェーンⅢ(命中), 刺突;刺突;刺突
Ｆ・チェーンⅢ(クリティカル), 発光 白 Glass.wav
Ｆ・チェーンⅣ(準備), 風 Wind.wav;チェーン
Ｆ・チェーンⅣ, 実弾発射 Weapon\EFFECT_Chain02.bmp 32 Cannon.wav 発光 残像 有線;実弾発射 Weapon\EFFECT_Chain02.bmp 32 Cannon.wav 発光 残像 有線;実弾発射 Weapon\EFFECT_Chain02.bmp 32 Cannon.wav 発光 残像 有線;実弾発射 Weapon\EFFECT_Chain02.bmp 32 Cannon.wav 発光 残像 有線
Ｆ・チェーンⅣ(命中), 刺突;刺突;刺突;刺突
Ｆ・チェーンⅣ(クリティカル), 発光 白 Glass.wav
フリージングコフィン(準備), 風 Wind.wav
フリージングコフィン, 旋風 白 Storm.wav
フリージングコフィン(命中), 凍結 Hittyuu.wav
フリージングコフィン(クリティカル), 発光 白 Glass.wav
獣気掌, 打突 PowerDown.wav
獣気掌(命中), Tub.wav
結界発動, 五芒星 青 BeamSaber.wav
攻撃無効化(広域結界), バリア BeamCoat.wav 結界
バリア発動(広域結界), エネルギーフィールド展開 BeamCoat.wav
バリア貫通(広域結界), 発光 桃 Glass.wav
獣気刀, 斬撃
凍風(準備), 風 Wind.wav
凍風, 強風 Storm.wav
凍風, 凍結 EvilEye.wav
白い風(準備), 風 Wind.wav
白い風, 竜巻 Storm.wav
白い風(命中), 凍結 EvilEye.wav;魔法放射 白 大 Explode(Far).wav
落雷, 落雷
雷撃(クリティカル), 放電
雷の鞭, 白兵武器 Whip.wav
雷の鞭(命中), 放電
雷公鞭, 白兵武器 Whip.wav
雷公鞭(命中), 発光 青 Thunder.wav
雷公鞭(クリティカル), 放電
雷帝(準備), 放電
雷帝, 大落雷
雷帝(命中), 大落雷
火竜昇, アッパー
火竜昇(命中), 斬撃;炎
竜炎掌, 中ビーム レッド Shock(Low).wav
竜炎掌(命中), 中ビーム レッド Explode.wav
火竜閃, 格闘
火竜閃(命中), 大爆発 Explode(Long).wav
火竜閃乱舞, 乱打
火竜閃乱舞(命中), 連続爆発 8 ;大爆発 Explode(Long).wav
紅蓮闘衣, 炎
堕落纏(準備), 振る武器 Shield\EFFECT_Cloak(Black)01.bmp 32 BeamSaber.wav 発光
堕落纏, なぎ払い
堕落纏(命中), 粒子集中 黒 Search.wav
闇薙ぎ, エナジーブレード ブラック 二刀流
暗黒剣舞(準備), エナジーブレード ブラック 二刀流
暗黒剣舞, エナジーブレード突撃 ブラック 二刀流 Hide.wav
暗黒剣舞(命中), 斬撃乱舞

#------------------------------------------------------------------------------
妖術士
虚空の魔手, 持続ビーム ブラック BeamSaber.wav
虚空の魔手(命中), 光噴出 黒 Stab.wav
虚空の魔手(クリティカル), 発光 黒 Stab.wav
闇の重圧, ＭＡＰブラックホール Interference.wav
闇の重圧(命中), 光噴出 黒
爆裂球, キャノン砲
暗闇の鷹, 乱突 Bow.wav
暗闇の鷹(命中), 乱突 Stab.wav
紅蓮の炎塔, ロックオン
紅蓮の炎塔(命中), 火柱
爆ぜる妖蝶, １ＷＡＹ射出 UnitOn.wav
爆ぜる妖蝶(命中), 小爆発
妖蝶の舞(準備), 魔法放射 中 緑 Hide.wav
妖蝶の舞, ＭＡＰ煙 緑 Wind.wav
妖蝶の舞(命中), 爆発
炎球, 火炎弾
妖蝶演舞(準備), 魔法放射 中 緑 Hittyuu.wav
妖蝶演舞, ８ＷＡＹ射出 Hide.wav
妖蝶演舞(命中), オールレンジ -;大爆発 Explode(Long).wav
羽ばたき, 風 Whiz.wav
羽ばたき(命中), 強打 Shock(Low).wav
突進, タックル Jet.wav
突進(命中), 強打 Crash.wav
爪, タックル FlyBy.wav
爪(命中), 爪撃
爆ぜる吐息, 拡散ビーム ホワイト
白色の吐息, 中ビーム ホワイト
攻撃無効化(火喰い), Fold.wav
三日月波, スーパーブーメラン レッド
黒点魔球(準備), 魔法集中 黒 中 Charge.wav
黒点魔球, 光球 黒 Warship.wav

#------------------------------------------------------------------------------
悪魔族
幻術, 風 EvilEye.wav
幻術(命中), -
蒼の衝撃, 波動放射 GunPod.wav
蒼の衝撃(命中), 強打 Crash.wav
風の呪符(準備), お札
風の呪符, 斬撃;強風
風の呪符(命中), 連斬撃
雷の呪符(準備), お札
雷の呪符, 斬撃;大電撃 Thunder.wav
雷の呪符(命中), 放電
火の呪符(準備), お札
火の呪符, 斬撃;火炎放射
火の呪符(命中), 火炎放射
破砕の呪符(準備), お札
破砕の呪符, お札 Swing.wav
破砕の呪符(命中), 大爆発
百花繚乱(準備), お札
百花繚乱, お札;お札;お札
百花繚乱(命中), 強風 Slash.wav;放電;火柱
蒼の飛槍, 中ビーム ブルー
衝撃波, 地表衝撃波 青 MicroMissile.wav
蒼の光球, 光球 青 Drill.wav
蒼の光球(命中), 大爆発
烈風, 竜巻
一五翼の神鳥(準備), 発光 赤 Charge(Long).wav
一五翼の神鳥, 波動放射 レッド AntiShipMissile.wav
一五翼の神鳥(命中), 超爆発
阻止(魔力消去), ビームコート BeamSaber.wav 魔力消去

#------------------------------------------------------------------------------
鬼族
闘気解放, ＭＡＰオーラ 白 GunPod.wav
地龍召還, 地表衝撃波 グリーン GunPod.wav
地龍召還(命中), 噛み付き
大地の鉄槌, 隕石 Warship.wav
大地の鉄槌(命中), ダメージ Shock(Low).wav
鬼の剣, 巨大剣
爆炎球, 火炎弾
地龍召陣, 地表衝撃波 グリーン GunPod.wav;地表衝撃波 グリーン GunPod.wav;地表衝撃波 グリーン GunPod.wav;地表衝撃波 グリーン GunPod.wav
地龍召陣(命中), 噛み付き;噛み付き;噛み付き;噛み付き
火炎斬(準備), 巨大剣
火炎斬, 連斬撃
火炎斬(命中), 炎斬撃 二刀流;炎斬撃 二刀流
龍王咆哮(準備), Hittyuu.wav
龍王咆哮, 火炎放射 オレンジ MultipleRocketLauncher(Light).wav
龍王咆哮(命中), 大爆発 Explode(Long).wav
龍王咆哮(クリティカル), 連続大爆発 5
神鳥召還(準備), 発光 赤 Charge(Long).wav
神鳥召還, 波動放射 レッド AntiShipMissile.wav
神鳥召還(命中), 超爆発


#------------------------------------------------------------------------------
竜人族
重力結界, ＭＡＰブラックホール Interference.wav
重力結界(命中), -
魔力の衝撃, 地表衝撃波 ホワイト GunPod.wav
魔力の衝撃(命中), 強打 Crash.wav
魔力の波動, 特殊光線 ホワイト BeamSaber.wav
手刀, 斬撃
地震, ＭＡＰ地震
魔力の拳(準備), BeamSaber.wav
魔力の拳, 乱打
魔力の拳(命中), 乱打
煉獄の炎, 火炎弾 Warship.wav
千翼の神鳥(準備), Charge(Long).wav
千翼の神鳥, 波動放射 レッド AntiShipMissile.wav
千翼の神鳥(命中), 超爆発
シールド防御(守りの構え), Sword.wav

#------------------------------------------------------------------------------
鳥人族
羽乱射, 乱突 MachineGun.wav
羽乱射(命中), 乱突
攻撃無効化(漆黒の羽), ビームコート Hide.wav 漆黒の羽
バリア貫通(漆黒の羽), -
エアロブレイク(準備), -
エアロブレイク, -
エアロブレイク(命中), 強打 Explode(Long).wav
エアロブレイク(クリティカル), @戦闘アニメ_強打命中 Explode(Long).wav

#------------------------------------------------------------------------------
妖魔
黒の鍵, ニードル EvilEye.wav
黒の鍵(命中), 飛沫 黒 Bubble.wav
大火球(準備), 魔法集中 赤 中 Charge.wav
大火球, 光球 赤 Warship.wav
大火球(命中), 大爆発 Explode(Long).wav
阻止(見えない力場), ビームコート EvilEye.wav 見えない力場
邪眼, ニードルレーザー EvilEye.wav
邪眼(命中), ダブル斬撃
六角棒, 棒
巨大剣, 巨大剣
剣圧, 地表衝撃波 ブルー GunPod.wav
剣圧(命中), 強打 Crash.wav
攻撃無効化(略奪の糸陣), ビームコート Fold.wav 略奪の糸陣
略奪の糸, -
略奪の糸(命中), 風 Bubble.wav
束縛の糸, -
束縛の糸(命中), 風 BreakOff.wav
略奪の髪, -
略奪の髪(命中), 強風 Interference.wav
妖爆弾, 光子魚雷 ホワイト Cannon.wav
妖爆弾(命中), 爆発
妖爆拳(準備), BeamSaber.wav
妖爆拳, 打突
妖爆拳(命中), 発光 白 Shock(Low).wav
妖爆撃(準備), BeamSaber.wav
妖爆撃, スーパータックル ホワイト Jet.wav
妖爆撃(命中), スーパータックル ホワイト Shock(Low).wav
阻止(水の鎧), 光噴出 青 Shower.wav
太刀, 野太刀
紅蓮の矢, ニードルレーザー レッド Bow.wav;ニードルレーザー レッド Bow.wav;ニードルレーザー レッド Bow.wav
紅蓮の矢(命中), ニードルレーザー レッド Stab.wav;ニードルレーザー レッド BStab.wav;ニードルレーザー レッド Stab.wav
紅蓮剣舞, 斬撃乱舞
紅蓮剣舞(命中), 回転エナジーブレード レッド Slash.wav
紅蓮掌, スーパーパンチ レッド Shock(Low).wav
紅蓮掌(命中), 大爆発 Explode(Long).wav
存在する恐怖, ＭＡＰダークネス Inori.wav
存在する恐怖(命中), -
触手, 鞭 Whip.wav
触手(命中), 刺突
赤光の刃, エナジーカッター レッド
光の吐息, 大ビーム ピンク Breath.wav
全てを無に帰す光, 必殺光線 ピンク MicroMissile.wav
銀の刃, 連突
炎の息, 火炎放射
鉈, 中華包丁
鎌, 斬撃
雷光, 電撃
火炎爪牙, 斬撃
火炎爪牙, 炎斬撃
火炎弾三連, 火炎弾;火炎弾;火炎弾
鱗八方乱れ撃ち, ＭＡＰニードル
鱗八方乱れ撃ち(命中), 乱突
鱗, ニードル連射
鱗(命中), 乱突
数多の蛇, 鞭 二刀流
強襲, タックル Whiz.wav
強襲(命中), 強打 Crash.wav
黒妖球, 光球 黒
攻撃無効化(吸収結界), Fold.wav
力の吸収, -
力の吸収(命中), Fold.wav
四つ手拳撃, 乱打
不可視の刃, Swing.wav
不可視の刃(命中), 斬撃
巨大な双剣, 大剣 二刀流
阻止(打ち払い), 切り払い
シールド防御(甲殻), Sword.wav
シールド防御(翼), Sword.wav
シールド防御(炎の盾), ビームシールド - レッド 炎の盾
シールド防御(鱗), Sword.wav
シールド防御(水の盾), ビームシールド - ブルー 水の盾
水弾, 火炎弾 青 Cannon.wav
水弾(命中), 飛沫 青 Splash.wav
水波, 津波
風弾, 強風
風牙, タックル Jet.wav
風牙(命中), 斬撃 Slash(4).wav
火弾, 火炎弾
炎波, 火炎放射
雷弾, 球電
冷弾, 氷弾
極寒の吐息, 火炎放射 白 Whiz.wav
反射(斥力), 反射 BeamSaber.wav 斥力
重力波, ＭＡＰ重力弾
超重力波, ＭＡＰブラックホール
阻止(消失力場), ビームコート Hide.wav 消失力場
魔閃光, 中ビーム 黒 Glass.wav
魔閃光(命中), 小爆発
