
源氏
###########  武蔵坊弁慶  ##########
飛礫兜割り, EvilEye.wav
天寿, Beam.wav
孤高の黄華, Charge(high).wav
孤高の黄華(命中), Explode(Nuclear).wav
源九郎狐(解説), $(パイロット)は白狐に攻撃命令を出した。
孤高の黄華(解説), $(パイロット)は呉石呪術奥義を放った。
###########  源頼朝  ##########
草薙, Whiz.wav
草薙, 「草薙！！」;Whiz.wav
草薙(命中), Slash.wav
天下統一, Swing.wav
天下統一, 「天下統一！！」;Swing.wav
天下統一(命中), Slash.wav
草薙(解説), $(パイロット)は幾多の魔獣を滅したと伝えられる秘奥義を放った。
天下統一(解説), $(パイロット)は神機によって引き出された恐るべき斬撃を放った。
###########  北条政子  ##########
玄武黒呪殺(解説), $(パイロット)は魂を蝕む悪霊を放った。
獄門開錠(解説), $(パイロット)は獄界から鬼の一部を顕現させた。
###########  仮面の男  ##########
猛虎爆炎, Breath.wav
滅死斧撃, 「滅私斧撃！！」;Swing.wav
滅死斧撃, Swing.wav
滅死斧撃(命中), Slash.wav
鬼人の斧(解説), $(パイロット)は禍禍しい気を発する斧で攻撃をかけた。
滅死斧撃(解説), $(パイロット)は瞬間の踏み込みと同時に斧を振り上げた。
###########  梶原景時  ##########
腐海結界陣, Autodoor(open).wav
腐海結界陣(命中), Autodoor(close).wav
###########  土佐坊昌俊  ##########
指弾, Bow.wav
指弾(命中), Punch.wav
唐獅子法師(命中), Combo.wav
豪腕！土佐坊！, Swing.wav
豪腕！土佐坊！(命中), Bazooka.wav
###########  汎用  ##########
妖術(解説), $(パイロット)は妖術を唱えた。

平氏
###########  平観月  ##########
魅惑する薄絹(命中), Sharara.wav
藍泰華蘭経(命中), Punch.wav
平式防衛術(解説), $(パイロット)は平家に伝わる秘伝の防衛術で攻撃をかけた。
藍泰華蘭経(解説), $(パイロット)は太古の邪神を召喚した。
###########  廉也  ##########
氷狼万華蒼鏡槍, whiz.wav
氷狼万華蒼鏡槍(命中), Stab.wav
滅私斧撃, Swing.wav
滅私斧撃, 「滅私斧撃！！」;Swing.wav
滅私斧撃, 「うおおおおおっ！」;Swing.wav
滅私斧撃(命中), Slash.wav
滅私斧撃(解説), $(パイロット)は瞬間の踏み込みと同時に斧を振り上げた。
###########  平教経  ##########
怒号爆撃砕, Swing.wav
怒号爆撃砕, 「怒号爆撃砕！！！！！」;Swing.wav
怒号爆撃砕(命中), Bazooka.wav
###########  平知盛  ##########
石弓, bow.wav
石弓(命中), Stab.wav
万物六徳圧縮法(命中), Shock(Low).wav
夢幻連弾, FastGun.wav
夢幻連弾(命中), Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;6;Stab.wav;1
###########  平敦盛  ##########
含み針, bow.wav
含み針(命中), Stab.wav
長巻, Swing.wav
長巻(命中), Slash.wav
妖華・土蜘蛛, Whiz.wav
妖華・土蜘蛛, 「妖華・土蜘蛛！」;Whiz.wav
妖華・土蜘蛛(命中),  Fold.wav
笛の音(解説), $(ユニット)は禍禍しい曲を奏でた。
###########  汎用  ##########
妖術(解説), $(パイロット)は妖術を唱えた。
