ライブアライブ
####現代編####
烈風正拳突き, 打突
通打(命中), スーパータックル 白 FightHit(3).wav;センタリング;FightHit(1).wav;1;Cutin\EFFECT_LAL_JointTechnique(1).bmp 64 64 透過;Clear;1;_FightHit(1).wav;1;Cutin\EFFECT_LAL_JointTechnique(2).bmp 64 64 透過;Clear;1;_FightHit(1).wav;1;Cutin\EFFECT_LAL_JointTechnique(1).bmp 64 64 透過;Clear;1;_FightHit(1).wav;1;Cutin\EFFECT_LAL_JointTechnique(Arm).bmp 64 64 透過;Clear;1;_FightHit(1).wav;1;Cutin\EFFECT_LAL_JointTechnique(Arm).bmp 64 64 透過;Clear;1;_FightHit(1).wav;1;Cutin\EFFECT_LAL_JointTechnique(Arm).bmp 64 64 透過;Clear;1;
猫騙し(攻撃), タックル
猫騙し(命中), ダメージ
骨法鉄砲, タックル
骨法鉄砲(命中), 強打 FightHit(1).wav
アクロＤＤＯ, スーパーダイブ
デスズサイズ, 白兵回転
デスズサイズ(命中), 横大斬撃
テリブルシャウト, 分身 Charge.wav テリブルシャウト
#気合ため, 発光 白 Flair.wav
####西部編####
ピースメーカー, ピストル
４４マグナム, ピストル
マルチカウンター(準備), -
マルチカウンター(攻撃), なぎ払い;ピストル
マルチカウンター(命中), 銃弾
ピアッシング弾, ピストル
ピアッシング弾(命中), 小ビーム 緑 Stab.wav
ホローポイント弾, ピストル
ホローポイント弾(命中), ダメージ 橙 Slash.wav
ダブルショット(準備), ピストル
ダブルショット, ピストル;ピストル
トリプルショット(準備), ピストル
トリプルショット, ピストル;ピストル;ピストル
フォースショット(準備), ピストル
フォースショット, ピストル;ピストル;ピストル;ピストル
乱れ撃ち(準備), ピストル
乱れ撃ち(攻撃), マシンガン Weapon\EFFECT_Pistol01.bmp 32 Gun(4Shot).wav
乱れ撃ち(命中), マシンガン
ハリケンショット(準備), ピストル
ハリケンショット(攻撃), マシンガン Weapon\EFFECT_Pistol01.bmp 32 Gun(4Shot).wav;マシンガン Weapon\EFFECT_Pistol01.bmp 32 Gun(4Shot).wav
ハリケンショット(命中), マシンガン;マシンガン
バントライン, ピストル
ＴＸジターバグ(準備), ピストル
ＴＸジターバグ(攻撃), 回転 3 Gun(4Shot).wav
ＴＸジターバグ(命中), マシンガン
サイドワインダー, ピストル
イナズマ撃ち, ピストル
イナズマ撃ち(命中), ダメージ 青 Stab.wav;放電
威嚇射撃, ピストル
威嚇射撃(命中), ダメージ
火炎瓶, 火炎瓶
ガトリング射撃, ガトリング
ガトリング射撃(攻撃), ガトリング;ガトリング;ガトリング;ガトリング
ウィンチェスター, ボルトアクションライフル
威嚇射撃(ウィンチェスター), ボルトアクションライフル
投げ縄, フックロープ
後ろ足蹴り, バックキック
馬で引き回し, 打撃突撃
踏み潰し, 踏み潰し
フライパン, 回転投擲武器 DGoods\EFFECT_FryingPan01.bmp
パチンコ, パチンコ
####ＳＦ編####
マインドハック, 音波 Computer.wav
アンチフィールド(準備), ディレイ Sword.wav 5
アンチフィールド(攻撃), @戦闘アニメ_エネルギーフィールド展開使用 BeamCoat.wav
アンチフィールド(命中), 飛沫 白
ノイズストリーム, ＭＡＰダークネス Noise.wav
ノイズストリーム(命中), 発光 青 Charge(Silent).wav
スピンドライブ, スピンアタック 青
スピンドライブ(命中), スピンアタック 青 Slash(4).wav
メーザーカノン, 中ビーム 黄
ハイスピードオペ(使用), @戦闘アニメ_ＭＡＰ発光攻撃 黄 Computer.wav
ハイスピードオペ(発動), 回復魔法
アップグレード(使用), 発光 白 Computer.wav
タキオンソード(準備), ソード
タキオンソード(攻撃), なぎ払い
タキオンソード(命中), なぎ払い;吸収
スピニングスター(準備), ソード
スピニングスター(攻撃), 回転斬撃
スピニングスター(命中), 風 Charge.wav
スーパーノバ, ＭＡＰ爆発 Explode(1).wav
スーパーノバ(命中), -
プラズマボール, 球電
スペースファージ(攻撃), ショックビーム 青 BeamSaber(2).wav
スペースファージ(命中), ショックビーム 青 BeamSaber(2).wav;飛沫 紫
パイ中間子弾(攻撃), 粒子集中 赤 対象ユニットＩＤ;大キャノン砲 4 遅 Charge(high).wav
パイ中間子弾(命中), 大爆発
クオークソード(準備), ソード
クオークソード, 振り上げ大斬撃
高速アナライズ(攻撃), 発光 白 BeamSaber.wav 対象ユニットＩＤ
高速アナライズ(命中), @戦闘アニメ_ロックオン攻撃 相手ユニットＩＤ
ハードプロテクト, ＭＡＰフラッシュ 桃
ハードプロテクト(命中), 発光 桃
ドライブバック(攻撃), 発光 白 Computer.wav 対象ユニットＩＤ
ドライブバック(命中), 大電撃
システムリカバー(準備), 発光 白 Computer.wav;15
システムリカバー(発動), 音再生 Inori.wav
電撃マッサージ(使用), @戦闘アニメ_ＭＡＰ落雷攻撃
電撃マッサージ(発動), 回復魔法
威嚇(攻撃), 発光 白 対象ユニットＩＤ
威嚇(命中), -
KMGLEDR KRKZARM!(攻撃), スピンアタック 青
KMGLEDR KRKZARM!(命中), スピンアタック 青 BeamSaber.wav;@戦闘アニメ_打突攻撃;球電
ヘディング, ヘッドバット
トペ・スイシーダ, タックル
自爆, ＭＡＰ爆発
爆発, ＭＡＰ爆発
ぺトリフレア, ＭＡＰ火炎弾 橙
ぺトリフレア(命中), ダメージ 橙
アクアフレア, ＭＡＰ火炎弾 青
アクアフレア(命中), ダメージ 青
シュリンピング, 斬撃
シュリンピング(攻撃), 回転斬撃
ラブヒーリング(準備), 決め画像 Common\EFFECT_Heart01.bmp UnitOn.wav
ラブヒーリング(使用), @戦闘アニメ_ＭＡＰ発光攻撃 桃 BeamShot.wav
ラブヒーリング(発動), 回復魔法
パルサーウォーク, ＭＡＰ移動タックル 黄 大
パルサーウォーク(命中), 放電
シリコン樹脂(攻撃), 光投射 赤 AntiAirMissile.wav
シリコン樹脂(命中), 粒子集中 紫
ＳＩＯ２, 発光 白 対象ユニットＩＤ
ＳＩＯ２(命中), 泡
イオンヘッド, ジャンプ
イオンヘッド(命中), ダメージ 黒 PowerDown.wav
ひっかき, 爪撃
噛み付き, 噛み付き
エレクトロンナイフ, 噛み付き
エレクトロンナイフ(命中), 噛み付き;飛沫 黒
すたーばすたー, ＭＡＰ発光 黄 -.wav
####功夫編####
竜虎両破腕, 打突;打突
獅子の手, 打突
獅子の手(命中), 打撃;落下
百里道一歩脚, キック
山猿拳, 打突
山猿拳(命中), ダメージ Slash.wav
老狐の舞, 打突;格闘
老狐の舞(命中), ダメージ 紫 FightHit(1).wav
シマリス脚, 打撃突撃
シマリス脚(命中), 打撃;落下
不射の射, 打突
不射の射(命中), ダメージ 白
旋牙連山拳(準備), 光噴出 白
旋牙連山拳(攻撃), スーパータックル 白 MultipleRocketLauncher(Light).wav
旋牙連山拳(命中), 分身打撃;分身打撃;スーパータックル乱舞 白
突き, 打突
蹴り, キック
凍手刀(攻撃), スーパーブーメラン 白 Whiz.wav
凍手刀(命中), 凍斬撃
炎手刀(攻撃), 斬撃
炎手刀(命中), 炎斬撃
空破旋風手, 連打
空破旋風手(命中), 旋風
気功念斬波(準備), 発光 赤 Charge.wav
気功念斬波(攻撃), ＭＡＰシュートカッター 白
気功念斬波(命中), シュートカッター 白
西安破裏拳(準備), オーラ上昇 白
西安破裏拳, 打撃突撃
自己安静息, エネルギーフィールド展開 Charge(long).wav
猿手, 爪撃
ネコ蹴り, キック
蛇形拳, 連打;4;スーパータックル 紫
蛇形拳(命中), 強打
水鳥脚, スーパーキック
水鳥脚(命中), スーパーキック;連打
画竜天聖の陣(攻撃), オーラ上昇 白 対象ユニットＩＤ
画竜天聖の陣(命中), 炎
天馬後すい脚, バックキック
天馬後すい脚(命中), 強打
虎咆精気法, エネルギーフィールド展開 Charge(long).wav
クマの手, 打突
クマの手(命中), ダメージ 緑 連続
トン足, キック
トン足(命中), ダメージ 緑 連続
ほいこーろー, ＭＡＰ音符
とうばんじゃん(攻撃), 白兵回転;スーパーパンチ 赤
とうばんじゃん(命中), スーパーパンチ 赤 Stab.wav
ばんばんじー, スピンアタック
ちんじゃおろーす, スピンアタック
ちんじゃおろーす(命中), 強打
まんがんぜんせき(攻撃), ＭＡＰ地震 Crash.wav;格闘
まんがんぜんせき(命中), 落下;立ち固め 1
おにくまん, スーパータックル 橙
おにくまん(命中), スーパータックル 橙 Cannon.wav
飛爪(攻撃), 投擲武器 Weapon\EFFECT_BigShuriken01.bmp 32
飛爪(命中), 爪撃
強烈パンチ, 打突
体当たり, タックル
めった殴り, 乱打
狂狼拳(攻撃), 分身打撃
狂狼拳(命中), 爪撃
狂乱飛竜脚, スーパーキック
狂乱飛竜脚(命中), スーパーキック;連打
狂装炎舞(攻撃), 乱打
狂装炎舞(命中), 乱打;火柱
連続キック, キック
連続キック(命中), 連打
飛可拳, 斬撃突撃
飛可拳(命中), 大斬撃 橙
黄竜反身, バックキック
黄竜反身(命中), 打撃
強烈キック, キック
強烈キック(命中), 強打
飛び蹴り, 急降下 青
双換手, 格闘
白蛇登心, アッパー
白蛇登心(命中), 立ち固め 1
七星天分手(攻撃), 回転 1
七星天分手(命中), アッパー
定研帥, 格闘
旋弓打, 急降下
旋弓打(命中), 強打
旋失歩, スーパーダイブ 緑
頂心手, 格闘
頂心手(命中), ダメージ Stab.wav
外門三不虎, 連打
前混反脚(攻撃), スピンアタック 白
前混反脚(命中), スピンアタック 白 BreakOff.wav
混戦退(攻撃), 回転 1
混戦退(命中), 打撃
高足蹴り, サマーソルト
高足蹴り(命中), 打撃
決死破, 斬撃
毒手, 格闘
毒手(命中), ダメージ 紫
飛刀立威, スピンキック
飛刀立威(命中), 連続なぎ払い
王失妖歩, 格闘
砲虎帰山, なぎ払い
砲虎帰山(命中), 打撃 Explode.wav
乱殺威, 打撃突撃
炎火棒(準備), 回転棍
炎火棒(攻撃), 白兵武器
炎火棒(命中), 炎 青
火竜の舞, 回転棍
火竜の舞(命中), 爆発 白
水鳥の舞(準備), 青龍刀 二刀流
水鳥の舞(攻撃), 回転斬撃
水鳥の舞(命中), ダメージ 青 連続
斬り下ろし(リン)(準備), 青龍刀
斬り下ろし(リン), 振り下ろし
二刀剣, 青龍刀 二刀流
抱きつき, 立ち固め
殴り(錘), メイス
双錘攻撃, メイス 二刀流
玄武の舞(準備), メイス 二刀流
玄武の舞(攻撃), 白兵回転
玄武の舞(命中), 連打
虎形拳, スーパーパンチ 青
虎形拳(命中), スーパーパンチ 青 Stab.wav
雲平日月破, 打突
鳥形拳, スーパータックル
鳥形拳(命中), スーパータックル;爪撃 青
妖子砕肩, 打突
妖子砕肩(命中), 点打
弁髪鞭(準備), 鞭
弁髪鞭(攻撃), 回転 1
弁髪鞭(命中), 打撃 Whip.wav
連打, 連打
噛み砕き, 噛み付き
鋭い牙, 噛み付き
引き裂き, 斬撃
####近未来編####
マザーイメージ(準備), オーラ上昇 白
マザーイメージ(攻撃), ＭＡＰフラッシュ 桃 BeamCoat.wav
マザーイメージ(命中), 魔法集中 桃 中
スリートイメージ(準備),  オーラ上昇 白
スリートイメージ(攻撃), ＭＡＰシュートカッター 青
スリートイメージ(命中), -
ヘブンイメージ(準備),  オーラ上昇 白
ヘブンイメージ(攻撃), ＭＡＰ発光 白
ヘブンイメージ(命中), -
ヘルイメージ(準備),  オーラ上昇 白
ヘルイメージ(攻撃), @戦闘アニメ_死神
ヘルイメージ(命中), -
ホーリーゴースト(攻撃), 実弾発射 Common\EFFECT_SonicBoom(White)02.bmp 48 Whiz.wav
ホーリーゴースト(命中), 飛沫 白
フレームイメージ(準備),  オーラ上昇 白
フレームイメージ(攻撃), ＭＡＰ炎 青 Explode.wav
フレームイメージ(命中), -
ホーリーブロウ(攻撃), スーパーパンチ 白
ホーリーブロウ(命中), ダメージ
フリーズイメージ(準備),  オーラ上昇 白
フリーズイメージ(攻撃), ＭＡＰ凍結 Slash.wav
フリーズイメージ(命中), -
シャドウイメージ(準備),  オーラ上昇 白
シャドウイメージ(攻撃), ＭＡＰ光球 黒 Storm.wav
シャドウイメージ(命中), -
ホーリーイメージ(準備),  オーラ上昇 白
ホーリーイメージ(攻撃), ＭＡＰ波動放射 白 Whiz.wav
ホーリーイメージ(命中), -
ヒールタッチ, 回復魔法
ド根性キック, キック
怒りの鉄拳, 連打
怒りの鉄拳(命中), 連続大爆発
タロイモパンチ, 実弾発射 武器画像=ナックルパンチ(グリーン) 32 有線
タロイモパンチ(命中), 打撃
タロイモキック, キック;実弾発射 武器画像=ナックルパンチ(グリーン) 32 有線
タロイモキック(命中), 打撃
のうてんショート, 放電
ボヨヨンパンチ, 実弾発射 武器画像=ナックルパンチ(グリーン) 32 有線
ボヨヨンパンチ(命中), 打撃
スタンガン, 格闘
スタンガン(命中), 放電
１００Ｖレーザー, ニードルレーザー 青
１００Ｖレーザー(命中), ニードルレーザー 青;放電
プラズマスパーク, 大電撃 青
ラッカー噴霧弾, 煙噴射 橙
ゲキレツ弾(攻撃), 実弾発射 Weapon\EFFECT_Rock01.bmp 32 Cannon.wav
ゲキレツ弾(命中), 強打 Explode.wav
キンギョ弾, キャノン砲
キンギョ弾(命中), 乱打 橙 PiyoPiyo.wav
ヒヨコ弾, キャノン砲長距離
ヒヨコ弾(命中), 乱打 黄 PiyoPiyo.wav
けるる～きっく, キック
けるる～きっく(命中), 大斬撃 橙 Crash.wav
けるる～しょうわ(攻撃), 音符 Whiz.wav
けるる～しょうわ(命中), 魔法集中 黒
ナム～の後光(攻撃), 発光 黒 対象ユニットＩＤ
ナム～の後光(命中), 音符 Whiz.wav
液体人間呪縛, 光球 紫;光球 紫;光球 紫
液体人間呪縛(命中), 粒子集中 紫 Drill.wav
ナイフマジック, ナイフ
ジェットナックル, 打突
マイトキック, キック
マイトキック(命中), 大爆発
毒液, 光弾 緑
毒液(命中), 飛沫 緑 Splash.wav
大爆走９４, スーパータックル乱舞 黄
催眠音波, 音波 LaserGun.wav
サイコアルファ, 発光 桃 Whiz.wav 対象ユニットＩＤ
サイコアルファ(命中), ダメージ 橙 Saber.wav
ＰＫ砲(準備), 粒子集中 青
ＰＫ砲, 大電撃
ガンマ線(準備), ショックビームガン 白
ガンマ線, ショックビームガン 白 LaserGun.wav
ウイリーキック, スーパーキック 白
大旋風(準備), 回転 3
大旋風, 旋風
ラリラリアット(攻撃), 回転 3 AntiAirMissile.wav
ラリラリアット(命中), 強打
ドリャラリアット(攻撃), 回転 3 AntiAirMissile.wav
ドリャラリアット(命中), 強打
セメント攻撃, 光弾 白 Cannon.wav
セメント攻撃(命中), 泡
地上げ地ならし, スーパータックル
牛殺し, 強打
鉄のカーテン, タックル
鉄のカーテン(命中), 強打 Crash.wav
サイコベータ, 発光 黒 Inori.wav 対象ユニットＩＤ
サイコベータ(命中), 粒子噴射 紫
サイコガンマ, 発光 白 Flair.wav 対象ユニットＩＤ
サイコガンマ(命中), 吸収
メルトブレス, 火炎放射 橙
ミサイル, ミサイル 4
サイコフレア(準備), 光噴出 白 Fire.wav
サイコフレア, 必殺光線 白
気化爆発, 超自爆
８８ミリ戦車砲, キャノン砲
バルカン砲, バルカン
メーザー砲, 中ビーム 青 LaserGun.wav
####原始編####
ボコボコ, 大腿骨
ドカドカ, キック
ウホぷぅ, 煙噴射 黄 AntiAirMissile.wav
グーグー(準備), 棍棒
グーグー, 音波
グイグイ, 立ち固め
ブンブン, スーパーダイブ
キコキコ, 火柱
ウォ～ウォ～(攻撃), ＭＡＰ地震 Beast.wav
ウォ～ウォ～(命中), -
ズドゲラデイン, 急降下
ドデゲスデン(準備), 棍棒
ドデゲスデン(攻撃), 白兵連撃;白兵武器;振り下ろし
ドデゲスデン(命中), 乱打
ガボラッチョ, 噛み付き
ガボラッチョ(命中), 噛み付き;吸収
ンガ, 爪撃
ウキッ(攻撃), 投擲武器 Common\EFFECT_LightBall01.bmp 16 Bomb.wav
ウキッ(命中), 飛沫 橙 Explode.wav
ウホ(攻撃), デフォルト Whiz.wav
ウホ(命中), 発光 桃 BeamShot.wav
ウキぷぅ, 煙噴射 黄 AntiAirMissile.wav
ドゴドゴ(準備), 決め画像 Common\EFFECT_Heart01.bmp -.wav
ドゴドゴ(攻撃), 画像投射 Common\EFFECT_Heart01.bmp Punch(2).wav 3
ドゴドゴ(命中), 粒子集中 赤
ンゴ, 噛み付き
ンゴ(命中), 噛み付き;吸収
ぽかぽか, 棍棒
ぽかぽか(命中), 連打
てーてー(準備), 棍棒
てーてー(攻撃), 白兵武器;キック
てーてー(命中), 打撃;打撃
るーるー, 音符
ふれふれー(使用), @戦闘アニメ_ＭＡＰ音符攻撃
ふれふれー(発動), オーラ上昇 赤
ががんご, 打突
ごごんが, キック
ばりききゅーん, バックキック
ばりぶるーん, キャノン砲
ばりたんく, タックル
ばりどりーん, 気弾 緑 Bearing.wav
ばりどりーん(命中), ダメージ 緑
急降下, 急降下
急降下(命中), 急降下;踏み潰し
なぎ倒し, タックル
引き裂き, 爪撃
くねくねダンス(攻撃), 格闘
くねくねダンス(命中), 音符
骨投げ, 回転投擲武器 Weapon\EFFECT_Femur01.bmp
骨斧, 大腿骨
骨振り下ろし(準備), 大腿骨
骨振り下ろし(攻撃), 振り下ろし
骨振り下ろし(命中), 強打
鼻鞭, 鞭
撹乱(攻撃), 分身打撃
撹乱(命中), ダメージ PowerDown.wav
角, ヘッドバット
角(命中), 刺突
角突進, スーパータックル
角突進(命中), 大刺突
頭突き, ヘッドバット
クォ～ン, Beast.wav
砂浴び, 煙 黄 AntiAirMissile.wav
足で地面けってる, 煙 黄
くちばし, 刺突
尻尾, なぎ払い
尻尾(命中), 打撃
ケケケ(攻撃), 音波
ケケケ(命中), 発光 赤
大噴火, ＭＡＰ落盤;ＭＡＰ炎
大爆発, ＭＡＰ大爆発
大爆発(命中), -
####幕末編####
忍法コマまわし, ジャイアントスイング
忍法コマまわし(命中), ジャイアントスイング Swing.wav
忍び斬り(準備), 脇差
忍び斬り, 振り上げ
十文字斬り(準備), 脇差
十文字斬り, なぎ払い;振り下ろし
忍法火炎ぼたる(攻撃), 炎 対象ユニットＩＤ;スーパータックル 赤
忍法火炎ぼたる(命中), 炎
手裏剣乱糸(準備), 手裏剣
手裏剣乱糸(攻撃), 手裏剣;手裏剣;手裏剣
手裏剣乱糸(命中), 連突
忍法夢幻蝶(攻撃), 桜吹雪 対象ユニットＩＤ
忍法夢幻蝶(命中), 桜吹雪
砂ジンの術, 竜巻
忍法雪木枯らし, 吹雪
忍法カマイタチ, 脇差
忍法カマイタチ(攻撃), 連斬撃;振り上げ;スーパーブーメラン 白
シュラのイン, 吸収
影一文字(準備), 脇差
影一文字(攻撃), 分身斬撃
影一文字(命中), 横大斬撃
忍法矢車草, スピンジャンプアタック 白
忍法火の鳥(準備), 召喚 Effect\EFFECT_FireBird(Red).bmp 48 Storm.wav
忍法火の鳥(攻撃), 気斬 赤 Beam.wav
忍法火の鳥(命中), 炎
忍法火の鳥(ＭＡＰ)(準備), 召喚 Effect\EFFECT_FireBird(Red).bmp 48 Storm.wav
忍法火の鳥(ＭＡＰ)(攻撃), ＭＡＰ気斬 赤 Beam.wav
忍法火の鳥(ＭＡＰ)(命中), 炎
毒霧, 煙噴射 紫
抜刀狼牙射術, フリントロック銃
威嚇射撃(抜刀狼牙射術), フリントロック銃
威嚇射撃(抜刀狼牙射術)(命中), ダメージ
北辰一刀流(準備), 日本刀
北辰一刀流, 振り下ろし
切り下ろし(準備), 脇差
切り下ろし, 振り下ろし
斬り下ろし(準備), 日本刀
斬り下ろし, 振り下ろし
火炎放射, 火炎放射
忍法コママワリ, スピンアタック 白
尾出流手裏剣術(準備), クナイ
尾出流手裏剣術(攻撃), クナイ;クナイ;クナイ
尾出流手裏剣術(命中), 連突
風魔手裏剣, 回転投擲武器 Weapon\EFFECT_BigShuriken01.bmp 32
風魔手裏剣(命中), 斬撃
ゴルゴダのイバラ, 触手
ゴルゴダのイバラ(命中), 触手 Reload.wav;吸収
逆さ十字, 回転投擲武器 Weapon\EFFECT_BigShuriken01.bmp 32
逆さ十字(命中), 強打
電影結界, ＭＡＰ落雷 Thunder.wav
電影結界(命中), 放電
亡者の影(攻撃), 魔法放射 黒 BeamSaber.wav
亡者の影(命中), 眼球
色気(準備), 決め画像 Common\EFFECT_Heart01.bmp -.wav
色気(攻撃), 画像投射 Common\EFFECT_Heart01.bmp Whiz.wav 2
色気(命中), 粒子集中 赤
怨みの業火, 炎投射
怨妖の黒髪, 触手乱舞 黒
ひっかき, 爪撃
なぎなた(準備), ナギナタ
なぎなた, なぎ払い
捨身(淀君), 打撃突撃
捨身(淀君)(命中), 爪撃
死にまする！(発動), @戦闘アニメ_なぎ払い命中
うらめしや(攻撃), デフォルト Interference.wav
うらめしや(命中), 煙 白
冷たい手(準備), 吹雪
冷たい手(攻撃), 打突
冷たい手(命中), 凍斬撃 Inori.wav;吸収
引火, 炎投射
冷気, 吹雪
エレキテル放電, 大電撃 青
ナンバンギセル, ソーサー
ナンバンギセル(命中), 打撃;煙 紫
奥義・心刀滅殺剣(準備), 野太刀 二刀流
奥義・心刀滅殺剣(攻撃), 分身斬撃
奥義・心刀滅殺剣(命中), 大斬撃 橙 二刀流;魔法集中 黒 Inori.wav
角行ヒヨドリ越え, 野太刀突撃 二刀流
角行ヒヨドリ越え(命中), 野太刀突撃;振り上げ大斬撃
袈裟懸け二刀流, 野太刀 二刀流
二刀燕返し, 野太刀突撃 二刀流
からくり独楽, スピンアタック
音無しの剣(準備), 日本刀
音無しの剣(攻撃), -
音無しの剣(命中), 連続なぎ払い
半月流殺法(準備), 日本刀
半月流殺法(攻撃), 円月殺法 黄 横
半月流殺法(命中), なぎ払い;粒子集中 紫
破道法(準備), オーラ上昇 青
破道法(攻撃), ＭＡＰ地表衝撃波 黄 Charge(high).wav
破道法(命中), 大爆発
静岩くずし, 日本刀突撃
静岩くずし(命中), 日本刀突撃;斬撃乱舞
水神の髭鞭, 鞭
水神の髭鞭(命中), 打撃 紫 Whip.wav
なぎ倒し, タックル
なぎ倒し(命中), 超打
水呼び, ＭＡＰ津波
ねばねば液, 光弾 紫 Whiz.wav
ねばねば液(命中), 飛沫 紫 Splash.wav
コノタワケ扇子, 畳んだ扇子
コノタワケ扇子(命中), 連打 Whip.wav
毒針, 刺突
短筒, フリントロック銃
念仏, 音符 Mokugyo.wav
妖邪怨殺剣, 妖刀
妖邪怨殺剣(命中), 大斬撃;吸収
吸血, 噛み付き
吸血(命中), 噛み付き;吸収
げこげこ, 音波
毒蛇鞭【広域】(準備), 鞭
毒蛇鞭【広域】(攻撃), 斬撃乱舞
毒蛇鞭【広域】(命中), 連打 紫 Whip.wav
毒蛇鞭(準備), 鞭
毒蛇鞭(攻撃), 斬撃乱舞
毒蛇鞭(命中), 乱打 紫 Whip.wav
毒の牙, 噛み付き
油舐め, 発光 白 BeamCoat.wav
毒花粉, 煙噴射 緑
素敵なお方, 立ち固め
命乞い, 立ち固め
斜め斬り, 日本刀
賄賂, 粒子噴射 黄 Sharara.wav
突き(刀)(準備), 日本刀
突き(刀), 刺突
居合い抜き, 日本刀突撃
居合い抜き(命中), 横大斬撃 赤
捨身(準備), 日本刀
捨身, スーパータックル 白
不動の構え, 発光 白
一つ人の世悪の元, 日本刀突撃
一つ人の世悪の元(命中), ダメージ 紫 連続
二つ不敵な優男, 日本刀突撃
二つ不敵な優男(命中), 横大斬撃 紫
三つ見事に成敗の, 日本刀突撃
三つ見事に成敗の(命中), 大斬撃
秘剣！鬼ヶ島斬り, 日本刀突撃
秘剣！鬼ヶ島斬り(命中), クリティカル斬撃;クリティカル斬撃
謎の尺八, 音波
ひらめいた！(使用), ディレイ Mokugyo.wav 15
ひらめいた！(発動), 発光 黄 Flair.wav
火トンの術, 炎
蜘蛛の糸, ニードルレーザー 白
斬鉄剣, 長ドス突撃
爆裂手裏剣, 手裏剣
爆裂手裏剣(命中), 爆発
すれ違い刺し(準備), 脇差
