超人
キン肉フラッシュ, Beam.wav
ミラクルランドセル, Reload.wav
ミラクルランドセル(命中), Punch(2).wav
地獄のシンフォニー, Breath.wav
四次元殺法(命中), Punch.wav
四次元ワープ, Whiz.wav
デビルトムボーイ(命中), 3;Shock(low).wav;GunPod.wav
ウォーターボール, Swing.wav
ウォーターボール(命中), Punch.wav
ウォーターマグナム, Splash.wav
アトランティスドライバー(命中), Shock(Low).wav
水芸セントヘレンズ大噴火(命中), 4;BreakOff.wav;Splash.wav
怪光線, BeamCoat.wav
キバ地獄(命中), Stab.wav
ミイラパッケージ(命中), 7;Whip.wav;2;Swing.wav;3;Stab.wav;Shower.wav
落石, PowerDown.wav
落石(命中), Crash.wav
魔雲天ドロップ(命中), Explode(Nuclear).wav
地獄の宇宙遊泳(命中), 6;Punch.wav;Slash.wav
エリマキ攻撃, Drill.wav
エリマキ攻撃(命中), Slash.wav
プラネットリング, 2;Swing.wav;Saber.wav
プラネットリング(命中), Slash.wav
アポロンダイナマイト, Fire.wav
ジャンクニードル(命中), Stab.wav
ジャンククラッシュ(命中), Crash.wav
反射(順逆自在の術), Whiz.wav
背転田楽刺し(命中), 2;AntiAirMissile.wav;Punch.wav
忍法クモ糸縛り, 1;Swing.wav;1;Swing.wav;1;Swing.wav;Swing.wav
忍法クモ糸縛り(命中), 2;Shock(low).wav;Whip.wav
忍法クモ糸縛り(クリティカル), GunPod.wav
焦熱地獄, Fire.wav
忍法業火羽輪の術, 2;Snap.wav;Fire.wav
忍法絶対零度, Storm.wav
竜巻地獄, Storm.wav
阿修羅バスター(命中), Explode.wav
改良阿修羅バスター(命中), Explode.wav
阿修羅稲綱落とし(命中), 4;BreakOff.wav;8;Jet.wav;Explode.wav
地獄のコマ, Drill.wav
地獄のコマ(命中), Combo.wav
地獄の凱旋門(命中), Shock(Low).wav
地獄のピラミッド(命中), Stab.wav
呪いのローラー, 2;Drill.wav;2;Drill.wav;2;Drill.wav
サンシャインマグナム, Bazooka.wav
地獄のコンビネーション(命中), Explode(Far).wav
地獄のメリーゴーランド, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
地獄のメリーゴーランド(命中), 1;Slash.wav;Slash.wav
地獄の断頭台(命中), 4;BreakOff.wav;6;Jet.wav;Explode.wav
地獄の三重刑(命中), Shock(Low).wav
Ｗレッグスープレックス(命中), 3;Swing.wav;Shock(Low).wav
マグネットパワー, Whiz.wav
サンダーサーベル(準備), Thunder.wav
サンダーサーベル, Swing.wav
サンダーサーベル(命中), Stab.wav
喧嘩ボンバー(命中), Bazooka.wav
喧嘩スペシャル(命中), 4;BreakOff.wav;GunPod.wav
武道爆裂キック(命中), Bazooka.wav
爆裂キック(命中), Bazooka.wav
マスク・ジ・エンド(命中), Drill.wav
マスク・ジ・エンド(キング)(命中), Drill.wav
不死鳥乱心波, BeamCoat.wav
テコの原理(命中), 3;Swing.wav;Shock(Low).wav
マッスルインフェルノ, Whiz.wav
マッスルインフェルノ(命中), 8;Jet.wav;Crash.wav
マッスルリベンジャー(命中), 15;Punch(4).wav;4;BreakOff.wav;6;Jet.wav;Crash.wav
業火のクソ力, Fire.wav
ナパーム・ストレッチ(命中), Explode.wav
モクテスマ・ディフェンス, Fire.wav
モクテスマ・ディフェンス(命中), Shock(Low).wav
メイプルリーフ・クラッチ(命中), 3;BreakOff.wav;3;BreakOff.wav;BreakOff.wav
アイスロックジャイロ(命中), 1;Swing.wav;1;Swing.wav;1;Swing.wav;2;Swing.wav;10;Storm.wav
アイスロックジャイロ(クリティカル), Flair.wav
ノーズフェンシング(命中), Stab.wav
パワフルノーズブリーカー(命中), Shock(Low).wav
ビッグタスク(命中), Stab.wav
ゴーストキャンバス(命中), GunPod.wav
レインボーシャワー(準備), Charge.wav
レインボーシャワー, LaserGun.wav
ハンターライフル, Rifle.wav
Ω血煙り牙(命中), 3;Stab.wav;3;Stab.wav;3;Stab.wav;Stab.wav
Ωカタストロフドロップ(命中), Warship.wav
トライアングルドリーマー(命中), 3;BreakOff.wav;6;BreakOff.wav;Slash.wav
ペンチ・クロー(命中), Whip.wav
Ｆ・Ｎ・Ｃ・Ｄ(命中), 3;Swing.wav;Shock(Low).wav
ヘル・バード, Bird.wav
ヘル・バード(命中), BreakOff.wav
ウイングカッター(命中), Slash.wav
スパイラル・ブレット(命中), Stab.wav
アクション・ストップ, BeamShot.wav
アクション・ストップ(クリティカル), PiyoPiyo.wav
ズーム・アウト, 5;Hittyuu.wav;BeamCoat.wav
ズーム・アウト(命中), Type.wav
火山地獄, FastGun.wav
火山地獄(命中), Fire.wav
パワー分離機(命中), Drill.wav
変形攻撃(命中), Punch.wav
変形攻撃(命中), Punch(2).wav
変形攻撃(命中), Punch(3).wav
変形攻撃(命中), Punch(4).wav
変形攻撃(命中), Combo.wav
変形攻撃(命中), Crash.wav
変形攻撃(命中), Bazooka.wav
変形攻撃(命中), Shock(Low).wav
変形攻撃(命中), Slash.wav
変形攻撃(命中), Stab.wav
Ｊ・ローラーシーソー40t, Shock(Low).wav
Ｊ・ローラーシーソー40t(命中), 4;Jet.wav;Crash.wav
Ｊ・ローラーシーソー80t, Shock(Low).wav
Ｊ・ローラーシーソー80t(命中), 4;Jet.wav;Crash.wav
Ｊ・ローラーシーソー100t, Shock(Low).wav
Ｊ・ローラーシーソー100t(命中), 4;Jet.wav;Crash.wav
スクランブル・バイス(命中), Crash.wav
スパーク・リング・フラッシュ, BeamCoat.wav
バッテリー・クロー(命中), 3;Whip.wav;Thunder.wav
ドリル・ア・ホール・スパーク, Drill.wav
ドリル・ア・ホール・スパーク(命中), Stab.wav
エレキリング, 4;BeamSaber.wav;4;BeamSaber.wav;BeamSaber.wav
マッドマックス・アタック, Engine.wav
マッドマックス・アタック(命中), Punch.wav
コントロール・タイヤ(命中), Punch.wav
バズソー・ドライブ(準備), 8;Engine.wav
バズソー・ドライブ, Bike.wav
バズソー・ドライブ(命中), Slash.wav
Ｍ・サイクリング・キック(準備), 8;Engine.wav
Ｍ・サイクリング・キック, Bike.wav
Ｍ・サイクリング・キック(命中), Punch.wav
キル・ザ・スカイダイブ(準備), 8;Engine.wav
キル・ザ・スカイダイブ, Bike.wav
キル・ザ・スカイダイブ(命中), Shock(Low).wav
影のシャワー, Shore.wav
人体化石封じ, Shower.wav
神殿瓦礫崩し, Glass.wav
神殿瓦礫崩し(命中), Combo.wav
居合い斬りボンバー(命中), Bazooka.wav
サムライスペシャル(命中), 4;BreakOff.wav;GunPod.wav
スペースファルコン(命中), Punch.wav
バック・フリップ(命中), Shock(Low).wav
フライング魚雷, FlyBy.wav
フライング魚雷(命中), Shock(Low).wav
カレー攻撃(命中), Slash.wav
ベンキ流し(命中), Splash.wav
ロウ固め, 2;Bow.wav;2;Bow.wav;2;Bow.wav
ロウ固め(命中), Slash.wav
ロウ固め(クリティカル), Sword.wav
宇宙一残虐ファイト(命中), Punch.wav
フライングニードロップ(命中), 4;Swing.wav;Punch.wav
ハリネズミ殺法(命中), Slash.wav
ハリネズミ殺法(命中), Stab.wav
トランプ攻撃, 1;Bow.wav;1;Bow.wav;1;Bow.wav;Bow.wav
トランプ攻撃(命中), 1;Slash.wav;1;Slash.wav;Slash.wav
バイオニックエルボー(命中), Bazooka.wav
フライングチョップ, Bow.wav
フライングチョップ(命中), Shock(Low).wav
幻惑瞼, BeamCoat.wav
反射(グレート躰術), 4;Slap.wav;2;Swing.wav;BreakOff.wav
グレート躰術(命中), Shock(Low).wav
武器雷槌落とし, 4;Slap.wav;4;Slap.wav;6;Whip.wav;Swing.wav
武器雷槌落とし(命中), 7;Jet.wav;Explode.wav
凶器(命中), Slash.wav
凶器(命中), Stab.wav
凶器(命中), Crash.wav
凶器(命中), Sword.wav
隠し凶器(命中), Slash.wav
隠し凶器(命中), Stab.wav
隠し凶器(命中), Crash.wav
隠し凶器(命中), Sword.wav
