
ドラゴンクエスト８
##エイト##
兵士の剣, ショートソード
ミラクルムーン(命中), 超アッパー
##トロデ##
フールシュート, 特殊光線
諸刃斬り, 呪剣
無数のムチ, 触手乱舞
凍てつく波動, 波動放射 残像
真空波(攻撃), 気斬
真空波(命中), 気斬 Slash.wav
妖しい瞳, 発光
連続攻撃(攻撃), 連斬撃
連続攻撃(命中), 連打
羽の雨(準備), 煙 白 MachineCannon.wav
羽の雨(攻撃), ＭＡＰ煙 白 Hide.wav
羽の雨(命中), -
テンペラーソード, ソード
グランドクロス(準備), ソード
グランドクロス(攻撃), 振り下ろし;地表衝撃波 白 MicroMissile.wav
グランドクロス(命中), 光柱 白
サイコキャノン, 光球 赤
振り下ろす拳, 踏み潰し
天から流星, 隕石
二回攻撃(攻撃), 連斬撃
二回攻撃(命中), ダメージ Crash.wav;ダメージ Crash.wav
冷たい息, 吹雪
凍える吹雪(攻撃), 旋風 白 Storm.wav
凍える吹雪(命中), 旋風 白 Glass.wav
冷たく輝く息(攻撃), 火炎放射 白 Interference.wav
冷たく輝く息(命中), 火炎放射 白 -.wav
火の息, 炎投射 赤
火の玉(攻撃), キャノン砲
火の玉(命中), 炎
激しい炎(攻撃), 火炎放射 赤 AntiShipMissile.wav
激しい炎(命中), 火炎放射 赤 Fire.wav
灼熱の炎(攻撃), 火炎放射 赤 AntiShipMissile.wav
灼熱の炎(命中), 火炎放射 赤 Fire.wav
燃えさかる火炎(攻撃), 火炎放射 赤 Breath.wav
燃えさかる火炎(命中), 火炎放射 赤 Fire.wav
高熱のガス(攻撃), 煙噴射 赤 Breath.wav
高熱のガス(命中), 炎
毒の息, 煙噴射 緑 Breath.wav
甘い息, 煙噴射 桃 Bubble.wav
焼けつく息(攻撃), 煙噴射 赤 Breath.wav
焼けつく息(命中), 煙 赤 Inori.wav
痛恨の一撃(攻撃), 斬撃
痛恨の一撃(命中), 超打 Crash.wav
おたけび, 音波
ルカニ(攻撃), 発光 桃
ルカニ(命中), -
ルカニ(クリティカル), 劣化
ルカナン(攻撃), ＭＡＰ発光 桃
ルカナン(命中), -
ルカナン(クリティカル), 発光 桃;防御力ＤＯＷＮ
マヌーサ(攻撃), ＭＡＰ煙 白 Hide.wav
マヌーサ(命中), -
マヌーサ(クリティカル), 煙 白;撹乱
ラリホー(攻撃), 煙 桃 Bubble.wav
ラリホー(命中), -
ラリホー(クリティカル), 睡眠
ラリホーマ(攻撃), 煙 桃 Bubble.wav
ラリホーマ(命中), -
ラリホーマ(クリティカル), 睡眠
メダパニ(攻撃), 五芒星 桃 Hide.wav
メダパニ(命中), -
メダパニ(クリティカル), 混乱
メダパニーマ(攻撃), ＭＡＰ発光
メダパニーマ(命中), -
メダパニーマ(クリティカル), 混乱
マホトーン(攻撃), 五芒星 赤 Sharara.wav
マホトーン(命中), -
マホトーン(クリティカル), 沈黙
ボミオ(攻撃), 光投射 桃
ボミオ(命中), 発光 桃
ボミオ(クリティカル), 運動性ＤＯＷＮ
ボミオス(攻撃), ＭＡＰ発光 桃
ボミオス(命中), 発光 桃
ボミオス(クリティカル), 運動性ＤＯＷＮ
ニフラム(攻撃), 粒子集中 白
ニフラム(クリティカル), 飛沫 白 Inori.wav
メラ(攻撃), キャノン砲
メラ(命中), 爆発
メラミ(攻撃), 火炎弾 Cannon.wav
メラミ(命中), 大爆発
メラゾーマ(攻撃), 大キャノン砲
メラゾーマ(命中), 超爆発
ヒャド(攻撃), 氷弾
ヒャド(命中), 凍斬撃 Stab.wav
ヒャダルコ(攻撃), 氷柱
ヒャダルコ(命中), 凍結 glass.wav
ヒャダイン(攻撃), 旋風 白
ヒャダイン(命中), 吹雪 glass.wav
マヒャド(攻撃), 旋風 青
マヒャド(命中), 拡散ビーム 青 glass.wav
ギラ(攻撃), 中ビーム 赤 Fire.wav
ギラ(命中), 中ビーム 赤 -.wav
ベギラマ, 中ビーム 黄
ベギラゴン(攻撃), 大ビーム 赤 MicroMissile.wav
ベギラゴン(命中), 大ビーム 赤 -.wav
バギ(攻撃), シュートカッター
バギ(命中), シュートカッター Slash.wav
バギマ(攻撃), 竜巻
バギマ(命中), 竜巻 Slash.wav
バギクロス(準備), 竜巻
バギクロス(攻撃), 連斬撃 Saber.wav;波動放射 白 Storm.wav
バギクロス(命中), 唐竹割り;横大斬撃
イオ(攻撃), Charge.wav;粒子集中 黄 -.wav;ＭＡＰ爆発
イオ(命中), Crash.wav
イオラ(攻撃), Charge.wav;粒子集中 赤 -.wav;粒子集中 白 -.wav;粒子集中 黄 -.wav;ＭＡＰ大爆発
イオラ(命中), Crash.wav
イオナズン(攻撃), Charge(Long).wav;粒子集中 赤 -.wav;粒子集中 青 -.wav;粒子集中 白 -.wav;粒子集中 黄 -.wav;粒子集中 桃 -.wav;ＭＡＰフラッシュ Explode(Nuclear).wav
イオナズン(命中), Crash.wav
ライデイン(準備), Thunder.wav
ライデイン(攻撃), 落雷 Whip.wav
ライデイン(命中), 飛沫 黄 Inori.wav
ギガデイン(攻撃), 落雷 Thunder.wav
ギガデイン(命中), 大放電 Inori.wav
ザキ(攻撃), 光投射 黒
ザキ(命中), 発光 黒
ザラキ(攻撃), 光投射 黒
ザラキ(命中), 発光 黒
マダンテ(攻撃), 魔法陣
マダンテ(命中), 超爆発
ホイミ, 回復魔法泡
ベホイミ, 回復魔法
ベホマ, 回復魔法;回復魔法泡
ベホマラー(使用), 飛沫 白 Sharara.wav
ベホマラー(発動), 回復魔法泡 Sharara.wav
ベホマズン(使用), @戦闘アニメ_Ｍ全投ビーム共通 白 Sharara.wav 3
ベホマズン(発動), -
バトルアックス, 鋼の斧
ドラゴンキラー(準備), カタール Sword.wav
ドラゴンキラー(攻撃), 刺突
ドラゴンキラー(命中), ダメージ Stab.wav
魔神の金槌(準備), ピコピコハンマー
魔神の金槌(攻撃), 白兵武器
魔神の金槌(命中), 超打
皆殺しの剣, 呪剣
茨の鞭, 鞭
鉄の爪, クロー
炎の爪(攻撃), 中ビーム 赤 Fire.wav
炎の爪(命中), 中ビーム 赤 -.wav
会心の一撃(攻撃), スーパータックル
会心の一撃(命中), 乱打;強打 Crash.wav
会心の一撃(命中), クリティカル斬撃;強打 Crash.wav
跳び蹴り, 浴びせ蹴り
キラーピアス(準備), スコップ 二刀流
キラーピアス(攻撃), 連斬撃
キラーピアス(命中), 連斬撃
キラーピアス(クリティカル), デフォルト
鉄の槍, スピア
鎖鎌, 鎌
鎖鎌, 鎌投擲
鎖鎌, 分銅
モーニングスター, モーニングスター
怪しい光(Ｍ), ＭＡＰビーム 桃
怪しい光(攻撃), 中ビーム 桃 BeamCoat.wav
怪しい光(命中), 中ビーム 桃
力溜め攻撃, タックル
まどろみの剣, リボン
理力の杖, ナギナタ
理力の杖(命中), 雷斬撃 Slash.wav
爆裂拳(攻撃), 乱打
爆裂拳(命中), 超爆発
反射(光の壁), 反射 Glass.wav 光の壁
反射(マホカンタ), 反射 Glass.wav 光の壁
反射(天空の盾), 反射 Glass.wav 天空の盾
バイキルト, 攻撃力ＵＰ Sharara.wav
ドラゴラム(攻撃), MicroMissile.wav;ＭＡＰ炎 -.wav
ドラゴラム(命中), Crash.wav
ドラゴラム(解説), $(パイロット)は激しい炎を吐いた！
フバーハ, 光バリア BeamCoat.wav 光の衣
攻撃無効化(光の衣), 光バリア BeamCoat.wav 光の衣
マホステ, 煙 桃 Hide.wav
攻撃無効化(紫の霧), 煙 桃 Beamcoat.wav
メダパニダンス, バック転 2
岩石落とし, 岩
せいけん突き, 打突
せいけん突き(命中), 超打
踏みつけ, 踏み潰し
隼の剣(準備), レイピア

