# エスタナトレーヒチーム #################################################################

ゼナ＝リオン
回避(パドック艦), 潮汐力ブースター全開！;姿勢制御ノズルでも爆発ペレットでもいいから、.使えるものはすべて吹かして！
ダメージ小, あっれえ？ 今何か起きた？
ダメージ小, きゃはは！ 弱すぎだよ～
ダメージ中, ぶー！ ロートちゃん怒っちゃうもんね！
ダメージ中, あっ！ そんなぁ！ ずるいですぅ！！
ダメージ中, ひっど～い！ ロートちゃん悪くないのにぃ！！
ダメージ中, ロートちゃんびっくり！！
ダメージ大, いやぁ～！！ ロートちゃんやだぁ！！.痛いの、やー！！
ダメージ大, いやーっ！ もうロートちゃんおうち帰るー！！
ダメージ大, もーっ！ いいかげんにしてくれないと、.ロートちゃん泣いちゃうぞ！
ダメージ大, ふみゃぁぁぁ～
破壊, ふぇ～ん！ ロートちゃん悪くないのにぃ！ 悪くないのにぃ～！！
破壊, ロートちゃん、もうダメですぅ、メロメロのハラホロですぅ～;皆さん、先立つ不幸をお許し下さい……ガクッ
破壊, ロートちゃんはもうダメですぅ、お星様になって.しまいますぅ……ガクッ
脱出, きゃは、ロートちゃん失敗失敗
射程外, なんでとどかないかなあ！？
射程外, もっとこっちに来てよね！ プンスカ！！
射程外, 弾切れ……ロ、ロートちゃんのせいじゃないも～ん！！
射程外, エネルギーが無くちゃ動けませ～ん
ビーム無効化, ビームなんか無駄だよ～ん
攻撃無効化, ロートちゃんバリアー☆
分身, だまされる方が悪いのよ♪
分身, わーい、ひっかかったあ♪
分身, さぁて問題、ロートちゃんはどこでしょお？
阻止, あっはっはっはっは、花火だぁ～☆
阻止, 無駄だよ～ん♪
攻撃, あっはっはっはっは、どっかぁ～ん！
攻撃, う～、ワン！
攻撃, それいけぇ！
攻撃, ロートちゃん強いんだぞお！！
攻撃, ロートちゃんにおまかせ！！
攻撃, きゃはは！ いっけぇ～！！
攻撃, うりゃりゃりゃりゃりゃりゃりゃりゃ！！
攻撃, 倒れちゃえ！！
攻撃, ロートちゃんを怒らせたらどういう目に遭うか.教えちゃうぞ！！
ハイパーモード(シールド展開), ヴェイパーシールド展開なのだ♪
発進, $(機体)！ ばっびゅぅぅぅぅん！！

メオ＝ニスのルブルム
回避, 甘すぎるんだよ！！
回避, 何処狙ってやがる！
回避, ほらほら、こっちこっち！
ダメージ小, おちょくってんじゃねえぞ！
ダメージ小, ハン！ その程度か！？
ダメージ小, あたいも甘く見られたものだね
ダメージ中, ちっ！ やってくれたなてめえ！
ダメージ中, 何しやがる！！
ダメージ中, あたいを怒らせたいようだな！？
ダメージ大, っつ～……まずい！
ダメージ大, やばっ！ このままじゃ……
ダメージ大, こんなとこで負けるわけには！！
破壊, あっちゃあ～……やられちまった……
破壊, そ、そんな！ うわあっ！！
脱出, ごめんよ姉ちゃん！
射程外, てっめえ！ 卑怯じゃねえか！！
射程外, もっと近づけこの野郎！！
射程外, マジかよ、弾切れかよ……
射程外, エネルギー切れなんてダッせーの……
ビーム無効化, ヘヘン！ ビームは通用しないんだよ！
阻止, 迎撃だぁ！！
阻止, 当たりゃしねぇぜ！！
攻撃, 行くぜ！
攻撃, もらった！
攻撃, そこ！
攻撃, 邪魔すんな！！
攻撃, どきやがれ！
攻撃, こんちくしょう！！
攻撃, うっとおしいんだよ！！
攻撃, 落ちやがれ！！
ハイパーモード(シールド展開), ヴェイパーシールド展開！！
発進, $(機体)！ ファイト！！

メオ＝ニスのエリュトロン
回避, 来る……！
回避, 危ない！！
回避, きゃあっ！！
ダメージ小, 大丈夫、大丈夫……
ダメージ小, このくらいで……
ダメージ小, まだ……このくらい……
ダメージ中, きゃあっ！……でもまだ！！
ダメージ中, まだ……これから！
ダメージ中, このままむざむざやられはしません！
ダメージ大, だめ……もう過負荷になって……
ダメージ大, 私は、私は負けたくない！！
ダメージ大, まだ撃沈されたわけではなさそうだけど……
破壊, こんな、こんな事で敗けるなんて……
破壊, せめて、一発でも……！
脱出, ごめんなさいお姉様
射程外, そんな……届かないなんて……
射程外, ここからでは無理です
射程外, ああっ……残弾が……
射程外, そんな……エネルギーが……
ビーム無効化, ビームは無駄ですよ
攻撃無効化, そんな攻撃は無駄ですよ
攻撃無効化(レッドスナッパー・エクストラ), がんばって、エクストラ……！
攻撃無効化(ルビースナッパー), がんばって、ルビースナッパー……！
バリア貫通(ハードバリヤー), だめ……もう過負荷になって……！
バリア貫通(ハードバリヤー), そんな、ハードバリヤーが燃える！？
阻止, 迎撃システム作動！
阻止, その程度なら……なんとか！
攻撃, ……行きます！
攻撃, いまっ！！
攻撃, 申し訳ありませんけど、あなた方も悪いんですよ
攻撃, 仕方がありませんね……
攻撃, いきますよ
攻撃, 御免なさい！！
攻撃, ごめんなさぁぁぁぁい！！
ハイパーモード(シールド展開), ヴェイパーシールド展開！！
発進, $(機体)、発進します……

#突撃, ごめんなさい、本当にごめんなさい、こんな事したくないんです、ごめんなさい、でも負けてください、ごめんなさい！！
#突撃, あ、ああぁ……私戦いたくないのに……戦いたくないの……なのにどうして……
#突撃, あぁ、停まらない！ 停まらない！ 何故、何故なの！！ 何故いつも私ばかりが……！！
#突撃, いやぁ！ 私を戦わせないで！！
#突撃, あれを……あれを壊せばいいのね……あれを壊せば、もう戦わなくていいのね……
#突撃, 御免なさい、バラバラになってください、吹き飛んでください、爆発してください ……そうでないと……そうでないと私……
#突撃, お願いです、私を助けて……！ 私を……！！
#突撃, 戦わないと……あたし、戦わないと……お姉様達に迷惑を……
#突撃, 私、あなたを沈めないと、沈めないといけないんです！ お願い、沈んでください！！

高取集
回避, どこを狙っていらっしゃるのかしら？
回避, 当たりはしません
回避, 狙いが甘いですわ！
ダメージ小, その程度の攻撃ではこのわたくしは倒せませんよ
ダメージ小, ぜんぜん効いていませんわ
ダメージ小, ふざけていらっしゃるの？
ダメージ小(アーチャーフィッシュ), このアーチャーフィシュをなめてもらっては困ります
ダメージ中, クッ……なかなかやりますわね……
ダメージ中, まだ……この程度ではやられませんわよ！
ダメージ中, よくも……ただでは済ませませんわよ！
ダメージ中, 集はこれくらいの事では負けませんわ！！
ダメージ中, これはどういう事ですの！？
ダメージ大, ああっ……お兄さま、わたくしに力を！！
ダメージ大, そんな……このままでは……
破壊, お兄さまーーーーーーーー！！
脱出, 今日のところは大目に見て差し上げます
射程外, どこに潜んでいるのです！？
射程外, 小賢しい真似をしてくれますわね！
射程外(アーチャーフィッシュ), カートリッジ交換中？;もう、いざっていうときに役に立たないんだから……
射程外(アーチャーフィッシュ), そんな……このアーチャーフィッシュの攻撃が.届かないというの？
阻止, その程度、私の手を煩わせるまでもないですわ
阻止, 迎撃なさい！
攻撃, 隠れても無駄です！
攻撃, そこです！
攻撃, わたくしの腕前、見せて差し上げます
攻撃, 止めをさしてあげます！！
攻撃, お兄さま、見守っていてくださいましね！
攻撃(アーチャーフィッシュ), アーチャーフィッシュの的にしてあげます！！
攻撃(反撃), それなりの代償を払ってもらいますわ
攻撃(反撃), 今度はこちらからいきます！
攻撃(反撃), 泣いて謝っても許してあげませんわよ
攻撃(反撃), 望むところですわ！！
かけ声, 隠れても無駄です！
かけ声, そこです！
かけ声, わたくしの腕前、見せて差し上げます
かけ声, 止めをさしてあげます！！
かけ声, お兄さま、見守っていてくださいましね！
かけ声(アーチャーフィッシュ), アーチャーフィッシュの的にしてあげます！！
かけ声(アーチャーフィッシュ), 跡形も無く吹き飛ばしてあげますわ
かけ声(反撃), それなりの代償を払ってもらいますわ
かけ声(反撃), 今度はこちらからいきます！
かけ声(反撃), 泣いて謝っても許してあげませんわよ
かけ声(反撃), 望むところですわ！！
かけ声(反撃)(アーチャーフィッシュ), 跡形も無く吹き飛ばしてあげますわ
Ｒ４３００／ＤＤ, Ｒ４３００／ＤＤ発射！！
Ｒ４３００／ＤＤ, 主砲Ｒ４３００／ＤＤ、発射！！
Ｒ４３００／ＤＤ(とどめ), ああ……お兄さま……集はやりました
Ｒ４３００／ＤＤ(とどめ), あなたではわたくしのライバルにはなれませんわ
Ｒ４３００／ＤＤ(とどめ), ふふふ、案外あっけなかったですわね
Ｒ４３００／ＤＤ(とどめ), この程度の腕では、戦闘データの収集にもなりませんわね
メガクラッシュ, メガクラッシュ！！
重力アンカー, 重力アンカー射出！！
バレルロール, バレルロール！！
エヴァブラック, エヴァブラック発射！！
エヴァブラック, 主砲エヴァブラックキャノン発射！！
エヴァブラックMODEL=Ⅲ,  ＭＯＤＥＬ＝Ⅲモード起動ですわ！！;エヴァブラック発射！！
エヴァブラックMODEL=Ⅲ,  ＭＯＤＥＬ＝Ⅲモード起動ですわ！！;主砲エヴァブラックキャノン発射！！
ハイパーモード(シールド展開), ヴェイパーシールド展開ですわ！！
愛, あぁ、お兄さま！.星の彼方から集を見守ってくださいましね
集中, お兄さま！ わたくしに力を……
熱血, お兄さま！ 集はやりますわ！！
狙撃, お兄さま、集を導いてくださいまし！！
挑発, このわたくしとあなた、どちらがより優秀か勝負ですわ！！


紅鵬院翼
回避, その程度の攻撃に当たるほど、わちは甘くないちゃ！！
回避, 遅いちゃ！！
回避, わちをなめてもらっては困るちゃ！
ダメージ小, まだまだ！ ほんのかすり傷ちゃ！
ダメージ小, それがお前の全力ちゃか？
ダメージ小, 効かないちゃ！
ダメージ小, その程度の攻撃じゃ効かんちゃ！
ダメージ小, ふん、わちもなめられたもんちゃ
ダメージ小(クロウフィッシュ), わちのマッカチンをなめてもらっちゃっ困るちゃ！！
ダメージ中, つ……なかなかやるちゃね……
ダメージ中, なんの！ ちょっと油断しただけちゃ！
ダメージ中, 勝負はこれからちゃ！
ダメージ大, そ……そんなばかな……
ダメージ大, う……わちをここまで追いつめるとは…….ただ者ではないちゃね……
ダメージ大, さすがにやばいちゃ……
破壊, くそーーー！！ 覚えていろちゃ！！
破壊, そんな……わちがまけるなんて……
射程外, この卑怯モンが！！
射程外, 正々堂々と勝負するちゃ！！
射程外, まあ、いいちゃ。撃ち合いはわちの専門外ちゃ
射程外, そんな余裕をかましていられるのも、今のうちちゃ！！
阻止, 自動で迎撃……便利なもんついとるちゃな
阻止(クロウフィッシュ), マッカチン、迎撃は任せたちゃ！
切り払い, ハッ！！
切り払い, お前ならそうくるちゃ！
反射, お前ならそうくるちゃ！
反射, 捕まえたちゃ！
攻撃, 覚悟するちゃ！
攻撃, いくちゃ！！
攻撃, 決着をつけるちゃ！！
攻撃, さぁ、勝負するちゃ！！
攻撃, 目にもの見せてやるちゃ！！
攻撃(クロウフィッシュ), さぁ、マッカチン、わちに力を貸してくれるちゃな
攻撃(クロウフィッシュ), 行くちゃマッカチン！！
攻撃(反撃), 逃しはしないちゃ！！
攻撃(反撃), 今度はこっちから行くちゃ！
攻撃(反撃), お返しちゃ！！
攻撃(反撃), これまでちゃ！！
かけ声, 覚悟するちゃ！
かけ声, いくちゃ！！
かけ声, 決着をつけるちゃ！！
かけ声, さぁ、勝負するちゃ！！
かけ声, 目にもの見せてやるちゃ！！
かけ声(クロウフィッシュ), わちの流儀、見せてやるちゃ！
かけ声(クロウフィッシュ), さぁ、マッカチン、わちに力を貸してくれるちゃな
かけ声(クロウフィッシュ), 行くちゃマッカチン！！
かけ声(反撃), 逃しはしないちゃ！！
かけ声(反撃), 今度はこっちから行くちゃ！
かけ声(反撃), お返しちゃ！！
かけ声(反撃), これまでちゃ！！
重力アンカー, 紅鵬院流、突風ちゃ！！
重力アンカー, 紅鵬院流、突風！！ 受けてみるちゃ！！
重力アンカー, これが紅鵬院流、早風ちゃ！！
重力アンカー, これが紅鵬院の実力ちゃ！！
ハイパーモード(シールド展開), ヴェイパーシールド展開ちゃ！！
幸運, わちの貧乏の前に敵はおらんちゃ！！
幸運, 貧乏人の気合、見せてやるちゃ！！
幸運, 待っているちゃ、高額収入！！
発進, 行くちゃ$(機体)！！
発進(クロウフィッシュ), 行くちゃマッカチン！！

雉波田光
回避, やったぁ！ 回避成功！
回避, きゃあぁ！…………はずれたみたい？
回避, 楽勝、楽勝！
ダメージ小, 全然効いてないです！
ダメージ小, これぐらいじゃ私、負けません！
ダメージ小, よかった。かすっただけね
ダメージ小, それくらい何でもありません！！
ダメージ中, きゃあぁぁ……当たっちゃった……
ダメージ中, ま……まだ、やれます！
ダメージ中(バタフライフィッシュ(ＶＳ)), ヴェイパーシールドが！？
ダメージ大, ふえ～～～ん、どうしよう～～～
ダメージ大, や……やられちゃう……
ダメージ大(バタフライフィッシュ(ＶＳ)), ヴェイパーシールドがこうも簡単に破られるなんて……
破壊, きゃぁぁぁーーーーまどかせんぱーーーーい！！
破壊, あーーーあ、やられちゃった……
射程外, 射程外からなんてずるいです！
射程外, 届かないや……
射程外, うそ？ 弾切れ？
攻撃無効化, た……たすかったぁ……
攻撃無効化, わーーい！ らっきーーー！
攻撃無効化(ヴェイパーシールド), そのくらいじゃヴェイパーシールドはびくともしません！
攻撃無効化(ヴェイパーシールド)(バタフライフィッシュ), お願い、間に合って！！
阻止, 撃ち落としてください！
阻止, 緊急回避、迎撃！
攻撃, 当たって……！
攻撃, きゃぁーーー！ こっちに来ないでくださ～～い！
攻撃, いっきまーーーす！
攻撃, えーーーと、これかな？
攻撃, これで終わりです！
攻撃(反撃), えーーーーい、お返しです！
攻撃(反撃), 反撃、いっきま～す！
ハイパーモード(シールド展開), ヴェイパーシールド展開！！

鷲尾木葉
回避, あまいどすえ！
回避, もうちょいちゃんと狙ったほうがええんと違いますか？
回避(サンフィッシュ), そのくらいなら、うちのマンボウさんでも避けられますえ
ダメージ小, ちいともきいてまへん
ダメージ小, だらしないどすな。もうちょっときばっておくれやす
ダメージ小(サンフィッシュ), そのくらいじゃ、うちのマンボウさんは落とせませんえ
ダメージ小(サンフィッシュ), うちのマンボウさんをなめんといてや！
ダメージ中, な……なかなかやりますな
ダメージ中, まだまだ！ うちはまだやれますえ！
ダメージ中(サンフィッシュ), マンボウさん、もうちょっときばっておくれやす
ダメージ大, ああ……このままではまたお母はんに折檻されてまう……
ダメージ大, これ以上はさすがにもちませんえ！
ダメージ大, う……うちはまけませんえ！
破壊, ああーーー！ やられてしもた……
破壊, お母はん、ゆるしてーーーーーーー！！
脱出, 今日のところは大人しゅう退散したるわ
射程外, 射程外からとは、卑怯どすな
射程外, そんなところからこそこそと！
射程外, 正々堂々と勝負しいや！！
分身, 変わり身の術どすえ！！
分身, うちの忍術、とくとご覧なはれ！！
阻止, うちが手を出すまでもないですえ！！
阻止, はじから落としていきますえ！！
攻撃, ほな、いきますえ！
攻撃, 子供や思て、なめたら後悔しますえ！
攻撃, お母はん、見ててくんなはれ！ うちはやりますえ！
攻撃, おとなしくしなはれ！
攻撃, この場で決着付けたりますわ！
攻撃(サンフィッシュ), うちのマンボウさんをなめたらあきまへんえ！
攻撃(反撃), おかえしや！
攻撃(反撃), 今度はこっちからいきますえ！
攻撃(反撃), 逃がしまへんえ！
ハイパーモード(シールド展開), ヴェイパーシールド展開ですえ！！

# ・その他 ###############################################################################

アロイス＝フィンレイ
回避, 狙いが甘いですね
回避, 当たるわけにはいきません
回避, どこを狙っているのですか？
ダメージ小, ほんのかすり傷です
ダメージ小, そんなことではこの$(機体)は倒せませんよ
ダメージ小, 効きませんね
ダメージ中, なかなかやりますね
ダメージ中, まだいけます！
ダメージ中, これ以上やらせるわけには……！
ダメージ大, まずい……このままでは……
ダメージ大, ぐうぅ……
ダメージ大, 直撃！？
破壊, 今回はここまでですか……
破壊, これまでのようですね……
射程外, 射程外からとは、ずいぶんと慎重ですね……
射程外, 射程外ですね……
ビーム無効化, その程度のビームなど！！
ビーム無効化, そんなものでは私は倒せません！
阻止, 撃墜しろ！！
阻止, 使う武器を間違えましたね
攻撃, いきますよ！
攻撃, あなたにこれがかわせますか？
攻撃, 私の邪魔をしないでください！
攻撃, そこをどきなさい！
攻撃(反撃), 今度はこちらの番ですね
攻撃(反撃), お返しです！
かけ声, いきますよ！
かけ声, あなたにこれがかわせますか？
かけ声, 私の邪魔をしないでください！
かけ声, そこをどきなさい！
かけ声(反撃), 今度はこちらの番ですね
かけ声(反撃), お返しです！
ローゼスストリーム, ローゼス・ストリーーーーム！！
ローゼスストリーム, ローゼス・ストリーム！！
ローゼスストリーム(MAP), ローゼス・ストリーーーーム！！
ローゼスストリーム(MAP), ローゼス・ストリーム！！
ハイパーモード(シールド展開), ヴェイパーシールド展開！！
発進, $(機体)、出撃！！
発進(ＳＲ－８８), ＳＲ－８８アロイス＝フィンレイ、出撃！！
発進(ＳＲ－８８MkⅡ), ＳＲ－８８MkⅡアロイス＝フィンレイ、出撃！！

シルヴィー＝ドレッド
回避, 何処を狙っているのよ
回避, こんなものに当たるわけには
回避, 私の腕をなめないでよね
回避, この私がかわせないと思って？
ダメージ小, 全然効かないわよ
ダメージ小, なめるのもいい加減にしなさいよ
ダメージ小, ふん、他愛もない……
ダメージ中, 今の内よ、はしゃいでられるのも
ダメージ中, 一体どういう事なのよ！？
ダメージ中, この程度で！！
ダメージ大, うそォ……
ダメージ大, ここまで私を追い詰めるなんて……
ダメージ大, 負けるはずがないわ……この私が負けるなんて……
ダメージ大(ハンマーヘッド), ……まだハンマーヘッドは飛べるわ！！
ダメージ大(ハンマーヘッド(ＶＳ)), ……まだハンマーヘッドは飛べるわ！！
破壊, お、覚えてらっしゃい！！
破壊, なんでこの私が……シルヴィー＝ドレッドが負けるのよ！;認めないわ！！
脱出, 覚えてらっしゃい！ 次はないわよ！！
射程外, ふふん、一応はこちらの出方を読む知恵はあるみたいね
射程外, 実力のない者の遠吠えね
射程外, くっ！ 弾切れ！？
射程外, ちっ！ エネルギー切れですって！？
攻撃無効化(ヴェイパーシールド), ヴェイパーシールド出力全開！
攻撃無効化(ヴェイパーシールド), ムダよ…この艦のヴェイパーシールドが.そう簡単に破れると思って？
阻止, 目標を迎撃なさい！！
攻撃, あの世で後悔なさい！
攻撃, これでとどめよ！！
攻撃, 沈めてあげるわ！！
攻撃, 覚悟なさい！！
攻撃, 気に入らないのよ！
攻撃, さっさと私の前から消えなさい！！
攻撃(反撃), 私に楯突いた報いよ！！
攻撃(反撃), 今更謝っても遅いわよ！！
攻撃(反撃), 目障りだわ！
かけ声, あの世で後悔なさい！
かけ声, これでとどめよ！！
かけ声, 沈めてあげるわ！！
かけ声, 覚悟なさい！！
かけ声, 気に入らないのよ！
かけ声, さっさと私の前から消えなさい！！
かけ声(反撃), 私に楯突いた報いよ！！
かけ声(反撃), 今更謝っても遅いわよ！！
かけ声(反撃), 目障りだわ！
Ｒ４３００, Ｒ４３００、全砲発射！！
Ｒ４３００, 主砲Ｒ４３００、１号から４号……オールグリーン！:.発射！！
ハイパーモード(シールド展開), ヴェイパーシールドを！！
発進, $(機体)！ 発進よ！！
発進(ＴＡ－２９α), ＴＡ－２９αシルヴィー＝ドレッド！ 発進よ！！

メリ＝スハンのテンツァー
回避, あめえぜ！！
回避, 当たるかよ！！
回避, このへたくそが！！
ダメージ小, へっ、きかねえよ！！
ダメージ小, なめんじゃねえ！
ダメージ小, そんなんじゃ、いつまでたっても俺は落とせないぜ！
ダメージ小, どうした、臆したか！？
ダメージ中, 相手にとって不足はねえ！！
ダメージ中, くっ、やるじゃねえか……
ダメージ中, ちいっ、直撃だと？
ダメージ中, ようやく、おもしろくなってきやがったぜ！
ダメージ大, やべえ！ このままじゃやられちまう！！
ダメージ大, この俺をここまで追いつめるとは…….ただ者じゃねえな……
ダメージ大, こんなところでやられてたまるかよ！！！
破壊, ちくしょーーー！！ 覚えてやがれ！！！
破壊, ……おれもヤキが回ったな……
破壊, うわぁぁぁぁぁッ！！！
射程外, ちっ！ こざかしいまねを……
射程外, 射程外か……
射程外, どうした、臆したか！？
阻止, 無駄なことを！！
阻止, 出直してきな！！
攻撃, くらえ！！
攻撃, 落ちやがれ！！
攻撃, 宇宙の藻屑と消えろ！！
攻撃, 食らいやがれ！！
攻撃, 戦いっていうのは、パワーだけじゃないんだよ！！
Ｒ４３００, Ｒ４３００、受けてみやがれ！！！
Ｒ４３００, 見せてもらうぜ、Ｒ４３００！
Ｒ４３００, 行くぜ、Ｒ４３００！！
Ｒ４３００(とどめ), ざまあみやがれ！！
Ｒ４３００(とどめ), ま、ざっとこんなもんだ
攻撃(反撃), 今度はこっちの番だ！ いっくぜぇーーーー！！
攻撃(反撃), そーーら、お返しだぜ！
攻撃(テンツァーロボ), メリ＝スハンのテンツァー、一世一代の晴れ舞台だ！！
テンツァーミサイル, テンツァァァァァァ！ ミサイル！！
テンツァーファイヤー, テンツァァァァァァ！ ファイヤァァァァ！！
テンツァードリル, テンツァァァァァァ！ ドリル！！
テンツァートマホーク, テンツァァァァァァ！ トマホォォォク！！
テンツァーバズーカ, テンツァァァァァァ！ バズゥゥカ！！
テンツァービーム, テンツァァァァァ！ ビィィィィィィィィム！！！
テンツァービーム, 最後の花火はどでかいぜ！！;テンツァァァァァ！ ビィィィィィィィィム！！！
ハイパーモード(シールド展開), ヴェイパーシールド展開！！
発進, $(機体)、行くぜぇ！！

TERRAプレイヤー(ザコ)
回避, あ、あぶないっ！
回避, うわっ！ か、かわせたのか？
ダメージ小, うわっ！ あ、大丈夫なのか？
ダメージ中, うわっ！ ほ、ほんとにいけるのか！？
ダメージ中, わあっ！ こ、これくらいなら！
ダメージ中, ぐわっ！ こ、こいつ強いぞ！
ダメージ大, な、なんだこいつのパワーは！？
ダメージ大, ぐあっ！ パ、パワーが違いすぎる！
