
らんま１／２
拳法(命中), Punch.wav
茶筅掻き(命中), 1;Saber.wav;1;Saber.wav;Saber.wav
茶釜落とし(命中), Crash.wav
看板打ち(命中), Punch.wav
看板投げ, Swing.wav
看板投げ(命中), Punch.wav
バトンカッター, 5;Swing.wav;Swing.wav
バトンカッター(命中), 5;Punch.wav;Punch.wav
バトン流星弾, 5;Swing.wav;Swing.wav
バトン流星弾(命中), 5;Punch.wav;Punch.wav
格闘チアリーディング(命中), Punch.wav
如意棒バトンクラッシュ, Saber.wav
如意棒バトンクラッシュ(命中), Crash.wav
アトミックボンバー(命中), Shock(Low).wav
飛天ポンポンウニボンバー, Swing.wav
飛天ポンポンウニボンバー(命中), Drill.wav
拘束花ガツオ乱舞, Saber.wav
拘束花ガツオ乱舞(クリティカル), Hide.wav
タコちゃん大王, Bow.wav
タコちゃん大王(命中), Punch.wav
タコ焼き返し(命中), Whip.wav
タコツボ落とし(命中), Crash.wav
タコちゃん大王八百乱打, 1;Bow.wav;1;Bow.wav;1;Bow.wav;Bow.wav
タコちゃん大王八百乱打(命中), 1;Punch.wav;1;Punch.wav;1;Punch.wav;Punch.wav
タコちゃん大王大玉落とし, PowerDown.wav
タコちゃん大王大玉落とし(命中), Crash.wav
気竜刀(準備), BeamSaber.wav
気竜刀(命中), Slash.wav
気砲, Whiz.wav
気砲(命中), Explode.wav
竜斬破, Saber.wav
竜斬破(命中), Slash.wav
竜精飛翔, Whiz.wav
竜精飛翔(命中), 2;Crash.wav;2;Crash.wav;Crash.wav
怪力(命中), Crash.wav
円月刀(命中), Slash.wav
狼牙流星弾, 1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;Saber.wav
狼牙流星弾(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;Stab.wav
金蛇環, 5;Swing.wav;3;Saber.wav;Saber.wav
金蛇環(命中), Slash.wav
月渦蛇(命中), 5;Stab.wav;Glass.wav
火炎弾, Whiz.wav
火炎弾(命中), Fire.wav
皇帝火炎翼, 6;BreakOff.wav;Swing.wav
皇帝火炎翼(命中), Fire.wav
天下瞬滅皇球弾, 8;Charge.wav;Warship.wav
天下瞬滅皇球弾(命中), Explode(Nuclear).wav
カラス, 3;Saber.wav;3;Saber.wav;Saber.wav
カラス(命中), 3;Stab.wav;3;Stab.wav;Stab.wav
水鳥千斬翼, 1;Saber.wav;1;Saber.wav;Saber.wav
水鳥千斬翼(命中), 1;Slash.wav;1;Slash.wav;Slash.wav
鉤爪(命中), Stab.wav
羽弾, 1;Bow.wav;1;Bow.wav;Bow.wav
羽弾(命中), 1;Stab.wav;1;Stab.wav;Stab.wav
