
英雄伝説４
クロスブレード, Swing.wav
水激衝(命中), 1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav
水連激衝, BeamShot.wav
水連激衝(命中), 1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;10;BeamShot.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;Whip.wav
ハーキュリーブロー(準備), Swing.wav
ハーキュリーブロー, Swing.wav
ハーキュリーブロー(命中), Slash.wav
グラビティ・アックス(準備), Swing.wav
グラビティ・アックス, Stairs(Run).wav
グラビティ・アックス(命中), 2;Swing.wav;4;Swing.wav;2;Slash.wav;Slash.wav
デス・サイズ(準備), Swing.wav
デス・サイズ, Stairs(Run).wav
デス・サイズ(命中), 2;Swing.wav;4;Swing.wav;2;Slash.wav;4;Slash.wav;2;Swing.wav;2;Slash.wav;2;Swing.wav;2;Slash.wav;2;Swing.wav;Slash.wav
剣聖・風神斬, 1;Saber.wav;Saber.wav
剣聖・風神斬(命中), 1;Slash.wav;Slash.wav
剣聖・剣風閃(準備), BeamSaber.wav
剣聖・剣風閃, 1;Saber.wav;1;Saber.wav;Saber.wav
剣聖・剣風閃(命中), 1;Slash.wav;1;Slash.wav;Slash.wav
滅－ホロビ－(準備), 3;Glass.wav;1;White.bmp 480 480;Clear;Wind.wav
滅－ホロビ－, 1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;Saber.wav
滅－ホロビ－(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;5;Slash.wav;Slash.wav
エアリアル・ラブリス, Storm.wav
エアリアル・ラブリス(命中), Crash.wav
ファイアー・ボール(命中), Fire.wav
ストーン・ブラスト, Bomb.wav
ストーン・ブラスト(命中), Punch.wav
アクア・スプラッシュ(命中), Splash.wav
エレクトロ・キューブ(命中), MultipleRocketLauncher(Light).wav
シャイン・ブレット, 3;Beam.wav;1;Beam.wav;Beam.wav
オキサイド・サークル(準備), BeamSaber.wav
オキサイド・サークル, Whiz.wav
オキサイド・サークル(命中), Beam.wav
フレア・ゴースト, MultipleRocketLauncher.wav
フレア・ゴースト(命中), 2;Explode.wav;2;Explode.wav;2;Explode.wav;Explode.wav
デス・クエイク, GunPod.wav
リーン・カルナシオン, Bubble.wav
リーン・カルナシオン(命中), 5;Inori.wav;2;Inori.wav;Inori.wav
エアロ・ストーム(準備), 4;Saber.wav;3;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;Saber.wav
エアロ・ストーム, Storm.wav
エアロ・ストーム(命中), Crash.wav
フレイム・バースト(準備), Fire.wav
フレイム・バースト, Cannon.wav
フレイム・バースト(命中), Explode(Small).wav
アース・ブラスト, Bazooka.wav
アース・ブラスト(命中), 5;Punch.wav;2;Punch.wav;5;Punch.wav;Punch(3).wav
アクア・バニッシュ, BeamShot.wav
アクア・バニッシュ(命中), 1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav
エレクトロ・ブラスト(準備), Flair.wav
エレクトロ・ブラスト, Thunder.wav
エレクトロ・ブラスト(命中), MultipleRocketLauncher(Light).wav
レイン・ブレット, 3;Beam.wav;1;Beam.wav;5;Beam.wav;3;Beam.wav;1;Beam.wav;Beam.wav
オキサイド・リング(準備), BeamSaber.wav
オキサイド・リング, Whiz.wav
オキサイド・リング(命中), 7;Charge.wav;2;Beam.wav;Beam.wav
フレア・ガイスト, MicroMissile.wav
フレア・ガイスト(命中), 2;Explode.wav;2;Explode.wav;2;Explode.wav;3;Explode.wav;Fire.wav
ガイア・クエイク, 7;GunPod.wav;7;GunPod.wav;3;Warship.wav;3;Warship.wav;Warship.wav
ブルー・アセンション(準備), Glass.wav;1;White.bmp 480 480;Clear
ブルー・アセンション, 10;Charge.wav;Bubble.wav
ブルー・アセンション(命中), 5;Inori.wav;2;Inori.wav;5;Inori.wav;2;Inori.wav;2;Inori.wav
フレイムブラスト, Missile.wav
フレイムブラスト(命中), Explode(Small).wav
ナパームブレス, 2;Beam.wav;2;Beam.wav;2;Beam.wav;2;Beam.wav;2;Beam.wav;2;Beam.wav
ナパームブレス(命中), 2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;Explode(Small).wav
ファイアブラスト, Beam.wav
ファイアブラスト(命中), 6;Explode.wav;4;Explode.wav;Explode.wav
フレアレーザー(準備), Fold.wav
フレアレーザー, 4;Missile.wav;4;Missile.wav;3;Missile.wav;2;Missile.wav;2;Missile.wav;3;Missile.wav;Missile.wav
フレアレーザー(命中), 4;Explode(Small).wav;4;Explode(Small).wav;3;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;3;Explode(Small).wav;Explode(Small).wav
ウォーターカッター(準備), Splash.wav
ウォーターカッター, Saber.wav
ウォーターカッター(命中), Slash.wav
サイレントクロー, Swing.wav
アイスジャベリン, Glass.wav
アイスジャベリン(命中), 5;Punch.wav;2;Glass.wav;2;Stab.wav;2;Glass.wav;Shock(Low).wav
アクアブレス, 4;Inori.wav;2;Inori.wav;Inori.wav
アーススタンプ, Swing.wav
ルートウィップ(準備), Fold.wav
ルートウィップ, Bow.wav
ルートウィップ(命中), 5;Punch.wav;2;Punch.wav;Punch.wav
ヘビーテイル(命中), 3;Bazooka.wav;Bazooka.wav
グラビティクロー, Warship.wav
グラビティクロー(命中), Shock(Low).wav
ライトニングボルト, 2;Slap.wav;4;Slap.wav;8;Slap.wav;8;Slap.wav;Thunder.wav
ソニックスクリーム(命中), Punch(2).wav
ライトニングストーム, 10;Shock(Low).wav;2;Slap.wav;4;Slap.wav;8;Slap.wav;8;Slap.wav;Thunder.wav
クリスタルコフィン, 3;Flair.wav;Flair.wav
クリスタルコフィン(命中), 6;Slash.wav;2;Crash.wav;Slash.wav
アクアストリーム, Bubble.wav
アクアストリーム(命中), 14;Splash.wav;5;Shock(Low).wav;2;Shock(Low).wav;Shock(Low).wav
コズミックブラスティス(準備), Whiz.wav
コズミックブラスティス, BeamSaber.wav
コズミックブラスティス(命中), 4;LaserGun.wav;4;LaserGun.wav;2;LaserGun.wav;5;LaserGun.wav;LaserGun.wav
メテオ, Jet.wav
メテオ(命中), Explode(Nuclear).wav
メテオストーム, Jet.wav
メテオストーム(命中), Explode(Nuclear).wav
ヘル・フレア(準備), GunPod.wav
ヘル・フレア, 4;Warship.wav;4;Warship.wav;Warship.wav
ヘル・フレア(命中), Breath.wav
闇ニ穢ガレシ命ノ水, Bubble.wav
闇ニ穢ガレシ命ノ水(命中), 1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;10;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;Whip.wav
混乱燐粉(クリティカル), PiyoPiyo.wav
麻痺燐粉(クリティカル), Search.wav
邪悪ナル風ノ波動, Sharara.wav
邪悪ナル風ノ波動(命中), 5;BeamCoat.wav;BeamCoat.wav
岩ヲ降リ注グ, 1;Bomb.wav;1;Bomb.wav;2;Bomb.wav;1;Bomb.wav;1;Bomb.wav;2;Bomb.wav;2;Bomb.wav;2;Bomb.wav
岩ヲ降リ注グ(命中), Punch.wav
岩ヲ降リ注グ(命中), Punch(2).wav
岩ヲ降リ注グ(命中), Punch(3).wav
黒ク染マリシ大地ノ断末魔, Whiz.wav
黒ク染マリシ大地ノ断末魔(命中), 5;Punch.wav;6;BreakOff.wav;Shock(low).wav
闇の吐息, AntiShipMissile.wav
闇の吐息(クリティカル), Search.wav
巨イナル右(準備), Reload.wav
巨イナル右, Bazooka.wav
巨イナル右(命中), Crash.wav
巨イナル左, 10;Beam.wav;3;Beam.wav;Beam.wav
巨イナル左(命中), Explode(Far).wav
巨イナル咆哮(準備), Charge.wav
巨イナル咆哮, 3;Beam.wav;3;Beam.wav;Beam.wav
巨イナル咆哮(命中), 2;Explode.wav;2;Explode.wav;Explode.wav
－煉獄－(準備), 6;Reload.wav;6;Reload.wav;5;Charge.wav;Charge.wav
－煉獄－, 5;MicroMissile.wav;MicroMissile.wav
－煉獄－(命中), 3;Explode(Far).wav;3;Explode(Far).wav;Explode(Far).wav
－神罰－(準備), Glass.wav;1;Black.bmp 480 480;Clear
－神罰－, 6;BreakOff.wav;Whiz.wav
－神罰－(命中), 4;Reload.wav;12;Reload.wav;5;Charge.wav;10;Charge.wav;Explode(Nuclear).wav
－福音－(準備), 10;Charge(High).wav;Flair.wav;1;White.bmp 480 480;Clear
－福音－, 2;LaserGun.wav;2;LaserGun.wav;2;LaserGun.wav;2;LaserGun.wav;2;LaserGun.wav;2;LaserGun.wav;LaserGun.wav
－福音－(命中), Explode(Far).wav
－虚無－(準備), Flair.wav;1;White.bmp 480 480;Clear
－虚無－, LaserGun.wav
－虚無－(命中), 2;Glass.wav;1;White.bmp 480 480;Clear;2;Glass.wav;1;White.bmp 480 480;Clear
ジェノサイド・サークル, Drill.wav
ジェノサイド・サークル(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;Slash.wav
フィアー・ガープ(準備), Whiz.wav
フィアー・ガープ, Bomb.wav
フィアー・ガープ(命中), WarShip.wav
ダークノヴァ, 5;Beam.wav;2;Beam.wav;2;Beam.wav;5;Beam.wav;1;Beam.wav;2;Beam.wav;Beam.wav
ダークノヴァ(命中), 2;Explode.wav;2;Explode.wav;2;Explode.wav;Explode.wav
インフィニティ, Glass.wav;1;Black.bmp 480 480;Clear
インフィニティ(命中), 12;Charge(High).wav;Explode(Far).wav
蝕まれてしまえっ！, LaserGun.wav
燃えろ！砕けろ！(準備), Fire.wav
燃えろ！砕けろ！, Cannon.wav
燃えろ！砕けろ！(命中), MicroMissile.wav
邪焔連撃, MultipleRocketLauncher.wav
邪焔連撃(命中), 2;Explode.wav;2;Explode.wav;2;Explode.wav;Explode.wav
クリムゾンダイブ, Whiz.wav
クリムゾンダイブ(命中), 2;Slash.wav;3;Whiz.wav;2;Slash.wav;2;Whiz.wav;2;Slash.wav;2;Whiz.wav;2;Slash.wav;1;Slash.wav;Slash.wav
レア, Sharara.wav
プレア, Sharara.wav
プレアラ, Sharara.wav
ラレア, Sharara.wav
ラプレア, Sharara.wav
リフレッシュ, Sharara.wav
#神罰(とどめ), 8;Reload.wav;10;Reload.wav;3;Swing.wav;Crash.wav
