
英雄伝説４
## 武器 ##
宝剣カシュナード, 剣
剣風閃(準備), 粒子集中 白 BeamSaber.wav;放電
剣風閃(攻撃), 斬撃
剣風閃(命中), 斬撃
雷神斬(攻撃), 振る武器突撃 -.bmp
雷神斬(命中), @戦闘アニメ_斬撃攻撃;クリティカル斬撃
雷王降臨斬(準備), -
雷王降臨斬(攻撃), 振る武器突撃 -.bmp
雷王降臨斬(命中), 斬撃;斬撃;斬撃;斬撃;2;@戦闘アニメ_発光準備 白 EvilEye.wav;3;_
@戦闘アニメ_斬撃攻撃;大斬撃
剣聖・剣風閃(準備), Reload(5).wav;5;粒子集中 白 BeamSaber.wav;放電
剣聖・剣風閃(攻撃), 連突
剣聖・剣風閃(命中), 連突 Slash.wav
剣聖・風神斬(準備), Reload(5).wav
剣聖・風神斬(攻撃), 連突
剣聖・風神斬(命中), 連突 Slash.wav
滅－ホロビ－(準備), Reload(5).wav
滅－ホロビ－(攻撃), @戦闘アニメ_転移 Whiz.wav
滅－ホロビ－(命中), 乱突 Slash.wav;3;Reload(5).wav;3;刺突 Slash.wav;斬撃突撃
オニオンスライサー(攻撃), 乱突
オニオンスライサー(命中), 連突 Slash.wav
バインドウィップ(準備), 鞭
バインドウィップ(攻撃), 斬撃
バインドウィップ(命中), -
バインドウィップ(クリティカル), @戦闘アニメ_打撃命中 Whip.wav;捕縛
レジーナラッシュ(準備), 鞭
レジーナラッシュ(攻撃), 振る武器突撃 -.bmp
レジーナラッシュ(命中), 打撃 Whip.wav;打撃 Whip.wav
ドラゴンティル(準備), 鞭
ドラゴンティル(攻撃), 振る武器突撃 -.bmp
ドラゴンティル(命中), 打撃 Whip.wav;打撃 Whip.wav;1;打撃 Whip.wav;打撃 Whip.wav;_
2;@戦闘アニメ_斬撃攻撃;強打 Whip.wav
風の子守歌, ＭＡＰ音符 Sharara.wav
風の子守歌(命中), -
風の子守歌(クリティカル), 音符 Sharara.wav;睡眠
バニッシュロッド, メイス
バニッシュロッド(命中), 打撃 Punch.wav;打撃 Punch.wav;@戦闘アニメ_斬撃攻撃;強打 Punch.wav
スラップラッシュ, 片刃斧
スラップラッシュ(命中), 連斬撃
ディバインロッド, フレイル
ディバインロッド(命中), 打撃 Punch.wav;打撃 Punch.wav;@戦闘アニメ_斬撃攻撃;強打 Punch.wav
水激衝(攻撃), 水鉄砲 -.bmp - BeamShot.wav
水激衝(命中), 飛沫 青 Splash.wav
水連激衝(攻撃), 水鉄砲 -.bmp - BeamShot.wav
水連激衝(命中), 飛沫 青 Splash.wav;飛沫 青 Splash.wav
ハーキュリーブロー(準備), ハルバード
ハーキュリーブロー(攻撃), 振り下ろし
ハーキュリーブロー(命中), 斬撃
グラビティ・アックス(攻撃), ハルバード突撃
グラビティ・アックス(命中), 連斬撃;@戦闘アニメ_斬撃攻撃;斬撃
デス・サイズ(準備), -
デス・サイズ(攻撃), ハルバード突撃
デス・サイズ(命中), 連斬撃;連斬撃;@戦闘アニメ_振り下ろし攻撃;大斬撃
## 魔法 ##
エアリアル・ラブリス(攻撃), 魔法放射 白 小 Whiz.wav
エアリアル・ラブリス(命中), 竜巻 Wind.wav;投げ飛ばし Crash.wav
ファイアー・ボール(攻撃), 火炎弾 Whiz.wav
ファイアー・ボール(命中), 炎 赤 Fire.wav
ストーン・ブラスト(攻撃), 画像前面発射 Anime\Weapon\EFFECT_Rock01.bmp Whiz.wav 1
ストーン・ブラスト(命中), ダメージ Punch.wav
アクア・スプラッシュ(攻撃), 光球 青 BeamShot.wav
アクア・スプラッシュ(命中), 飛沫 青 Splash.wav
シャイン・ブレット, ニードルレーザー連射 白
エレクトロ・キューブ(攻撃), 粒子集中 白
エレクトロ・キューブ(命中), 落雷 白
オキサイド・サークル(準備), 五芒星 赤 BeamSaber.wav
オキサイド・サークル(攻撃), 五芒星 赤 Whiz.wav
オキサイド・サークル(命中), 超爆発 Beam.wav
フレア・ゴースト(攻撃), 実弾発射 Anime\Bullet\EFFECT_AuraBall02.bmp 28 Whiz.wav;_
実弾発射 Anime\Bullet\EFFECT_AuraBall02.bmp 28 Whiz.wav
フレア・ゴースト(命中), オーラ上昇 青 MicroMissile.wav
デス・クエイク(攻撃), ＭＡＰ地震 Gunpod.wav
デス・クエイク(命中), 光噴出 橙 Gunpod.wav
リーン・カルナシオン(攻撃), 発光 青 EvilEye.wav
リーン・カルナシオン(命中), 魔法集中 青 小 BeamSaber.wav;光柱 Jet.wav
エアロ・ストーム, 旋風 白
アース・ブラスト(攻撃), 地表衝撃波 橙
アース・ブラスト(命中), 石柱;ダメージ Crash.wav;ダメージ Crash.wav
フレイム・バースト(攻撃), 火炎弾 Cannon.wav
フレイム・バースト(命中), 連続爆発 3
レイン・ブレット, 拡散ビーム 白
アクア・バニッシュ(攻撃), 水鉄砲 -.bmp - BeamShot.wav
アクア・バニッシュ(命中), 飛沫 青 Splash.wav;飛沫 青 Splash.wav
エレクトロ・ブラスト(攻撃), 粒子集中 白 BeamSaber.wav
エレクトロ・ブラスト(命中), 大放電 白;魔法集中 白 -.wav;2;@戦闘アニメ_落雷攻撃 白
オキサイド・リング(準備), 魔法陣 黄 BeamSaber.wav
オキサイド・リング(攻撃), 魔法陣 黄 Whiz.wav
オキサイド・リング(命中), 発光 黄 -.wav;3;超爆発 Beam.wav
フレア・ガイスト(攻撃), 波動放射 青 Whiz.wav
フレア・ガイスト(命中), 周囲回転 Anime\Fire\EFFECT_Fire(Blue)01.bmp 32 Whiz.wav 3;_
粒子集中 青 -.wav;光噴出 青 MicroMissile.wav
ガイア・クエイク(攻撃), ＭＡＰ地震 Gunpod.wav;ＭＡＰ光噴出 橙 Gunpod.wav
ガイア・クエイク(命中), 光噴出 橙 Gunpod.wav;2;ダメージ FastGun.wav;ダメージ -.wav;ダメージ -.wav
ブルー・アセンション(準備), -
ブルー・アセンション(攻撃), 発光 青 EvilEye.wav
ブルー・アセンション(命中), 魔法放射 青 大 Inori.wav;オーラ 青 Interference.wav
バインド, 煙 黒
ポイズン, 煙 緑
スリープ, 煙 青
コンフュージョン, 煙 橙
## アビリティ ##
レア(使用), 魔法放射 白 Whiz.wav
レア(発動), 回復魔法
プレア(使用), 魔法放射 白 Whiz.wav
プレア(発動), 粒子集中 青;回復魔法
プレアラ(使用), 魔法放射 白 Whiz.wav
プレアラ(発動), @ＳＰアニメ_癒し 相手ユニットＩＤ 相手ユニットＩＤ;回復魔法
ラレア(使用), 魔法放射 白 Whiz.wav
ラレア(発動), 回復魔法
ラプレア(使用), 魔法放射 白 Whiz.wav
ラプレア(発動), 粒子集中 青;回復魔法
リフレッシュ(使用), 魔法放射 白 Whiz.wav
リフレッシュ(発動), 回復魔法泡
## 敵専用 ##
クリムゾンダイブ(攻撃), @戦闘アニメ_転移 Whiz.wav
クリムゾンダイブ(命中), 透明化 対象ユニットＩＤ;_
２連中ビーム 白 Slash.wav;中ビーム 白 Slash.wav;２連中ビーム 白 Slash.wav;_
２連中ビーム 白 Slash.wav;中ビーム 白 Slash.wav;透明化 解除 対象ユニットＩＤ;ナイフ突撃
闇の吐息(攻撃), 火炎放射 黒 AntiShipMissile.wav
闇の吐息(命中), -
闇の吐息(クリティカル), 煙 黒;麻痺
巨イナル咆哮(準備), 放電
巨イナル咆哮(攻撃), 中ビーム 黄;2;中ビーム 黄;中ビーム 黄
巨イナル咆哮(命中), 中ビーム 黄;2;中ビーム 黄;中ビーム 黄;連続爆発 3
巨イナル右(準備), Reload.wav
巨イナル右(攻撃), 振り下ろし
巨イナル右(命中), @戦闘アニメ_振動攻撃 相手ユニットＩＤ Crash.wav
巨イナル左(準備), 粒子集中 黒 Charge.wav;5;Reload.wav
巨イナル左(攻撃), 大ビーム 黒
巨イナル左(命中), 大ビーム 黒 Inori.wav
－煉獄－(準備), Reload.wav;粒子集中 黒 Charge(High).wav;10;_
Reload.wav;粒子集中 黒 Charge(High).wav
－煉獄－(攻撃), ＭＡＰ火炎弾 黒 Cannon.wav
－煉獄－(命中), 光噴出 黒 Breath.wav
－神罰－(準備), -
－神罰－(攻撃), 粒子集中 黒 Whiz.wav;2;粒子集中 黒 Whiz.wav;粒子集中 黒 Whiz.wav
－神罰－(命中), センタリング 相手ユニットＩＤ;重力圧縮 Earthquake.wav;_
ディレイ -.wav 20;ディレイ Reload.wav 5;@戦闘アニメ_振動攻撃 相手ユニットＩＤ Crash.wav
－福音－(準備), オーラ上昇 黄 Charge(High).wav;粒子集中 黄 -.wav;5;Glass.wav;1;White.bmp 480 480;Clear
－福音－(攻撃), ホーミングレーザー 黄
－福音－(命中), ホーミングレーザー 黄
－虚無－(準備), 粒子集中 黒;2;大放電 黒 -.wav
－虚無－(攻撃), ＭＡＰ持続ビーム 白 BeamSaber.wav;ＭＡＰオーラ 黒 Interference.wav
－虚無－(命中), 大放電 黒
ジェノサイド・サークル(攻撃), スピンアタック 黒
ジェノサイド・サークル(命中), スピンアタック 黒 Slash.wav
ダークノヴァ(準備), 粒子集中 黒 Charge.wav
ダークノヴァ(攻撃), ２連中ビーム 黄
ダークノヴァ(命中), ２連中ビーム 黄;連続爆発 3
インフィニティ(準備), 粒子集中 黒 Charge.wav
インフィニティ(攻撃), ＭＡＰダークネス
インフィニティ(命中), 粒子集中 黒;重力圧縮 黒 Charge(2).wav;超爆発
フィアー・ガープ(攻撃), 急降下
フィアー・ガープ(命中), 急降下
燃えろ！砕けろ！(攻撃), 拡散ビーム 赤 MicroMissile.wav
燃えろ！砕けろ！(命中), 拡散ビーム 赤 MicroMissile.wav;_
@戦闘アニメ_オーラ上昇準備 赤 -.wav 相手ユニットＩＤ
蝕まれてしまえっ！, 特殊光線 黒
邪焔連撃(攻撃), 火炎弾 黒 Cannon.wav;火炎弾 黒 Cannon.wav;火炎弾 黒 Cannon.wav;_
火炎弾 黒 Cannon.wav
邪焔連撃(命中), 連続爆発 4;光噴出 黒 Fire.wav
闇ニ穢ガレシ命ノ水(攻撃), 魔法放射 黒
闇ニ穢ガレシ命ノ水(命中), 中ビーム 橙 Splash.wav;飛沫 青 Inori.wav
邪悪ナル風ノ波動(準備), Sharara.wav;1;White.bmp 480 480;Clear
邪悪ナル風ノ波動(攻撃), 文字ビーム ○ 白 BeamCoat.wav
邪悪ナル風ノ波動(命中), BeamCoat.wav;1;White.bmp 480 480;Clear
黒ク染マリシ大地ノ断末魔(攻撃), スーパータックル 黒
黒ク染マリシ大地ノ断末魔(命中), 立ち固め BreakOff.wav 1;2;爆撃 Crash.wav
混乱燐粉, ＭＡＰ煙 橙
麻痺燐粉, ＭＡＰ煙 黒
岩ヲ降リ注グ(攻撃), ＭＡＰ岩弾
岩ヲ降リ注グ(命中), ダメージ Crash.wav;ダメージ Crash.wav;ダメージ Crash.wav
アクアストリーム(準備), 変形 ED4_OuroborosU.bmp Whiz.wav;3;オーラ上昇 青 Bubble.wav
アクアストリーム(攻撃), @戦闘アニメ_発光準備 青 EvilEye.wav
アクアストリーム(命中), 光柱 Jet.wav;飛沫 青 Splash.wav
コズミックブラスティス(準備), 変形 ED4_MebiusU.bmp Whiz.wav;3;放電
コズミックブラスティス(攻撃), @戦闘アニメ_発光準備 緑 EvilEye.wav;2;@戦闘アニメ_斜め落ち共通 Anime\Hit\EFFECT_FireSlashHit(White)01.bmp 32 Beam.wav
コズミックブラスティス(命中), 大放電 緑
メテオストーム(準備), 変形 ED4_OberonU.bmp Whiz.wav;3;WarShip.wav
メテオストーム(攻撃), @戦闘アニメ_発光準備 黄 EvilEve.wav;2;隕石 Jet.wav
メテオストーム(命中), 超爆発 Explode(Nuclear).wav
メテオ(準備), 変形 ED4_OberonU.bmp Whiz.wav;3;WarShip.wav
メテオ(攻撃), @戦闘アニメ_発光準備 黄 EvilEve.wav;2;隕石 Jet.wav
メテオ(命中), 超爆発 Explode(Nuclear).wav
ヘル・フレア(準備), 変形 ED4_UraeusU.bmp Whiz.wav
ヘル・フレア(攻撃), @戦闘アニメ_発光準備 赤 EvilEye.wav;2;光噴出 赤 Gunpod.wav
ヘル・フレア(命中), 炎 Breath.wav;超爆発 Explode(Nuclear).wav
暗殺術, 振る武器突撃 -.bmp 斬撃
二段突き(攻撃), 突く武器突撃 -.bmp
二段突き(命中), 刺突;振り下ろし Stab.wav
毒針, 吹き矢
毒針(命中), -
毒針(クリティカル), ニードル;毒
麻痺針, 吹き矢
麻痺針(命中), -
麻痺針(クリティカル), ニードル;麻痺
突き刺す(攻撃), 突く武器突撃 -.bmp
突き刺す(命中), 刺突
―殺―(攻撃), 振る武器突撃 -.bmp
―殺―(命中), 斬撃;振る武器突撃 -.bmp 斬撃
封呪刀, 連斬撃
邪怨刀, 連斬撃
邪怨刀(クリティカル), 煙噴射 緑;毒
目標ヲ粉砕スル(攻撃), 振る武器突撃 -.bmp
目標ヲ粉砕スル(命中), 乱打 Bazooka.wav
イーヴィル・ストーム(攻撃), 急降下
イーヴィル・ストーム(命中), 急降下 Drill.wav
