
Ｎ◎ＶＡ市民
格闘, 格闘
雷帝, 電撃
閃止公, -
閃止公(命中), ダメージ
凪の騎士, 気斬
水鏡師, 泡
溶融候, -
溶融候(命中), ダメージ
力学, -
力学(ダメージ), 落下
治癒, 回復魔法
大嫌い, 音波
居合い(準備), -
居合い(攻撃), 斬撃
居合い(命中), 斬撃
無風剣(攻撃), -
無風剣(命中), 斬撃
無明剣(攻撃), -
無明剣(命中), 斬撃
斬裁剣(攻撃), 斬撃
斬裁剣(命中), 超斬撃
ツバメ返し(攻撃), 斬撃
ツバメ返し(命中), 斬撃;@戦闘アニメ_斬撃攻撃;斬撃
バンザイ, 発光
彫像, 打突
落とし, 立ち固め
手刀(準備), -
手刀(攻撃), 打突
手刀(命中), 斬撃
幻覚, 魔法放射
伝命, 吸収
フリーズ(攻撃), 音波
フリーズ(命中), -
護身術, 投げ飛ばし
護身術, 格闘
護身術, 立ち固め
アウト・オブ・コントロール(攻撃), ロックオン;5;Cmputer.wav
ポルターガイスト(攻撃), ロックオン;5;Cmputer.wav
虫使い(攻撃), ロックオン;5;Cmputer.wav

#　　常に特定のアニメが表示されるのは合わないんですが、まあデフォルメってことで。
#　　アニメが表示されることそのものが微妙なのもありますが、同上。

藤咲竜二
フリーズ(準備), ピストル

牙王
フリーズ(準備), ピストル

ラッキー・ホラーショウ
フリーズ(準備), ピストル

『赤の弟子』弾王
火炎魔人, 火炎放射
火炎魔人, スーパーパンチ レッド
不動滅砕拳, スーパーパンチ レッド

『死の右腕』メルトダウン
無風剣(準備), 脇差 二刀流
二刀流, 脇差 二刀流
死の舞踏, 脇差突撃 二刀流

リベットフェイス(Ｎ◎ＶＡ)
完全奇襲(準備), -
完全奇襲(攻撃), 斬撃
完全奇襲(命中), 斬撃
不可知(準備), -
不可知(攻撃), 透明化;斬撃;透明化 解除
不可知(命中), 斬撃

レンズ
フリーズ(準備), ピストル

ゼロ
斬裁剣(準備), 日本刀
死の舞踏(準備), -
死の舞踏, 日本刀突撃

ビショップ
フリーズ(準備), ピストル
花吹雪, ショットガン
二丁拳銃, ピストル;ピストル
とどめの一撃, ピストル 発光

凶一(Ｎ◎ＶＡ)
ダーティ・インファイト, 格闘

旋(Ｎ◎ＶＡ)
不可知(準備), -
不可知(攻撃), 透明化;斬撃;透明化 解除
不可知(命中), 斬撃

『Ａ』
完全奇襲(準備), -
完全奇襲(攻撃), タックル
完全奇襲(命中), 刺突
不可知(準備), -
不可知(攻撃), 透明化;タックル;透明化 解除
不可知(命中), 刺突

『闇の殺人者』夜叉
二刀流, 鞭;ピストル
不可知(準備), 鞭
不可知(攻撃), 透明化;鞭;透明化 解除
不可知(攻撃), 透明化;エナジーブレード レッド;透明化 解除
不可知(命中), 斬撃
死の舞踏(準備), 鞭
死の舞踏(攻撃), 透明化;鞭突撃;透明化 解除
死の舞踏(攻撃), 透明化;エナジーブレード突撃 レッド;透明化 解除
死の舞踏(命中), 斬撃

天鵬院悠羽
死の舞踏(準備), -
死の舞踏, 日本刀突撃

『死天使』イシュタル
貫きの矢, 対物ライフル
ガン・フー(準備), ピストル
ガン・フー(攻撃), タックル;2;Gun.wav
ガン・フー(命中), 銃弾
とどめの一撃, 対物ライフル 発光
とどめの一撃, ピストル 発光

初代『死天使』
ガン・フー(準備), ピストル
ガン・フー(攻撃), タックル;2;Gun.wav
ガン・フー(命中), 銃弾
とどめの一撃, ピストル 発光

『攻性素子』宮月那芸
完全奇襲, タックル
不可知, 透明化;タックル;透明化
不可知, 透明化;ピストル;透明化
ツバメ返し(準備), -
死の舞踏, 透明化;スーパーパンチ;透明化 解除

『イッてる黒幕』マイケル＝グローリー
不可知, 透明化;ピストル;透明化

ラトーヤ＝グローリー
貫きの矢, ピストル
ガン・フー(準備), ピストル
ガン・フー(攻撃), タックル;2;Gun.wav
ガン・フー(命中), 銃弾
とどめの一撃, ピストル 発光

『美豹』御堂真黄
不可知(準備), 鞭
不可知(攻撃), 透明化;鞭;透明化 解除
不可知(攻撃), 透明化;エナジーブレード レッド;透明化 解除
不可知(命中), 斬撃

『槍』カイル
斬裁剣(準備), 大剣
不可知(攻撃), 透明化;大剣;透明化 解除
不可知(命中), 斬撃
死の舞踏(攻撃), 大剣突撃
死の舞踏(攻撃), オーラ上昇 黒;刺突
死の舞踏(攻撃), 放電;刺突
死の舞踏(命中), 大刺突

鹿島アスカ
貫きの矢, 対戦車ライフル
貫きの矢, ピストル
とどめの一撃, ピストル 発光
とどめの一撃, 対戦車ライフル 発光
とどめの一撃, 対戦車ライフル 発光
とどめの一撃, 対戦車ライフル 発光

イスマイル(Ｎ◎ＶＡ)
魅了(攻撃), 魔法放射
魅了(命中), 魔法集中

エリック(Ｎ◎ＶＡ)
死の舞踏(攻撃), 透明化;巨大斧突撃;透明化 解除

レイ
斬裁剣(準備), 日本刀
死の舞踏, 日本刀突撃
死の舞踏(命中), 横大斬撃

『銃弾』カール＝シュッツ
クイックドロー(準備), -
クイックドロー, ピストル
ピンポイント, ピストル
とどめの一撃, ピストル 発光

『ＣＤ』ダイモン＝チカラ
不可知(攻撃), 透明化;乱打;透明化 解除
不可知(命中), 乱打

『砕けた男』ジャック＝バローズ
フリーズ(準備), ピストル
とどめの一撃, ピストル 発光

Ｔｈｅ・１０１
無明剣(準備), -
死の舞踏, 日本刀突撃

レッガー(Ｎ◎ＶＡ)
ダーティ・インファイト, 脇差

