ニンジャマスターズ
飛蒼月(命中), Stab.wav
百鬼連砕, 2;Swing.wav;2;Swing.wav;2;Swing.wav;Swing.wav
百鬼連砕(命中), 2;FightHit(3).wav;2;FightHit(3).wav;2;FightHit(3).wav;FightHit(3).wav
飛鳥, 2;Swing.wav;2;Swing.wav;2;Swing.wav;Swing.wav
飛鳥(命中), Stab.wav
踏破穿撃(命中), Punch(2).wav
踏破穿撃(命中), 7;Punch(2).wav;2.5;FightHit(2).wav;2.5;FightHit(2).wav;FightHit(2).wav
踏破穿撃(クリティカル), 3;FightHit(2).wav;FightHit(3).wav
天破烈脚(命中), 2.5;FightHit(2).wav;2.5;FightHit(2).wav;2.5;FightHit(2).wav;3;FightHit(2).wav;FightHit(3).wav
塵殺・幻夢繚乱(命中), 1;Combo.wav;10;「シャッ！ ハッ ハッ シャッ テイーヤ！」;4;Bomb.wav;FallDown.wav;「シャッ！ ハッ ハッ シャッ テイーヤ！.<big>ぜーんぜんダメ！！</big>」
無鴛流瞬撃・塵(命中), 2.5;FightHit(4).wav;2.5;FightHit(2).wav;2.5;FightHit(3).wav;2.5;FightHit(4).wav;2.5;FightHit(2).wav;2.5;FightHit(3).wav;4;Punch.wav;5;Crash.wav;FallDown.wav
極流獄殺掌(命中), 10;Drill.wav;FastGun.wav
火炎障, Swing.wav
火炎障(命中), Fire.wav
自己流大筒『一尺砲』(命中), Punch.wav
爆煙障, 4;Hide.wav;Swing.wav
爆煙障(命中), Explode.wav
天誅爆(命中), Punch.wav
天誅爆(命中), Punch(2).wav
天誅爆(クリティカル), Punch.wav
鉄球火炎獄, Swing.wav
鉄球火炎獄(命中), 5;Crash.wav;Fire.wav
烈火滅殺掌, 5;Swing.wav;Swing.wav
烈火滅殺掌(命中), 5;Shock(Low).wav;Fire.wav
滅殺・鉄拳誅(命中), 6;Swing.wav;Crash.wav
暗器双邪業(命中), 1;Stab.wav;1;Stab.wav;3;Stab.wav;1;Crash.wav;1;Crash.wav;Crash.wav
因果応報(命中), Sword.wav
因果応報(クリティカル), 5;Sword.wav;PiyoPiyo.wav
罪人裁き(命中), 3;Sword.wav;Sword.wav
六角鉄槌『滝崩し』(命中), Sword.wav
大地鳴動(命中), Explode.wav
大粉砕撃, 3;Swing.wav;3;Swing.wav;3;Swing.wav;Swing.wav
大粉砕撃(命中), Punch(3).wav
懺悔覚悟(命中), Punch.wav
懺悔覚悟(命中), Punch(2).wav
懺悔覚悟(クリティカル), Punch.wav
命脈微塵(命中), 6;BreakOff.wav;6;BreakOff.wav;BreakOff.wav
黄泉送り(命中), 5;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav;Punch.wav
引導渡し(命中), Punch(4).wav
怒涛・炎獄殺(命中), 5;FastGun.wav;0.5;Flair.wav;5;FastGun.wav;Fire.wav
距跋渉毛刀『緋桜』(命中), Whip.wav
封脚円旋蹴(命中), Punch(2).wav
緋龍閃(命中), Punch.wav
緋天脚, Whiz.wav
緋天脚(命中), Drill.wav
緋天脚(命中), Punch(2).wav
緋天脚(命中), 3;Swing.wav;Shock(Low).wav
緋旋蹴(命中), Punch(2).wav
緋斬撃(命中), Punch.wav
緋斬撃(命中), Punch(2).wav
緋斬撃(クリティカル), Punch.wav
緋閃肘撃, Swing.wav
緋閃肘撃(命中), Crash.wav
緋燕閃(命中), 1.5;Stab.wav;1.5;Stab.wav;1.5;Stab.wav;1.5;Stab.wav;1.5;Stab.wav;Stab.wav
緋旋円舞陣, Sharara.wav
緋旋円舞陣(命中), Glass.wav
奥義・花蝶繚乱(命中), 4;Combo.wav;Sharara.wav
奥義・花蝶繚乱(クリティカル), @戦闘アニメ_変形攻撃 NMAS_Kasumi(L)U.bmp Null.wav
夢幻桜, Cannon.wav
夢幻桜(命中), Explode(Small).wav
連桜花(命中), Punch(3).wav
幻桜舞(命中), Saber.wav
幻桜舞(命中), 5;Saber.wav;Saber.wav
幻桜舞(クリティカル), Slash(4).wav
夢想冥縛(命中), 0.5;Whip.wav;0.5;Whip.wav;0.5;Whip.wav;0.5;Whip.wav;0.5;Whip.wav;0.5;Whip.wav;0.5;Whip.wav;Whip.wav
夢幻桜花(準備), Charge(high).wav
夢幻桜花, LaserGun.wav
夢幻桜花(命中), Crash.wav
命露散華(命中), 0.7;Bubble.wav;0.7;Bubble.wav;0.7;Bubble.wav;0.7;Bubble.wav;0.7;Bubble.wav;0.7;Bubble.wav;4;Bubble.wav;0.5;Whip.wav;0.5;Whip.wav;0.5;Whip.wav;0.5;Whip.wav;0.5;Whip.wav;0.5;Whip.wav;0.5;Whip.wav;Whip.wav
幻魔操掌, Slash.wav
幻魔操掌(命中), 0.5;Shock(Low).wav;0.5;Shock(Low).wav;0.5;Shock(Low).wav;0.5;Shock(Low).wav;Shock(Low).wav
阻止(大六天魔鏡), Whiz.wav
神剣『封の剣』(命中), Slash.wav
黒旋連環殺(命中), 4;Stab.wav;4;Slash.wav;Slash.wav
飛槍天舞(命中), Crash.wav
怨霊爆, GunPod.wav
怨霊爆(命中), Shock(Low).wav
三界無残(命中), Punch.wav
三界無残(命中), Punch(2).wav
三界無残(クリティカル), Slash(4).wav
万象灰燼(命中), 4;MachineCannon.wav;FastGun.wav
冥道輪廻(命中), 4;Swing.wav;5;Bomb.wav;FallDown.wav
愚者必滅(命中), 4;MachineCannon.wav;4;MachineCannon.wav;4;MachineCannon.wav;GunPod.wav

