ニンジャマスターズ
飛蒼月(攻撃), 手裏剣
鬼神斬(クリティカル), @戦闘アニメ_簡易回転攻撃 対象ユニットＩＤ 反転 Null.wav;@戦闘アニメ_アッパー命中
破邪・霊波動(準備), 粒子集中 白
破邪・霊波動(攻撃), 火炎放射 白 Cannon.wav
破邪・霊波動(命中), 飛沫 白
大日遮那招来(攻撃), 背景文字 "大日" "　遮那" "　　招来" - Sword.wav
大日遮那招来(命中), 飛沫 白 
鳳凰飛翔(攻撃), タックル
鳳凰飛翔(命中), 連打;0.1;「<b><big>鳳凰天舞！</b></big>」;透明化 対象ユニットＩＤ;旋風 相手ユニットＩＤ;0.1;「<b><big>鳳凰天舞！ 鳳凰天舞！</b></big>」;旋風 相手ユニットＩＤ;0.1;「<b><big>鳳凰天舞！ 鳳凰天舞！ 大日遮那招来！！</b></big>」;@戦闘アニメ_背景文字攻撃 "大日" "　遮那" "　　招来" - Sword.wav 相手ユニットＩＤ;透明化 対象ユニットＩＤ 解除
無双太陽剣(準備), 九字;ハイパービームサーベル 赤
無双太陽剣(攻撃), 斬撃 Swing.wav;Swing.wav;Swing.wav
無双太陽剣(命中), ハイパービームサーベル 赤 Storm.wav;炎
轟斬斧(準備), -
轟斬斧(攻撃), 回転振り下ろし
轟斬斧(命中), 打撃
百鬼連砕(攻撃), 連打
百鬼連砕(命中), 連打
百鬼連砕(クリティカル), @戦闘アニメ_アッパー連打命中
子母鴛鴦鉞『斬華』(準備), 振る武器 Weapon\EFFECT_NMAS_Shiboenoetsu.bmp
子母鴛鴦鉞『斬華』(攻撃), 斬撃
子母鴛鴦鉞『斬華』(命中), 斬撃
刃空斬(攻撃), デフォルト
刃空斬(命中), アッパー
飛鳥(攻撃), 回転投擲武器 Weapon\EFFECT_NMAS_Shiboenoetsu.bmp
飛鳥(命中), 大刺突
踏破穿撃(攻撃), デフォルト
踏破穿撃(命中), アッパー;打撃
踏破穿撃(命中), アッパー;打撃;連打;連打
踏破穿撃(クリティカル), @戦闘アニメ_強打命中
天破烈脚(攻撃), タックル
天破烈脚(命中), 連打;強打
塵殺・幻夢繚乱(攻撃), タックル
塵殺・幻夢繚乱(命中), 0.1;「シャッ！ ハッ ハッ シャッ」;連打;連打;@戦闘アニメ_簡易回転攻撃 対象ユニットＩＤ 反転 Null.wav;アッパー;0.1;「シャッ！ ハッ ハッ シャッ テイーヤ！」;高度叩きつけ;「シャッ！ ハッ ハッ シャッ テイーヤ！.<big>ぜーんぜんダメ！！</big>」
無鴛流瞬撃・塵(攻撃), タックル
無鴛流瞬撃・塵(命中), 乱打;アッパー連打;1;@戦闘アニメ_回転振り上げ攻撃 Null.wav;アッパー
極流獄殺掌(攻撃), 九字;打突 Null.wav
極流獄殺掌(命中), 粒子集中 青 Drill.wav;2;超打 FastGun.wav
火炎障(攻撃), なぎ払い
火炎障(命中), 炎
自己流大筒『一尺砲』(準備), 振る武器 Weapon\EFFECT_Bazooka01.bmp
自己流大筒『一尺砲』(攻撃), 斬撃
自己流大筒『一尺砲』(命中), 打撃
轟撃砲(準備), バズーカ
轟撃砲(攻撃), 対戦車ライフル Weapon\EFFECT_Bazooka01.bmp
轟撃砲(命中), 小爆発;炎
地鉄球(準備), 鉄球
地鉄球(攻撃), 振り上げ;実弾発射 Weapon\EFFECT_IronBall01.bmp GunPod.wav
地鉄球(命中), ダメージ
爆煙障, 爆弾
天誅爆(攻撃), タックル
天誅爆(命中), 打撃
天誅爆(命中), 打撃;打撃
天誅爆(クリティカル), @戦闘アニメ_打撃命中
鉄球火炎獄(準備), 鎖鉄球
鉄球火炎獄(攻撃), 斬撃
鉄球火炎獄(命中), 叩き潰し
烈火滅殺掌(攻撃), なぎ払い;火炎放射
烈火滅殺掌(命中), 炎
滅殺・鉄拳誅(攻撃), デフォルト
滅殺・鉄拳誅(命中), 連打;投げ飛ばし;2;強打
暗器双邪業(攻撃), 九字;実弾発射 Weapon\EFFECT_NMAS_Ankisoujagyou.bmp GunPod.wav 遅;3;実弾発射 Weapon\EFFECT_AnkiSoujagyou01.bmp GunPod.wav 遅
暗器双邪業(命中), 乱打;2;乱突
因果応報(準備), 振る武器 Weapon\EFFECT_M_LargeHammer.bmp
因果応報(攻撃), 斬撃
因果応報(命中), 打撃
罪人裁き(準備), 振る武器 Weapon\EFFECT_M_LargeHammer.bmp
罪人裁き(攻撃), 振る武器突撃 Weapon\EFFECT_M_LargeHammer.bmp
罪人裁き(命中), 打撃
六角鉄槌『滝崩し』(準備), 振る武器 Weapon\EFFECT_M_LargeHammer.bmp
六角鉄槌『滝崩し』(攻撃), 斬撃
六角鉄槌『滝崩し』(攻撃), なぎ払い
六角鉄槌『滝崩し』(命中), 打撃
大地鳴動(攻撃), 急降下
大地鳴動(攻撃), 急降下;火柱
大粉砕撃(攻撃), 連続なぎ払い
大粉砕撃(命中), 打撃;打撃
大獄殺弾(攻撃), デフォルト
大獄殺弾(命中), バックドライバー
懺悔覚悟(攻撃), タックル
懺悔覚悟(命中), 打撃
懺悔覚悟(命中), 打撃;@戦闘アニメ_なぎ払い攻撃 Null.wav;打撃
懺悔覚悟(クリティカル), @戦闘アニメ_ヘッドバット攻撃 Null.wav;@戦闘アニメ_強打命中
命脈微塵(攻撃), タックル
命脈微塵(命中), 立ち固め
黄泉送り(命中), 連打 Crash.wav;@戦闘アニメ_ヘッドバット攻撃 Null.wav;強打
引導渡し(攻撃), 九字;打突
引導渡し(命中), 打撃;打撃;強打
怒涛・炎獄殺(命中), 連打 Punch.wav;旋風 赤 FastGun.wav;2;旋風 赤 FastGun.wav;炎
距跋渉毛刀『緋桜』(準備), 左右別武器 Weapon\EFFECT_hundou01.bmp 32 - Weapon\EFFECT_Dosu01.bmp
距跋渉毛刀『緋桜』(攻撃), 斬撃
距跋渉毛刀『緋桜』(攻撃), なぎ払い
距跋渉毛刀『緋桜』(攻撃), 中心回転武器 Weapon\EFFECT_hundou01.bmp
距跋渉毛刀『緋桜』(攻撃), 実弾発射 Weapon\EFFECT_hundou01.bmp
距跋渉毛刀『緋桜』(命中), ダメージ
封脚円旋蹴(攻撃), デフォルト
封脚円旋蹴(命中), 打撃;アッパー
緋龍閃(攻撃), スーパーキック改 簡易
緋龍閃(命中), スーパーキック
緋天脚(攻撃), スーパーキック改 簡易
緋天脚(命中), スーパーキック;簡易回転 対象ユニットＩＤ 反転 Null.wav;アッパー
緋天脚(命中), 首狩り投げ
緋旋蹴(攻撃), 回転振り下ろし
緋旋蹴(命中), 打撃
緋斬撃(攻撃), タックル
緋斬撃(命中), 打撃
緋斬撃(命中), 打撃;@戦闘アニメ_キック攻撃 Null.wav;打撃
緋斬撃(クリティカル), @戦闘アニメ_アッパー命中
緋閃肘撃(攻撃), タックル
緋閃肘撃(命中), 打撃;アッパー
緋燕閃(準備), 忍者刀
緋燕閃(攻撃), ヘッドバット
緋燕閃(命中), 突撃 MachineCannon.wav;突撃 解除
緋旋円舞陣(攻撃), 九字;周囲回転 Magic\EFFECT_Fairy01.bmp 対象ユニットＩＤ Sharara.wav
緋旋円舞陣(命中), ダメージ
奥義・花蝶繚乱(攻撃), デフォルト
奥義・花蝶繚乱(命中), 連打;周囲回転 Magic\EFFECT_Fairy01.bmp 対象ユニットＩＤ Sharara.wav;強打 Null.wav
魔剣『邪魅』, 妖刀
夢幻桜(攻撃), 光球 ピンク
夢幻桜(命中), 飛沫 ピンク
連桜花(攻撃), キック
連桜花(命中), 打撃;2;打撃;2;打撃
幻斬舞(攻撃), 斬撃
幻斬舞(命中), ハイパービームサーベル
幻桜舞(攻撃), 振り上げ
幻桜舞(命中), アッパー Saber.wav
幻桜舞(命中), アッパー Saber.wav;ビームサーベル
幻桜舞(クリティカル), @戦闘アニメ_ビームサーベル命中 相手ユニットＩＤ
夢想冥縛(攻撃), 旋風 ピンク Whiz.wav
夢想冥縛(命中), 旋風 ピンク FastGun.wav
夢幻桜花(準備), 六芒星 ピンク Charge(high).wav
夢幻桜花(攻撃), 旋風 ピンク LaserGun.wav
夢幻桜花(命中), 飛沫 ピンク
命露散華(攻撃), タックル
命露散華(命中), 連斬撃;なぎ払い;吸収 MachineCannon.wav;旋風 ピンク FastGun.wav
命露散華(命中), 連打;吸収 MachineCannon.wav;旋風 ピンク FastGun.wav
幻魔操掌(攻撃), 九字;Slash.wav;2.4;Action\EFFECT_Flair[00-08].bmp 32 32 WX() WY() 透過;2;実弾発射 Weapon\EFFECT_Punch01.bmp 遅 Null.wav
幻魔操掌(命中), 光柱 Shock(Low).wav
阻止(大六天魔鏡), マント改 黒 Whiz.wav 大六天魔鏡
神剣『封の剣』, 炎剣
落鳳斬(準備), 日本刀
落鳳斬(準備), 炎剣
落鳳斬(攻撃), 振り上げ
落鳳斬(命中), 唐竹割り改 上下反転
黒旋連環殺(準備), 日本刀
黒旋連環殺(準備), 炎剣
黒旋連環殺(攻撃), タックル
黒旋連環殺(命中), 刺突;振り上げ;振り下ろし
飛槍天舞(準備), -
飛槍天舞(攻撃), 急降下
飛槍天舞(命中), 急降下
飛槍天舞(クリティカル), @戦闘アニメ_スーパーキック命中
怨霊爆(攻撃), 振り下ろし;ＭＡＰ光噴出 黒 GunPod.wav
怨霊爆(命中), 炎 黒 Shock(Low).wav
三界無残(攻撃), タックル
三界無残(命中), 打撃
三界無残(命中), 打撃;2;スーパーキック
三界無残(クリティカル), @戦闘アニメ_唐竹割り改命中 上下反転
獄炎剣乱舞(攻撃), 投擲武器 Weapon\EFFECT_FireSword01.bmp
獄炎剣乱舞(命中), 斬撃乱舞;炎
万象灰燼(準備), 日本刀
万象灰燼(準備), 炎剣
万象灰燼(攻撃), 斬撃
万象灰燼(命中), 刺突;振り上げ;斬撃;振り上げ;突撃 FastGun.wav;突撃 解除;旋風 Storm.wav 相手ユニットＩＤ
冥道輪廻(攻撃), 九字;デフォルト
冥道輪廻(命中), @戦闘アニメ_マント改発動 黒 Whiz.wav 非表示;透明化;3;急降下 相手ユニットＩＤ Crash.wav;透明化 解除
愚者必滅(攻撃), タックル
愚者必滅(命中), 打撃;2;スーパーキック;斬撃;なぎ払い;振り下ろし;打撃;刺突;斬撃;唐竹割り改 上下反転;@戦闘アニメ_光噴出使用 黒 相手ユニットＩＤ GunPod.wav
