
ＧＥＡＲ
ノーマルプログラム(攻撃), 9;Drill.wav;格闘;格闘
オートプレッシャー(攻撃), 魔法放射 黄 Beam.wav
オートプレッシャー(命中), 魔法集中 黄 Explode(Small).wav
ヒートスライサー(準備), -
ヒートスライサー(攻撃), 打突
ヒートスライサー(命中), 強打 Crash.wav
エールブレード(準備), -
エールブレード(攻撃), タックル
エールブレード(命中), 斬撃
ＦＬユニコーンドリル(準備), -
ＦＬユニコーンドリル(攻撃), 実弾発射 Bitmap\Unit\GFD_UnicornDrillU.bmp Jet.wav
ＦＬユニコーンドリル(命中), 打撃 Drill.wav
ＦＬレオサークル(準備), -
ＦＬレオサークル(攻撃), 実弾発射 Bitmap\Unit\GFD_LeoCircleU.bmp Jet.wav
ＦＬレオサークル(命中), 爪撃
ＦＬドラゴンフレア(準備), -
ＦＬドラゴンフレア(攻撃), 対物ライフル Bitmap\Unit\GFD_DragonFlareU.bmp
ＦＬドラゴンフレア(命中), 炎
ＦＬガトリングボア(準備), -
ＦＬガトリングボア(攻撃), ガトリング Bitmap\Unit\GFD_GatringBoarU.bmp
ＦＬガトリングボア(命中), ガトリング
ＦＬバイパーウィップ(準備), -
ＦＬバイパーウィップ(攻撃), 実弾発射 Bitmap\Unit\GFD_ViperWhipU.bmp Jet.wav
ＦＬバイパーウィップ(命中), 噛み付き
ＦＬブルホーン(準備), -
ＦＬブルホーン(攻撃), 実弾発射 Bitmap\Unit\GFD_BullHornU.bmp Jet.wav
ＦＬブルホーン(命中), 強打 Crash.wav
ＦＬ輝刃スピナー(準備), -
ＦＬ輝刃スピナー(攻撃), 実弾発射 Bitmap\Unit\GFD_KibaSpinner.bmp Jet.wav
ＦＬ輝刃スピナー(命中), 強打 Slash.wav
ＦＬ輝刃スピナー(合体)(準備), -
ＦＬ輝刃スピナー(合体)(攻撃), 実弾発射 Bitmap\Unit\GFD_KibaSpinner.bmp Jet.wav
ＦＬ輝刃スピナー(合体)(命中), 強打 Slash.wav
ユニコーンドリルＦＡ(攻撃), 8;Crash.wav;9;Drill.wav;5;旋風 青 発光 LaserGun.wav
ユニコーンドリルＦＡ(命中), 旋風 青 発光 Storm.wav
レオサークルＦＡ(攻撃), 8;Crash.wav;9;Drill.wav;3;Swing.wav;気斬 緑 残像 Drill.wav
レオサークルＦＡ(命中), 超斬撃 Drill.wav
ドラゴンフレアＦＡ(攻撃), 8;Crash.wav;9;Drill.wav;8;大ビーム 赤 AntiShipMissile.wav
ドラゴンフレアＦＡ(命中), 大ビーム 赤 AntiShipMissile.wav
ガトリングボアＦＡ(準備), -
ガトリングボアＦＡ(攻撃), 8;Crash.wav;9;Drill.wav;4;拡散ビーム 青 Gunpod.wav
ガトリングボアＦＡ(命中), 拡散ビーム 青 Gunpod.wav
バイパーウィップＦＡ(準備), -
バイパーウィップＦＡ(攻撃), 8;Crash.wav;9;Drill.wav;5;回転斬撃;実弾発射 Bitmap\Anime\Common\EFFECT_SonicBoom(Red)01.bmp 有線 発光 AntiAirMissile.wav
バイパーウィップＦＡ(命中), 強打 Crash.wav
ブルホーンＦＡ(攻撃), 8;Crash.wav;9;Drill.wav;3;Warship.wav;1;地表衝撃波 ピンク 遅 残像 Crash.wav;Crash.wav;1;Crash.wav;1;Crash.wav
ブルホーンＦＡ(命中), 1;Crash.wav;1;Crash.wav;1;Crash.wav;光噴出 ピンク Crash.wav
Ｗファイナルアタック(攻撃), 8;Crash.wav;9;Drill.wav;5;旋風 青 発光 LaserGun.wav;3;Swing.wav;気斬 緑 残像 Drill.wav
Ｗファイナルアタック(命中), 旋風 青 発光 Storm.wav;超斬撃 Drill.wav
輝刃ストライカーＦＡ(攻撃), 8;Crash.wav;9;Drill.wav;2;スーパータックル オレンジ Storm.wav
輝刃ストライカーＦＡ(命中), スーパータックル オレンジ Drill.wav
輝刃ストライカーＦＡ(合体)(攻撃), 8;Crash.wav;9;Drill.wav;2;スーパータックル オレンジ Storm.wav
輝刃ストライカーＦＡ(合体)(命中), スーパータックル オレンジ Drill.wav
輝刃ブレイカーＦＡ(攻撃), 8;Crash.wav;9;Drill.wav;2;ハイパービームサーベル突撃 オレンジ Storm.wav
輝刃ブレイカーＦＡ(命中), ハイパービームサーベル オレンジ Crash.wav
ファイナルアタック(準備), -
ファイナルアタック(攻撃), -
ファイナルアタック(命中), ダメージ
フェニックスエールＦＡ(攻撃), 8;Crash.wav;9;Drill.wav;2;中ビーム 赤;中ビーム オレンジ;中ビーム 黄;中ビーム 緑;中ビーム 青;中ビーム ピンク;中ビーム 白
フェニックスエールＦＡ(命中), 中ビーム 赤;中ビーム オレンジ;中ビーム 黄;中ビーム 緑;中ビーム 青;中ビーム ピンク;中ビーム 白
データウェポンＳＡ(攻撃), 8;Crash.wav;9;Drill.wav;3;必殺光線 LaserGun.wav
データウェポンＳＡ(命中), 必殺光線
アカツキの大太刀(準備), Charge(2).wav;魔法放射 赤 -.wav;魔法放射 オレンジ -.wav;魔法放射 黄 -.wav;魔法放射 緑 -.wav;魔法放射 青 -.wav;魔法放射 ピンク -.wav;粒子集中 白;振る武器転送 Bitmap\Anime\Weapon\EFFECT_GiantSword01.bmp 56 発光
アカツキの大太刀(攻撃), 巨大剣突撃
アカツキの大太刀(攻撃), 斬撃
アカツキの大太刀(命中), 超斬撃 Slash.wav
雲噛・海鎚, 日本刀 二刀流
雲噛・海鎚(クリティカル), 2;@戦闘アニメ_スピンアタック攻撃;@戦闘アニメ_スピンアタック命中
ユニコーンバスター(準備), -
ユニコーンバスター(攻撃), ドリル
ユニコーンバスター(命中), ドリル
レオスピナー(攻撃), 白兵武器 Drill.wav
レオスピナー(命中), 大斬撃 Drill.wav
ＦＬネオユニコーンドリル(準備), -
ＦＬネオユニコーンドリル(攻撃), 実弾発射 Bitmap\Unit\GFD_NeoUnicornDrillU.bmp Jet.wav
ＦＬネオユニコーンドリル(命中), 強打 Drill.wav
ＦＬレオサークルネオ(準備), -
ＦＬレオサークルネオ(攻撃), 実弾発射 Bitmap\Unit\GFD_LeoCircleNeo.bmp Jet.wav
ＦＬレオサークルネオ(命中), 爪撃
ユニコーンＢＦＡノヴァ(攻撃), 8;Crash.wav;9;Drill.wav;5;旋風 オレンジ 発光 LaserGun.wav
ユニコーンＢＦＡノヴァ(命中), 旋風 オレンジ 発光 Storm.wav
レオスピナーＦＡノヴァ(攻撃), 8;Crash.wav;9;Drill.wav;3;Swing.wav;気斬 オレンジ 残像 Drill.wav
レオスピナーＦＡノヴァ(命中), 超斬撃 Drill.wav
ＷＦアタックノヴァ(攻撃), 8;Crash.wav;9;Drill.wav;5;旋風 オレンジ 発光 LaserGun.wav;3;Swing.wav;気斬 オレンジ 残像 Drill.wav
ＷＦアタックノヴァ(命中), 旋風 オレンジ 発光 Storm.wav;超斬撃 Drill.wav
三連装ショルダーキャノン, キャノン砲 3 速
三連ミサイルランチャー, ミサイル
ショルダーミサイルポッド, 小型ミサイル 8 速
電童ゴーガン, 弓矢
ビームライフル, ビームライフル 白
ダブルトマホーク, 両刃斧投擲
電童剣, 剣
超電童ヨーヨー(攻撃), 中心回転武器 Weapon\EFFECT_MorningStar02.bmp 32 Whiz.wav 発光;実弾発射 Weapon\EFFECT_MorningStar02.bmp 32 Whiz.wav 発光 残像 有線
超電童ヨーヨー(命中), 強打 Sword.wav;2;強打 Sword.wav
シールド防御(タービン), シールド防御 Bitmap\Anime\Shield\EFFECT_Shield01.bmp - Drill.wav - タービン
シールド防御(レオスピナー), シールド防御 Bitmap\Anime\Shield\EFFECT_Shield01.bmp - Drill.wav - レオスピナー
攻撃無効化(ファイヤーウォール), ビームコート BeamCoat.wav ファイヤーウォール
分身(イリュージョンフラッシュ), 分身 イリュージョンフラッシュ




ＧＥＡＲ支援機
硬質メジャー, 鞭
ベーゴマ爆弾(準備), コマ
ベーゴマ爆弾(攻撃), コマ
ベーゴマ爆弾(命中), 小爆発
ミサイルランチャー, ミサイル 3 速
ビームキャノン, ニードルレーザー 黄;ニードルレーザー 黄
１４連装ミサイルポッド, ミサイル 14
大型ビームキャノン, ２連小ビーム 黄
ロングレンジビームキャノン, 中ビーム
ラゴウウィルスミサイル, ミサイル 14

宇宙船メテオ
レーザー機銃, ニードルレーザー連射 赤
ミサイルポッド, ミサイル 16
クェーサーキャノン, 大ビーム 青


データウェポン
メインカッター(準備), -
メインカッター(攻撃), タックル
メインカッター(命中), 斬撃
ドリルホーン(準備), -
ドリルホーン(攻撃), タックル
ドリルホーン(命中), 打撃 Drill.wav
レオクロー, 爪撃
サークルカッター(準備), -
サークルカッター(攻撃), タックル
サークルカッター(命中), 斬撃 Drill.wav
バーニングフレア(攻撃), 火炎弾
バーニングフレア(命中), 炎
ドラゴンブレード(準備), -
ドラゴンブレード(攻撃), タックル
ドラゴンブレード(命中), 斬撃
ガトリングランチャー, 内蔵ガトリング
パワーファング(準備), -
パワーファング(攻撃), タックル
パワーファング(命中), 強打
ブルブレイカー(準備), -
ブルブレイカー(攻撃), タックル
ブルブレイカー(命中), 強打
ヒートスライサー(準備), -
ヒートスライサー(攻撃), タックル
ヒートスライサー(命中), 強打 Crash.wav
ヘッドカッター(準備), -
ヘッドカッター(攻撃), タックル
ヘッドカッター(命中), 打突 Slash.wav
ビームウィング, エナジーブレード突撃 緑 二刀流
スピナーアタック(準備), -
スピナーアタック(攻撃), タックル
スピナーアタック(命中), 強打 Slash.wav
ウィングスライサー(準備), -
ウィングスライサー(攻撃), タックル
ウィングスライサー(命中), 大斬撃
ネオドリルホーン(準備), -
ネオドリルホーン(攻撃), タックル
ネオドリルホーン(命中), 強打 Drill.wav
ジェットクロー, 爪撃
スピンカッター(準備), -
スピンカッター(攻撃), タックル
スピンカッター(命中), 大斬撃 Drill.wav


機獣
ヘッドアタック, 格闘
バーニングブレス, 火炎放射
如意棒, ロッド
フォトンニードル, 拡散ビーム 緑
ベクタービーム, ２連小ビーム 青
パルスレーザー, 拡散ビーム 緑
ベクターランサー, ランス
フォトンクラッシャー, ２連中ビーム 青
素体兵士の群れ(準備), -
素体兵士の群れ(攻撃), 拡散ビームライフル ピンク GFD_MachineBeast.bmp
素体兵士の群れ(命中), 拡散ビームライフル
ガトリングビーム, ニードルレーザー連射 緑
フィンガービーム, ニードルレーザー連射;ニードルレーザー連射
ギガリング, 乱打
分離回避, 四方分離回避 -.wav 分離回避
ミサイル乱射, ミサイル 5
大出力ビーム, 中ビーム
メタルスパイク, タックル
ダブルビーム, 交差ビーム 赤 青
エネルギーファング, 噛み付き
ラゴウウィルス, 噛み付き
ビームガン, ビームライフル
ヘッドビーム, 特殊光線
触手, 触手 黒
触手(緑), 触手 緑
ビーム, 小ビーム
ビーム(赤), 小ビーム 赤
ビーム(青), 小ビーム 青
ビーム(黄), 小ビーム 黄
ビーム(橙), 小ビーム オレンジ
ビーム(緑), 小ビーム 緑
ビーム(中・黄), 中ビーム 黄
ミサイル, ミサイル 4
収束ビーム, 小ビーム 黄
タイヤ爆弾, 車輪
Ｔストリームアタック, 同時タックル
腕部機銃, バルカン
二連ビーム砲, ２連小ビーム
二連ビーム砲(赤), ２連小ビーム 赤
クレーン, 格闘
ミサイル掃射, ミサイル 5
ビーム掃射, 拡散ビーム
３連ガトリング砲, 機関砲
アームスピア, 打突
フレキシブルホーン, 格闘
光子機雷, 粒子放射 黄色
挟み込み, 格闘
上下分離, 上下分離回避
フリーズジェット, 旋風
攻撃無効化(バリアビット), ビームコート BeamCoat.wav バリアビット
フォトンサイズ, エナジーカッター
フォトンライフル, ビームライフル 緑
フォトンライフル(飛行), 小ビーム 緑
ソニックウェーブ, スーパータックル 白
アンカー, シュートカッター 緑
赤熱化, スーパータックル 赤
フレキシブルアーム, 格闘
フォトンレーザー, 特殊光線
ダブルフォトンブレード, ビームサーベル 二刀流
マイクロミサイル, 小型ミサイル 5
ビームキャノン, ２連中ビーム
鉤スティック, ハンマー
光線, 特殊光線
テイルアックス, 斬撃
回転攻撃, スピンアタック
アンカー(ジャム), シュートカッター 黒
フレキシブルアーム(ジャム), 触手 黒
フォトンブレード, ビームサーベル 緑
クリスタルソード, 斬撃
溶解液, 気弾 緑
超振動テイル, 斬撃
ダブルブーメラン, スーパーブーメラン 赤;スーパーブーメラン 赤
プラズマ, 破壊光線
アームブレード, 斬撃
ワーム, 打突
フォトンウィップ, 鞭
三位一体攻撃, 同時斬撃武器 Weapon\EFFECT_Sword01.bmp
