一部だけだけどね
呪文詠唱表
魔術師系呪文

かけ声, 我、超常なりし法と理の使い手なり――.我が名と技を背に我は行使す――
ティルトウェイト, <I>神により地の奥底に封印されし闇の国に….古より絶えたることなき清めの炎よ…</I>;<I>我に仇なす邪なる者どもの現の身を焼き尽くし、.その魂を御身が下に還さんがために――</I>;<I>今その大いなる炎の力を我に貸し与え給え…</I>;<B><BIG><I>――爆炎＜ＴＩＬＴＯＷＡＩＴ＞――</B></BIG></I>

バスカイヤ, <I><B>――妖光＜ＶＡＳＫＹＲＥ＞――</I></B>
バスカイヤ, <I>"混沌よ、七光となり奔れ"</I>;<I><B>――妖光＜ＶＡＳＫＹＲＥ＞――</I></B>

ツザリク, <I><B>――神拳＜ＴＺＡＬＩＫ＞――</I></B>
ツザリク, <I>"我が手に宿れ、天の鉄槌"</I>;<I><B>――神拳＜ＴＺＡＬＩＫ＞――</I></B>

ラダルト, <I><B>――凍風＜ＬＡＤＡＬＴＯ＞――</I></B>
ラダルト, <I>"氷雪よ、嵐となれ"</I>;<I><B>――凍風＜ＬＡＤＡＬＴＯ＞――</I></B>

ティルトウェイザ, <I>神により地の奥底に封印されし闇の国に….古より絶えたることなき清めの炎よ…</I>;<I>我に仇なす邪なる者どもの現の身を焼き尽くし、.その魂を御身が下に還さんがために――</I>;<I>今その大いなる炎の力よ、狭間にて煌めき閃光となれ…</I>;<I><BIG><B>――天光＜ＴＩＬＴＯＷＡＺＡ＞――</I></BIG></B>

ソピック, <I><B>――透身＜ＳＯＰＩＣ＞――</I></B>
ソピック, <I>"見えざる衣よ、我を覆え"</I>;<I><B>――透身＜ＳＯＰＩＣ＞――</I></B>
マソピック, <I><B>――大透＜ＭＡＳＯＰＩＣ＞――</I></B>
マソピック, <I>"見えざる衣よ、我らを覆い隠せ"</I>;<I><B>――大透＜ＭＡＳＯＰＩＣ＞――</I></B>

コルツ, <I><B>――障壁＜ＣＯＲＴＵ＞――</I></B>
コルツ, <I>"魔を退ける障壁となれ"</I>;<I><B>――障壁＜ＣＯＲＴＵ＞――</I></B>

リトフェイト, <I><B>――浮遊＜ＬＩＴＯＦＥＩＴ＞――</I></B>
リトフェイト, <I>"断ち切れよ、大地の戒め"</I>;<I><B>――浮遊＜ＬＩＴＯＦＥＩＴ＞――</I></B>

マロール, <I><B>――転移＜ＭＡＬＯＲ＞――</I></B>
マロール, <I>"空間の狭間を駆けよ"</I>;<I><B>――転移＜ＭＡＬＯＲ＞――</I></B>

ソコルディ, <I><B>――召還＜ＳＯＣＯＲＤＩ＞――</I></B>
ソコルディ, <I>"我が名と技を背に我は召還す…開け七界の門。.我、超常なりし法と理の使い手なり.この世に在らざるモノよ――顕れよ"</I>;<I><B>――召還＜ＳＯＣＯＲＤＩ＞――</I></B>

ポンティ, <I><B>――剛腕＜ＰＯＮＴＩ＞――</I></B>
ポンティ, <I>"その身に宿れ、巨人の膂力"</I>;<I><B>――剛腕＜ＰＯＮＴＩ＞――</I></B>
バコルツ, <I><B>――結界＜ＢＡＣＯＲＴＵ＞――</I></B>
バコルツ, <I>"魔を阻む力場となれ"</I>;<I><B>――結界＜ＢＡＣＯＲＴＵ＞――</I></B>

僧侶系呪文
モンティノ, <I><B>――静寂＜ＭＯＮＴＩＮＯ＞――</I></B>
モンティノ, <I>"言葉を伝えし音よ、止まれ"</I>;<I><B>――静寂＜ＭＯＮＴＩＮＯ＞――</B></I>

マニフォ, <I><B>――彫像＜ＭＡＮＩＦＯ＞――</I></B>
マニフォ, <I>"意志を伝えし光よ、止まれ"</I>;<I><B>――彫像＜ＭＡＮＩＦＯ＞――</I></B>

バディアル, <I><B>――減命＜ＢＡＤＩＡＬ＞――</I></B>
バディアル, <I>"逆流せよ、生命の息吹"</I>;<I><B>――減命＜ＢＡＤＩＡＬ＞――</I></B>

バディアルマ, <I><B>――大減＜ＢＡＤＩＡＬＭＡ＞――</I></B>
バディアルマ, <I>"暴走せよ、生命の息吹"</I>;<I><B>――大減＜ＢＡＤＩＡＬＭＡ＞――</I></B>

バディ, <I><B>――呪殺＜ＢＡＤＩ＞――</I></B>
バディ, <I>"生命の鼓動よ、その律動を止めよ"</I>;<I><B>――呪殺＜ＢＡＤＩ＞――</I></B>

バマディ, <I><B>――奪命＜ＢＡＭＡＤＩ＞――</I></B>
バマディ, <I>"生命の鼓動よ、その律動を狂わせよ"</I>;<I><B>――奪命＜ＢＡＭＡＤＩ＞――</I></B>

リトカン, <I><B>――塔炎＜ＬＯＴＯＫＡＮ＞――</I></B>
リトカン, <I>"炎よ炎柱とかせ"</I>;<I><B>――塔炎＜ＬＯＴＯＫＡＮ＞――</I></B>

ロルト, <I><B>――空刃＜ＬＯＲＴＯ＞――</I></B>
ロルト, <I>"大気よ、刃とかせ"</I>;<I><B>――空刃＜ＬＯＲＴＯ＞――</I></B>

マリクト, <I><B>――死言＜ＭＡＬＯＫＴＯ＞――</I></B>
マリクト, <I>"滅びへと導く言葉よ、大気を鳴動せよ"</I>;<I><B>――死言＜ＭＡＬＯＫＴＯ＞――</I></B>

ディオス, <I><B>――封傷＜ＤＩＯＳ＞――</I></B>
ディオス, <I>"癒しの力よ"</I>;<I><B>――封傷＜ＤＩＯＳ＞――</I></B>

ディアル, <I><B>――治癒＜ＤＩＡＬ＞――</I></B>
ディアル, <I>"癒しの力よ、我が前に"</I>;<I><B>――治癒＜ＤＩＡＬ＞――</I></B>

ディアルマ, <I><B>――大治＜ＤＩＡＬＭＡ＞――</I></B>
ディアルマ, <I>"癒しの力よ、その力を示し給え"</I>;<I><B>――大治＜ＤＩＡＬＭＡ＞――</I></B>

マディ, <I><B>――解癒＜ＭＡＤＩ＞――</I></B>
マディ, <I>"生命の力よ、その力を昇華させ給え"</I>;<I><B>――解癒＜ＭＡＤＩ＞――</I></B>

ディアルコ, <I><B>――治痺＜ＤＩＡＬＫＯ＞――</I></B>
ディアルコ, <I>"生命の力よ、その束縛を緩め給え"</I>;<I><B>――治痺＜ＤＩＡＬＫＯ＞――</I></B>

ラツモフィス, <I><B>――解毒＜ＬＡＴＵＭＯＦＩＳ＞――</I></B>
ラツモフィス, <I>"生命の力よ、その穢れを払い給え"</I>;<I><B>――解毒＜ＬＡＴＵＭＯＦＩＳ＞――</I></B>

バマツ, <I><B>――空壁＜ＢＡＭＡＴＵ＞――</I>
バマツ, <I>"大気よ、障壁となれ"</I>;<I><B>――空壁＜ＢＡＭＡＴＵ＞――</I>

マポーフィック, <I><B>――大盾＜ＭＡＰＯＲＦＩＣ＞――</I></B>
マポーフィック, <I>"精霊よ、我らを守る盾となり給え"</I>;<I><B>――大盾＜ＭＡＰＯＲＦＩＣ＞――</I></B>

ラテュマピック, <I><B>――識別＜ＬＡＴＵＭＡＰＩＣ＞――</I>
ラテュマピック, <I>"我が前に示せ、不確かなるモノよ"</I>;<I><B>――識別＜ＬＡＴＵＭＡＰＩＣ＞――</I>

ディスペル, 神よ。我らが創造の神よ。願わくば、.この迷える者どもの魂を解き放ちたまえ――;<BIG><I>――解呪＜Ｄｉｓａｂｌｅ＞――</BIG></I>

ジー・ベイル, 地霊よ;大地の底深く眠りし地霊よ;土に生まれ土に還る生命の理を妨げし闇の力を断ち、.――地を穢す奢れし者どもを清浄無垢なる塵となせ――;<BIG><I>――赤雷浄化＜ＺｅｅＢａｉｌ＞！――</BIG></I>

バリコ, <I><B>――石弾＜ＢＡＲＩＫＯ＞――</I></B>
バリコ, <I>"大地よ、弾けよ"</I>;<I><B>――石弾＜ＢＡＲＩＫＯ＞――</I></B>

マミニト, <I><B>――加速＜ＭＡＭＩＮＩＴ＞――</I></B>
マミニト, <I>"その身に宿れ、疾風の脚"</I>;<I><B>――加速＜ＭＡＭＩＮＩＴ＞――</I></B>

マディアル, <I><B>――治陣＜ＭＡＤＩＡＬ＞――</I></B>
マディアル, <I>"我らを包む、癒しの風となれ"</I>;<I><B>――治陣＜ＭＡＤＩＡＬ＞――</I></B>

バトキ, <I><B>――機敏＜ＢＡＴＯＫＩ＞――</I></B>
バトキ, <I>"疾風の如く、加速せよ"</I>;<I><B>――機敏＜ＢＡＴＯＫＩ＞――</I></B>

ラミニト, <I><B>――倍速＜ＬＡＭＩＮＩＴ＞――</I></B>
ラミニト, <I>"その身に宿れ、閃光の脚"</I>;<I><B>――倍速＜ＬＡＭＩＮＩＴ＞――</I></B>

カタナ, <I><B>――強化＜ＫＡＴＡＮＡ＞――</I></B>
カタナ, <I>"祖に宿るは、剣の聖霊"</I>;<I><B>――強化＜ＫＡＴＡＮＡ＞――</I></B>
