冒険者
格闘, Swing.wav
バリコ(命中), 1;BreakOff.wav;1;BreakOff.wav;1;BreakOff.wav;1;BreakOff.wav;1;BreakOff.wav
カンディ, Search.wav
ディアルマ, Sharara.wav
バディ, Fold.wav
バディ(命中), -
バディ(クリティカル), EvilEye.wav
バディアルマ, BeamSaber.wav
バディアルマ(命中), Slash(4).wav
リトカン, Bomb.wav
リトカン(命中), Fire.wav
カンディ, Search.wav
モガト, 1;Hittyuu.wav;10;Glass.wav
バモルディ, 六芒星 Charge.wav;@戦闘アニメ_ＭＡＰフラッシュ攻撃 BeamCoat.wav
バモルディ(解説), 異世界の獣が召還された！
召還獣, Roar.wav
召還獣(解説), 召還された獣が、.相手目掛けて襲いかかった！
召還獣(解説), 召還者の号令と共に、.異世界の獣は相手に襲いかかった！
召還獣(解説), 召還獣は咆哮と共に襲いかかった！
召還獣(解説), 召還された魔獣が、目標めがけて襲いかかる！
召還獣(命中), Crash.wav
マディ, 1;Hittyuu.wav;10;Sharara.wav
ロルト(準備), 1;Swing.wav;10;Swing.wav;8;Swing.wav;4;Swing.wav;2;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
ロルト, Storm.wav
ロルト(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
バマディ, Fold.wav
バマディ(命中), AntiShipMissile.wav
ロクトフェイト, BeamCoat.wav
ラバディ, Fold.wav
ラバディ(命中), AntiShipMissile.wav
カカメン, Cannon.wav
カカメン, Fire.wav
マリクト(準備), Charge.wav
マリクト, MicroMissile.wav
マリクト(命中), 1;Shock(Low).wav;2;Shock(Low).wav;2;Shock(Low).wav;2;Shock(Low).wav
バカディ, Fold.wav
バカディ(命中), -
バカディ(クリティカル), EvilEye.wav
マバリコ(準備), Charge.wav
マバリコ, 1;Bomb.wav;1;Bomb.wav;1;Bomb.wav
マバリコ(命中), Explode(Nuclear).wav
風刃(準備), 1;Swing.wav;10;Swing.wav;8;Swing.wav;4;Swing.wav;2;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
風刃, Storm.wav
風刃(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
風刃＜Ｍ＞(準備), 1;Swing.wav;10;Swing.wav;8;Swing.wav;4;Swing.wav;2;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
風刃＜Ｍ＞, Storm.wav
風刃＜Ｍ＞(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
触手, Swing.wav
触手(命中), Whip.wav
触手の槍, AntiShipMissile.wav
触手の槍(命中), Crash.wav
捕食, AntiShipMissile.wav
捕食(命中), Sword.wav
捕食(とどめ), Fold.wav
分裂(準備), Fold.wav
分裂, Bow.wav
分裂(命中), Stab.wav
分裂(クリティカル), Interference.wav
エナジードレイン, Swing.wav
エナジードレイン(命中), Search.wav
爪, Swing.wav
爪(命中), Slash.wav
鉤爪, Swing.wav
鉤爪(命中), Slash.wav
牙, Sword.wav
牙(命中), Stab.wav
亡者支配, EvilEye.wav
亡者支配(命中), -
亡者支配(クリティカル), Snap(E).wav
魔爪, Swing.wav
魔爪(命中), Search.wav
解放(準備), Hittyuu.wav
解放, Charge(High).wav
解放(命中), BeamCoat.wav
障壁展開, Charge(2).wav
攻撃無効化, BeamCoat.wav
バリア貫通, Glass.wav
阻止, BeamCoat.wav
ダミー, Glass.wav
攻撃無効化(防御障壁), BeamCoat.wav
攻撃無効化(触手), Whip.wav
バリア貫通(防御障壁), Glass.wav
バリア貫通(触手), Slash.wav
反射(反射力場), 1;BeamSaber.wav;10;BeamCoat.wav
ブレス＜Ｍ＞, Breath.wav
ブレス＜Ｍ＞(命中), Fire.wav
ブレス, Breath.wav
ブレス(命中), Fire.wav
シールド防御(錫杖), Whiz.wav
