
世界樹の冒険者
###################  主人公
ハイランダーの槍, パイク
阻止(パリング), ダミー Sword.wav パリング
ファイアガード, オーラ上昇 赤 Charge.wav
フリーズガード, オーラ上昇 青 Charge.wav
ショックガード, オーラ上昇 黄 Charge.wav
阻止(ファイアガード), タワーシールド;光バリア BeamCoat.wav
阻止(フリーズガード), タワーシールド;光バリア BeamCoat.wav
阻止(ショックガード), タワーシールド;光バリア BeamCoat.wav
###################  アーサー
格闘, 格闘
当て身技(光掌の術式), 切り払い
握壊の術式(攻撃), 打突
握壊の術式(命中), 爆発
光撃の術式(準備), 粒子集中 黄 対象ユニットＩＤ
光撃の術式(攻撃), スーパーパンチ 黄
光撃の術式(命中), スーパーパンチ 黄;爆発
炎の術式(準備), フラスコ Reload(4).wav;@戦闘アニメ_煙発動 赤 対象ユニットＩＤ
炎の術式(攻撃), 投擲武器 Bullet\EFFECT_MicroBullet(Red)01.bmp 8
炎の術式(命中), 爆発
氷の術式(準備), フラスコ Reload(4).wav;@戦闘アニメ_煙発動 青 対象ユニットＩＤ
氷の術式(攻撃), 投擲武器 Bullet\EFFECT_MicroBullet(LightBlue)01.bmp 8
氷の術式(命中), 凍結 Glass.wav
雷の術式(準備), フラスコ Reload(4).wav;@戦闘アニメ_煙発動 黄色 対象ユニットＩＤ
雷の術式(攻撃), 投擲武器 Bullet\EFFECT_MicroBullet(Yellow)01.bmp 8
雷の術式(命中), 放電
電撃の術式(準備), フラスコ Reload(4).wav;@戦闘アニメ_煙発動 黄色 対象ユニットＩＤ
電撃の術式(攻撃), 投擲武器 Bullet\EFFECT_MicroBullet(Yellow)01.bmp 8;ＭＡＰ落雷
電撃の術式(命中), 大落雷
氷結の術式(準備), フラスコ Reload(4).wav;@戦闘アニメ_煙発動 青 対象ユニットＩＤ
氷結の術式(攻撃), 投擲武器 Bullet\EFFECT_MicroBullet(LightBlue)01.bmp 8
氷結の術式(命中), 吹雪;凍結 Glass.wav
火炎の術式(準備), フラスコ Reload(4).wav;@戦闘アニメ_煙発動 赤 対象ユニットＩＤ
火炎の術式(攻撃), 投擲武器 Bullet\EFFECT_MicroBullet(Red)01.bmp 8
火炎の術式(命中), 連続爆発;大爆発
大爆炎の術式(準備), フラスコ Reload(4).wav;@戦闘アニメ_煙発動 赤 対象ユニットＩＤ
大爆炎の術式(攻撃), 投擲武器 Bullet\EFFECT_MicroBullet(Red)01.bmp 8
大爆炎の術式(命中), 連続大爆発
###################  レン
大太刀, 日本刀
首討ち改(準備), Reload(2).wav
首討ち改(攻撃), なぎ払い
首討ち改(命中), 斬撃 黒 Slash.wav
首討ち改(クリティカル), @戦闘アニメ_横分割とどめ -.wav
踏み袈裟改(準備), Reload(2).wav
踏み袈裟改(攻撃), 日本刀突撃
踏み袈裟改(命中), 大斬撃;振り上げ;振り下ろし
抜刀氷雪改(準備), Reload(2).wav;粒子集中 青 Charge.wav
抜刀氷雪改(攻撃), 円弧斬撃 青 Bow.wav
抜刀氷雪改(命中), 超斬撃 青 Slash.wav
息吹改, オーラ上昇 白 相手ユニットＩＤ;回復魔法
###################  ツスクル
ワンド, 杖
弱法師の呪言(準備), ベル Hittyuu.wav
弱法師の呪言(攻撃), ＭＡＰ音符 Roar.wav
封の呪言：頭首(準備), ベル Hittyuu.wav
封の呪言：頭首(攻撃), 音波 Roar.wav
封の呪言：上肢(準備), ベル Hittyuu.wav
封の呪言：上肢(攻撃), 音波 Roar.wav
禍神の呪言(準備), ベル Hittyuu.wav
禍神の呪言(攻撃), @戦闘アニメ_死神とどめ
禍神の呪言(命中), -
ペイントレード(準備), 粒子集中 黒 Charge.wav
ペイントレード(攻撃), 髑髏弾
ペイントレード(命中), ダメージ
###################  シララ
炎の渦(準備), 召喚 Unit\SQ_ForestDemonU.bmp
炎の渦(攻撃), 炎の壁
混乱の歌声(準備), 召喚 Unit\SQ_ReikokunaruKifujinU.bmp
混乱の歌声(攻撃), ＭＡＰ音符 Roar.wav
石化の輝き(準備), 召喚 Unit\SQ_ArkPikyU.bmp
石化の輝き(攻撃), 魔法放射 黒 EvilEye.wav
石化の輝き(命中), 魔法放射 黒 EvilEye.wav
大海原の侵食(準備), 召喚 Unit\SQ_Corotrangul.bmp
大海原の侵食(攻撃), 津波
サンダーウィング(準備), 召喚 Unit\SQ_IwaoropenelepU.bmp
サンダーウィング(攻撃), 羽 黄 対象ユニットＩＤ;電撃
###################  解説(～の呪文を唱えたの表示防止用)
握壊の術式(解説), $(ユニット)は握壊の術式で攻撃をかけた。
光撃の術式(解説), $(ユニット)は光撃の術式で攻撃をかけた。
炎の術式(解説), $(ユニット)は火の術式で攻撃をかけた。
氷の術式(解説), $(ユニット)は氷の術式で攻撃をかけた。
雷の術式(解説), $(ユニット)は雷の術式で攻撃をかけた。
火炎の術式(解説), $(ユニット)は火炎の術式で攻撃をかけた。
氷結の術式(解説), $(ユニット)は氷結の術式で攻撃をかけた。
電撃の術式(解説), $(ユニット)は電撃の術式で攻撃をかけた。
大爆炎の術式(解説), $(ユニット)は大爆炎の術式で攻撃をかけた。
息吹改(解説), $(ユニット)は息吹改により回復を行った。
弱法師の呪言(解説), $(ユニット)は弱法師の呪言を唱えた。
封の呪言：頭首(解説), $(ユニット)は頭首を封じる呪言を唱えた。
封の呪言：上肢(解説), $(ユニット)は上肢を封じる呪言を唱えた。
禍神の呪言(解説), $(ユニット)は禍神の呪言を唱えた。
###################  解説(シララの呼び掛け)
混乱の歌声(解説), シララの呼びかけに応え、冷酷なる貴婦人が混乱の歌声で攻撃をかけた。
石化の輝き(解説), シララの呼びかけに応え、アークピクシーが石化の輝きで攻撃をかけた。
炎の渦(解説), シララの呼びかけに応え、フォレストデモンが炎の渦で攻撃をかけた。
大海原の侵食(解説), シララの歌に応え、コロトラングルが大海原の浸食で攻撃をかけた。
サンダーウィング(解説), シララの歌に応え、イワオロペネレプがサンダーウィングで攻撃をかけた


###################  アイテム関連
汎用
###################  イベント用
ユグドラウィルス(攻撃), 薬品 青
ユグドラウィルス(命中), ダメージ Glass.wav
###################  コーディアル
リジェネトル, オーラ上昇 緑;回復魔法
ジンジャーライフ, オーラ上昇 黄;回復魔法
アムラアウェイク, オーラ上昇 緑;回復魔法
エキナケアップ, オーラ上昇 黄;回復魔法
エルダーフラワー, オーラ上昇 赤;回復魔法
###################  手筈の書
奇禍への手筈, @ＳＰアニメ_ひらめき 対象ユニットＩＤ;オーラ上昇 青
固縛への手筈, @ＳＰアニメ_ひらめき 対象ユニットＩＤ;オーラ上昇 青
自動反撃(逆襲の手筈), -
逆襲の手筈(攻撃), 斬撃
逆襲の手筈(命中), ダメージ
自動反撃(賦活の手筈), -
自動反撃(賦活の手筈)(解説), $(ユニット)は賦活の手筈により即座に回復を行なった。
賦活の手筈(攻撃), @戦闘アニメ_回復魔法発動 対象ユニットＩＤ
賦活の手筈(命中), -
起死回生の手筈, @ＳＰアニメ_ひらめき 対象ユニットＩＤ;粒子集中;オーラ上昇 黄
###################  呼びかけの祈り
ココヘッチェ(準備), 召喚 Unit\SQ_ForestDemonU.bmp
ココヘッチェ(攻撃), 炎の壁
コシマヘッチェ(準備), 召喚 Unit\SQ_ReikokunaruKifujinU.bmp
コシマヘッチェ(攻撃), ＭＡＰ音符 Roar.wav
ポンぺヘッチェ(準備), 召喚 Unit\SQ_ArkPikyU.bmp
ポンぺヘッチェ(攻撃), 魔法放射 黒 EvilEye.wav
ポンぺヘッチェ(命中), 魔法放射 黒 EvilEye.wav
コンルシノッチャ(準備), 召喚 Unit\SQ_CorotrangulU.bmp
コンルシノッチャ(攻撃), 津波
カンナシノッチャ(準備), 召喚 Unit\SQ_IwaoropenelepU.bmp
カンナシノッチャ(攻撃), 羽 黄 対象ユニットＩＤ;電撃
###################  解説
ココヘッチェ(解説), シララの呼びかけに応え、フォレストデモンが炎の渦で攻撃をかけた。
コシマヘッチェ(解説), シララの呼びかけに応え、冷酷なる貴婦人が混乱の歌声で攻撃をかけた。
ポンぺヘッチェ(解説), シララの呼びかけに応え、アークピクシーが石化の輝きで攻撃をかけた。
コンルシノッチャ(解説), シララの歌に応え、コロトラングルが大海原の浸食で攻撃をかけた。
カンナシノッチャ(解説), シララの歌に応え、イワオロペネレプがサンダーウィングで攻撃をかけた。

樹海の魔物
テラーハウル, 音波 Beast.wav
巨大な鋭牙, 噛み付き
凍てつく牙(攻撃), 噛み付き
凍てつく牙(命中), 噛み付き;ダメージ 青
体当たり, タックル
ハンマーヘッド(準備), -
ハンマーヘッド(攻撃), 打撃突撃;ヘッドバット
ハンマーヘッド(命中), ヘッドバット
常闇のゆりかご, ＭＡＰ音符 Roar.wav
鬱屈した黒塊, ニードル連射
漆黒の刺針, 刺突
這い寄る悪夢(攻撃), 透明化;爪撃;透明化 解除
這い寄る悪夢(命中), 斬撃
無明の使者(攻撃), 透明化;爪撃;透明化 解除
無明の使者(命中), 斬撃突撃
大カニの鋏, 甲殻鋏 白
死神の爪(準備), オーラ上昇 赤
死神の爪, 甲殻鋏 白
沈黙の瞳(攻撃), 魔法放射 白 EvilEye.wav
沈黙の瞳(命中), 魔法放射 白 EvilEye.wav
森王腕, 打突
スマッシュコンボ, 打突;打突;打突
ハリケーンパンチ, スーパーパンチ
ホーンラッシュ, タックル
幻惑の花粉, ＭＡＰ煙 黄
もどかしい激昂, 音波 Roar.wav
粉砕する顎, 噛み付き;噛み付き
飛散する毒針, ニードル連射
ローヤルゼリー, 粒子集中 黄;回復魔法
土けむり, ＭＡＰ煙 白
支配の眼光, 魔法放射 白 EvilEye.wav
処刑者のカギ爪, 爪撃
噛み砕き, 噛み付き
女王の鉄槌, 爪撃;爪撃;爪撃;爪撃
攻撃無効化(水のヴェール), 光バリア 青
テイルコイル, タックル
巨大な水ヒレ, 斬撃
大海原の侵食, 津波
アイスブレス(単)(攻撃), 火炎放射 青 Storm.wav
アイスブレス(単)(命中), 火炎放射 青 Glass.wav
逆巻く怨嗟, 音波 Roar.wav
巨魔牛の豪角(攻撃), タックル
巨魔牛の豪角(命中), 刺突
かちあげ(攻撃), タックル
かちあげ(命中), 打撃 Stab.wav
稲妻の突撃(攻撃), タックル
稲妻の突撃(命中), 刺突;電撃
刹那の角撃(攻撃), タックル
刹那の角撃(命中), 大刺突
デスブリンガー, 爪撃
カオスブリンガー, 爪撃
ダマスカスの大爪, 爪撃
ウィンドプレス(準備), 羽 黄
ウィンドプレス(攻撃), ＭＡＰ強風 Interference.wav
ウィンドプレス(命中), ＭＡＰ強風
サンダーウィング(攻撃), 羽 黄 対象ユニット;電撃
フェザースピアー(準備), 急降下;羽 黄
フェザースピアー(攻撃), ニードル連射
王の威厳, 発光 白 EvilEye.wav
ヘルドレイン(攻撃), 打突
ヘルドレイン(命中), 打突;吸収
テンペスト(攻撃), 円弧斬撃;振り上げ;振り下ろし
テンペスト(命中), 振り下ろし;なぎ払い;振り下ろし;円弧斬撃;斬撃
サイクロンルーツ, 触手乱舞 白 Storm.wav
サウザンドネイル(攻撃), 円弧斬撃;振り上げ;振り下ろし;振り上げ;振り下ろし
サウザンドネイル(命中), 振り下ろし;なぎ払い;振り下ろし;なぎ払い;振り下ろし;円弧斬撃;斬撃
ネクローシス(攻撃), 魔法放射 白 EvilEye.wav
太古の呪粉, ＭＡＰ煙 黄
エンタングルレイ, ＭＡＰ光球
デモンズラッシュ, スーパーパンチ乱舞
サンダーストーム, 大電撃
フリージング, 旋風 青 Storm.wav
エクスプロウド, 炎長距離
ランドスラッシュ, 斬撃乱舞
ハルマゲドン(攻撃), ＭＡＰフラッシュ
ハルマゲドン(命中), 超爆発
#  解説(～の呪文を唱えたの表示防止用)
攻撃(解説), $(ユニット)は$(武器)で攻撃をかけた。

グラズヘイム
マスタードガス, 煙噴射 黄
発煙弾, ＭＡＰ煙 白
天空曲射, 大キャノン砲
多砲乱射, 重機関砲
キャタピラプレス, タックル
フレイムスロワー, 火炎放射
瞬く閃光, ＭＡＰフラッシュ
電撃, 放電
重機関砲, 重機関砲
荷電粒子砲, ＭＡＰビーム 青
電磁投射砲, レールキャノン
オールデリート, ＭＡＰオールレンジ 白
