
汎用
レーザー砲(紐), バスタービームライフル 青
誘惑の音色, 音符
ハーメルンのホラ吹き(準備), 横笛
ハーメルンのホラ吹き(攻撃), Sharara.wav;5;鼠召喚
ハーメルンのホラ吹き(命中), 乱打
千本ノック(準備), 金属バット
千本ノック(攻撃), 白兵武器 Sword.wav
千本ノック(命中), 乱打
超級百烈弾(準備), オーラ上昇 青 Fire.wav;金属バット
超級百烈弾(攻撃), 白兵武器 Sword.wav
超級百烈弾(命中), ニードル連射 MachineCannon.wav;3;超爆発
シュート(攻撃), 実弾発射 DGoods\EFFECT_SoccerBall01.bmp Cannon.wav 速
シュート(命中), ダメージ Crash.wav
オーバーヘッド唐竹割り(攻撃), バック転
オーバーヘッド唐竹割り(命中), 唐竹割り Crash.wav
レッドカード乱舞(準備), オーラ上昇 青
レッドカード乱舞(攻撃), キック
レッドカード乱舞(命中), 乱打;乱打
ラケット(準備), 焼き網
ラケット, 白兵武器
スマッシュ(準備), 焼き網
スマッシュ(攻撃), 白兵武器 Bow.wav
スマッシュ(命中), 打撃
火の鳥サーブ(準備), 焼き網
火の鳥サーブ(攻撃), 白兵武器;キャノン砲 Bow.wav
火の鳥サーブ(命中), 炎
ブラックホールスマッシュ(準備), オーラ上昇 青;焼き網
ブラックホールスマッシュ(攻撃), 白兵武器;重力弾
ブラックホールスマッシュ(命中), 重力弾
水龍波, 津波
大海衝(準備), オーラ上昇 青
大海衝(攻撃), 津波
大海衝(命中), 津波
ドリブル, タックル
ナイアガラダンク(攻撃), 急降下
ナイアガラダンク(命中), 急降下 Bomb.wav;ダメージ Crash.wav
ＵＦＯダンクシュート(準備), オーラ上昇 青
ＵＦＯダンクシュート(攻撃), 急降下
ＵＦＯダンクシュート(命中), 突く武器急降下 Weapon\EFFECT_Saucer01.bmp;超爆発
気分最高(準備), オーラ上昇 青
気分最高, 波動放射 青
ギターピック, 刺突
マリアッチ砲, ギターケースバズーカ
# 番長
金茶小鷹(準備), Roar.wav
金茶小鷹, 怪鳥 AntiShipMissile.wav
袖竜(準備), Roar.wav
袖竜, 竜炎 青
気孔波(攻撃), フラッシュ 青 Explode(Nuclear).wav
超眼力(攻撃), Glass.wav
分離(本気を出す), Slash(2).wav
# モンスター
暴れん坊頭突き, 格闘
スタンビート, スーパータックル 赤
スタンビート(命中), 放電
クラッシュクロー, 爪撃
サーモンブーメラン, Roar.wav;回転投擲武器 Animal\EFFECT_Tuna01.bmp
テイルパンチ(攻撃), なぎ払い
テイルパンチ(命中), 打撃
アストラルファング(攻撃), 波動放射 赤
アストラルファング(命中), 噛み付き
竹槍アタック, 刺突
熊猫光波斬(攻撃), 白兵武器;地表衝撃波 赤
熊猫光波斬(命中), 大斬撃
テイルアタック(攻撃), なぎ払い
テイルアタック(命中), 打撃
ワイルドファング(攻撃), 波動放射 赤
ワイルドファング(命中), 噛み付き
# 宇宙人関連
指先ビーム, 小ビーム 黄
レーザービーム, 大ビーム 桃
弾圧ハイパービーム, 大ビーム 赤
# 世界征服ロボ
世界征服ロボ召喚(準備), 変形 TMEMO_SekaiSeifukuRobo.bmp Transform.wav
世界征服ロボ召喚(攻撃), スーパータックル 青 Jet.wav
世界征服ロボ召喚(命中), 1;ロケットパンチ;3;矢刺 Explode(Small).wav;小爆発;3;中ビーム 青
真・世界征服ロボ召喚(準備), 変形 TMEMO_ShinSekaiSeifukuRobo.bmp Transform.wav
真・世界征服ロボ召喚(攻撃), スーパータックル 紫 Jet.wav
真・世界征服ロボ召喚(命中), 1;ドリルミサイル;3;矢連刺 Explode(Small).wav;矢連刺 Explode(Small).wav;爆発;5;超ビーム 青
独裁ミサイル, スーパーミサイル 1
服従パンチ, ロケットパンチ
世界征服ビーム, 中ビーム 青
独裁ミサイルシャワー, ＭＡＰスーパーミサイル
服従ドリルパンチ, ドリルミサイル
世界征服メガビーム, 大ビーム 青
世界征服ハイメガビーム, 超ビーム 青
電磁パンチ, 打突
電磁パンチ(命中), 強打;放電
制裁エレキハンド, 乱打
制裁エレキハンド(命中), 乱打;放電
# 解説集
悲鳴(解説), $(ユニット)は悲鳴をあげた。
クラブ勧誘(解説), $(ユニット)はクラブの勧誘を始めた。
高笑い(解説), $(ユニット)は高笑いをあげた。
親衛隊(解説), $(ユニット)に代わって、親衛隊は相手に攻撃を仕掛けた。
耳寄り情報(解説), $(ユニット)は耳寄り情報で相手の気をそらそうとした。
子猫暴れ(解説), $(ユニット)に代わって、子猫は相手に襲い掛かった。
ムク大暴れ(解説), $(ユニット)に代わって、ムクは相手に襲い掛かった。
うそ泣き(解説), $(ユニット)はうそ泣きを始めた。
ナンパ(解説), $(ユニット)はナンパを始めた。
応援歌(解説), $(ユニット)は応援歌の演奏を始めた。
熱意の説得(解説), $(ユニット)は熱意の説得を試みた。
脱力漫才(解説), $(ユニット)は脱力漫才を始めた。
ハッキング(解説), $(ユニット)はハッキングを試みた。
怪しげな実験(解説), $(ユニット)は何やら怪しげな実験を始めた。
