
#　　このアニメでは、ＳＲＣＨＰ汎用コーナーで戦闘アニメとして配布されているもの以外
#　に、以下のアイコンを使用しています。
#　　なお、もしも無くても、見た目がおかしい程度でエラーは出ないようです。
#
#　EFFECT_Dice01.bmp
#　EFFECT_FF07_Hiwind.bmp
#　EFFECT_FF07_Chocobo&Moguri.bmp
#　EFFECT_FF07_Siva.bmp
#　EFFECT_FF07_Efreet.bmp
#　EFFECT_FF07_Ramuh.bmp
#　EFFECT_FF07_Titan.bmp
#　EFFECT_FF07_Leviathan.bmp
#　EFFECT_FF07_Odein.bmp
#　EFFECT_FF07_Bahamut.bmp
#　EFFECT_FF07_Kujata.bmp
#　EFFECT_FF07_Alexander.bmp
#　EFFECT_FF07_Phoenix.bmp
#　EFFECT_FF07_BahamutCustom.bmp
#　EFFECT_FF07_Hades.bmp
#　EFFECT_FF07_BahamutZero.bmp
#　EFFECT_FF07_Typhon.bmp
#　EFFECT_FF07_Knight'sOfRound.bmp
#

#　　通常攻撃でいちいち攻撃前にエフェクトかかってもウザいので、リミット技の前の足元から
#　光が噴出するアニメは究極リミット技に限っています。

#　ＦＦ７

クラウド＝ストライフ
バスターソード, 大剣
ダイナマイト, ダイナマイト
大乱闘(準備), パイク
大乱闘(攻撃), 回転斬撃;ＭＡＰ爆発
大乱闘(命中), 刺突
大乱闘(命中), 乱突
大乱闘(命中), なぎ払い
大乱闘(命中), 踏み潰し
ドラゴンモッド, 実弾発射 Creature\EFFECT_ChineseDragon01.bmp 速 発光
ブーストジャンプ, パイク急降下
ハイパージャンプ(準備), パイク
ハイパージャンプ(攻撃), スーパーキック ブルー
ハイパージャンプ(命中), 急降下 青
ハイウインド(準備), 光噴出 橙
ハイウインド(攻撃), 飛来アップ FF07_HiwindU.bmp 背景なし;飛来アップ終了 FF07_HiwindU.bmp;ＭＡＰミサイル
ハイウインド(命中), 大爆発
ドラゴンダイヴ(準備), パイク
ドラゴンダイヴ(攻撃), パイク急降下
ドラゴンダイヴ(命中), パイク急降下;パイク急降下;パイク急降下;パイク急降下;パイク急降下

レッドⅩⅢ
ブラッドファング, スーパータックル レッド
スレッドファング, スーパータックル オレンジ
スターダストレイ, 流星;流星;流星;流星
アースレイヴ, スーパータックル乱舞
コスモメモリー(準備), 光噴出 橙
コスモメモリー(攻撃), 光球;光打ち上げ;光打ち下ろし
コスモメモリー(命中), 爆発

ユフィ＝キサラギ
十字手裏剣, 手裏剣
疾風迅雷(準備), 手裏剣
疾風迅雷(攻撃), 振る武器突撃 EFFECT_Shuriken01.bmp;手裏剣
疾風迅雷(命中), 斬撃
鎧袖一触(攻撃), 光噴出
鎧袖一触(命中), 光柱
抜山蓋世(攻撃), 石柱
抜山蓋世(命中), 小爆発
血祭(準備), 手裏剣
血祭(攻撃), 斬撃乱舞
血祭(命中), 斬撃乱舞
生者必滅(準備), 手裏剣
生者必滅(攻撃), 連斬撃;斬撃乱舞
生者必滅(命中), 連斬撃;斬撃乱舞
森羅万象(準備), 光噴出 橙;手裏剣
森羅万象(攻撃), 粒子集中 青;大ビーム 青
森羅万象(命中), 大ビーム 青

ヴィンセント＝バレンタイン
改造義手, 格闘
クイックシルバー, ピストル
ガリアンビースト, 変形 FF07_VincentValentineU(GB).bmp
デスギガス, 変形 FF07_VincentValentineU(DG).bmp
ヘルマスカー, 変形 FF07_VincentValentineU(HM).bmp
カオス, 変形 FF07_VincentValentineU(C).bmp
バーサクダンス, 乱打
ビーストフレア, 火炎弾
ライブスパーク, ＭＡＰ放電
ギガダンク, スーパーパンチ
ナイトメア, 煙噴射 黒
スプラッタコンボ, チェンソー
カオスセイバー, スーパータックル
サタンインパクト, 波動放射 ブラック

ケット＝シー
イエローメガホン, タックル
ダイス, 実弾発射 EFFECT_Dice01.bmp
トイボックス, つらら
トイソルジャー, 人形
オールオーバー, ＭＡＰダークネス
ジョーカーデス, ＭＡＰダークネス

セフィロス
正宗, 日本刀

リバース＝セフィロス
心ない天使, 実弾発射 Event\スペシャルパワー\syukufuku01.bmp;粒子集中 白
スティグマ, 拡散ビーム ホワイト
巨大な腕, 格闘

セーファ＝セフィロス
スーパーノヴァ, ＭＡＰダークネス;光球;ＭＡＰフラッシュ;ＭＡＰ大爆発
デイン, 粒子噴射 赤
翼, 格闘
ペイルフォース, 中ビーム 青
シャドウフレア(攻撃), 粒子集中 黒 相手ユニットＩＤ
シャドウフレア(命中), 大爆発

ジェノバ＝ＢＩＲＴＨ
レーザー, ビーム
ダブルレーザー, ２連小ビーム
テイルレーザー, 拡散ビーム

ジェノバ＝ＬＩＦＥ
青い光, ホーミングレーザー 青
ブルーフレイム, 火炎放射 青

ジェノバ＝ＤＥＡＴＨ
赤い光, ホーミングレーザー 青
熱風, 強風

ジェノバ＝ＳＹＮＴＨＥＳＩＳ
触手, 触手

ダイアウェポン
光弾, ニードルレーザー連射
踏み付け, 踏み潰し
ダイヤフラッシュ, ＭＡＰフラッシュ

アルテマウェポン
かぎ爪(攻撃), 斬撃
かぎ爪(命中), 斬撃
アルテマビーム, 大ビーム

サファイアウェポン
大海嘯, ＭＡＰ津波

ルーファウス＝神羅
格闘, 格闘
拳銃, ピストル
ショットガン, ショットガン
シールド防御(ダークネイション), シールド防御 Animal\EFFECT_BlackPanther01.bmp 32 - - ダークネイション
ダークネイション, 黒豹

ツォン(ＦＦ７)
リボルバー, リボルバー

レノ(ＦＦ７)
ピラミッド(準備), スタンロッド
ピラミッド(攻撃), 光球
ピラミッド(命中), 決め画像 Barrier\EFFECT_MagicShield(Yellow)04.bmp
電磁ロッド, スタンロッド
タークス光線(攻撃), 小ビーム ブラック
タークス光線(命中), 光玉 ブラック
ネオタークス光線, 中ビーム

ルード(ＦＦ７)
格闘術, 格闘
地走り, 地表衝撃波 レッド

イリーナ(ＦＦ７)
誘惑, 必殺光線 ピンク
Ｓマイン, 手榴弾
爆弾(準備), 爆弾
爆弾(攻撃), 爆弾;ＭＡＰ炎
爆弾(命中), 爆発

パルマー(ＦＦ７)
魔晄銃・冷(準備), ピストル
魔晄銃・冷(攻撃), 魔力放射
魔晄銃・冷(命中), 凍結
魔晄銃・炎(準備), ピストル
魔晄銃・炎(攻撃), 魔力放射
魔晄銃・炎(命中), 炎
魔晄銃・雷(準備), ピストル
魔晄銃・雷(攻撃), 魔力放射
魔晄銃・雷(命中), 電撃

プラウド＝クラッド
ニーブレンド, 火炎放射 青
ニーファイア, 火炎放射
リストレーザー, 小ビーム
パワーアーム, 打突
機関砲, 機関砲
ビームキャノン, 拡散ビーム

カダージュ(ＦＦ７)
光弾, 光弾
光弾, 光弾;光弾
光弾, 光弾;光弾;光弾;光弾;光弾
双刃, 斬撃乱舞

ヤズー(ＦＦ７)
殴打, 打突
ベルベット・ナイトメア, 光弾銃
連射, ２連光弾銃

ロッズ(ＦＦ７)
格闘, 連打
格闘, キック
ベルベット・ナイトメア, 光弾銃
デュアルハウンド, タックル;放電
ロッズワープツール, スーパータックル ブルー

ＦＦ７
かまいたち, 気斬
剣切り(準備), 大剣
剣切り(攻撃), 振り下ろし
剣切り(命中), 大斬撃
必殺技(準備), 大剣
必殺技(攻撃), 振り下ろし
必殺技(命中), クリティカル斬撃
トンファー, トンファー
マシンガン, マシンガン
プロペラ(攻撃), 白兵回転
プロペラ(命中), 斬撃
ソードラッシュ(攻撃), 斬撃
ソードラッシュ(命中), 斬撃
ダブルショット, 重機関銃
ローラースピン, タックル
スモーク弾, 煙
グレネード, グレネード
手榴弾, 手榴弾
副砲, ベアリング
副砲内隠し砲, 内蔵ガトリング
主砲, キャノン砲
波動砲, ＭＡＰビーム
ＡＢ砲, ミサイル
Ｃ砲, ミサイル
回転体当たり, タックル
フライングドリル, ドリルミサイル
体当たり, タックル
デッドリーホイール, 踏み潰し
アームアタック(攻撃), タックル
アームアタック(命中), 強打
ツインバーナー, 火炎放射
ローリングファイア, 炎
アーム, 打突
アームキャッチ(攻撃), タックル
アームキャッチ(命中), 立ち固め
ラピスレーザー, 小ビーム
モーグリダンス(解説), モーグリの踊りがケット・シーを回復させた！

#　　インターナショナル版持ってないので、ルビーウェポンとエメラルドウェポンは未作成。

汎用
ケアル, 回復魔法
ケアルラ, 回復魔法
ケアルガ, 回復魔法
リジェネ, 回復魔法
ポイゾナ, 光噴出
エスナ, 光噴出
レジスト, 光噴出
ファイア, 炎
ファイラ, 火柱
ファイガ, 炎;爆発
ブリザド, 吹雪
ブリザラ, 凍結
ブリザガ, 凍結
サンダー, 落雷
サンダラ, 落雷
サンダガ, 大落雷
クエイク, ＭＡＰ地震
クエイラ, 発光;ＭＡＰ地震
クエイガ, 石柱
バイオ, 粒子集中 緑
バイオラ, 粒子集中 緑
バイオガ, 粒子集中 緑
グラビデ, 重力弾
グラビラ, 重力弾
グラビガ, 魔力集中 黒;重力弾
スリプル, 煙
サイレス, 決め文字 黙
コンフュ, 羽
バーサク, 流星
スロウ, 時間逆行
ストップ, 時間
ヘイスト, 発光 白
バリア, エネルギーフィールド展開
マバリア, エネルギーフィールド展開
リフレク, エネルギーフィールド展開
ウォール, エネルギーフィールド展開
デバリア, 発光 赤
デスペル, 発光 赤
デス, 発光 赤
コメット, 隕石
コメテオ, 隕石
フリーズ, 凍結
ブレイク, 石柱
トルネド, 竜巻
フレア, 粒子集中 赤;大爆発
デジョン, ＭＡＰブラックホール
フルケア, 回復魔法泡
シールド, エネルギーフィールド展開
アルテマ(攻撃), 発光 白 相手ユニットＩＤ
アルテマ(攻撃), 魔力放射 緑
盗む, タックル
ぶんどる, タックル
見破る(攻撃), ロックオン
武器投げ, 投擲武器 Weapon\EFFECT_Sword01.bmp
銭投げ, 投擲武器 EFFECT_Coin.bmp
必殺, スーパータックル
操る, タックル
レーザー, ホーミングレーザー
マトラマジック, ＭＡＰミサイル
ベータ, 発光 赤
トライン(攻撃), 回転発射 Barrier\EFFECT_MagicShield(White)04.bmp 発光
アクアブレス, 泡
なんとか？？？(攻撃), 文字ビーム ？
なんとか？？？(命中), 決め文字 ？
全体斬り(攻撃), なぎ払い
全体斬り(命中), 横大斬撃
居合抜き(攻撃), なぎ払い
居合抜き(命中), 横大斬撃
乱れ撃ち, 斬撃乱舞
カウンター, タックル
必殺技！！(攻撃), 飛来アップ EFFECT_FF07_Chocobo&Moguri.bmp 背景なし;飛来アップ終了 EFFECT_FF07_Chocobo&Moguri.bmp
ダイヤモンドダスト(攻撃), 降下アップ EFFECT_FF07_Siva.bmp ブルー;降下アップ終了 EFFECT_FF07_Siva.bmp;吹雪
地獄の火炎(攻撃), 浮上アップ EFFECT_FF07_Efreet.bmp レッド;浮上アップ終了 EFFECT_FF07_Efreet.bmp;炎投射
裁きの雷(攻撃), 浮上アップ EFFECT_FF07_Ramuh.bmp レッド;浮上アップ終了 EFFECT_FF07_Ramuh.bmp;大放電
大地の怒り(攻撃), 浮上アップ EFFECT_FF07_Titan.bmp 背景なし;浮上アップ終了 EFFECT_FF07_Titan.bmp;地表衝撃波 イエロー
大海嘯(攻撃), 浮上アップ EFFECT_FF07_Leviathan.bmp ブルー;浮上アップ終了 EFFECT_FF07_Leviathan.bmp;ＭＡＰ津波
グングニルの槍(攻撃), Thunder.wav;浮上アップ EFFECT_FF07_Odein.bmp 背景なし;浮上アップ終了 EFFECT_FF07_Odein.bmp;実弾発射 Waepon\EFFECT_Spear01.bmp
斬鉄剣(攻撃), Thunder.wav;浮上アップ EFFECT_FF07_Odein.bmp 背景なし;浮上アップ終了 EFFECT_FF07_Odein.bmp
メガフレア(攻撃), 降下アップ EFFECT_FF07_Bahamut.bmp 背景なし;降下アップ終了 EFFECT_FF07_Bahamut.bmp;ＭＡＰ持続ビーム
トライディザスター(攻撃), 球電 相手ユニットＩＤ;凍結 相手ユニットＩＤ;粒子集中 赤 相手ユニットＩＤ;爆発 相手ユニットＩＤ;浮上アップ EFFECT_FF07_Kujata.bmp イエロー;浮上アップ終了 EFFECT_FF07_Kujata.bmp;ＭＡＰ地震
聖なる審判(攻撃), ＭＡＰ地震;浮上アップ EFFECT_FF07_Alexander.bmp 背景なし;浮上アップ終了 EFFECT_FF07_Alexander.bmp;交差ビーム ホワイト ホワイト
転生の炎(使用), 浮上アップ EFFECT_FF07_Phoenix.bmp レッド;浮上アップ終了 EFFECT_FF07_Phoenix.bmp;@戦闘アニメ_ＭＡＰ炎攻撃
ギガフレア(攻撃), 降下アップ EFFECT_FF07_BahamutCustom.bmp ホワイト;降下アップ終了 EFFECT_FF07_BahamutCustom.bmp;ＭＡＰ地震;ＭＡＰ持続ビーム
暗黒の釜(攻撃), 飛来アップ EFFECT_FF07_Hades.bmp ブラック;飛来アップ終了 EFFECT_FF07_Hades.bmp;煙噴射 黒
テラフレア(攻撃), ＭＡＰダークネス;飛来アップ EFFECT_FF07_BahamutZero.bmp ブラック;飛来アップ終了 EFFECT_FF07_BahamutZero.bmp;衛星ビーム EFFECT_FF07_BahamutZero.bmp ホワイト
天地崩壊(攻撃), 竜巻;飛来アップ EFFECT_FF07_Typhon.bmp ホワイト;飛来アップ終了 EFFECT_FF07_Typhon.bmp;ＭＡＰ強風;ＭＡＰ地震
アルティメットエンド(攻撃), ＭＡＰブラックホール;飛来アップ EFFECT_FF07_Knight'sOfRound.bmp ブラック;飛来アップ終了 EFFECT_FF07_Knight'sOfRound.bmp
必殺技！！(命中), 小爆発
ダイヤモンドダスト(命中), 凍結
地獄の火炎(命中), 炎
裁きの雷(命中), 落雷
大地の怒り(命中), @戦闘アニメ_ＭＡＰ地震攻撃
大海嘯(命中), 津波
グングニルの槍(命中), 大刺突
斬鉄剣(命中), 横大斬撃
メガフレア(命中), 爆発
トライディザスター(命中), ダメージ
聖なる審判(命中), @戦闘アニメ_ＭＡＰ地震攻撃;落下
転生の炎(命中), 回復魔法泡
ギガフレア(命中), 透明化;@戦闘アニメ_ＭＡＰフラッシュ攻撃;透明化 解除
暗黒の釜(命中), 煙 黒
テラフレア(命中), 超爆発
天地崩壊(命中), 強風;石弾
アルティメットエンド(命中), 斬撃乱舞;斬撃乱舞;クリティカル斬撃
