
#　　このアニメでは、ＳＲＣＨＰ汎用コーナーで戦闘アニメとして配布されているもの以外
#　に、以下のアイコンを使用しています。
#　　なお、もしも無くても、見た目がおかしい程度でエラーは出ないようです。
#
#　EFFECT_Bat.bmp
#　EFFECT_Worm.bmp
#　EFF_Ys_FaiaryTriangle.bmp
#　EFF_Ys_GoddesIllusion.bmp
#　Ys_PylusU.bmp
#　Ys_MiggunU.bmp
#　Ys_Pisckelu.bmp

イース
ロングソード, 剣
火炎, 炎
斧投擲, 両刃斧投擲
大斧, 両刃斧
電撃の腕, 球電
毒気, タックル
飛ぶ剣, クナイ;クナイ;クナイ;クナイ;クナイ;クナイ;クナイ;クナイ
衝撃波, シュートカッター グリーン
熱波, スーパータックル レッド
光球, 光球
結晶(攻撃), 周囲回転 EFFECT_LightningBall03.bmp 対象ユニットＩＤ
毒羽, 羽
踏みつぶし, 踏み潰し
つらら, つらら
火炎放射, 火炎放射
鉄球, 鎖鉄球
レーザー発射球, ４ＷＡＹ射出
爆撃(攻撃), @戦闘アニメ_爆発命中
ブラックホール, ＭＡＰブラックホール
熱線, 小ビーム レッド
水流, 津波
水弾, 泡
呑み込み, タックル
触手, 触手
火弾, 火炎弾
大火球, 炎投射
竜巻, 竜巻
闇弾, 重力弾
怪音波, 音波
鉄拳, 打突
ガス, 煙噴射
飛ぶ刃, 気斬
氷柱, 氷柱
隕石, 隕石
光の波, 波動放射 イエロー
全方位レーザー, ＭＡＰビーム
外周レーザー, 小ビーム レッド;小ビーム ブルー;小ビーム イエロー
外周レーザー, 小ビーム レッド;小ビーム ブルー
外周レーザー, 小ビーム レッド;小ビーム イエロー
外周レーザー, 小ビーム ブルー;小ビーム イエロー
暗黒弾, 重力弾
コアレーザー, 大ビーム
三妖精の呪縛, 実弾発射 EFF_Ys_FaiaryTriangle.bmp
拡散光弾, 拡散ビーム
黒鍵アルマリオン, 黒剣
ホーミングレーザー, ホーミングレーザー
光の衝撃, 急降下;ＭＡＰ発光 ホワイト;ＭＡＰオーラ ホワイト
ブレス, 火炎放射
腕, 打突
鱗粉, 粒子噴射
パイラス, 実弾発射 Ys_PylusU.bmp
回転攻撃, タックル
ミグン, 実弾発射 Ys_MiggunU.bmp
巨大な両腕, 打突
粘液, ＭＡＰ煙 緑
舌, 触手
透明化攻撃(攻撃), 透明化;タックル;透明化解除
ピスケル, 実弾発射 Ys_Pisckelu.bmp
針, ニードル
有翼人の幻影(攻撃), 決め画像 EFF_Ys_GoddesIllusion.bmp;ＭＡＰ波動放射
サンダーアックス, 片刃斧
グラディウス, ショートソード
ショートソード, ショートソード
神の指先, 音符
投げナイフ, ナイフ投げ
結界(攻撃), 周囲回転 Common\EFFECT_LightBall01.bmp
結界(命中), ダメージ
高速突き(攻撃), 発光 オレンジ;刺突突撃
高速突き(命中), 刺突突撃
光弾, 光球
二刀衝撃波, 波動放射 レッド
爆裂波, オーラ ホワイト
氷結波(攻撃), 小ビーム ブルー
氷結波(命中), 氷柱
追尾光弾, 光球;光球;光球;光球;光球;光球
火炎, 火炎放射
薙ぎ払う両腕(攻撃), ２ＷＡＹ射出;振動
薙ぎ払う両腕(命中), 連打
巨大剣, 巨大剣
レーザー発射球(攻撃), ８ＷＡＹ射出;ニードルレーザー連射
レーザー発射球(命中), ダメージ
降り注ぐ両腕(攻撃), 画像前面発射 Weapon\EFFECT_Punch01.bmp;画像前面発射 Weapon\EFFECT_Punch01.bmp
降り注ぐ両腕(命中), 連打
大地氷結, 氷柱
エネルギー球, 光球
異空間追放(攻撃), 魔法放射 ブラック
異空間追放(命中), 重力圧縮;@戦闘アニメ_降下アップ攻撃 Info(ユニット, Unit(対象ユニットＩＤ), グラフィック) ブラック;@戦闘アニメ_降下アップ終了攻撃 Info(ユニット, Unit(対象ユニットＩＤ), グラフィック) ブラック;オールレンジ
大剣, 大剣
火柱, 火柱
大鎌の斬撃(準備), 鎌
大鎌の斬撃(攻撃), なぎ払い;気斬
大鎌の斬撃(命中), 斬撃
飛行突進(準備), 瞬間変形 YS_Garland(Charge)U.bmp
飛行突進(攻撃), マップ移動タックル
飛行突進(命中), 大刺突
エネルギー波, 気斬 イエロー
三連火球, 火炎弾;火炎弾;火炎弾
回転突撃, スピンアタック レッド
熱線, 小ビーム レッド
誘導羽, 羽
誘導羽連射, 羽;羽;羽
旋風斬り, スピンアタック ブルー
氷弾の風(攻撃), 風;氷弾;氷弾;氷弾
氷弾の風(命中), 氷弾;氷弾;氷弾
氷柱, 氷柱
冷気のブレス, 吹雪
急降下(攻撃), 急降下
急降下(命中), 急降下;小爆発
叩き落し(攻撃), 飛びかかり
叩き落し(命中), 投げ飛ばし;落下;乱打
狼の群れ(攻撃), 狼;狼;狼;狼;狼;狼;狼;狼;狼;狼
狼の群れ(命中), 乱打

