
汎用
予備弾薬, 音再生 Reload.wav
飛び蹴り(攻撃), ジャンプ;振り下ろし
飛び蹴り(命中), 打撃
鉄拳, 打突
衝撃掌(攻撃), スーパーパンチ 白
衝撃掌(命中), 強打
日本刀, 日本刀
一刀両断(準備), 日本刀
一刀両断(攻撃), 振り下ろし
一刀両断(命中), 唐竹割り
当て身技(切り返し), @戦闘アニメ_発光準備 白 相手ユニットＩＤ
刀, 脇差
二刀流, 脇差 二刀流
三節根【連打】, 三節棍
三節根【連打】(命中), 連打
三節根【殴打】(準備), 三節棍
三節根【殴打】(攻撃), 斬撃乱舞;振り下ろし
三節根【殴打】(命中), 打撃
ハルバード【なぎ払い】(準備), ハルバード
ハルバード【なぎ払い】, なぎ払い
ハルバード【刺突】, ハルバード突撃
ハルバード【斬撃】, ハルバード
鞭, 鞭
ネット, ネット
槍, スピア
鉄鎖, 分銅
###軍隊###
アーミーナイフ, ナイフ
ショットガン, ショットガン
コンバットナイフ, ナイフ
拳銃, ピストル
アサルトライフル, マシンガン
狙撃用ライフル, ライフル _GetWPBN(対物ライフル) 64
水中銃, ピストル

軍用車両
機銃, 機関砲
戦車砲, キャノン砲
バルカンポッド, 重機関砲
ミサイルポッド, 小型ミサイル 4

動物
爪(攻撃), 斬撃
爪(命中), 爪撃
嘴(攻撃), 格闘
嘴(命中), 刺突
牙(攻撃), 格闘
牙(命中), 噛み付き
