
汎用
###盾###
シールド防御(華麗なマント捌き), マント
光の矢, ダブルビームライフル _GetWPBN(クロスボウ) 32 白 発光
後光(攻撃), フラッシュ 白
後光(命中), 発光 白
神雷, 落雷
天変地異(攻撃), 魔法放射 白
天変地異(命中), 石柱;飛沫 青 Splash.wav;炎;竜巻;落雷;吹雪
天罰(攻撃), 大落雷
天罰(命中), 光大噴出 白 Shock(Low).wav
チャーム, 音波
蔦縛り, 触手 緑
緑の手, 回復魔法泡
抱擁(水)(攻撃), 打撃突撃 Sharara.wav 
抱擁(水)(命中), 立ち固め Bubble.wav;飛沫 青 Splash.wav
渦巻, 竜巻 水色
炎の柱(準備), 大放電 赤 Charge.wav
炎の柱(攻撃), ＭＡＰフラッシュ 赤 Fire.wav
炎の柱(命中), 飛沫 赤 Acid.wav
かまいたち, シュートカッター 緑
粘液, 液体噴射 緑
木の葉の嵐, 木の葉乱舞
枝(攻撃), 白兵武器
枝(命中), 打撃 Whip.wav
蛇の尻尾(攻撃), なぎ払い
蛇の尻尾(命中), 打撃
くちばし, 刺突
毒の息, 煙噴射 黒
猛毒の血, 液体噴射 緑
視線, 持続ビーム 橙 EvilEye.wav
蹄, 踏み潰し
角(攻撃), ヘッドバット
角(命中), 大刺突
癒しの角,  回復魔法
ベアハッグ(攻撃), 白兵連撃
ベアハッグ(命中), 立ち固め Shock(low).wav
トゲ, ニードル連射
蛇, 蛇
締め付け, 立ち固め
噛み付き(攻撃), 格闘
噛み付き(命中), 噛み付き
巻き付き(攻撃), 格闘
巻き付き(命中), 立ち固め
巨大な身体(攻撃), タックル
巨大な身体(命中), 強打 Shock(Low).wav
飲み込み(攻撃), 格闘
飲み込み(命中), -
墨, 煙噴射 黒
鼻(攻撃), 白兵武器
鼻(命中), 強打
毒牙(攻撃), 格闘
毒牙(命中), 噛み付き
吸血牙(攻撃), 格闘
吸血牙(命中), 噛み付き;吸収
群体攻撃(攻撃), 竜巻 黒 Search.wav
群体攻撃(命中), 竜巻 黒 BeamSaber(5).wav
ハサミ, 斬撃 二刀流
毒針, 刺突
糸(攻撃), 実弾発射 -.bmp 有線 Whiz.wav
糸(命中), -
大岩, 岩
斧, 鋼の斧
怪力, タックル
言霊, -
冷たい手(攻撃), 打突
冷たい手(命中), 打撃 Wind.wav
鬼火(攻撃), 周囲回転 Fire\EFFECT_Fire(Red)01.bmp Fire.wav
鬼火(命中), 炎
骨の腕, なぎ払い
カマイタチの霊薬, 回復魔法泡
抱擁(氷)(攻撃), 打突 Storm.wav
抱擁(氷)(命中), 立ち固め Whiz.wav;凍結
幸運除去(攻撃), 発光 黒 相手ユニットＩＤ Snap(E).wav
幸運除去(命中), 煙 黒
尻尾(攻撃), なぎ払い
尻尾(命中), 打撃
突進, タックル
背ビレ(命中), 強打
のしかかり, 踏み潰し
地響き(攻撃), ＭＡＰ地震
地響き(命中), 地面衝撃 Shock(Low).wav
頭, アッパー
長い首(攻撃), 振り上げ
長い首(命中), 連続なぎ払い FightHit(2).wav
腐敗のブレス, 火炎放射 緑
###魔法###
ファイア, 炎投射
バーニング(攻撃), スーパータックル 赤 Fire.wav
バーニング(命中), 火柱
ブレイズ, 火柱
ゲイル, 風
ストーム, 旋風 白
ウォータ(攻撃), 気弾 Whiz.wav
ウォータ(命中), 飛沫 青 Splash.wav
アクア, 泡球
スプラッシュ, 津波
フラッシュ, ＭＡＰフラッシュ
シャイン(攻撃), 発光 白
シャイン(命中), 小ビーム 白 ランダム方向 Glass.wav
グラビティ(攻撃), 魔法放射 黄
グラビティ(命中), 強打
ストーンブラスト, 岩弾
ブリザード, 吹雪
ライトニング, 落雷
エクスプロージョン(攻撃), 粒子集中 赤
エクスプロージョン(命中), 大爆発
ダークネス, ＭＡＰフラッシュ 黒
シェイド, 光球 黒
ディストラクション, 光投射 黒
ダークフォース, 中ビーム 黒
カタストロフィ(攻撃), 重力弾
カタストロフィ(命中), 重力圧縮;連続爆発 4
デス(攻撃), 逆五芒星 黒
デス(命中), 炎 黒 Inori.wav
カース(攻撃), 逆五芒星 黒
カース(命中), 魔法集中 黒
ブライン(攻撃), 魔法放射 黒
ブライン(命中), 魔法集中 黒
ポイズン(攻撃), 逆五芒星 黒 
ポイズン(命中), 粒子集中 黒
スモッグ(攻撃), 煙噴射 黒 
スモッグ(命中), 煙 黒 Bubble.wav
スリープ(攻撃), 魔法放射 桃
スリープ(命中), 煙 桃
フィアー(攻撃), 重力弾
フィアー(命中), -
テラー, 重力弾
ホーリーライト, ＭＡＰフラッシュ
ターンアンデッド(攻撃), 羽
ターンアンデッド(命中), 光柱
ディヴァイン(攻撃), 中ビーム 白
ディヴァイン(命中), 中ビーム 白 Glass.wav
サンクチュアリー(攻撃), 魔法陣 白;発光 白
サンクチュアリー(命中), 光柱;飛沫 白
キュアー, 回復魔法

