あやかしびと
シールド防御(物体操作)(解説), $(ユニット)は周囲の物体を引き寄せて攻撃を防いだ！
水月(攻撃), 振る武器突撃 -.bmp;なぎ払い
水月(命中), 連続なぎ払い Slash(4).wav
一の太刀(準備), 粒子集中 白
一の太刀(攻撃), 振る武器突撃 -.bmp;振り下ろし
一の太刀(命中), 唐竹割り Warship.wav
神妙剣(準備), オーラ上昇 白
神妙剣(攻撃), @戦闘アニメ_転移 Whiz.wav
神妙剣(命中), 超斬撃
双身螺旋刃(準備), 粒子集中 黒
双身螺旋刃(攻撃), 振る武器突撃 -.bmp;連斬撃
双身螺旋刃(命中), 黒斬撃;黒斬撃
魔刃・焔螺子(準備), オーラ上昇 黒
魔刃・焔螺子(攻撃), スーパータックル 黒
魔刃・焔螺子(命中), スーパータックル 黒;風 Slash.wav;飛沫 赤 Inori.wav
機関砲, 重機関砲
名刀の爪(攻撃), 振る武器突撃 -.bmp
名刀の爪(命中), 爪撃 連続
大型ナパーム(攻撃), グレネード 2;グレネード 2
大型ナパーム(命中), 連続大爆発
名刀の牙(攻撃), 振る武器突撃 -.bmp
名刀の牙(命中), 噛み付き Roar.wav
ミサイル(攻撃), ミサイル 4;ミサイル 4
ミサイル(命中), 連続大爆発
キャノン砲(攻撃), 大キャノン砲 2;大キャノン砲 2
キャノン砲(命中), 連続大爆発
斬妖尾(準備), 粒子集中 白
斬妖尾(攻撃), スーパータックル 白
斬妖尾(命中), 連斬撃;凍斬撃 Explode(Nuclear).wav
言霊(攻撃), 音波
言霊(命中), 音波
言霊【MAP】(攻撃), 音波
言霊【MAP】(命中), 音波
文壱, 野太刀
霧狐(準備), 粒子集中 白
霧狐(攻撃), @戦闘アニメ_振る武器突撃攻撃 -.bmp;斬撃;振り上げ
霧狐(命中), 斬撃 二刀流
鋼獅子(準備), オーラ上昇 白
鋼獅子(攻撃), 振る武器突撃 -.bmp;振り下ろし
鋼獅子(命中), 超斬撃
文壱と鞘(準備), 野太刀
文壱と鞘(攻撃), 斬撃 二刀流
文壱と鞘(命中), 強打;斬撃
蛇絡(準備), Reload(4).wav;粒子集中 白
蛇絡(攻撃), 振る武器突撃 -.bmp;なぎ払い
蛇絡(命中), アッパー
地蜂乱刀(準備), 粒子集中 白
地蜂乱刀(攻撃), 振る武器突撃 -.bmp;連斬撃
地蜂乱刀(命中), 斬撃乱舞
蝦闇(準備), 粒子集中 白
蝦闇(攻撃), なぎ払い
蝦闇(命中), なぎ払い Sword.wav
キキーモラ(準備), 粒子集中 青
キキーモラ(攻撃), 触手 青 Swing(2).wav
キキーモラ(命中), 凍斬撃 Whip.wav
イースクラ・リーヴィエニ(準備), オーラ上昇 青
イースクラ・リーヴィエニ(攻撃), ＭＡＰビーム 青 Inori.wav
イースクラ・リーヴィエニ(命中), オールレンジ Slash(3).wav;Slash(3).wav
投げる(準備), 粒子集中 橙
投げる(攻撃), 石
投げる(命中), 強打
掴む(準備), 粒子集中 橙
掴む(攻撃), 振る武器突撃 -.bmp
掴む(命中), 投げ飛ばし
掴む(命中), ジャイアントスイング
掴む(命中), ブレーンバスター
掴む(命中), スーパーバックブリーカー
糸蜘蛛(攻撃), 振る武器突撃 -.bmp
糸蜘蛛(命中), 立ち固め BreakOff.wav 1
飛礫(攻撃), ＭＡＰ移動タックル 白 FastGun.wav
飛礫(命中), 連打 FastGun.wav
弾き(準備), 粒子集中 白 Evileye.wav
弾き(攻撃), @戦闘アニメ_転移 Whiz.wav
弾き(命中), ダメージ FightHit(1).wav
散華(攻撃), 振る武器突撃 -.bmp
散華(命中), 連打 Combo.wav
砕鬼(準備), 粒子集中 白
砕鬼(攻撃), スーパーパンチ 白
砕鬼(命中), 超打 Explode(Nuclear).wav
白狼(準備), オーラ上昇 白
白狼(攻撃), @戦闘アニメ_転移 Whiz.wav
白狼(命中), スーパータックル 白 Explode(Far).wav
霊木の弓, 弓矢
ポレヴィーク(準備), センタリング 対象ユニットＩＤ;粒子集中 橙
ポレヴィーク(攻撃), 発光 橙;石柱 橙
ポレヴィーク(命中), センタリング 相手ユニットＩＤ Earthquake.wav;ダメージ 橙 Crash.wav
モノリス(準備), 粒子集中 橙
モノリス(攻撃), 岩弾;岩弾
モノリス(命中), ダメージ 橙 Crash.wav
焔閻魔(準備), 粒子集中 赤
焔閻魔(攻撃), スーパーパンチ 赤
焔閻魔(命中), @戦闘アニメ_サマーソルト攻撃;超アッパー Shock(Low).wav
焔鎚(準備), 粒子集中 赤
焔鎚(攻撃), スーパーパンチ 赤
焔鎚(命中), @戦闘アニメ_スピンキック攻撃;ダメージ FightHit(1).wav;@戦闘アニメ_振り下ろし攻撃;ダメージ 赤 Shock(Low).wav
豪腕(攻撃), 振る武器突撃 -.bmp;斬撃
豪腕(命中), 超打
強酸(準備), 粒子集中 白
強酸(攻撃), 泡球 Bubble.wav
強酸(命中), 飛沫 白 Splash.wav
噛みつき(攻撃), 振る武器突撃 -.bmp
噛みつき(命中), 噛み付き Roar.wav
火炎(準備), 粒子集中 赤
火炎(攻撃), 火炎放射 Breath.wav
火炎(命中), 火炎放射 Breath.wav
雷撃(準備), 粒子集中 黄
雷撃(攻撃), 大電撃
雷撃(命中), 大放電
最後の尾(準備), 粒子集中 黒
最後の尾(攻撃), スーパータックル 黒
最後の尾(命中), 連斬撃;雷斬撃 Explode(Nuclear).wav
ハルピュイア(準備), 粒子集中 白
ハルピュイア(攻撃), @戦闘アニメ_リボルバー準備;光弾 白 Gun.wav
ハルピュイア(命中), 光弾 白 Explode(Far).wav;風 Slash.wav
死神鎌の防壁(準備), @戦闘アニメ_強風命中 Storm.wav
死神鎌の防壁(攻撃), -.wav
死神鎌の防壁(命中), 斬撃乱舞
二刀流(準備), Reload(4).wav
二刀流(攻撃), 振り上げ;振り下ろし
二刀流(命中), 振り上げ;振り下ろし
合わせ四刀(準備), Reload(4).wav
合わせ四刀(攻撃), 投剣;投剣
合わせ四刀(命中), 連斬撃
千手羅刹(準備), オーラ上昇 赤
千手羅刹(攻撃), 投剣;投剣
千手羅刹(命中), 唐竹割り;大刺突;@戦闘アニメ_振る武器突撃攻撃 -.bmp;大斬撃 二刀流;斬撃乱舞
二丁拳銃(準備), ピストル;ピストル
二丁拳銃(攻撃), ピストル;ピストル
二丁拳銃(命中), 銃弾;銃弾
トリガーハッピー(準備), ピストル;ピストル;オーラ上昇 赤;2;Reload.wav;2;Reload.wav;2;Reload.wav;2;Reload.wav;2;Reload.wav;ピストル
トリガーハッピー(攻撃), マシンガン Weapon\EFFECT_Revolver01.bmp Gun.wav 32;マシンガン Weapon\EFFECT_Revolver01.bmp Gun.wav 32;ＭＡＰ爆発
トリガーハッピー(命中), ヘビーマシンガン Gun(echo).wav
氷結(準備), 粒子集中 青
氷結(攻撃), 気弾 青 Storm.wav
氷結(命中), 凍結 Transform.wav
雪女(準備), 粒子集中 青
雪女(攻撃), ＭＡＰ氷弾 AntiAirMissile.wav
雪女(命中), 凍結 Transform.wav
火球(準備), 粒子集中 赤
火球(攻撃), 気弾 赤 MicroMissile.wav
火球(命中), 炎 Fire.wav
火車(準備), 粒子集中 赤
火車(攻撃), ＭＡＰ火炎弾 AntiAirMissile.wav
火車(命中), 大爆発
炎の氷柱(準備), 粒子集中 赤 Transform.wav
炎の氷柱(攻撃), 気斬 赤 Breath.wav
炎の氷柱(命中), 大刺突 赤;炎 Breath.wav
サバイバルナイフ, ナイフ
サブマシンガン, サブマシンガン
キキーモラ×２(準備), 粒子集中 青
キキーモラ×２(攻撃), 触手 青 Swing(2).wav
キキーモラ×２(命中), 凍斬撃 Whip.wav
イジェマッシ・ビソン, サブマシンガン
ドラグノフ, ボルトアクションライフル
攻撃無効化(六道隔壁), @戦闘アニメ_お札準備;@戦闘アニメ_ビームシールド発動 オレンジ 六道隔壁
魂帰封魄(準備), お札
魂帰封魄(攻撃), 振る武器突撃 -.bmp
魂帰封魄(命中), 打撃 Whip.wav;粒子集中 黒
五光(準備), お札
五光(攻撃), 魔法放射 白
五光(命中), 拡散ビームライフル 白
九十九火(準備), お札
九十九火(攻撃), 魔法放射 赤
九十九火(命中), 粒子集中 赤 Charge.wav;大放電 赤 Breath.wav
応急治療, 回復魔法
ジャンク・ハルバード, 片刃斧
火炎放射器, 火炎放射器
SPAS12, ショットガン
スタングレネード, 閃光手榴弾
カンフュール(攻撃), 振る武器突撃 -.bmp;連突
カンフュール(命中), 連突

飯塚薫
攻撃無効化, 結界 白 Storm.wav 死神鎌の防壁
