#### 銀河連邦警察 ------------------------------------------------------

宇宙刑事シャリバン
赤射, -
攻撃(対宇宙犯罪組織マクー), マクーの相手は、宇宙刑事に任せろ！
攻撃(対不思議界フーマ), イガ星も地球も、フーマの手に渡してたまるか！
攻撃(対不思議界フーマ), フーマの侵略は、なんとしてもここで食い止めてやる！
攻撃(対巨獣帝国), サタンゴースの思い通りにいくと思うな！
攻撃(対巨獣帝国), 巨獣を侵略の道具にするサタンゴースを、俺は許さん！！
攻撃(対ワーラー帝国), 勝負だ、ワーラー！！
攻撃(対ワーラー帝国), 水は動物たちの命の源だ！ 貴様たちに汚されてたまるか！
攻撃(対魔王サイコ), 魔王サイコ！！
攻撃(対魔王サイコ), 魔王サイコ！ 勝負っ！！
攻撃(対戦士サイコラー), 奴は化け物だ！ 俺に任せろ！！
攻撃(対ドクターポルター), ドクターポルター！！
攻撃(対ガイラー将軍), ガイラー！ 来いっ！！
攻撃(対軍師レイダー), レイダー！？
攻撃(対魔怪獣), マドーの化け物だ！
攻撃(対魔怪獣), いくぞ、魔怪獣！
攻撃(対魔怪獣ニメンビースト), 人間の姿形はコピーできても、心まではコピーできない！
攻撃(対マドー戦闘機), マドーの戦闘機だ！
攻撃(対ベンガルブラザーズ), ベンガルブラザーズか！ あの宇宙海賊の！
攻撃(対ベンガルブラザーズ), マドーが呼び寄せたのか…！ ベンガルブラザーズも！
攻撃(対逃亡者マリオ), 俺たちは血を分けた兄弟のはずだ！ あれは嘘だったのかマリオ！？
攻撃(対逃亡者マリオ), 俺はあんたを信じていた…！ 信じていたんだ！！
攻撃(対サン・ドルバ), サン・ドルバ！ お前の相手は俺だ！
攻撃(対バファローダブラー), バファローダブラー！ あの時の借りを返してやるぜ！
攻撃(対暗黒銀河女王), 暗黒銀河女王、今こそ決着をつけてやる！
攻撃(対マッドギャラン), これ以上、貴様に人の心を弄ばせるものか！
攻撃(対獣忍マクンバ), 貴様……動物たちの命も、人の命すらも平気で奪うのか！
攻撃(対テンタクル怪人), お前は多くの子供たちに悲しい思いをさせた！.俺の胸は、怒りで張り裂けそうだぜ！！
攻撃(対テンタクル怪人), 子供たちには何の罪もない！.それなのに、どうして苦しめるんだ！
攻撃(対オクトパス怪人), お前は多くの子供たちに悲しい思いをさせた！.俺の胸は、怒りで張り裂けそうだぜ！！
攻撃(対オクトパス怪人), 子供たちには何の罪もない！.それなのに、どうして苦しめるんだ！
攻撃(対デスター怪人), お前は多くの子供たちに悲しい思いをさせた！.俺の胸は、怒りで張り裂けそうだぜ！！
攻撃(対デスター怪人), 子供たちには何の罪もない！.それなのに、どうして苦しめるんだ！
攻撃(対アシュ), アシュの魂滅は、俺たち全員の使命だ！
攻撃(対クエスター), クエスター！ 今度は何が狙いだ！
攻撃(対チェーン星人), 本当の強さは、力でも頭脳でもない！ それを教えてやるぜ！
かけ声, 来たな！！
かけ声, いくぞっ！！
かけ声, どうなったって知らないぞ！
かけ声, 許さん！！
かけ声, いくぞっ！！
かけ声, 来いっ！！
かけ声, 俺はお前たちを許せない！ いくぞっ！！
かけ声, 何としても叩き出してやる！
かけ声, イガ星の再興は、俺の使命なんだ！
かけ声, さあ来いっ！
かけ声, 逃がさん！
かけ声(シャリバンクラッシュ), -
かけ声(超次元戦闘母艦グランドバース), 全速前進！
かけ声(高次元戦闘車シャリンガータンク), シャリンガータンク、発進！
かけ声(地中用戦闘車モグリラン), モグリラン、発進！
かけ声(対強敵), 父さん……力を貸してください！！
かけ声(対超能力), エスパーだ。相当な念力波を持っている！
かけ声(対宇宙犯罪組織マドー), さあ来い！ マドー！
かけ声(対宇宙犯罪組織マドー), 来たな！ マドー！
かけ声(対宇宙犯罪組織マドー), やっぱりマドーか！
かけ声(対宇宙犯罪組織マドー), マドー！ お前たちの勝手にはさせんぞ！
かけ声(対宇宙犯罪組織マドー), 人間に美しい心がある限り、マドーには負けやしない！！
かけ声(対宇宙犯罪組織マドー), マドー！ やはり貴様たちの仕業か！
かけ声(対宇宙犯罪組織マドー), マドー！！ 今度こそ容赦はしないぞ！！
かけ声(対宇宙犯罪組織マドー), なんとしても守らなきゃ！ マドーの手から！
かけ声(対宇宙犯罪組織マドー), マドーは俺が倒す！！
かけ声(対宇宙犯罪組織マクー), まだ懲りないようだな、マクー！
かけ声(対宇宙犯罪組織マクー), マクーの相手は、宇宙刑事に任せろ！
かけ声(対不思議界フーマ), イガ星も地球も、フーマの手に渡してたまるか！
かけ声(対不思議界フーマ), フーマの侵略は、なんとしてもここで食い止めてやる！
かけ声(対巨獣帝国), サタンゴースの思い通りにいくと思うな！
かけ声(対巨獣帝国), 巨獣を侵略の道具にするサタンゴースを、俺は許さん！！
かけ声(対ワーラー帝国), 勝負だ、ワーラー！！
かけ声(対ワーラー帝国), 水は動物たちの命の源だ！ 貴様たちに汚されてたまるか！
かけ声(対魔王サイコ), 魔王サイコ！！
かけ声(対魔王サイコ), 魔王サイコ！ 勝負っ！！
かけ声(対戦士サイコラー), 奴は化け物だ！ 俺に任せろ！！
かけ声(対ドクターポルター), ドクターポルター！！
かけ声(対ガイラー将軍), ガイラー！ 来いっ！！
かけ声(対軍師レイダー), レイダー！？
かけ声(対魔怪獣), マドーの化け物だ！
かけ声(対魔怪獣), いくぞ、魔怪獣！
かけ声(対魔怪獣ニメンビースト), 人間の姿形はコピーできても、心まではコピーできない！
かけ声(対マドー戦闘機), マドーの戦闘機だ！
かけ声(対ベンガルブラザーズ), ベンガルブラザーズか！ あの宇宙海賊の！
かけ声(対ベンガルブラザーズ), マドーが呼び寄せたのか…！ ベンガルブラザーズも！
かけ声(対逃亡者マリオ), 俺たちは血を分けた兄弟のはずだ！ あれは嘘だったのかマリオ！？
かけ声(対逃亡者マリオ), 俺はあんたを信じていた…！ 信じていたんだ！！
かけ声(対サン・ドルバ), サン・ドルバ！ お前の相手は俺だ！
かけ声(対バファローダブラー), バファローダブラー！ あの時の借りを返してやるぜ！
かけ声(対暗黒銀河女王), 暗黒銀河女王、今こそ決着をつけてやる！
かけ声(対マッドギャラン), これ以上、貴様に人の心を弄ばせるものか！
かけ声(対獣忍マクンバ), 貴様……動物たちの命も、人の命すらも平気で奪うのか！
かけ声(対テンタクル怪人), お前は多くの子供たちに悲しい思いをさせた！.俺の胸は、怒りで張り裂けそうだぜ！！
かけ声(対テンタクル怪人), 子供たちには何の罪もない！.それなのに、どうして苦しめるんだ！
かけ声(対オクトパス怪人), お前は多くの子供たちに悲しい思いをさせた！.俺の胸は、怒りで張り裂けそうだぜ！！
かけ声(対オクトパス怪人), 子供たちには何の罪もない！.それなのに、どうして苦しめるんだ！
かけ声(対デスター怪人), お前は多くの子供たちに悲しい思いをさせた！.俺の胸は、怒りで張り裂けそうだぜ！！
かけ声(対デスター怪人), 子供たちには何の罪もない！.それなのに、どうして苦しめるんだ！
かけ声(対アシュ), アシュの魂滅は、俺たち全員の使命だ！
かけ声(対クエスター), クエスター！ 今度は何が狙いだ！
かけ声(対チェーン星人), 本当の強さは、力でも頭脳でもない！ それを教えてやるぜ！
エルボーハンマー, エルボー・ハンマー！！
マグナムチョップ, マグナム・チョップ！！
シャリバンキック, シャリバン！ キック！！
シャリバンキック, シャリバン！ キィック！！
シャリバンキック, シャリバンキック！ ちゅうっ！！
シャリバンパンチ, シャリバンパーンチ！！
シャリバンパンチ, シャリバンパンチッ！！
スパークボンバー, スパァァーク！ ボンバーッ！！
スパークボンバー, スパーク！ ボンバーッ！！
スパークボンバー, スパーク・ボンバー！！ ちゅうっ！！
イガ獅子二刀流, 聖なる者よ！！
イガ獅子二刀流, 聖なる剣よ！ 守りたまえ！！
イガ獅子二刀流, 聖なる剣よ！！
イガ獅子二刀流, 導きたまえ……聖なる者よ！！
シャリバンクラッシュ, -
宇宙刑事連続斬り, -
モトシャリアンロケッター, モトシャリアン・ロケッター！
モトシャリアンビーム, モトシャリアン・ビーム！！
バースビーム, バースビーム！！
バースビーム, バース・ビーム！！
バースビーム, バース！ 破壊ビーム！！
バースビーム, ファイア！！
グランドバスター, グランドバスター！！
プラズマカノン, プラズマ・カノン！！
プラズマジェッター, プラズマカノン・タイプ２！.プラズマジェッター！！
シャリンガーロケッター, シャリンガーロケッター！
シャリンガーロケッター, シャリンガー・ロケッター！！
シャリンガーロケッター, ファイア！！
シャリンガービーム, ファイア！！
Ｓ・フォーメーション, セパレート・フォーメーション！！
モグリラン, モグリラン、発進！
モグリランロケッター, モグリラン・ロケッター！！
サポートアタック, ようし！ 俺も負けないぞ！
サポートアタック, あとは俺に任せろ！
サポートアタック(宇宙刑事ギャバン), 隊長を援護するんだ！
サポートアタック(宇宙刑事シャイダー), 連携だ、シャイダー！
サポートアタック(イガ戦士), 君たちだけではどうにもならない！
サポートアタック(ベル＝ヘレン), ヘレン、腕を上げたな！
サポートアタック(大山小次郎), なかなかいい根性してるなぁ、小次郎さん
サポートアタック(時空戦士スピルバン), スピルバン！ 力を合わせるんだ！
サポートガード, 大丈夫か？ 危なかったなぁ、おい
サポートガード, 俺が標的になる！ ここを動くな！
サポートガード, 放ってはおけないな！
サポートガード, 見殺しにするわけにはいかない！
サポートガード(人間), さあ、逃げるんだ！
サポートガード(宇宙刑事ギャバン), ギャバン隊長！！
サポートガード(宇宙刑事ギャバン), さあ、隊長！ 早く！
サポートガード(宇宙刑事シャイダー), シャイダー、俺に任せろ！
サポートガード(ミミー(ギャバン)), 何とかしなきゃ…！ このままでは、ミミーさんは！！
サポートガード(ミミー(ギャバン)), ミミーさん！ 大丈夫ですか！
サポートガード(宇宙刑事リリィ), リリィ、逃げるんだ！
サポートガード(宇宙刑事リリィ), リリィ、大丈夫か！
サポートガード(イガ戦士), 俺たちは同じイガ星人だ！ 血を分けた兄弟じゃないか！
サポートガード(ベル＝ヘレン), これ以上無茶はしないでくれ！
サポートガード(ベル＝ヘレン), 無理をするなよ、ヘレン！
サポートガード(ベル＝ヘレン), ヘレン！ 何をそんなに焦ってるんだ！
サポートガード(ベル＝ビリー), しっかりしろ、ビリー！
サポートガード(ベル＝ビリー), これ以上無茶はしないでくれ！
サポートガード(時空戦士スピルバン), スピルバン、焦るんじゃない！
変形(宇宙刑事シャリバン(モトシャリアン)), モトシャリアーーン！！
変形(宇宙刑事シャリバン(モトシャリアン)), モトシャリアンッ！！
変形(宇宙刑事シャリバン(モトシャリアン)), むんっ！ モトシャリアーーンッ！！
変形(超次元戦闘母艦グランドバース(ＢＢＦ)), バトルバース・フォーメーション！！
グランドバース, グランドバース！！
グランドバース, グランドバァァァァァス！！
シャリンガータンク, シャリンガー！ タァンクッ！！
混乱, うおおおおおっ！！
混乱, はああああっ！！

## 攻撃(対宇宙犯罪組織マドー), 貴様、マドーの手先か！
## ダメージ中(対盲属性), 目が、霞む……どうしたんだ……
## 回避(対味方), みんなしっかりしろ！！
## 攻撃(対味方), おい！ みんなどうしたんだ！？
## 攻撃(対味方), 目を覚ますんだ！




宇宙刑事リリィ
回避, ふっ！
回避, みすみす罠に飛び込みはしないわ！
回避, よかった…！
回避, 当たるわけないでしょ！
ダメージ小, 偶然だったんじゃない？
ダメージ小, 異常なし！
ダメージ小, どういうつもりかしら？
ダメージ小, よし、異常なし！
ダメージ中, さすがね！
ダメージ中, 何とかしないと……命が危ないわ！
ダメージ中, 何かしら…！？
ダメージ中, きゃあっ！？
ダメージ大, ダメーーっ！！
ダメージ大, おかしいわ…！
ダメージ大, こんなことって！？
ダメージ大, 私一人の手には負えないわ…！
破壊, きゃあぁぁーーっ！！
破壊, ごめんなさい、シャリバン…！
脱出, 今は撤退するしかないわ……
射程外, 気配がする！ 何かいるのかしら…？
射程外, 尻尾を出そうとしないわ…！
攻撃, はっ！
攻撃, えいっ！
攻撃, そこね！
攻撃, たあっ！
攻撃, そうよ！ 私は宇宙刑事リリィ！
攻撃, いくわよ！
攻撃, 接近させてはいけない！
攻撃, 食い止めなければ！
攻撃, 私は宇宙刑事よ！
攻撃(対宇宙犯罪組織マドー), マドー！
攻撃(対魔怪獣), あれはマドーの魔怪獣！
攻撃(対マドー戦闘機), 飛行物体をキャッチしたわ！
攻撃(高次元戦闘車シャリンガータンク), シャリンガータンク、発進！
攻撃(地底用戦闘車モグリラン), モグリラン、発進！
サポートアタック, 援護は任せて！
サポートアタック(宇宙刑事シャリバン), シャリバンを助けなきゃ！
サポートガード, 私が守らなくちゃ…！
サポートガード(宇宙刑事シャリバン), しっかりしてシャリバン！ 死なないで！
サポートガード(人間), さあみんな、逃げるのよ！
サポートガード(大山小次郎), 小次郎さんが心配だわ！
サポートガード(大山小次郎), 小次郎さん、早く！


#### 味方 ---------------------

ベル＝ヘレン
回避, 甘い！
回避, そうはいかないわ！
回避, いけるわ！ この調子よ！
回避, 宇宙戦士をみくびらないことね！
ダメージ小, 大丈夫よ、私は！
ダメージ小, それがなんだっていうの！
ダメージ小, 悪いけど、効いてないわ！
ダメージ小, こんな傷で、ぐずぐずしてられない！
ダメージ中, 私は戦士よ。これくらいの傷の１つや２つ！
ダメージ中, どうしたのかしら、私…！
ダメージ中, あの敵、ものすごい腕だわ…！
ダメージ中, 油断したつもりはないのに…！
ダメージ大, 私はどんな拷問にも耐えたわ！ これくらいで！
ダメージ大, ああっ！？ そんな！？
ダメージ大, こんな恐ろしい奴がいたというの…！？
ダメージ大, 死ねないわ…！ あの旗を、イガ星に立てるまでは！
ダメージ大(対宇宙犯罪組織マドー), 今の私の実力では、マドーには歯が立たない…！
破壊, シャリバン……ごめんね……
破壊, ビリー…！ ジム…！ 私……
脱出, 鍛えなきゃ…！ もっともっと！
脱出, 迷惑ばかりかけてしまって…！
射程外, 何者！？
攻撃, やあっ！！
攻撃, はっ！！
攻撃, てやっ！！
攻撃, 逃がさない！
攻撃, これでどう！
攻撃, ここは私に任せて！
攻撃, シャリバンの足手まといにはならない！
攻撃, 私は……もう当たり前の女の子には戻れないのよ！
攻撃, イガ星再興のために！
攻撃(対宇宙犯罪組織マドー), 私、戦う！ マドーと！
攻撃(対宇宙犯罪組織マドー), マドーを倒したい！ １日も早く！
攻撃(対魔怪獣ドールビースト), どうしてあの人形が…！ 私の人形が…！ どこから…！？
攻撃(対新帝国ギア), メカ人間たちをこのままのさばらせてはおけない！
サポートアタック, お役に立てて嬉しいわ！
サポートアタック(宇宙刑事シャリバン), シャリバン！ 助太刀するわよ！
サポートアタック(宇宙刑事シャリバン), ありがとう、シャリバン！
サポートアタック(宇宙刑事リリィ), 感謝します、リリィさん！
サポートガード, 危ないっ！！
サポートガード(ベル＝ビリー), ビリー！ 逃げて！



ベル＝ビリー
回避, 軽い軽い！
回避, お前に用はねえよ！
回避, ほらっ、どうしたどうした！
回避, 尻尾巻いてさっさと帰ったらどうだ！
回避(対宇宙犯罪組織マドー), 軽い軽い！ マドーなんて大したことねえな！
ダメージ小, 抜かしやがって！
ダメージ小, あんまり俺たち姉弟を甘く見るんじゃないぜ！
ダメージ小, 無視して突っ込むんだ！
ダメージ小, 効きゃあしないぜ、そんなもの！
ダメージ中, こいつは思ったより手強い！
ダメージ中, くそっ！ 味なことやってくれるぜ！
ダメージ中, この野郎！ すぐに借りは返してやる！
ダメージ中, おわっ！？ こんな奴にやられてたまるか！
ダメージ大, バカな！？
ダメージ大, うっ！？ うわっ！？
ダメージ大, しまった…！ 思ったりより傷が深いぜ…！
ダメージ大, ちくしょう…！ こんな所で死んでたまるか！
破壊, 兄貴……姉さんを……
射程外, あいつ！ どこから攻めてくるんだ！？
射程外, くそっ！ 戦えない！
攻撃, とぅっ！！
攻撃, とあっ！！
攻撃, さあ蹴散らしてやろうぜ！
攻撃, 俺たち姉弟で戦ってみせる！
攻撃, こいつを叩き込んでやる！
攻撃, かかってきやがれ！
攻撃, 俺がぶっ飛ばしてやる！
攻撃, 行くんだ、イガ星へ！！
攻撃(対宇宙犯罪組織マドー), マドー！
攻撃(対宇宙犯罪組織マドー), マドーは俺と姉さんでやっつけてやる！
攻撃(対魔怪獣), 魔怪獣だ！
攻撃(対デスター怪人), 子供いじめしかできない連中に、負けるもんかよ！
サポートアタック, いつでも助太刀してやるぜ！
サポートアタック(宇宙刑事シャリバン), 兄貴！ 援護は任せてくれ！
サポートアタック(宇宙戦士リタ(シャリバン)), おせっかいなオバさんだぜ！
サポートガード, いつでも助太刀してやるぜ！
サポートガード(宇宙刑事シャリバン), 兄貴を助けるんだ！
サポートガード(宇宙刑事シャリバン), 同じ星の人間だろ。兄貴と同じさ



イガ・クリスタル親衛隊(ザコ)
回避, 来るな！
回避, はっ！
回避, ついてきな！
回避, 当たるもんか！
ダメージ小, 平気だよ！
ダメージ小, 効くもんかい！
ダメージ小, どういうつもりだい？
ダメージ中, 手強い奴だ…！
ダメージ中, あっ！ 何するんだよ！
ダメージ中, あうっ！ やられるもんか！
ダメージ大, ああっ！ シャリバーーン！！
ダメージ大, きゃあーっ！ 助けてーーっ！！
ダメージ大, ああぁーーっ！？ 誰かぁぁーっ！
破壊, きゃあぁぁーーっ！！
破壊, シャリバーーンっ！！
破壊, 聖なる者は味方してくれなかったわ…！
射程外, 誰だ！？
攻撃, 守るのよ、イガ・クリスタルを！
攻撃, やあっ！
攻撃, えいっ！
攻撃, はあっ！
攻撃(対魔怪獣), マドーの怪物！
攻撃(対宇宙犯罪組織マドー), マドーにイガ・クリスタルを渡しちゃいけない！
サポートアタック, あたしたちも一緒にいくよ！
サポートガード, しっかりして！ しっかり！
サポートガード, 大丈夫かい？


宇宙戦士(シャリバン)(ザコ)
回避, なめるな！
回避, やられはしない！
回避, 我々とて力をつけてきたんだ！
回避, イガ星にたどりつくまでは死ねないな！
ダメージ小, 敵は及び腰だ！
ダメージ小, いいぞ、このまま進め！
ダメージ小, 勝利は我らイガ戦士団にある！
ダメージ小, このイガ星再興の気運、誰にも阻めるものか！
ダメージ中, このっ！ 負けるものか！
ダメージ中, 志半ばで散った同志たちを思えば、この程度！
ダメージ中, くそっ！ だが我々だって、簡単にはやられない！
ダメージ中, この足でイガ星に立つまでは、どんな苦難にも耐えてみせる！
ダメージ中(対宇宙犯罪組織マドー), 我々は死なん！ 宇宙の悪魔、マドーを倒すまではな！
ダメージ大, 勝利を信じるんだ…！
ダメージ大, ここまで来たんだ……死ねるものか！
ダメージ大, イガ・クリスタルよ…！ どうか我らを！
ダメージ大, 私が倒れても、イガ星再興の志は決して倒れない！
破壊, 仲間たちよ、すまない…！
破壊, シャリバン…！ 後は頼む！！
射程外, 手の出しようがないのか…！
攻撃, でやぁーっ！！
攻撃, いやぁぁーーっ！！
攻撃, 俺たちも信じよう！
攻撃, 未来は我々、若者のものだ！
攻撃, 命は惜しくありません！
攻撃, 我々には夢がある！
攻撃, Ｚ旗に集った同志の結束を見よ！
攻撃, シャリバンに負けていられないぞ！
攻撃, 宇宙全土の兄弟に誓う！ この戦いの勝利を！
攻撃(対宇宙犯罪組織マドー), 命を懸けてもマドーを倒す！
攻撃(対宇宙犯罪組織マドー), 打倒マドーはもうすぐそこなんだ！
サポートアタック, 助太刀する！
サポートアタック(宇宙刑事シャリバン), シャリバンに続くんだ！
サポートガード, 見捨てるものか！
サポートガード(宇宙刑事シャリバン), くじけるな、シャリバン！


#### 宇宙犯罪組織マドー ----------------------------------------------------

魔王サイコ
回避, 馬鹿め……
回避, どうだ……
回避, 人間どもを支配するのは容易い……
回避, 人間同士の醜い争いが広まれば、征服は容易い……
回避(対宇宙刑事), 宇宙刑事とてわしには勝てぬ……
回避(対宇宙刑事シャリバン), お前の負けだ、シャリバン……
回避(対軍師レイダー), 予想通りだ！ 裏切り者め！
ダメージ小, 勝利は我がマドーにあり……
ダメージ小, 心に愛と優しさを持った者は野獣には勝てぬ……
ダメージ小, うろたえるな……我がマドーの計画にいささかの狂いもなし……
ダメージ小, 地球は我らが征服したも同然だ……
ダメージ小, マドーは不滅だ……
ダメージ小(対宇宙刑事), 宇宙刑事とて、この魔王には及ばん……
ダメージ小(対宇宙刑事シャリバン), シャリバンに踏み込まれたくらいでおたおたするな……
ダメージ中, このまま殺すには惜しい者だ……
ダメージ中, なに…！？ またしてもあいつらが、マドーに楯突きおるのか！
ダメージ中, 奴らの抹殺を急げ…！
ダメージ中, 早く始末して、マドー帝国を打ち立てねば……
ダメージ中, 見事な腕前だ……
ダメージ中, 面白い…！
ダメージ中(対宇宙刑事), なに……宇宙刑事めが……
ダメージ中(対宇宙刑事), こしゃくな小僧め…！ わしを何だと思っておる！！
ダメージ中(対宇宙刑事シャリバン), いつまでシャリバンをのさばらせておくのだ……
ダメージ中(対宇宙刑事シャリバン), シャリバンめを食い止めねば…！
ダメージ中(対軍師レイダー), 裏切り者……！！
ダメージ大, この魔王サイコをここまで追い込んだ手並み、見事だ……
ダメージ大, とどめを刺すべきだったぞ……
ダメージ大, このわしが倒れぬ限り、マドーは永遠不滅…！
ダメージ大, 実に強力なパワー…！ だがそれも無駄なこと……
ダメージ大, この戦闘能力…！ わしの人工頭脳にも分析不可能だ…！
ダメージ大(対宇宙刑事), よくも我がマドーを…！ 宇宙刑事め…！！
ダメージ大(対宇宙刑事シャリバン), クァァァ…！ シャリバンめ……このままでは済ませないぞ……
ダメージ大(対軍師レイダー), やめろレイダー……！！
破壊, ガ、ガ、ガ、ガ、グァァォォォ！！！！
射程外, 何者だ……
攻撃, クァォォォ…！！
攻撃, 邪魔者は消すのみ……
攻撃, 地球をマドーの黒い血で塗り込めよ……
攻撃, 地球侵略を開始するのだ……
攻撃, 今度こそ抹殺せよ……
攻撃, 即、抹殺！！
攻撃, 奴らが絶滅すれば、我がマドーの世界……
攻撃, これ以上嗅ぎ付けられないためにも、抹殺せよ……
攻撃, 歓迎の宴を開くのだ…！
攻撃, 殺してもよい……攻めろ！
攻撃, 殺戮のハリケーンを巻き起こすのだ！
攻撃, 人間社会を愛と信頼のない化石の荒野にしてしまえ！
攻撃, 幻夢城を見た者は、生きて帰すわけにはいかん……
攻撃, ハハハハハハハ……ハハハハハハハ…！！
攻撃, その力を見せてみよ！
攻撃, 八つ裂きの刑にしろ！
攻撃, お前たちは永久に幻夢界から出られない……
攻撃, お前たちの負けだ！！ クァォォォ…！！
攻撃(対宇宙刑事), 宇宙刑事を片付けることなど、訳はない……
攻撃(対宇宙刑事), 長年の恨み晴らす時が来た…！
攻撃(対宇宙刑事), この際、二人とも始末してくれる！！
攻撃(対宇宙刑事), 来たか小僧ども……生きては帰れんぞ……
攻撃(対宇宙刑事シャリバン), シャリバンめを抹殺せぬ限り、マドーの発展は無い……
攻撃(対宇宙刑事シャリバン), シャリバンめを抹殺せぬ限り、いかなる計画も危険がつきまとう……
攻撃(対宇宙刑事シャリバン), にっくきシャリバンめ……即刻、抹殺！！
攻撃(対宇宙刑事シャリバン), シャリバンめが憎い…！ 何としてもシャリバンめを……
攻撃(対宇宙刑事シャリバン), シャリバン、敗れたり…！ クァォォォ…！！
攻撃(対宇宙刑事シャリバン), すべて思い通り叶った……残るはシャリバン！
攻撃(対宇宙刑事ギャバン), ギャバン…！ シャリバンともども地獄に落ちよ……
攻撃(対宇宙刑事シャイダー), シャイダーの末路は決まった……クァォォォ！！
攻撃(対超次元戦闘母艦グランドバース), グランドバースがズタズタになるぞ……
攻撃(対超次元戦闘母艦グランドバース), グランドバースが木端微塵になるのを早く見たい……
