
ファイアーエムブレム
マーニ・カティ(命中), 2;Swing.wav;Slash.wav
ミィル(命中), Drill.wav
ルナ(準備), BeamSaber.wav
ルナ, Charge(high).wav
ルナ(命中), BeamCoat.wav
イクリプス(準備), Hide.wav
イクリプス, Charge(high).wav
イクリプス(命中), Crash.wav
リザイア(準備)(対瀕死), EvilEye.wav
リザイア, BeamSaber.wav
リザイア(命中), 3;BeamShot.wav;BeamCoat.wav
ノスフェラート(準備), Fire.wav
ノスフェラート, MultipleRocketLauncher(Light).wav
ノスフェラート(命中), Crash.wav
ゲスペンスト(準備), 3;Thunder.wav;Thunder.wav
ゲスペンスト, BeamShot.wav
ゲスペンスト(命中), Explode(Nuclear).wav
エレシュキガル(準備), GunPod.wav
エレシュキガル, FlyBy.wav
エレシュキガル(命中), Explode(Nuclear).wav
ライブの杖, Sharara.wav;3;精神コマンド\kakuran[01-04].bmp 32 32 - - 透過;Clear
リライブの杖, Sharara.wav;3;精神コマンド\kakuran[01-04].bmp 48 48 - - 透過;Clear
リカバーの杖, Sharara.wav;3;精神コマンド\kakuran[01-04].bmp 64 64 - - 透過;Clear
リブローの杖, Sharara.wav
おどる, Sharara.wav
奏でる, Sharara.wav
ニニスの守護, Flair.wav
ファーラの力, Fire.wav
トォルの怒り, Thunder.wav
セチの祈り, Whiz.wav
烈火の剣デュランダル(準備), Glass.wav;1;White.bmp 480 480;Clear
天雷の斧アルマーズ(準備), Glass.wav;1;White.bmp 480 480;Clear
灼熱のブレス(準備), AntiShipMissile.wav
灼熱のブレス, Breath.wav
灼熱のブレス×２(準備), AntiShipMissile.wav
灼熱のブレス×２, MicroMissile.wav


汎用
デュランダル(準備), Glass.wav;1;White.bmp 480 480;Clear
デュランダル, -.wav
デュランダル(命中), 2;Swing.wav;Slash.wav
マルテ(準備), Glass.wav;1;White.bmp 480 480;Clear
マルテ, -.wav
マルテ(命中), 2;Swing.wav;Stab.wav
アルマーズ(準備), Glass.wav;1;White.bmp 480 480;Clear
アルマーズ, -.wav
アルマーズ(命中), 2;Swing.wav;Stab.wav
ミュルグレ(準備), Glass.wav;1;White.bmp 480 480;Clear
ミュルグレ, Bow.wav
ミュルグレ(命中), 2;Beam.wav;Stab.wav
フォルブレイズ(準備)(対瀕死), EvilEye.wav;1;White.bmp 480 480;Clear;AntiShipMissile.wav
フォルブレイズ(準備), Glass.wav;1;White.bmp 480 480;Clear;AntiShipMissile.wav
フォルブレイズ, MultipleRocketLauncher(Light).wav
フォルブレイズ(命中), MicroMissile.wav
アーリアル(準備), Glass.wav;1;White.bmp 480 480;Clear
アーリアル, Hittyuu.wav
アーリアル(命中), 3;Flair.wav;MicroMissile.wav
アポカリプス(準備), Glass.wav;1;White.bmp 480 480;Clear;Charge(long).wav
アポカリプス, Storm.wav
アポカリプス(命中), MicroMissile.wav

