ディスガイア
ヴァジュラ, ソード
火竜撃(命中), 連続爆発;超爆発
火炎柱(攻撃), 炎 対象ユニットＩＤ;2;-.wav;ＭＡＰ大爆発
火炎柱(命中), ダメージ Explode.wav
炎魔砲(準備), 粒子集中 赤
炎魔砲(攻撃), 火炎放射 Storm.wav
炎魔砲(命中), 火炎放射 Storm.wav
炎帝の舞(準備), 粒子集中 赤
炎帝の舞(攻撃), 炎 対象ユニットＩＤ;魔法放射 大
炎帝の舞(命中), 超爆発
勇者の剣, ソード
勇者ギャラクシー(準備), ソード
勇者ギャラクシー(攻撃), 斬撃;光球 PiyoPiyo.wav
勇者ギャラクシー(命中), 飛沫 黄 UnitOn.wav
勇者スラッシュ(準備), ソード
勇者スラッシュ(攻撃), 斬撃
勇者スラッシュ(命中), 大斬撃 Slash.wav
ロッド, スタンロッド
正義アタック(準備), 発光 白;スタンロッド
正義アタック(攻撃), 白兵武器
正義アタック(命中), 強打;爆発
聖書(準備), 本
聖書(攻撃), 白兵武器
聖書(命中), 強打
天誅(攻撃), 地表衝撃波 赤
天誅(命中), 飛沫 赤 Shock(Low).wav
裁きの雷(攻撃), 破壊光線 Thunderbolt.wav
裁きの雷(命中), 破壊光線
衝撃波(攻撃), 魔法放射 白
衝撃波(命中), 飛沫 白 Shock(Low).wav
天罰(攻撃), 魔法放射 白
天罰(命中), 氷柱 Ice.wav;飛沫 白 Crash.wav;飛沫 白 Crash.wav;飛沫 白 Explode.wav
破滅の祈り(準備), 魔法陣 白;翼 二刀流
破滅の祈り(攻撃), 衛星ビーム 白 -.bmp
破滅の祈り(命中), 超爆発
魔剣(準備), 巨大剣
魔剣(攻撃), 斬撃
魔剣(命中), 大斬撃
ソードレイン(攻撃), 実弾発射 Weapon\EFFECT_Estoc01.bmp 32 AntiShipMissile.wav;実弾発射 Weapon\EFFECT_Estoc01.bmp 32 AntiShipMissile.wav
ソードレイン(命中), 超爆発 Explode(Nuclear).wav
グランソード(攻撃), オーラ上昇 黒 AntiShipMissile.wav
グランソード(命中), アッパー Explode(Nuclear).wav
バトルアックス, 両刃斧
岩石くだき(準備), 両刃斧
岩石くだき(攻撃), 振り下ろし;急降下
岩石くだき(命中), 急降下;唐竹割り
かぶと割り(準備), 両刃斧
かぶと割り(攻撃), なぎ払い
かぶと割り(命中), 横大斬撃 Crash.wav;1;-.wav;@戦闘アニメ_急降下攻撃;急降下 Crash.wav
ロングスピア, スピア
落下星(準備), スピア
落下星(攻撃), 急降下
落下星(命中), 急降下;大爆発
飛雷針(準備), スピア
飛雷針(攻撃), 急降下
飛雷針(命中), 急降下;雷斬撃 Thunderbolt.wav
格闘, 打突
猛虎爆進拳, スーパーパンチ 赤
獣王無尽, スーパータックル乱舞 青
三連激(攻撃), 連打
三連激(命中), 連打 FightHit(2).wav
獅子王波(準備), 粒子集中 白
獅子王波(攻撃), 大ビーム 白
獅子王波(命中), 大ビーム 白
ファイア(攻撃), 魔法放射 赤 Beamshot.wav
ファイア(命中), 炎
メガファイア(攻撃), 魔法放射 赤 Beamshot.wav
メガファイア(命中), 炎;大爆発
ギガファイア(攻撃), 魔法放射 赤 Beamshot.wav
ギガファイア(命中), @戦闘アニメ_炎打ち下ろし攻撃;超爆発
クール(攻撃), 魔法放射 青
クール(命中), 凍結 Ice.wav
メガクール(攻撃), 魔法放射 青
メガクール(命中), 氷柱 Ice.wav
ギガクール(攻撃), 魔法放射 青
ギガクール(命中), 氷柱 Ice.wav;飛沫 白
ウインド(攻撃), 魔法放射 緑
ウインド(命中), 強風
メガウインド(攻撃), 魔法放射 緑
メガウインド(命中), 旋風 緑
ギガウインド(攻撃), 魔法放射 緑
ギガウインド(命中), 旋風 緑;落下
RQ22コモン, ピストル
RQ44マグナム, ピストル
三連星射(準備), ピストル
三連星射(攻撃), ピストル;ピストル;ピストル
三連星射(命中), 連続爆発
零距離バスター(準備), ピストル
零距離バスター(攻撃), 大ビーム 白
零距離バスター(命中), 大ビーム 白
狩人の弓, 弓矢
ポイズンアロー(準備), 弓矢
ポイズンアロー(攻撃), 弓矢
ポイズンアロー(命中), 粒子噴射 黒 AntiShipMissile.wav
ダークフラッシュ(準備), 弓矢
ダークフラッシュ(攻撃), 粒子集中 白;弓矢
ダークフラッシュ(命中), 弓矢;飛沫 白 Explode.wav
ムラマサソード, 日本刀
風車斬り(準備), 日本刀
風車斬り(攻撃), 斬撃;実弾発射 Anime\Common\EFFECT_SonicBoom(Green)02.bmp Whiz.wav
風車斬り(命中), 斬撃
竜巻破裏剣(準備), 日本刀
竜巻破裏剣(攻撃), 旋風 緑;振り下ろし
竜巻破裏剣(命中), 旋風 緑;唐竹割り Crash.wav
魔力のつるぎ, ソード
一文字スラッシュ, ソード突撃
悪魔の斧, 呪斧
大地裂き(準備), 両刃斧
大地裂き(攻撃), 急降下
大地裂き(命中), 急降下;3;-.wav;石柱 Crash.wav;飛沫 橙 Explode.wav
乱れ散り花(準備), 呪斧
乱れ散り花(攻撃), 斬撃乱舞
乱れ散り花(命中), 斬撃乱舞 Crash.wav
RQ57ドラゴン, ピストル
シルバーアーム, 格闘
シルバーアックス, 銀の斧
光の弓, 弓矢
風神の槍, スピア
スター(攻撃), 魔法放射 桃
スター(命中), 発光 桃
メガスター(攻撃), 魔法放射 桃
メガスター(命中), @戦闘アニメ_光打ち下ろし攻撃 桃;飛沫 桃
ギガスター(攻撃), 魔法放射 桃
ギガスター(命中), 光柱
ゾンビドリル, ドリル
ゾンビ汁(命中), 飛沫 緑 Splash.wav
ゾンビ竜巻(攻撃), ＭＡＰ変形移動タックル Common\EFFECT_Tornado01.bmp 白
ゾンビ竜巻(命中), ダメージ
ゾンビ砲(攻撃), キャノン砲 3
ゾンビ砲(命中), 連続爆発
ピクシーマジック(攻撃), 魔法放射 桃
ピクシーマジック(命中), 周囲回転 Event\スペシャルパワー\captivation02.bmp Sharara.wav
サンダーマジック(攻撃), 落雷;落雷;落雷
サンダーマジック(命中), 飛沫 黄 Thunderbolt.wav
ボムマジック(攻撃), 超自爆
ボムマジック(命中), 爆発
アイスマジック(攻撃), 魔法放射 白;3;-.wav;打ち下ろし Anime\Common\EFFECT_Iceburg01.bmp Whiz.wav
アイスマジック(命中), 飛沫 白 Crash.wav
ソウルイーター, 吸収
ミニマム, 踏み潰し
キャノンボール(準備), 粒子集中 赤
キャノンボール(攻撃), 光球 赤
キャノンボール(命中), 超爆発
ポイズンテール, 刺突
獣王スラッシュ, 斬撃突撃
かぶりつき(準備), 炎
かぶりつき(攻撃), スーパータックル 赤
かぶりつき(命中), スーパータックル 赤 Explode.wav
ゴーレム砲(攻撃), 大キャノン砲
ゴーレム砲(命中), 超打 Explode.wav;火柱
ゴーレムダンク(攻撃), 格闘
ゴーレムダンク(命中), 投げ飛ばし Explode.wav
ゴーレムビーム(攻撃), 音波
ゴーレムビーム(命中), 音波;大爆発
ドラゴンキック, スーパーキック
クールブレス, 火炎放射 白 Breath.wav
ブルーノヴァ(攻撃), 火炎弾 青 Cannon.wav;火炎弾 青 Cannon.wav;火炎弾 青 Cannon.wav
ブルーノヴァ(命中), 飛沫 青 Explode.wav
