汎用
レインドロップ, ２連水流 水色
クレヨンペン(命中), 「茶色！」;@戦闘アニメ_リングビーム攻撃 オレンジ;リングビーム オレンジ Charge(High).wav
クレヨンペン(回避), 「赤！」;@戦闘アニメ_リングビーム攻撃 赤
クレヨンペン(回避), 「青！」;@戦闘アニメ_リングビーム攻撃 青
クレヨンペン(回避), 「水色！」;@戦闘アニメ_リングビーム攻撃 水色
クレヨンペン(回避), 「黄色！」;@戦闘アニメ_リングビーム攻撃 黄色
クレヨンペン(回避), 「緑！」;@戦闘アニメ_リングビーム攻撃 緑
クレヨンペン(回避), 「草色！」;@戦闘アニメ_リングビーム攻撃 緑
クレヨンペン(回避), 「ピンク！」;@戦闘アニメ_リングビーム攻撃 ピンク
クレヨンペン(回避), 「黒！」;@戦闘アニメ_リングビーム攻撃 黒
クレヨンペン(回避), 「灰色！」;@戦闘アニメ_リングビーム攻撃 黒
クレヨンペン(回避), 「白！」;@戦闘アニメ_リングビーム攻撃 白
クレヨンペン(回避), 「オレンジ！」;@戦闘アニメ_リングビーム攻撃 オレンジ
クレヨンペン(回避), 「茶色！」;@戦闘アニメ_リングビーム攻撃 オレンジ
クレヨンペン(阻止), 「赤！」;@戦闘アニメ_リングビーム攻撃 赤
クレヨンペン(阻止), 「青！」;@戦闘アニメ_リングビーム攻撃 青
クレヨンペン(阻止), 「水色！」;@戦闘アニメ_リングビーム攻撃 水色
クレヨンペン(阻止), 「黄色！」;@戦闘アニメ_リングビーム攻撃 黄色
クレヨンペン(阻止), 「緑！」;@戦闘アニメ_リングビーム攻撃 緑
クレヨンペン(阻止), 「草色！」;@戦闘アニメ_リングビーム攻撃 緑
クレヨンペン(阻止), 「ピンク！」;@戦闘アニメ_リングビーム攻撃 ピンク
クレヨンペン(阻止), 「黒！」;@戦闘アニメ_リングビーム攻撃 黒
クレヨンペン(阻止), 「灰色！」;@戦闘アニメ_リングビーム攻撃 黒
クレヨンペン(阻止), 「白！」;@戦闘アニメ_リングビーム攻撃 白
クレヨンペン(阻止), 「オレンジ！」;@戦闘アニメ_リングビーム攻撃 オレンジ
クレヨンペン(阻止), 「茶色！」;@戦闘アニメ_リングビーム攻撃 オレンジ
クレヨンペン(攻撃無効化), 「赤！」;@戦闘アニメ_リングビーム攻撃 赤
クレヨンペン(攻撃無効化), 「青！」;@戦闘アニメ_リングビーム攻撃 青
クレヨンペン(攻撃無効化), 「水色！」;@戦闘アニメ_リングビーム攻撃 水色
クレヨンペン(攻撃無効化), 「黄色！」;@戦闘アニメ_リングビーム攻撃 黄色
クレヨンペン(攻撃無効化), 「緑！」;@戦闘アニメ_リングビーム攻撃 緑
クレヨンペン(攻撃無効化), 「草色！」;@戦闘アニメ_リングビーム攻撃 緑
クレヨンペン(攻撃無効化), 「ピンク！」;@戦闘アニメ_リングビーム攻撃 ピンク
クレヨンペン(攻撃無効化), 「黒！」;@戦闘アニメ_リングビーム攻撃 黒
クレヨンペン(攻撃無効化), 「灰色！」;@戦闘アニメ_リングビーム攻撃 黒
クレヨンペン(攻撃無効化), 「白！」;@戦闘アニメ_リングビーム攻撃 白
クレヨンペン(攻撃無効化), 「オレンジ！」;@戦闘アニメ_リングビーム攻撃 オレンジ
クレヨンペン(攻撃無効化), 「茶色！」;@戦闘アニメ_リングビーム攻撃 オレンジ
花丸クレヨンペン(武装)(準備), 振る武器 Weapon\EFFECT_FancyMagicRod03.bmp
花丸クレヨンペン(武装)(攻撃), 強風 対象ユニットＩＤ Drill.wav
花丸クレヨンペン(武装)(命中), 「はなまる赤！」;六芒星 赤 Drill.wav
花丸クレヨンペン(武装)(命中), 「はなまる青！」;六芒星 青 Drill.wav
花丸クレヨンペン(武装)(命中), 「はなまる水色！」;六芒星 水色 Drill.wav
花丸クレヨンペン(武装)(命中), 「はなまる黄色！」;六芒星 黄色 Drill.wav
花丸クレヨンペン(武装)(命中), 「はなまる緑！」;六芒星 緑 Drill.wav
花丸クレヨンペン(武装)(命中), 「はなまる草色！」;六芒星 緑 Drill.wav
花丸クレヨンペン(武装)(命中), 「はなまるピンク！」;六芒星 ピンク Drill.wav
花丸クレヨンペン(武装)(命中), 「はなまる黒！」;六芒星 黒 Drill.wav
花丸クレヨンペン(武装)(命中), 「はなまる白！」;六芒星 白 Drill.wav
花丸クレヨンペン(武装)(命中), 「はなまる灰色！」;六芒星 黒 Drill.wav
花丸クレヨンペン(武装)(命中), 「はなまるオレンジ！」;六芒星 オレンジ Drill.wav
花丸クレヨンペン(武装)(命中), 「はなまる茶色！」;六芒星 オレンジ Drill.wav
野菜の精(準備), 強風 Charge.wav
野菜の精(攻撃), 会話 野菜の精ウメケロ 亀の甲より年の劫、ケロ;気弾 紫
野菜の精(攻撃), 会話 野菜の精ウメケロ こんな手間のかかる仕事は、特別にお手当てをもらわなきゃ釣り合わないケロ;気弾 紫
野菜の精(攻撃), 会話 野菜の精トーフモン おキヌ婆さんのためにも、負けられんのう！;気弾 白
野菜の精(攻撃), 会話 野菜の精トーフモン わしらで退治するんじゃ！;気弾 白
野菜の精(攻撃), 会話 野菜の精トモロコフスキー ぼくは十二人の野菜の精の一人、トモロコフスキーさ;気弾 黄色
野菜の精(攻撃), 会話 野菜の精トモロコフスキー エブリバディ、ごきげん如何かな？;気弾 黄色
野菜の精(攻撃), 会話 野菜の精トマトマト おりゃーー、トマトラリアーーット！！;気弾 赤
野菜の精(攻撃), 会話 野菜の精トマトマト おばさんパワーを見せてやるよ！;気弾 赤
野菜の精(攻撃), 会話 野菜の精ソソソナス ナスナスナスナスナスナス……！;気弾 青
野菜の精(攻撃), 会話 野菜の精ソソソナス さっさと終わらせないと会社にもいけナスから……;気弾 青
野菜の精(攻撃), 会話 野菜の精キャーベッタ キャーベキャーベ…….キャー・ベー・ツー！;気弾 緑
野菜の精(攻撃), 会話 野菜の精キャーベッタ 私は女優…………どんな役にでもなれるのよ！;気弾 緑
野菜の精(攻撃), 会話 野菜の精ノビルジャー おれは力自慢のノビルジャーじゃ！;気弾 オレンジ
野菜の精(攻撃), 会話 野菜の精ノビルジャー どすこいー、どすこいー、どすこいー、どすこいーー！;気弾 オレンジ
野菜の精(攻撃), 会話 野菜の精ネギック ぼくが相手になってやる！;気弾 緑
野菜の精(攻撃), 会話 野菜の精ネギック フッフッフ、謎はすべて解けた！;気弾 緑
野菜の精(攻撃), 会話 野菜の精ホーレソレ かったるいんだよね、呼び出さないでほしいなあ……どうでもいいけど;気弾 緑
野菜の精(攻撃), 会話 野菜の精ホーレソレ シルバー王女を怒らせると怖いんだから！どうでもいいけど;気弾 緑
野菜の精(攻撃), 会話 野菜の精ゴマータ 言っとくけど、からだが小さいからってバカにしてほしくないわゴマ;気弾 黒
野菜の精(攻撃), 会話 野菜の精ゴマータ 小さいといろんな知恵がつくゴマ;気弾 黒
野菜の精(攻撃), 会話 野菜の精ニンジッピ こ、こんにちはッピ……;気弾 オレンジ
野菜の精(攻撃), 会話 野菜の精ニンジッピ ……ぼくなんかが出てきてごめんなさいッピ;気弾 オレンジ
野菜の精(攻撃), 会話 野菜の精レンコポッチ あたしはレンコポッチ……体が弱いから、あんまり使わないでほしいッチ;気弾 ピンク
野菜の精(攻撃), 会話 野菜の精レンコポッチ あたし、がんばるッチ！;気弾 ピンク
野菜の精(命中), 横大斬撃
シールド防御(野菜の精), バリア - 野菜の精
ドラゴンキングの笛(準備), -
ドラゴンキングの笛(攻撃), Whitsle.wav 3;@戦闘アニメ_龍召喚準備;龍召喚
ドラゴンキングの笛(命中), 火柱
花丸クレヨンペン(アビ), 六芒星 赤 Drill.wav
花丸クレヨンペン(アビ), 六芒星 青 Drill.wav
花丸クレヨンペン(アビ), 六芒星 水色 Drill.wav
花丸クレヨンペン(アビ), 六芒星 黄色 Drill.wav
花丸クレヨンペン(アビ), 六芒星 緑 Drill.wav
花丸クレヨンペン(アビ), 六芒星 ピンク Drill.wav
花丸クレヨンペン(アビ), 六芒星 黒 Drill.wav
花丸クレヨンペン(アビ), 六芒星 白 Drill.wav
花丸クレヨンペン(アビ), 六芒星 オレンジ Drill.wav


ストンストン＆アラエッサ(夢クレ)
ストンストンキック(準備), 瞬間変形 CRAYON_StonStonU.bmp
ストンストンキック(攻撃), スーパーキック
ストンストンキック(命中), スーパーキック
レインドロップ(準備), 瞬間変形 CRAYON_StonStonU.bmp
レインドロップ(攻撃), ２連水流
レインドロップ(命中), ２連水流
鼻息(準備), 瞬間変形 CRAYON_StonStonU.bmp
鼻息(攻撃), 飛びかかり
鼻息(命中), 2;旋風
撮影(準備), 瞬間変形 CRAYON_AraessaU.bmp
