リヴィエラ
アイアンソード, ソード
ヴィヴァーチェ(命中), 連突;2;-.wav;@戦闘アニメ_振り上げ攻撃;2;-.wav;振り上げ
カデンツァ(準備), 魔法集中 緑;エストック
カデンツァ(攻撃), 乱突
カデンツァ(命中), 乱突;「やっ！！」;@戦闘アニメ_刺突攻撃 緑;1;-.wav;@戦闘アニメ_波動放射攻撃 緑;2;-.wav;飛沫 緑
ヒーリング(準備), 杖
ヒーリング(発動), 回復魔法
レストレーション(準備), 本
レストレーション(使用), @戦闘アニメ_ＭＡＰ発光攻撃 白
レストレーション(発動), 回復魔法
セイントヒール(使用), 魔法陣 白;@戦闘アニメ_ＭＡＰ発光攻撃
セイントヒール(発動), 回復魔法
神槍ローレライ(準備), 振る武器 EFFECT_RIVIERA_Lorelei.bmp 48 発光
神槍ローレライ(攻撃), 斬撃
神槍ローレライ(命中), 炎斬撃 Slash.wav
バーニンギャリオ(準備), 振る武器 EFFECT_RIVIERA_Lorelei.bmp 48 発光
バーニンギャリオ(攻撃), なぎ払い
バーニンギャリオ(命中), 火柱
アルバテレス(準備), 振る武器 EFFECT_RIVIERA_Lorelei.bmp 48 発光
アルバテレス(攻撃), 刺突
アルバテレス(命中), 大刺突;炎
紅蓮のクレージュ(準備), 振る武器 EFFECT_RIVIERA_Lorelei.bmp 48 発光
紅蓮のクレージュ(攻撃), なぎ払い;振り上げ;振り下ろし
紅蓮のクレージュ(命中), なぎ払い;振り上げ;振り下ろし;火柱
告死ロストセフィ(準備), オーラ上昇 赤;振る武器 EFFECT_RIVIERA_Lorelei.bmp 48 発光
告死ロストセフィ(攻撃), 斬撃乱舞
告死ロストセフィ(命中), 斬撃乱舞;「ハッ！」;@戦闘アニメ_気斬攻撃 赤;2;-.wav;大刺突;火柱
告死ローゼンクライ(準備), オーラ上昇 赤;振る武器 EFFECT_RIVIERA_Lorelei.bmp 48 発光
告死ローゼンクライ(攻撃), 斬撃乱舞
告死ローゼンクライ(命中), 斬撃乱舞;1;Inori.wav;2;White.bmp 480 480;1;Clear;1;Inori.wav;2;White.bmp 480 480;1;Clear;@戦闘アニメ_振り下ろし攻撃;@戦闘アニメ_光打ち下ろし攻撃 赤;超爆発
神斧トゥール(準備), 振る武器 EFFECT_RIVIERA_Thor.bmp 48 発光
神斧トゥール(攻撃), 斬撃
神斧トゥール(命中), 凍斬撃 Slash.wav
ギルティエッジ(準備), 振る武器 EFFECT_RIVIERA_Thor.bmp 48 発光
ギルティエッジ(攻撃), なぎ払い
ギルティエッジ(命中), 斬撃;氷柱
高潔なる蒼氷の刃(準備), 振る武器 EFFECT_RIVIERA_Thor.bmp 48 発光
高潔なる蒼氷の刃(攻撃), なぎ払い;気斬 青
高潔なる蒼氷の刃(命中), 飛沫 青
ブランレージュ(準備), 振る武器 EFFECT_RIVIERA_Thor.bmp 48 発光
ブランレージュ(攻撃), 振り上げ;なぎ払い;気斬 青
ブランレージュ(命中), 振り上げ;なぎ払い;凍斬撃
蒼きソフィア(準備), 振る武器 EFFECT_RIVIERA_Thor.bmp 48 発光
蒼きソフィア(攻撃), 白兵武器;なぎ払い;気斬 青
蒼きソフィア(命中), 斬撃;なぎ払い;氷柱 Ice.wav
告死トゥリエ(準備), オーラ上昇 青;振る武器 EFFECT_RIVIERA_Thor.bmp 48 発光
告死トゥリエ(攻撃), 斬撃乱舞;気斬 青
告死トゥリエ(命中), 斬撃乱舞;氷柱 Ice.wav
告死トゥリエ・ノア(準備), オーラ上昇 青;振る武器 EFFECT_RIVIERA_Thor.bmp 48 発光
告死トゥリエ・ノア(攻撃), 斬撃乱舞
告死トゥリエ・ノア(命中), 斬撃乱舞;1;Inori.wav;2;White.bmp 480 480;1;Clear;1;Inori.wav;2;White.bmp 480 480;1;Clear;@戦闘アニメ_振り下ろし攻撃;@戦闘アニメ_気斬攻撃 青;2;-.wav;氷柱 Ice.wav
テンタクルロッド, 杖
エーテリオン(冷)(攻撃), 魔法放射 青
エーテリオン(冷)(命中), 魔法陣 白;氷柱
エーテリオン(火)(攻撃), 魔法放射 赤 Beamshot.wav
エーテリオン(火)(命中), 魔法陣 白;火柱
エーテリオン(雷)(攻撃), 魔法放射 黄
エーテリオン(雷)(命中), 魔法陣 白;電撃
エーテリオン(闇)(攻撃), 魔法放射 黒
エーテリオン(闇)(命中), 魔法陣 白;オーラ上昇 黒
エーテルバースト(冷)(準備), 魔法集中 青
エーテルバースト(冷)(攻撃), 光球 青
エーテルバースト(冷)(命中), 飛沫 青 Explode.wav;飛沫 青 Explode.wav;飛沫 青 Explode.wav;超爆発
エーテルバースト(火)(準備), 魔法集中 赤 Beamshot.wav
エーテルバースト(火)(攻撃), 光球 赤
エーテルバースト(火)(命中), 飛沫 赤 Explode.wav;飛沫 赤 Explode.wav;飛沫 赤 Explode.wav;超爆発
エーテルバースト(雷)(準備), 魔法集中 黄
エーテルバースト(雷)(攻撃), 光球 黄
エーテルバースト(雷)(命中), 飛沫 黄 Explode.wav;飛沫 黄 Explode.wav;飛沫 黄 Explode.wav;超爆発
エーテルバースト(闇)(準備), 魔法集中 黒
エーテルバースト(闇)(攻撃), 光球 黒
エーテルバースト(闇)(命中), 飛沫 黒 Explode.wav;飛沫 黒 Explode.wav;飛沫 黒 Explode.wav;超爆発
トライア, 気斬 青
ダークインザダーク(攻撃), なぎ払い
ダークインザダーク(命中), 炎 青
ラグナロク(準備), オーラ上昇 青;トライデント
ラグナロク(攻撃), 投擲武器 Anime\Weapon\EFFECT_Trident01.bmp 40 MultipleRocketLauncher.wav
ラグナロク(命中), 連続大爆発;超爆発
断罪のロンギヌス, トライデント
セイントフレアー(攻撃), 斬撃
セイントフレアー(命中), 炎 白
ジハード(準備), オーラ上昇 白;トライデント
ジハード(攻撃), 斬撃乱舞;投擲武器 Anime\Weapon\EFFECT_Trident01.bmp 40 MultipleRocketLauncher.wav
ジハード(命中), 斬撃乱舞;超爆発
ブルーボンバー, 棘鉄球 二刀流
ブルームーン(攻撃), 白兵武器
ブルームーン(命中), 飛沫 青 Slash.wav;氷柱
ナイトメアブリンク(攻撃), 棘鉄球 二刀流
ナイトメアブリンク(命中), 強打;飛沫 黒
レッドヴァイパー, 棘鉄球 二刀流
レッドムーン(攻撃), 白兵武器
レッドムーン(命中), 飛沫 赤 Slash.wav;火柱
アメージングナイツ(攻撃), 棘鉄球 二刀流
アメージングナイツ(命中), 強打;大放電
なぎ払う(攻撃), なぎ払い
なぎ払う(命中), 強打
レイドバーナー, 炎
フレアテンペスト(攻撃), 透明化;炎打ち上げ;炎打ち下ろし
フレアテンペスト(命中), 超爆発
斬魔剣アイギス(準備), 大剣
斬魔剣アイギス(攻撃), 振り下ろし
斬魔剣アイギス(命中), 唐竹割り
ブレードリッパー(準備), 大剣
ブレードリッパー(攻撃), なぎ払い
ブレードリッパー(命中), 横大斬撃
凄斬クレスティン(準備), 大剣
凄斬クレスティン(攻撃), 振り上げ
凄斬クレスティン(命中), 飛沫 白 Explode.wav;2;-.wav;@戦闘アニメ_振り下ろし攻撃;@戦闘アニメ_気斬攻撃 白;2;-.wav;大斬撃
引き裂く, 爪撃
瘴気の風, 波動放射 青
ブリザード(攻撃), 竜巻
ブリザード(命中), 吹雪
クリスタルブレス(攻撃), 火炎放射 白 Breath.wav
クリスタルブレス(命中), 氷柱 Ice.wav;飛沫 白
聖杖アンカルジア, 杖
プラズマスパーク, 大放電
リヴェリオン(攻撃), 落雷;大落雷
リヴェリオン(命中), 大落雷
闇夜のレーテ, 大鎌
氷葬撃(準備), 大鎌
氷葬撃(攻撃), 斬撃
氷葬撃(命中), 凍斬撃
黒の衝撃(準備), 魔法陣 白
黒の衝撃(攻撃), 魔法放射 青
黒の衝撃(命中), 炎 青 Explode.wav
ダークセイヴァー(準備), 魔法陣 青
ダークセイヴァー(攻撃), 斬撃
ダークセイヴァー(命中), 氷柱
ルーインゼクス(準備), 大鎌
ルーインゼクス(攻撃), 斬撃乱舞
ルーインゼクス(命中), 斬撃乱舞;魔法陣 白 対象ユニットＩＤ;@戦闘アニメ_決め画像攻撃 Anime\Common\EFFECT_Skull02.bmp Charge(high).wav 相手ユニットＩＤ;2;-.wav;大斬撃
ルーインゼクション(準備), 大鎌
ルーインゼクション(攻撃), 斬撃乱舞
ルーインゼクション(命中), 斬撃乱舞;魔法陣 青 対象ユニットＩＤ;@戦闘アニメ_決め画像攻撃 Anime\Common\EFFECT_Skull02.bmp Charge(high).wav 相手ユニットＩＤ;2;-.wav;大斬撃
翼撃, 大斬撃
ダークブレス(攻撃), 火炎放射 黒 Breath.wav
ダークブレス(命中), 火炎放射 黒 Breath.wav
カースオブカオス, スーパータックル 青


汎用
イフリートレゾン(準備), 粒子集中 赤;スピア
イフリートレゾン(攻撃), 投擲武器 Anime\Beam\EFFECT_BeamHit(Red)02.bmp 64 発光
イフリートレゾン(命中), 火柱
鳳凰炎舞(準備), 粒子集中 赤;スピア
鳳凰炎舞(攻撃), なぎ払い;波動放射 赤
鳳凰炎舞(命中), 炎
天剣の閃き(準備), 粒子集中 白;ソード
天剣の閃き(攻撃), 斬撃;波動放射 白
天剣の閃き(命中), 飛沫 白
斬魔ザナドゥーク(準備), 粒子集中 白;ソード
斬魔ザナドゥーク(攻撃), 白兵武器
斬魔ザナドゥーク(命中), ハイパービームサーベル 白
ギガンティックボルト(準備), 粒子集中 黄;弓
ギガンティックボルト(攻撃), 弓矢
ギガンティックボルト(命中), 大落雷
イズナドライヴ(準備), 粒子集中 黄;弓
イズナドライヴ(攻撃), 弓矢
イズナドライヴ(命中), 矢;大放電
ラグナ・パルティナ(準備), 粒子集中 白;杖
ラグナ・パルティナ(攻撃), なぎ払い;ＭＡＰ光噴出 白
ラグナ・パルティナ(命中), 飛沫 白
エンジェルキュア(準備), 粒子集中 白;杖
エンジェルキュア(使用), 魔法放射 白
エンジェルキュア(発動), 光噴出 白 Sharara.wav
グレイシャルシャドウ(準備), 粒子集中 青;大鎌
グレイシャルシャドウ(攻撃), なぎ払い;波動放射 黒
グレイシャルシャドウ(命中), 黒斬撃
ナイトメアフリッジ(準備), 粒子集中 青;大鎌
ナイトメアフリッジ(攻撃), なぎ払い
ナイトメアフリッジ(命中), 魔法陣 青;炎 黒 Breath.wav
グラヴィティノヴァ(準備), 粒子集中 白;杖
グラヴィティノヴァ(攻撃), 振り下ろし;ＭＡＰ光球 白
グラヴィティノヴァ(命中), 飛沫 白 Explode.wav;飛沫 白 Explode.wav;飛沫 白 Explode(Far).wav
秘剣～朧鴉～(準備), 日本刀
秘剣～朧鴉～(攻撃), なぎ払い
秘剣～朧鴉～(命中), 斬撃乱舞 Slash(4).wav
破滅のキルディア(準備), 粒子集中 白;スピア
破滅のキルディア(攻撃), なぎ払い
破滅のキルディア(命中), 斬撃乱舞;超爆発
ファンネリア射出, ニードルレーザー連射 白;ニードルレーザー連射 白
