
## ダンテ　トニー ###########################

デビルメイクライ
フォースエッジ, 銀剣
閻魔刀, 日本刀
ルーチェ＆オンブラ(準備), -
ルーチェ＆オンブラ(攻撃), 内蔵チェーンガン 赤
ルーチェ＆オンブラ(命中), 内蔵チェーンガン 赤
両刃の大剣, 鋼剣
改造模造銃(準備), ピストル
改造模造銃(攻撃), 機関砲
改造模造銃(命中), 機関砲
地獄のメインディッシュ(準備), -
地獄のメインディッシュ(攻撃), ジャンプ;振り下ろし;振り下ろし
地獄のメインディッシュ(命中), 爆撃;爆撃
高速斬撃(準備), 鋼剣
高速斬撃(攻撃), 鋼剣突撃
高速斬撃(命中), 唐竹割り
ショウタイム(攻撃), 連斬撃;連続なぎ払い;斬撃突撃
ショウタイム(命中), 連斬撃;連続なぎ払い;刺突突撃;超斬撃

魔人イフリート
キック１３(準備), 粒子集中 赤
キック１３(攻撃), 打突;1;打突;1;キック;1;浴びせ蹴り;1;スピンキック
キック１３(命中), 連続大爆発; 大爆発; 大爆発

魔人ダンテ
ヴォルテックス, スーパータックル 赤


## ボス ###########################

ファントム(ＤＭＣ)
尻尾突き, 刺突
火柱(準備), -
火柱(攻撃), 振り下ろし
火柱(命中), 火柱
火炎弾爆撃, ＭＡＰ火炎弾

グリフォン(ＤＭＣ)
クチバシ, タックル
はさみこみ放電, ２連ショックビーム 赤
爆撃, 球電
電撃カーテン, ＭＡＰ持続ビーム 赤
電撃波, 地表衝撃波 白
最大放電, ＭＡＰ落雷
急降下体当たり(攻撃), 急降下
急降下体当たり(命中), 急降下;大電撃

ナイトメア(ＤＭＣ)
ゲル取り込み(準備), -
ゲル取り込み(攻撃), ＭＡＰダークネス
ゲル取り込み(命中), 重力圧縮
ネット(準備), -
ネット(攻撃), -
ネット(命中), ネット
機関銃(攻撃), ４ＷＡＹ射出
機関銃(命中), ４ＷＡＹ射出
ミサイル, 小型ミサイル 16
コア発光, ニードルレーザー連射 白
側面ヤリ, 連突
地走りレーザー, ＭＡＰビーム 白
ブーメラン(準備), -
ブーメラン(攻撃), スーパーブーメラン 黒
ブーメラン(命中), 回転斬撃
冷気レーザー(攻撃), 持続ビーム 白
冷気レーザー(命中), 中ビーム 白;氷柱

# 機関銃は５つの球体を射出しますが、５ＷＡＹが無いので４ＷＡＹにしました。

ネロアンジェロ
大剣, 巨大剣
幻影剣(準備), エナジーカッター 青
幻影剣(攻撃), ニードルレーザー連射 青
幻影剣(命中), ニードルレーザー連射 青
ハイタイムジャンプ(準備), 巨大剣
ハイタイムジャンプ(攻撃), 振り上げ
ハイタイムジャンプ(命中), 振り上げ Crash.wav
スティンガー(準備), 巨大剣
スティンガー(攻撃), タックル;刺突
スティンガー(命中), 刺突 Bazooka.wav
キック１３(準備), 粒子集中 黒
キック１３(攻撃), スピンキック
キック１３(命中), ダメージ Bazooka.wav
ヘルムブレイカー(準備), 巨大剣
ヘルムブレイカー(攻撃), 急降下
ヘルムブレイカー(命中), 急降下 -.wav;唐竹割り
メテオ(準備), 粒子集中 黒
メテオ(攻撃), 火炎弾 黒
メテオ(命中), ダメージ Bazooka.wav
居合い斬り(準備), -
居合い斬り(攻撃), 巨大剣突撃
居合い斬り(命中), 超斬撃
テレポート, 炎 黒 -.wav

# 魔帝ムンドゥス(第一、第二形態)
デビルメイクライ
白玉レーザー, ４ＷＡＹ射出
レーザー, 中ビーム 白
岩石(準備), -
岩石(攻撃), 岩
岩石(命中), 岩
落雷, 大電撃
電流白玉(準備), -
電流白玉(攻撃), ２ＷＡＹ射出
電流白玉(命中), 大電撃
メテオスウォーム, ＭＡＰ火炎弾
魔帝ビーム(準備), 粒子集中 白
魔帝ビーム(攻撃), 大ビーム 白
魔帝ビーム(命中), 大ビーム 白
魔帝パンチ, 打突
魔帝カッター, 地表衝撃波 赤
魔帝光弾, 光球
火炎昇竜(準備), 粒子集中 赤
火炎昇竜(攻撃), 打突; 炎
火炎昇竜(命中), 火柱

魔帝ムンドゥス(第三形態) 
血液,       液体噴射
魔帝ビーム, 小ビーム 白


## 一般 ###########################

デビルメイクライ
金縛り(準備), -
金縛り(攻撃), ニードルレーザー連射 赤 -.wav
金縛り(命中), -
金縛り(クリティカル), 光噴出 赤 Hittyuu.wav
短剣投げ, 小柄
短剣, ナイフ
半月刀投げ(準備), -
半月刀投げ(攻撃), 斬撃
半月刀投げ(命中), 回転斬撃
半月刀(準備), -
半月刀(攻撃), 振り下ろし
半月刀(命中), 振り下ろし
斬りつけ, 斬撃
車輪投げ, ソーサー
ハサミ, 斬撃
突撃, タックル
カマ投げ, 大鎌投擲
カマ, 大鎌
ドリル, スーパータックル
連続カマ投げ(準備), 大鎌
連続カマ投げ(攻撃), 大鎌投擲;大鎌投擲;大鎌投擲;大鎌投擲
連続カマ投げ(命中), 大鎌投擲;大鎌投擲;大鎌投擲;大鎌投擲
かみつき, 噛み付き
冷気ブレス, 火炎放射 青
まとわりつく, ＭＡＰ煙
光の針, 刺突
ヤリ, 刺突
回転体当たり(攻撃), スーパータックル 黒
回転体当たり(命中), スーパータックル 黒 Slash.wav Slash.wav Slash.wav Slash.wav
自爆(攻撃), 自爆
自爆(命中), 大爆発
ウジ虫, 泡
ツメ, 斬撃
踏みつけ, 踏み潰し
岩吐き, 岩
ツメ飛ばし, ニードル
ツメ突き刺し, 刺突
電撃レーザー, 小ビーム 青
電撃カッター, 地表衝撃波 青
剣撃, エナジーブレード 青
ダッシュ突き(準備), エナジーブレード 青 -.wav
ダッシュ突き(攻撃), タックル;刺突
ダッシュ突き(命中), 刺突 Crash.wav
ジャンプ斬り(準備), エナジーブレード 青 -.wav
ジャンプ斬り(攻撃), 振り上げ
ジャンプ斬り(命中), 振り上げ
拳撃, 打突
バックキック(準備), -
バックキック(攻撃), スピンキック
バックキック(命中), ダメージ
瞬間移動(攻撃), 透明化
瞬間移動(命中), 吹雪
氷針展開(準備), 粒子集中 青
氷針展開(攻撃), ＭＡＰ氷柱
氷針展開(命中), 氷柱
氷の結晶(発動), 凍結 Transform.wav
ラリアット, タックル
目玉爆弾(命中), -
目玉爆弾(攻撃), 球電
目玉爆弾(命中), ダメージ
目玉爆弾ラリアット, スーパーパンチ ピンク
吹き飛ばし, タックル
氷結自爆, 氷柱

ブレイド
ツメ, 爪撃
シールド防御, スモールシールド

フロスト
ツメ, 爪撃


## DMCN ###########################

デビルメイクライ
パイソン, ピストル
ワルサーＰＰＫ, ピストル
刀, 日本刀
神速の踏み込み, 日本刀突撃
モーゼル, ピストル Weapon\EFFECT_MilitaryPistol01.bmp 32
グリース・ガン, サブマシンガン
必殺のセオリー, ピストル Weapon\EFFECT_MilitaryPistol01.bmp 32;ピストル Weapon\EFFECT_MilitaryPistol01.bmp 32;ピストル Weapon\EFFECT_MilitaryPistol01.bmp 32
石の拳, スーパーパンチ 白
仮面投擲, ソーサー
豪腕, スーパーパンチ 赤


## DMCA ###########################

デビルメイクライ
針(攻撃), 振り下ろし
針(命中), 石柱
投擲, 岩
踏みつけ, 踏み潰し
魔力砲, 巨大ビーム 白
二刀流, 黒剣 二刀流
大剣(Ｍ), ソード
叫ぶ歌, 音波


## 合体攻撃 ###########################

トニー＝レッドグレイブ
コンビネーション(準備), ショートソード
コンビネーション(攻撃), タックル
コンビネーション(命中), ピストル;斬撃;斬撃

グルー(ＤＭＣＮ)
コンビネーション(準備), ピストル
コンビネーション(攻撃), ピストル;ピストル;ピストル;ピストル;ピストル;ピストル
コンビネーション(命中), ピストル;ピストル;斬撃

デビルメイクライ
ジャックポット(準備), 粒子集中 黄
ジャックポット(攻撃), 小ビーム 赤 Gun.wav;1;小ビーム 黄 Gun.wav
ジャックポット(命中), 大ビーム 白 Explode.wav

デビルメイクライ
プラズマミサイル(準備), -
プラズマミサイル(攻撃), 急降下
プラズマミサイル(攻撃), 急降下 Bazooka.wav;超ビーム 黄 Bazooka.wav;超爆発


## アイテム ###########################
汎用
ニードルガン(準備), ガトリング
ニードルガン(攻撃), ニードル連射
ニードルガン(命中), ニードル連射
グレネードガン, グレネードランチャー
ナイトメアβ(準備), -
ナイトメアβ(攻撃), ビームショットキャノン 緑
ナイトメアβ(命中), 包囲ビーム 緑
バイタルスター(発動), 粒子集中 緑
デビルスター(発動), 粒子集中 青
アンタッチャブル(発動), 粒子集中 黄
ホーリーウォーター, ＭＡＰフラッシュ
超回避(時の腕輪), 回避 Glass.wav
