
戦術機
リアクティブアーマー(準備),        振る武器 ML_Shield.bmp 32
流転れ私達の無限力！(鳳)(攻撃),    マシンガン ML_Type87-AssaultRifle.bmp 32 partner(1);振る武器突撃 ML_Type74-PBSword.bmp 36 partner(1);マシンガン ML_Type87-AssaultRifle.bmp 32 partner(2);振る武器突撃 ML_Type74-PBSword.bmp 36 partner(2);マシンガン ML_Type87-AssaultRifle.bmp 32 partner(0);マシンガン ML_Type87-AssaultRifle.bmp 32 partner(0)
流転れ私達の無限力！(鳳)(命中),    連続爆発;大爆発


戦略航空機動要塞
重力偏差,                    重力圧縮
36mmチェーンガン(凄乃皇),    機関砲;機関砲
散弾式広域制圧弾頭(攻撃),    ＭＡＰミサイル
散弾式広域制圧弾頭(命中),    連続大爆発
通常弾頭,                    ミサイル 10
120mm電磁速射砲,             大キャノン砲 8
2700mm電磁投射砲(攻撃),      ２連光弾 白
2700mm電磁投射砲(命中),      大爆発;大爆発
バンカーバスター(攻撃),      ミサイル 5
バンカーバスター(命中),      連続大爆発;超爆発
荷電粒子砲,                  巨大ビーム 白 電撃
ＡＬＭランチャー(発動),      煙


戦略合神機
攻撃無効化(水晶防壁),        光バリア
無限力波(準備),              -
無限力波(攻撃),              中ビーム 白 LaserGun.wav
無限力波(命中),              中ビーム 白
駿馬百裂拳(準備),            -
駿馬百裂拳(攻撃),            打突 Bazooka.wav;打突 Bazooka.wav;打突 Bazooka.wav;打突 Bazooka.wav
駿馬百裂拳(命中),            超打 Bazooka.wav;超打 Bazooka.wav;超打 Bazooka.wav;超打 Bazooka.wav
猛禽翼翔天(準備),            オーラ上昇 青
猛禽翼翔天(攻撃),            スーパーキック
猛禽翼翔天(命中),            スーパーキック
月水晶力昇天(準備),          オーラ上昇 赤
月水晶力昇天(攻撃),          スーパーパンチ 赤
月水晶力昇天(命中),          大爆発
毒蛇幻魔拳(準備),            魔法集中 黒
毒蛇幻魔拳(攻撃),            魔法放射 黒
毒蛇幻魔拳(命中),            魔法放射 黒
猛撃走甲弾(準備),            -
猛撃走甲弾(攻撃),            スーパータックル 赤
猛撃走甲弾(命中),            超打 Crash.wav
双角偉大破(準備),            発光 紫;発光 青; 発光 緑;発光 黄;発光 橙;発光 赤
双角偉大破(攻撃),            スーパーパンチ 緑
双角偉大破(命中),            スーパーパンチ 緑
奇跡大錐拳(準備),            粒子集中 青;光噴出
奇跡大錐拳(攻撃),            スーパーパンチ 青
奇跡大錐拳(命中),            スーパーパンチ 青;超爆発
無限力砲(準備),              オーラ上昇 赤 Charge(Long).wav;5;魔法放射 赤 Explode.wav;変形 ML_Hinokagututci(M).bmp -.wav
無限力砲(攻撃),              大ビーム 黄;5;ＭＡＰビーム 黄 MicroMissile.wav 相手ユニットＩＤ
無限力砲(命中),              ビームショットキャノン 黄;大爆発
無限力機関全開(準備),        オーラ上昇 赤 Charge(Long).wav;5;魔法放射 赤 Explode.wav;変形 ML_Hinokagututci(M).bmp -.wav
無限力機関全開(攻撃),        スーパーキック 赤
無限力機関全開(命中),        スーパーキック 赤;連続大爆発;超爆発


護闘士
攻撃無効化(水晶防壁),        光バリア
反射(技心写鏡の法),          -
戌年妄想(準備),              -
戌年妄想(攻撃),              フラッシュ 桃 Sharara.wav
戌年妄想(命中),              光圧縮 桃 Sharara.wav
無限力(準備),                -
無限力(攻撃),                魔法放射 赤
無限力(命中),                魔法集中 赤;オーラ 赤
水晶防壁(攻撃)(準備),        -
水晶防壁(攻撃)(攻撃),        魔法放射 青
水晶防壁(攻撃)(命中),        乱打
月水晶力昇天(準備),          オーラ上昇 赤
月水晶力昇天(攻撃),          スーパーパンチ 赤
月水晶力昇天(命中),          大爆発
縛撃亀甲陣(準備),            鞭
縛撃亀甲陣(攻撃),            白兵連撃
縛撃亀甲陣(命中),            -
閃光雷撃鞭(準備),            鞭
閃光雷撃鞭(攻撃),            斬撃乱舞
閃光雷撃鞭(命中),            斬撃乱舞
偉大蹄斬陣(準備),            「――むぅうん！ 無双禅方陣ッ！」;発光 紫;発光 青; 発光 緑;発光 黄;発光 橙;発光 赤
偉大蹄斬陣(準備),            発光 紫;発光 青; 発光 緑;発光 黄;発光 橙;発光 赤
偉大蹄斬陣(攻撃),            「――偉大蹄斬陣ッッ！」;スピンキック
偉大蹄斬陣(攻撃),            スピンキック
偉大蹄斬陣(命中),            超打;超爆発
双角偉大破(準備),            「――むぅうん！ 無双禅方陣ッ！」;発光 紫;発光 青; 発光 緑;発光 黄;発光 橙;発光 赤
双角偉大破(準備),            発光 紫;発光 青; 発光 緑;発光 黄;発光 橙;発光 赤
双角偉大破(攻撃),            「――双角偉大破ァァ！！！」;スーパーパンチ 緑
双角偉大破(攻撃),            スーパーパンチ 緑
双角偉大破(命中),            超打;超爆発
斬裂空舞(準備),              -
斬裂空舞(攻撃),              「――斬裂空舞ッ！！」;白兵武器
斬裂空舞(命中),              爪撃
猛禽翼翔天(準備),            オーラ上昇 青
猛禽翼翔天(攻撃),            「――猛禽翼翔天！！！！！」;スーパーキック
猛禽翼翔天(攻撃),            「――猛禽ッ翼翔天～～～ッッ！！」;スーパーキック
猛禽翼翔天(攻撃),            スーパーキック
猛禽翼翔天(命中),            スーパーキック
鎖宇流壊斬(準備),            オーラ上昇 青
鎖宇流壊斬(攻撃),            「鎖宇流壊斬ッ！！！！」;打突
鎖宇流壊斬(攻撃),            超打
鎖宇流壊斬(命中),            超打 Crash.wav
廃泥無礼斬(準備),            オーラ上昇 青
廃泥無礼斬(攻撃),            「――廃泥無礼斬ッッ！！」;アッパー
廃泥無礼斬(攻撃),            「廃泥無礼斬――ッッ！！」;アッパー
廃泥無礼斬(攻撃),            アッパー
廃泥無礼斬(命中),            超アッパー Bazooka.wav;超アッパー Bazooka.wav;超アッパー Bazooka.wav
奇跡大錐拳(準備),            粒子集中 青;光噴出
奇跡大錐拳(攻撃),            「――奇跡大錐拳ーーーーッッ！！」;スーパーパンチ 青
奇跡大錐拳(攻撃),            「くらえっ奇跡大錐拳！」;スーパーパンチ 青
奇跡大錐拳(攻撃),            スーパーパンチ 青
奇跡大錐拳(命中),            スーパーパンチ 青;超爆発
幻朧毒蛇刻(準備),            魔法集中 黒
幻朧毒蛇刻(攻撃),            「幻朧毒蛇刻！」;光弾 黒
幻朧毒蛇刻(攻撃),            光弾 黒
幻朧毒蛇刻(命中),            ダメージ 黒 Crash.wav
触手,                        触手 紫
毒蛇幻魔拳(準備),            魔法集中 黒
毒蛇幻魔拳(攻撃),            「毒蛇幻魔拳！」;魔法放射 黒
毒蛇幻魔拳(攻撃),            魔法放射 黒
毒蛇幻魔拳(命中),            魔法放射 黒
巨大触手,                    触手乱舞 紫 MicroMissile.wav
蛇牙滅斬掌(準備),            オーラ上昇 黒
蛇牙滅斬掌(攻撃),            「食らうがいい！ 蛇牙滅斬掌ーーーッ！！」;多触手 紫
蛇牙滅斬掌(攻撃),            「蛇牙滅斬掌ォォォォッ！」;多触手 紫
蛇牙滅斬掌(攻撃),            多触手 紫
蛇牙滅斬掌(命中),            黒斬撃;飛沫 黒
蛇縛獄責覇(準備),            魔法放射 黒
蛇縛獄責覇(攻撃),            「蛇縛獄責覇！！！」;多触手 紫
蛇縛獄責覇(攻撃),            多触手 紫
蛇縛獄責覇(命中),            触手 紫
王蛇幻魔拳(準備),            オーラ上昇 黒
王蛇幻魔拳(攻撃),            「王蛇幻魔拳ッッ！！」;魔法放射 黒
王蛇幻魔拳(攻撃),            魔法放射 黒
王蛇幻魔拳(命中),            重力圧縮
猛撃走甲弾(準備),            -
猛撃走甲弾(攻撃),            スーパータックル 赤
猛撃走甲弾(命中),            超打 Crash.wav
駿馬百裂拳(準備),            オーラ上昇 青
駿馬百裂拳(攻撃),            「――死ねっ！！ 駿馬百裂拳」;打突 Bazooka.wav;打突 Bazooka.wav;打突 Bazooka.wav;打突 Bazooka.wav
駿馬百裂拳(攻撃),            「――駿馬百裂拳！！」;打突 Bazooka.wav;打突 Bazooka.wav;打突 Bazooka.wav;打突 Bazooka.wav
駿馬百裂拳(攻撃),            打突 Bazooka.wav;打突 Bazooka.wav;打突 Bazooka.wav;打突 Bazooka.wav
駿馬百裂拳(命中),            超打 Bazooka.wav;超打 Bazooka.wav;超打 Bazooka.wav;超打 Bazooka.wav
無限力波(準備),              -
無限力波(攻撃),              中ビーム 白 LaserGun.wav
無限力波(命中),              中ビーム 白

# 護闘士のアニメは想像によるところが大きいです。ご了承ください。


汎用
副砲,                        キャノン砲
主砲,                        大キャノン砲長距離
ＡＬＭ砲弾(発動),            煙


ＢＥＴＡ
対地レーザー,                中ビーム 白
対空レーザー,                中ビーム 白
対地レーザー(重光線級),      大ビーム 白
対地レーザー(重光線級),      大ビーム 白
前腕(攻撃),                  振り下ろし
前腕(命中),                  ダメージ
衝角突撃(攻撃),              タックル
衝角突撃(命中),              超打
衝角,                        刺突
脚(攻撃),                    タックル
脚(命中),                    刺突
噛み砕く(群れ),              噛み付き 4
噛み砕く,                    噛み付き
引き抜く,                    タックル
腕,                          タックル
捕食,                        噛み付き
浸食,                        触手
触手,                        多触手
