##１２月２０日付
#１、エフェクト追加

#エフェクト追加担当：八沢あかり


熱血高校生
気合弾, Cannon.wav
夜叉車, 2;Swing.wav;2;Swing.wav;2;Swing.wav;1;Swing.wav
夜叉車(命中), Crash.wav
ラストシンフォニー(命中), 3;Combo.wav;3;Combo.wav;3;Combo.wav;Combo.wav
Ｗ気合弾(準備), Charge(long).wav
クロスファイヤーキック, Swing(2).wav
クロスファイヤーキック(命中), 3;FightHit(1).wav;3;FightHit(1).wav;3;FightHit(1).wav;3;FightHit(1).wav;3;Crash.wav
Ｗ気合弾(準備), Charge(long).wav
Ｗ気合弾, Cannon.wav
Ｗ気合弾(命中), Combo.wav
トラップＷシュート(命中), 3;FightHit(1).wav;3;Swing.wav;3;FightHit(1).wav;3;FightHit(1).wav;3;Crash.wav
Ｗライジングトルネード, Swing.wav
Ｗライジングトルネード(命中), 3;Combo.wav;3;Combo.wav;3;Combo.wav;Combo.wav
Ｗパワーバスター(命中), 3;Swing.wav;8;BreakOff.wav;2;BreakOff.wav;3;Swing.wav;10;Bomb.wav;10;Shock(Low).wav
連撃連舞(命中), 8;BreakOff.wav;6;FastGun.wav;5;FastGun.wav;5;FastGun.wav
活火山(命中), 2;BreakOff.wav;2;Swing(2).wav;5;Shock(Low).wav;2;Swing(2).wav;5;Shock(Low).wav2;Swing(2).wav;5;Shock(Low).wav;2;Swing(2).wav;5;Shock(Low).wav


熱血教師
熱血竹刀, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
熱血竹刀(命中), 2;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav
気合キック, 2;Swing.wav
気合キック(命中), 2;Punch.wav;2;Punch.wav;2;Punch.wav
熱血腕立て伏せ(命中), 2;Punch.wav;2;Punch.wav;2;Punch.wav;15;Punch.wav
熱血クロスカウンター(準備), Charge.wav
熱血クロスカウンター(命中), 1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Crash.wav
正波拳, Whiz.wav
実直拳, 1;Swing.wav;1;Swing.wav;1;Swing.wav
実直拳(命中), Punch(2).wav
真円脚, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
真円脚(命中), Punch(4).wav
島津流正波拳(準備), Charge.wav
島津流正波拳, Whiz.wav
島津流正波拳(命中), Combo.wav
島津流真・実直拳, 1;Punch.wav;15;Swing.wav;5;Punch.wav;5;Punch.wav
出席確認(命中), Punch.wav
死の介護(命中), 7;BreakOff.wav;7;BreakOff.wav;7;BreakOff.wav;7;BreakOff.wav;7;BreakOff.wav
天獄への階段(命中), 3;Punch.wav;3;Punch.wav;3;Punch.wav;3;Punch.wav;3;Punch.wav
六腑突き(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav
夜叉車, 2;Swing.wav;2;Swing.wav;2;Swing.wav;1;Swing.wav
夜叉車(命中), Crash.wav
石砕牙(命中), Shock(Low).wav
狂獣裂破(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav
忌野流狂獣裂破(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav
