
ダイの大冒険
格闘(命中), Punch.wav
高速移動攻撃(命中), Combo.wav
サウザンドボール(準備), BeamSaber.wav
サウザンドボール, Whiz.wav
サウザンドボール(命中), Explode.wav
疾風の槍(命中), 1;Swing.wav;Stab.wav
ライトニングバスター(命中), Explode.wav
ツインソードピニング, Drill.wav
ツインソードピニング(命中), Drill.wav
ヒートナックル(準備), Fire.wav
ヒートナックル(命中), Punch.wav
オーラナックル(準備), BeamSaber.wav
オーラナックル(命中), Punch.wav
死のメロディ, 15;Wind.wav;10;Swing.wav;15;Wind.wav;10;Swing.wav
死のメロディ(命中), Slash.wav
死神の笛(命中), 1;Swing.wav;Slash.wav
キルトラップ, Explode(Fsr).wav
キルトラップ, Fire.wav
キルトラップ, Splash.wav
キルトラップ, Glass.wav
ファントムレイザー, 3;Saber.wav;3;Saber.wav;3;Saber.wav;3;Saber.wav;Saber.wav
ファントムレイザー(命中), 3;Slash.wav;3;Slash.wav;3;Slash.wav;3;Slash.wav;Slash.wav
バーニングクリメイション(準備), MicroMissile.wav
バーニングクリメイション, Whiz.wav
バーニングクリメイション(命中), Fire.wav
ビュートデストリンガー, Saber.wav
ビュートデストリンガー(命中), Stab.wav
デストリンガーブレード(準備), Sword.wav
デストリンガーブレード(命中), 1;Swing.wav;Slash.wav
闘魔滅砕陣, Whiz.wav
闘魔滅砕陣(命中), 2;Thunder.wav;2;Thunder.wav;Thunder.wav
闘魔最終掌(準備), BeamSaber.wav
闘魔最終掌(命中), Punch.wav
暗黒闘気, Whiz.wav
暗黒闘気(命中), Explode.wav
イオラの嵐, MultipleRocketLauncher(Light).wav
イオラの嵐(命中), 5;Explode(Small).wav;5;Explode(Small).wav;5;Explode(Small).wav;5;Explode(Small).wav;5;Explode(Small).wav;Explode(Small).wav
カラミティウォール, 2;MicroMissile.wav;2;MicroMissile.wav;2;MicroMissile.wav;2;MicroMissile.wav
カラミティウォール(命中), Explode.wav
カイザーフェニックス(準備), Dolphin.wav
カイザーフェニックス, Whiz.wav
カイザーフェニックス(命中), Fire.wav
光魔の杖(準備), BeamSaber.wav
光魔の杖(命中), 1;Swing.wav;Slash.wav
同時攻撃(準備), Dolphin.wav
同時攻撃, 5;Whiz.wav;BeamSaber.wav
同時攻撃(命中), 5;Fire.wav;Slash.wav
手刀(命中), 1;Swing.wav;Slash.wav
カラミティエンド(命中), 1;Swing.wav;Slash.wav
天地魔闘の構え(命中), _.wav
クロー(命中), 1;Swing.wav;Slash.wav
踏みつぶし(命中), Shock(Low).wav
砲撃, 4;Bazooka.wav;4;Bazooka.wav;Bazooka.wav
光眼砲, LaserGun.wav
ランス(命中), 1;Swing.wav;Stab.wav
真空, 3;Saber.wav;3;Saber.wav;3;Saber.wav
爆音, Explode.wav
業火, Whiz.wav
業火(命中), Fire.wav
ブラックロッド, Saber.wav
ブラックロッド(命中), Explode.wav
星皇十字剣(命中), 1;Swing.wav;1;Slash.wav;Slash.wav
ハイパーモード(紋章発動), BeamCoat.wav;1;White.bmp 480 480
チャージ, _.wav
阻止(海波斬), Saber.wav
阻止(海鳴閃), Saber.wav
阻止(光魔の杖), BeamSaber.wav
反射(マホカンタ), BeamCoat.wav
反射(フェニックスウイング), Whiz.wav


魔法使いポップ
フィンガーフレアボムズ, 2;Whiz.wav;2;Whiz.wav;Whiz.wav
フィンガーフレアボムズ(命中), 2;Explode.wav;2;Explode.wav;Explode.wav

大魔道士ポップ
フィンガーフレアボムズ, 2;Whiz.wav;2;Whiz.wav;Whiz.wav
フィンガーフレアボムズ(命中), 2;Explode.wav;2;Explode.wav;Explode.wav
