ニューロノイド
シナプス弾撃(準備),         粒子集中 白
ファイアリングサーベル(命中), 大刺突 Sword.wav
サイコバース(準備),           @SpecialPowerAnime 集中 対象ユニットＩＤ;光大噴出
サイコバース(攻撃),           粒子集中 青 対象ユニットＩＤ;実弾発射 LightWeapon/EFFECT_LightRod(Blue)01.bmp
サイコバース(命中),           大刺突;大放電 青
サイコバース(とどめ),         ユニット変色 ライトブルー;@戦闘アニメ_光柱命中 Breath.wav
真空割断層(攻撃),             連斬撃;シュートカッター 白
真空割断層(命中),             シュートカッター 白
圧縮酸素弾(攻撃),             波動放射 白
圧縮酸素弾(命中),             波動放射 白
サイコカーム(攻撃),           連斬撃;シュートカッター 白;波動放射 白
サイコカーム(命中),           シュートカッター 白;波動放射 白;旋風
光熱波,                       小ビーム 赤
放電,                         大電撃
引力制御,                     重力圧縮
ネブラの実(使用),             オーラ上昇 白;強風 Storm.wav
アクアの実(使用),             オーラ上昇 青;魔法放射 青 Splash.wav
フォルテの実(使用),           オーラ上昇 赤;炎
オルトスの実(使用),           回復魔法;光柱 Breath.wav
トゥルバの実(使用),           オーラ上昇 白;木の葉乱舞 Storm.wav
ルーメの実(使用),             オーラ上昇 黄
ペクトフォレース.ウィリデ(準備), 発光 緑 Charge(Silent).wav
ペクトフォレース.ウィリデ(攻撃), 小ビーム 緑 Acid.wav チャージなし
ペクトフォレース.ウィリデ(命中), 小ビーム 緑 Acid.wav;粒子集中 緑
ペクトフォレース.フラウム(準備), 発光 黄色 Charge(Silent).wav
ペクトフォレース.フラウム(攻撃), 小ビーム 黄色 Acid.wav チャージなし
ペクトフォレース.フラウム(命中), 小ビーム 黄色 Acid.wav;粒子集中 黄色
ペクトフォレース.ルブルム(準備), 発光 赤 Charge(Silent).wav
ペクトフォレース.ルブルム(攻撃), 小ビーム 赤 Acid.wav チャージなし
ペクトフォレース.ルブルム(命中), 小ビーム 赤 Acid.wav;粒子集中 赤
ペクトフォレース.プルム(準備),   発光 オレンジ Charge(Silent).wav
ペクトフォレース.プルム(攻撃),   小ビーム オレンジ Acid.wav チャージなし
ペクトフォレース.プルム(命中),   小ビーム オレンジ Acid.wav;粒子集中 オレンジ
ペクトフォレース.アルブム(準備), 発光 白 Charge(Silent).wav
ペクトフォレース.アルブム(使用), @戦闘アニメ_小ビーム攻撃 白 Acid.wav チャージなし
ペクトフォレース.アルブム(発動), @戦闘アニメ_小ビーム命中 白 Acid.wav;粒子集中 白

ベターマン・フォルテ
格闘(攻撃),                   打突
格闘(攻撃),                   打撃突撃
格闘(攻撃),                   浴びせ蹴り
格闘(攻撃),                   サマーソルト
格闘(攻撃),                   スーパーキック
格闘(命中),                   強打 Crash.wav

# フォルテとオルトス共通で。格闘のバリエーション多めに。

ブッタ
爪,                 爪撃 連続

バイオＵＭＡ
超音波,                 音波
触手,                   多触手 紫
まとわりつき,           飛びかかり
快楽中枢刺激フェロモン, ＭＡＰ煙 紫
捕食(攻撃),             透明化;実弾発射 $(Info(ユニット,対象ユニットＩＤ,グラフィック)) MicroMissile.wav
捕食(命中),             周囲回転 $(Info(ユニット,対象ユニットＩＤ,グラフィック)) MicroMissile.wav
捕食(解説),             $(ユニット)が襲いかかった。
管虫の群(準備),         瞬間変形 BTM_KudamushiU.bmp
管虫の群(攻撃),         透明化;実弾発射 BTM_KudamushiU.bmp MicroMissile.wav
管虫の群(命中),         周囲回転 BTM_KudamushiU.bmp MicroMissile.wav
管虫の群(解説),         メデューサは管虫の群になって襲いかかった。
甲虫の群(準備),         瞬間変形 BTM_KouchuuU.bmp
甲虫の群(攻撃),         透明化;実弾発射 BTM_KouchuuU.bmp MicroMissile.wav
甲虫の群(命中),         周囲回転 BTM_KouchuuU.bmp MicroMissile.wav
甲虫の群(解説),         ヘラクレスは甲虫の群になって襲いかかった。
羽虫の群(準備),         瞬間変形 BTM_HanemushiU.bmp
羽虫の群(攻撃),         透明化;実弾発射 BTM_HanemushiU.bmp MicroMissile.wav
羽虫の群(命中),         周囲回転 BTM_HanemushiU.bmp MicroMissile.wav
羽虫の群(解説),         イカロスは羽虫の群になって襲いかかった。
分身(分散),             四方分離回避 Whiz.wav 分散
分身(解説),             $(ユニット)は分散して回避した。

超人同盟
触手,                   触手 白
帯状腕,                 多触手 白
帯状腕(解説),           $(ユニット)は腕を帯状に伸ばして攻撃をかけた。

ベストマン
腕,                     瞬間変形 BTM_CancerU02.bmp 対象ユニットＩＤ;触手 黒
腕(解説),               $(ユニット)は腕を伸ばして攻撃をかけた。
格闘(攻撃),             瞬間変形 BTM_CancerU02.bmp 対象ユニットＩＤ;斬撃乱舞
格闘(命中),             乱打;瞬間変形 BTM_CancerU03.bmp 対象ユニットＩＤ;ジャイアントスイング;_
                        瞬間変形 BTM_CancerU04.bmp 対象ユニットＩＤ;踏み潰し;瞬間変形 対象ユニットＩＤ 反映

尊者ヤクスギ
ヴァイローチャナ(準備), 発光 白
ヴァイローチャナ(攻撃), フラッシュ 赤
アクショービヤ(準備),   発光 青
アクショービヤ(攻撃),   吹雪
アクショービヤ(命中),   吹雪;大氷柱
アミターバ(準備),       発光 赤
アミターバ(攻撃),       ホーミングレーザー 赤
アミターバ(命中),       ホーミングレーザー 赤;炎
ラトナサンバヴァ(準備), 発光 黄色
ラトナサンバヴァ(攻撃), 地表衝撃波 黄色
ラトナサンバヴァ(命中), 地表衝撃波 黄色;岩柱
アモーガシッディ(準備), 発光 緑
アモーガシッディ(攻撃), 旋風
アモーガシッディ(命中), 旋風

汎用
スモーク弾(攻撃), ホーミングミサイル
スモーク弾(命中), 煙
花火(攻撃),       ホーミングミサイル
花火(命中),       連続爆発
万国旗,           万国旗
人形爆弾,         投下爆弾
火炎放射,         火炎放射
ドリル,           ドリル
衝撃波,           気斬 白

