

餓狼伝説
タービランスアッパー, Swing.wav
ウェーブライダー(命中), 1.5;Slash.wav;1.5;Slash.wav;1.5;Slash.wav;1.5;Slash.wav;Slash.wav
白鷺の舞(命中), Combo.wav
花鳥扇, Bow.wav
花鳥扇(命中), Punch.wav
小夜千鳥, Swing.wav
小夜千鳥(命中), Slash.wav
必殺忍蜂(命中), Punch(2).wav
陽炎の舞, Whiz.wav
陽炎の舞(命中), Fire.wav
竜炎舞(命中), 3;Punch.wav;Fire.wav
水鳥の舞, 2;Bow.wav;2;Bow.wav;Bow.wav
水鳥の舞(命中), Punch(3).wav
超必殺忍蜂(命中), 5;Punch(2).wav;Explode(Small).wav
鳳凰の舞(命中), 4;Fire.wav;4;Fire.wav;Fire.wav
月下乱れ牡丹(命中), Explode.wav
花嵐(命中), 4;Combo.wav;Combo.wav
レオタード忍蜂(攻撃), 1;「不知火！」;6;Sharara.wav;@FAF_ShiranuiMai(A).bmp;1;「不知火！ 究極奥義！！」;3;BeamCoat.wav;3;BeamCoat.wav;3;BeamCoat.wav
レオタード忍蜂(命中), 3;Saber.wav;3;Saber.wav;Saber.wav
Ｍ．スパイダー(命中), 6;Punch.wav;BreakOff.wav
Ｍ．クラブクラッチ(命中), 6;Punch.wav;BreakOff.wav
Ｍ．スナッチャー(命中), 4;Punch.wav;Crash.wav
Ｍ．ヘッドバスター, Sword.wav
Ｍ．ヘッドバスター(命中), Explode(small).wav
Ｍ．ヘッドバスター(解説), 先制攻撃！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　$(ユニット)は$(相手武器)を受け止め、そのまま$(武器)で投げ飛ばそうとした。
ストレートスライサー(命中), Saber.wav
Ｍ．ダイナマイトスイング(命中), 4;Punch.wav;8;FallDown.wav;3;Swing.wav;3;Swing.wav;4;Swing.wav;Explode(small).wav
Ｍ．タイフーン(命中), Explode(Far).wav
Ｍ．スプラッシュローズ(命中), 1;「ハァイ！」;2;Saber.wav;1;「ハァイ！ ハァイ」;2;Saber.wav;1;「ハァイ！ ハァイ、ハァイ」;2;Saber.wav;1;「ハァイ！ ハァイ、ハァイ、ハァイ！！ 」;1;Saber.wav;1;Saber.wav;1;Saber.wav;「ハァイ！ ハァイ、ハァイ、ハァイ！！ <BIG>Finish！！</BIG>」
ハイパーモード(Ｍ．エスカレーション), 1;BeamCoat.wav;1;White.bmp 480 480
ネリチャギ(命中), Punch(2).wav
飛翔脚(命中), 5;Combo.wav;2;Punch.wav
空砂塵(命中), Punch(3).wav
半月斬(命中), 3;Saber.wav;Saber.wav
流星落(命中), 4;Punch.wav;Crash.wav
鳳凰飛天脚(命中), Glass.wav
鳳凰天舞脚(命中), Combo.wav
鳳凰脚(命中), 1;「あーたたた」;3;Combo.wav;1;「あーたたたたたた」;3;Combo.wav;1;「あーたたたたたたたたたた！」;3;Combo.wav;2;「あーたたたたたたたたたた！ あちゃぁぁ！！」;2;Saber.wav;2;Saber.wav;1;Saber.wav;「あーたたたたたたたたたた！ あちゃぁぁ！！」
三節棍, Swing.wav
三節棍(命中), Punch.wav
旋風棍, 2;Swing.wav;2;Swing.wav;Swing.wav
旋風棍(命中), Punch(4).wav
三節棍中段打ち, Swing.wav
三節棍中段打ち(命中), Punch.wav
雀落とし, Swing.wav
雀落とし(命中), Punch.wav
強襲飛翔棍, Missile.wav
強襲飛翔棍(命中), Punch.wav
焦点裂破棍(命中), MachineCannon.wav
火炎三節棍中段突き, Swing.wav
火炎三節棍中段突き(命中), 3;Punch.wav;1;「ファイヤー！」;2;Fire.wav;「ファイヤー！」
超火炎旋風棍, 2;Swing.wav;2;Swing.wav;2;Swing.wav;Whiz.wav
超火炎旋風棍(命中), Fire.wav
紅蓮殺棍(命中), 3;Saber.wav;3;Saber.wav;3;Saber.wav;Fire.wav
大旋風, 4;Swing.wav;3;Swing.wav;3;Swing.wav
大旋風(命中), Crash.wav
サラマンダーストリーム(命中), 2;Swing.wav;2;Swing.wav;2;Swing.wav;Fire.wav
阻止(火竜追撃棍), 3;Sword.wav;3;Sword.wav;Sword.wav
ブッさし(命中), Punch.wav
蛇使い, Swing.wav
蛇使い(命中), Whip.wav
裁きの匕首(命中), 3;Slash.wav;3;Slash.wav;3;Slash.wav;Slash.wav
蛇使い・大蛇, 2;Swing.wav;2;Swing.wav;Swing.wav
蛇使い・大蛇(命中), 2;Whip.wav;2;Whip.wav;Whip.wav
ギロチン, Shock(Low).wav
ギロチン(命中), 1;「ひゃは、ひゃは、ひゃーははは！！ 」;11;Breath.wav;1;「ひゃは、ひゃは、ひゃーははは！！.<big>こォの、アマチュアがぁ！！！</big>」;5;Swing.wav;Shock(Low).wav;「ひゃは、ひゃは、ひゃーははは！！.<big>こォの、アマチュアがぁ！！！</big>」
ドリル, Swing.wav
トドメ(命中), 5;Punch.wav;3;Punch.wav;3;「起きろコラァー！！」;Punch.wav;「起きろコラァー！！」
爆弾パチキ(命中), 1;Explode(small).wav;「クー、効くぜェ……」
ドリル(命中), Punch.wav;Punch.wav;Punch(2).wav;1;「イッペン、死んでこぉぉぉい！！！」;FastGun.wav;「イッペン、死んでこぉぉぉい！！！」
ドリル(命中), 2;FightHit(3).wav;2;FightHit(3).wav;3;FightHit(3).wav;2;FightHit(3).wav;2;FightHit(3).wav3;FightHit(3).wav;2;FightHit(3).wav;2;FightHit(3).wav;4;Punch.wav;1;「イッペン、死んでこぉぉぉい！！！」;FastGun.wav;「イッペン、死んでこぉぉぉい！！！」
ドリル(命中), 2;Explode(Small).wav;2;Explode(Small).wav;3;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;3;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;4;Punch.wav;1;「イッペン、死んでこぉぉぉい！！！」;FastGun.wav;「イッペン、死んでこぉぉぉい！！！」
ドリル(命中), 2;Whip.wav;2;Whip.wav;3;Whip.wav;2;Whip.wav;2;Whip.wav;3;Whip.wav;2;Whip.wav;2;Whip.wav;4;Whip.wav;1;「イッペン、死んでこぉぉぉい！！！」;FastGun.wav;「イッペン、死んでこぉぉぉい！！！」
ドリル(命中), 2;Slash.wav;2;Slash.wav;3;Slash.wav;2;Slash.wav;2;Slash.wav;3;Slash.wav;2;Slash.wav;2;Slash.wav;4;Slash.wav;1;「イッペン、死んでこぉぉぉい！！！」;FastGun.wav;「イッペン、死んでこぉぉぉい！！！」
ドリル(命中), 2;Crash.wav;2;Crash.wav;2;Crash.wav;2;Crash.wav;2;Crash.wav;2;Crash.wav;2;Crash.wav;2;Crash.wav;4;Crash.wav;1;「イッペン、死んでこぉぉぉい！！！」;FastGun.wav;「イッペン、死んでこぉぉぉい！！！」
反射(サドマゾ), 3;Swing.wav;FastGun.wav
当て身技(サドマゾ)(解説), $(ユニット)は$(相手武器)をすんでの所でかわし、反撃を繰り出した。
当て身技(倍返し)(解説), $(ユニット)は$(相手武器)を無造作に引っ掴み、そのまま投げ返した。
当て身技(サドマゾ), Swing.wav
当て身技(倍返し), Swing.wav
サドマゾ, FastGun.wav
倍返し, Whiz.wav
倍返し(命中), Crash.wav
烈風拳, 4;Whiz.wav
烈風拳(命中), Punch.wav
疾風拳, 4;Whiz.wav
疾風拳(命中), Punch.wav
邪影拳(命中), Punch(2).wav
ダブル烈風拳, 4;Storm.wav;4;Whiz.wav
ダブル烈風拳(命中), Punch.wav
ダブル疾風拳, 4;Whiz.wav;4;Whiz.wav
ダブル疾風拳(命中), Punch(2).wav
羅生門(命中), 6;Swing.wav;1;「<size=24><b>　羅　生　門　！　！</b></size>」;5;Bazooka.wav;Crash.wav;「<size=24><b>　羅　生　門　！　！</b></size>」
レイジングストーム, BeamCoat.wav
レイジングストーム(命中), Slash.wav
デッドリーレイブ(命中), 10;Combo.wav;1;「デッドリーレイブ！！」;3;Glass.wav;「デッドリーレイブ！！」
当て身技(当て身投げ)(解説), $(ユニット)は$(相手武器)を受け止め、その勢いを利用して投げ飛ばした。
当て身技(当て身投げ), Sword.wav
当て身投げ, Swing.wav
当て身投げ(命中), Shock(Low).wav
帝王漏尽拳, 4;Whiz.wav
帝王空殺漏尽拳, 4;Whiz.wav
帝王漏尽拳(命中), 3;Punch.wav;0.1;「……はぁぁ――！！」;Charge.wav;「…はぁぁ――！！」
帝王空殺漏尽拳(命中), 3;Punch.wav;0.1;「……はぁぁ――！！」;Charge.wav;「…はぁぁ――！！」
帝王天眼拳, 4;Swing.wav
帝王天眼拳(命中), Punch.wav
帝王神足拳, 1;Swing.wav;Swing.wav
帝王神足拳(命中), Punch.wav
帝王天耳拳, Swing.wav
帝王連殺宿命拳, 3;Cannon.wav;3;Cannon.wav;Cannon.wav
帝王連殺宿命拳(命中), Punch(3).wav
帝王宿命拳, Missile.wav
帝王宿命拳(命中), Shock(Low).wav
帝王龍声拳, Explode.wav
帝王龍声拳(命中), Explode.wav
反射(帝王他心拳), BeamCoat.wav
ビートラッシュ(命中), Combo.wav
フライングヘッドスピン, 2;Swing.wav;2;Swing.wav
ヘッドスピンアタック, 2;Swing.wav;2;Swing.wav;Swing.wav
ダンシングダイブ(命中), Punch(2).wav
ブレイクストーム, Swing.wav
ブレイクストーム(命中), 3;Punch.wav;Combo.wav
ローリングパニッシャー, 2;Swing.wav;2;Swing.wav;2;Swing.wav
ローリングパニッシャー(命中), 4;Combo.wav;4;Combo.wav;4;Combo.wav;Punch.wav
ダイビングパニッシャー, 2;Swing.wav;2;Swing.wav;2;Swing.wav;Swing.wav
ダイビングパニッシャー(命中), Punch(4).wav
ブレイクハリケーン, Swing.wav
ブレイクハリケーン(命中), 3;Punch.wav;Combo.wav
ダンシングキャリバー(命中), 4;Combo.wav;4;Combo.wav;4;Combo.wav;Punch.wav
ブレイクスパイラル(命中), 5;Swing.wav;8;Bomb.wav;4;Combo.wav;4;Combo.wav;4;Combo.wav;Explode(small).wav
ブレイクスパイラルＢＲ(命中), 3;Falldown.wav;Drill.wav
シールド防御(超反動満腹砲丸), Punch.wav
シールド防御(超反動満腹砲丸)(解説), $(ユニット)は腹の贅肉で攻撃を受け、後ろへ自ら転がることでダメージを軽減した。
クッサメ砲, Explode.wav
発剄裏拳, BeamSaber.wav
発剄裏拳(命中), Explode(Small).wav
氣雷砲, Swing.wav
氣雷砲(命中), Hide.wav
破岩撃, Swing.wav
超太鼓腹打ち, PowerDown.wav
爆雷砲, 6;Hide.wav;Swing.wav
爆雷砲(命中), Explode.wav
ホエホエ弾, Missile.wav
天地崩落無尽砲, 5;Swing.wav;PowerDown.wav
天地崩落無尽砲(命中), 1;「ホア」;5;Punch(2).wav;1;「ホアホア」;5;Punch(2).wav;1;「ホアホアホア」;5;Punch(2).wav;1;「ホアホアホアホア」;5;Punch(2).wav;1;「ホアホアホアホアホア」;5;Punch(2).wav;1;「ホアホアホアホアホア、ホア―！！」;3;Explode.wav;「ホアホアホアホアホア、ホア―！！」
裂千掌(命中), Combo.wav
怒顔砲, Cannon.wav
怒顔砲(命中), Punch.wav
箭疾歩, Swing.wav
箭疾歩(命中), Punch.wav
裂千脚(命中), Combo.wav
撃放, Charge.wav
撃放(命中), Punch(3).wav
衝破, Warship.wav
衝破(命中), Explode(Small).wav
大衝破, 3;Swing.wav;Warship.wav
大衝破(命中), Explode.wav
旋風剛拳, 3;Swing.wav;3;Swing.wav;3;Swing.wav;Swing.wav
旋風剛拳(命中), Punch(4).wav
大撃放, 8;Charge.wav;Swing.wav
大撃放(命中), 9;Punch(3).wav;Crash.wav
マント(命中), Slash.wav
ブラッディシューター, Swing.wav
ブラッディシューター(命中), Saber.wav
ブラッディスピン, Storm.wav
ブラッディスピン(命中), Punch(4).wav
ブラッディカッター, Swing.wav
ブラッディミキサー, Drill.wav
ブラッディミキサー(命中), 3;Slash.wav;3;Slash.wav;3;Slash.wav;Slash.wav
ブラッディサーベル, Swing.wav
ブラッディシャドー, Whiz.wav
ブラッディフラッシュ, 3;Swing.wav;3;Swing.wav;3;Swing.wav;Swing.wav
ファイナルデスブラッディ, Swing.wav
ブラッディサーベル(命中), 1;「フン！」;3;Punch.wav;1;「フン！ ハァッ！」;6;Punch(2).wav;1;「フン！ ハァッ！ ブラッディサーベル！」;3;Saber.wav;3;Saber.wav;3;Saber.wav;3;Saber.wav;「フン！ ハァッ！ ブラッディサーベル！」
ブラッディシャドー(命中), 1;「ブラッディシャドー！ フハハハハハハ！」;3;Saber.wav;3;Saber.wav;3;Saber.wav;3;Saber.wav;「ブラッディシャドー！ フハハハハハハ！」
ブラッディフラッシュ(命中), 3;Saber.wav;3;Saber.wav;3;Saber.wav;3;Saber.wav;1;Saber.wav;1;「<BIG>KILL YOU！！</BIG>」
ファイナルデスブラッディ(命中), 5;Shock(Low).wav;3;Saber.wav;3;Saber.wav;3;Saber.wav;3;Saber.wav;8;Saber.wav;3;Saber.wav;「<BIG>DIE FOREVER！！</BIG>」
ＤＯＫＵＧＩＲＩ, GunPod.wav
ダブルスレッジハンマー, Swing.wav
ジャイアント・ボム, Bazooka.wav
サンダーデスドライバー(命中), Explode(Small).wav
スーパードロップキック, Bazooka.wav
スーパードロップキック(命中), Crash.wav
トールハンマー(命中), 12;Punch(4).wav;Explode.wav
バーサークトライデント(命中), 6;Shock(Low).wav;6;BreakOff.wav;6;Shock(Low).wav;Shock(Low).wav
ファイアーブレス, GunPod.wav
ファイアーブレス(命中), Fire.wav
サークルハリケーン(命中), 3;Swing.wav;5;Explode(Small).wav;3;Swing.wav;5;Explode(Small).wav;3;Swing.wav;3;Swing.wav;3;Swing.wav;Explode.wav
一本背負い(命中), 3;Swing.wav;3;FallDown.wav
センベイ手裏剣, Swing.wav
センベイ手裏剣(命中), Punch.wav
ダッシュ二本背負い, Swing.wav
ダッシュ二本背負い(命中), 3;Swing.wav;3;FallDown.wav
大いずな落とし(命中), 3;Swing.wav;4;Bomb.wav;Explode.wav
ダイナマイトいずな落とし(命中), 3;Swing.wav;4;Bomb.wav;Explode(Nuclear).wav
アトミックボンバー, Swing.wav
スマッシュボンバー, Swing.wav
アクセルダンス(命中), Combo.wav
アクセルラッシュ(命中), 4;Punch(2).wav;Crash.wav
カイザーデュエルソバット(命中), Punch(2).wav
ブリッツボール, Swing.wav
カイザークロー(解説)(対空中), $(ユニット)は$(武器)で空中の$(相手ユニット)へ掴みかかった。
カイザークロー(命中), 6;Saber.wav;Shock(Low).wav
レッグトマホーク, Swing.wav
ギガティックサイクロン(命中), Storm.wav
カイザーウェーブ, 1;「永遠に醒めぬ夢を！」;8;Charge.wav;1;「永遠に醒めぬ夢を！ カイザーウェーブ！！」;1;Beam.wav;「永遠に醒めぬ夢を！ カイザーウェーブ！！」
カイザーウェイブ, 1;「カイッザー…」;8;Charge.wav;1;「カイッザー…ウェイブ！！」;Beam.wav;「カイッザー…ウェイブ！！」
カイザーウェイブ, 1;「<big>Kaiser…</big>」;8;Charge.wav;1;「<big>Kaiser…Wave！！</big>」;Beam.wav;「<big>Kaiser…Wave！！</big>」
アンリミテッドデザイア(命中), 12;Punch(4).wav;12;Punch(4).wav;Crash.wav
野猿狩り(命中), 5;PatrolCar.wav
錫杖, Swing.wav
まきびし(命中), Stab.wav
雷神愚(解説)(対空中), $(ユニット)は$(相手ユニット)へ錫杖を大きく振り上げた。
雷神愚, Swing.wav
雷神愚(命中), Shock(Low).wav
邪棍舞, 3;Swing.wav;3;Swing.wav;3;Swing.wav;Swing.wav
邪棍舞(命中), Punch(4).wav
鬼門陣, Whiz.wav
渦炎陣, Whiz.wav
渦炎陣(命中), Fire.wav
憑依弾, 3;Swing.wav;3;Swing.wav;3;Swing.wav;Swing.wav
憑依弾(命中), 12;Punch(4).wav;Explode(small).wav
いかづち, Thunder.wav
いかづち(命中), Explode.wav
無惨弾, 10;Thunder.wav;Swing.wav
無惨弾(命中), Explode.wav
サイドワインダー, 3;Swing.wav;3;Swing.wav;3;Swing.wav;Swing.wav
パイソンホーン, Swing.wav
ワイルドウルフ(命中), Punch(2).wav
モンキーダンス, 3;Swing.wav;3;Swing.wav;Swing.wav
モンキーダンス(命中), Punch(3).wav
ローリングタートル, Storm.wav
ローリングタートル(命中), Combo.wav
デンジャラスウルフ, 3;Swing.wav;3;Swing.wav;3;Swing.wav;Swing.wav
デンジャラスウルフ(命中), 3;Slash.wav;3;Slash.wav;3;Slash.wav;3;Slash.wav;Explode(small).wav
ダンシングパイソン, 2;Swing.wav;2;Swing.wav;2;Swing.wav;Swing.wav
ダンシングパイソン(命中), Punch(4).wav
マッドスピンウルフ, Storm.wav
マッドスピンウルフ(命中), 10;Combo.wav;Explode.wav
ヌンチャク, Swing.wav
ヌンチャク(命中), Punch.wav
必勝逆襲脚, 5;Swing.wav;8;Helicopter.wav;-
電光石火の地, FastGun.wav
電光石火の地(命中), 4;Combo.wav;Punch.wav
黒龍(命中), Punch(4).wav
九龍の読み, 2;Sword.wav;2;Sword.wav;2;Sword.wav;2;Sword.wav;2;Sword.wav;Sword.wav
九龍の読み(命中), Punch(4).wav
電光石火の天, Swing.wav
炎の種馬(攻撃), 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;Swing.wav
炎の種馬(命中), 1;「あーちゃちゃちゃちゃちゃちゃ！」;9;Combo.wav;1;「あーちゃちゃちゃちゃちゃちゃ！.あちゃぁ！！」;3;Fire.wav;「あーちゃちゃちゃちゃちゃちゃ！.あちゃぁ！！」
炎の種馬(回避), Sword.wav;「あちゃ、あちゃ、あ痛ぁ～～～！」
制空烈火棍, Swing.wav
制空烈火棍(命中), 3;Punch.wav;Fire.wav
爆発ゴロー, 3;Swing.wav;3;Swing.wav;3;Swing.wav;Swing.wav
爆発ゴロー(命中), 1;「あーちゃちゃちゃちゃちゃちゃちゃ！」;4;Combo.wav;5;Combo.wav;1;「あーちゃちゃちゃちゃちゃちゃちゃ！.ほあちゃあ！！」;3;Fire.wav;1;「あーちゃちゃちゃちゃちゃちゃちゃ！.ほあちゃあ！！」
カデンツァの嵐(命中), 12;Combo.wav;4;Silent.wav;8;Punch(2).wav;Explode.wav
ザッパー, Whiz.wav
ザッパー(命中), Punch.wav
ウェービングブロー, 5;Swing.wav;Swing.wav
ウェービングブロー(命中), Punch(2).wav
ガッツダンク(命中), Crash.wav
ゴールデンボンバー, 5;Swing.wav;Swing.wav
ゴールデンボンバー(命中), Punch(2).wav
ダブルコング, 3;Swing.wav;Swing.wav
ダブルコング(命中), Punch(2).wav
メガトンスクリュー, Storm.wav
ファイナルオメガショット, Swing.wav
ファイナルオメガショット(命中), Explode(Far).wav
ハルマゲドンバスター, Swing.wav
ハルマゲドンバスター(命中), 4;Punch.wav;2;Silent.wav;Crash.wav
光輪殺(命中), Saber.wav
竜灯掌・幻殺(命中), 5;Fire.wav;6;Whiz.wav;3;Silent.wav;Combo.wav
帝王空殺漏尽拳, 6;Swing.wav;Whiz.wav
帝王空殺漏尽拳(命中), 3;Punch.wav;Charge.wav
海龍照臨, 6;Whiz.wav;Storm.wav
海龍照臨(命中), MicroMissile.wav
パニッシャー, Swing.wav
ディバインブラスト, 2;Cannon.wav;Missile.wav
シューティングスター(命中), Combo.wav
ブレイジングサンバースト, Swing.wav
ブレイジングサンバースト(命中), Explode(small).wav
ヘリオン, 3;Swing.wav;Swing.wav
ヘリオン(命中), 3;Saber.wav;Saber.wav
シューティングスターＥＸ, Missile.wav
シューティングスターＥＸ(命中), Combo.wav
ガイアブレス, Swing.wav
ガイアブレス(命中), 2;Whiz.wav;5;Storm.wav;Crash.wav
ハウリング・ブル, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;Swing.wav
ハウリング・ブル(命中), 4;Combo.wav;4;Combo.wav;4;Combo.wav;Crash.wav
双掌打(命中), Punch.wav
閃里肘皇, Swing.wav
天崩山, Swing.wav
詠酒, Swing.wav
万泊後宴(命中), 4;Swing.wav;Explode
那夢波(攻撃), Bazooka.wav
那夢波(命中), Crash.wav
大鉄神, 1;「フンッ」;4;Explode(Small).wav;1;「フンッ、ハィ―――――！！」;1;Bazooka.wav;「フンッ、ハィ―――――！！」
大鉄神(命中), Crash.wav
超白龍(命中), 4;Punch.wav;2;Swing.wav;Explode.wav
真神牙(命中), 1;「ハァァァァ…」;8;Charge.wav;9;FastGun.wav;1;Crash.wav;「ハァァァァ…どうだー！！」
扇子, Swing.wav
弐双連斬, 2;Swing.wav;Swing.wav
弐双連斬(命中), 2;Slash.wav;Slash.wav
轟天殺(命中), 3;Swing.wav;FallDown.wav
竜巻捕縛(命中), 3;Sword.wav;Storm.wav
合気鏡殺(攻撃), BeamSaber.wav
合気鏡殺(命中), Explode(Small).wav
摩利支天, 2;Swing.wav;2;Swing.wav;2;Swing.wav;Swing.wav
摩利支天(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav;4;Slash.wav;Slash.wav
不倶戴天(命中), 3;Whiz.wav;9;FastGun.wav;Explode.wav
なにわラリアート, Swing.wav
ハンティングブリッジ(命中), 3;Swing.wav;FallDown.wav
オクトパスヒート(解説), 先制攻撃！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　$(ユニット)は$(相手武器)を受け止め、その勢いを利用し$(武器)で投げ飛ばそうとした。
オクトパスヒート(命中), 2;Sword.wav;3;Swing.wav;FallDown.wav
お好みヤキ入れ, 2;Swing.wav;2;Swing.wav;2;Swing.wav;3;Swing.wav;Swing.wav
お好みヤキ入れ(命中), 2;Punch.wav;2;Punch.wav;2;Punch.wav;3;Punch.wav;Punch.wav
Ｓドロップキックライト, Bazooka.wav
Ｓドロップキックライト(命中), Crash.wav
通天閣ドライバー(命中), 3;Swing.wav;Explode.wav
フライングつぐみドロップ, Swing.wav
フライングつぐみドロップ(命中), 3;Punch.wav;3;Punch.wav;3;Punch.wav;3;Punch.wav;Combo.wav
なにわデスロック(命中), 4;FallDown.wav;5;Hide.wav;BreakOff.wav
ループインクラッシュ, Missile.wav
ループインクラッシュ(命中), 4;FallDown.wav;3;Punch.wav;3;Punch.wav;3;Punch.wav;3;Punch.wav;12;Combo.wav;Explode.wav
極限流連極拳(命中), Punch(4).wav
虎煌拳, Whiz.wav
虎煌拳(命中), Punch.wav
飛燕疾風脚, Swing.wav
飛燕疾風脚(命中), Punch(2).wav
虎砲, Swing.wav
虎砲(命中), Explode(small).wav
死兆拳(命中), 3;Sword.wav;Punch.wav
暫烈拳(命中), Combo.wav
覇王翔吼拳, BeamCoat.wav
龍虎乱舞(命中), 12;Combo.wav;Explode(small).wav
ステッキ, Swing.wav
ステッキ(命中), Punch.wav
パラリティックナップ, Whiz.wav
パラリティックナップ(命中), Glass.wav
ナッツクラッカー, Swing.wav
ナッツクラッカー(命中), Stab.wav
イノセントギルティー, 2;Swing.wav;2;Swing.wav;2;Swing.wav;Swing.wav
イノセントギルティー(命中), 3;Punch.wav;3;Punch.wav;3;Punch.wav;Punch.wav
プーピーショット, LaserGun.wav
デモンズシェリー, MicroMissile.wav
デモンズシェリー(命中), Glass.wav

