
### 戦闘アニメ #######################################################

ＴＯＳ
ウッドブレード, 木刀 二刀流
瞬迅剣(命中), 刺突
空破衝(攻撃), 斬撃突撃
空破衝(命中), 大刺突
風迅剣(攻撃), 斬撃突撃
風迅剣(命中), 刺突 緑;アッパー Saber.wav
獅子戦吼(攻撃), タックル;スーパータックル 青 Bazooka.wav
獅子戦吼(命中), 強打
獅吼翔破陣(攻撃), タックル;光噴出 青 -.wav 対象ユニットＩＤ;スーパータックル 青 Bazooka.wav
獅吼翔破陣(命中), 強打
獅吼旋破(攻撃), なぎ払い;スーパータックル 青 Bazooka.wav
獅吼旋破(命中), なぎ払い;強打
飛天翔駆(攻撃), スーパーダイブ 白
飛天翔駆(命中), スーパーダイブ 白 Saber.wav
天翔蒼破斬(準備), オーラ上昇 青;光巨大剣 桃;フェイスアップ 赤
天翔蒼破斬(攻撃), フェイスアップ 赤;振り下ろし
天翔蒼破斬(命中), 超斬撃
ピコハン(攻撃), 回転投擲武器 Weapon\EFFECT_PicopicoHammer01.bmp
ピコハン(命中), ダメージ PiyoPiyo.wav
ピコピコハンマー(準備), -
ピコピコハンマー(攻撃), 回転投擲武器 Weapon\EFFECT_PicopicoHammer01.bmp;Whiz.wav
ピコピコハンマー(命中), ダメージ PiyoPiyo.wav
ピコレイン(攻撃), 回転投擲武器 Weapon\EFFECT_PicopicoHammer01.bmp;回転投擲武器 Weapon\EFFECT_PicopicoHammer01.bmp
ピコレイン(命中), ダメージ PiyoPiyo.wav
パラライボール(攻撃), 斬撃
パラライボール(命中), 落雷
パラライパルティータ(攻撃), 連斬撃
パラライパルティータ(命中), 落雷;放電
レイトラスト, チャクラム
レイシレーゼ(準備), スーパーブーメラン 青
レイシレーゼ(攻撃), スーパーブーメラン 青;スーパーブーメラン 青
レイシレーゼ(命中), 刺突 青
リミュエレイヤー(準備), スーパーブーメラン 青
リミュエレイヤー(攻撃), スーパーブーメラン 青;Whiz.wav;Whiz.wav
リミュエレイヤー(命中), 連突 青
ルーンスティア(準備), チャクラム Whiz.wav
ルーンスティア(攻撃), デフォルト
スティアフェンネル(準備), スーパーブーメラン 青 Whiz.wav
スティアフェンネル(攻撃), デフォルト
ブランディス(攻撃), 白兵回転
ブランディス(命中), なぎ払い
レンジウィングル(攻撃), 白兵回転
レンジウィングル(命中), なぎ払い
ソルフェージュ, 連斬撃;なぎ払い
アイテムスティール, タックル
ローバーアイテム, タックル
グランシャリオ, スーパーブーメラン 青
グランシャリオ(命中), 刺突 青;落雷
スターダスト・クロス(攻撃), 光投射 黄 Swing.wav
スターダスト・クロス(命中), 連打
エンジェルフェザー(準備), 光噴出 白 Whiz.wav
エンジェルフェザー(攻撃), 実弾発射 Beam\EFFECT_DBeamHit(Pink)06.bmp Flair.wav 発光 速
エンジェルフェザー(命中), 連斬撃 Saber.wav
ホーリーソング(準備), 光噴出 白 Whiz.wav
ホーリーソング(使用), 魔法放射 大 白
ジャッジメント(準備), 光噴出 白 Whiz.wav
ジャッジメント(攻撃), ＭＡＰフラッシュ Beam.wav
ジャッジメント(命中), ダメージ 白 Explode.wav
リヴァヴィウサー(準備), 光噴出 白 Whiz.wav
リヴァヴィウサー(攻撃), 発光 白
リヴァヴィウサー(命中), 発光 緑 Inori.wav
グランドクロス(準備), 光噴出 白 Whiz.wav
グランドクロス(攻撃), 光長距離 白
グランドクロス(命中), 発光 白
閃空裂破(攻撃), 風 Whiz.wav 対象ユニットＩＤ
閃空裂破(命中), 斬撃;刺突
閃光墜刃牙(攻撃), 風 Whiz.wav 対象ユニットＩＤ;振り上げ
閃光墜刃牙(命中), 斬撃;刺突
閃空衝裂破(攻撃), 風 Whiz.wav 対象ユニットＩＤ
閃空衝裂破(命中), 連斬撃
守護方陣(攻撃), 魔法放射 青
守護方陣(命中), ダメージ
紅蓮剣(攻撃), 気斬 赤
紅蓮剣(命中), 爆発
雷神剣(攻撃), 斬撃突撃
雷神剣(命中), 刺突;落雷
風雷神剣(攻撃), 斬撃突撃
風雷神剣(命中), 刺突;風;落雷
アクアエッジ(攻撃), ３ＷＡＹ射出
アクアエッジ(命中), 斬撃 Saber.wav
スプレッド(攻撃), 魔法放射 青 Splash.wav 相手ユニットＩＤ
スプレッド(命中), 飛沫 青 Splash.wav
タイダルウェイブ, ＭＡＰ津波
アクアレイザー(攻撃), 波動放射 青 残像
アクアレイザー(命中), 斬撃 Saber.wav
ファイアボール(攻撃), キャノン砲 3
ファイアボール(命中), 連続爆発 3
イラプション(攻撃), 光噴出 赤 Fire.wav 相手ユニットＩＤ
イラプション(命中), 火柱 Explode.wav
エクスプロード(攻撃), 光打ち下ろし 赤
エクスプロード(命中), 超爆発
フレイムランス(攻撃), 気斬 赤
フレイムランス(命中), 爆発
ウィンドカッター, 風
エアスラスト(攻撃), 強風
エアスラスト(命中), 連斬撃
サイクロン(攻撃), 竜巻
サイクロン(命中), 竜巻 Saber.wav
エアブレイド(攻撃), ＭＡＰ波動放射 緑 残像
エアブレイド(命中), 斬撃 Saber.wav
ストーンブラスト(攻撃), 光噴出 白 Whiz.wav
ストーンブラスト(命中), 連打
ロックブレイク(攻撃), 石柱
ロックブレイク(命中), アッパー
グランドダッシャー(攻撃), 魔法放射 橙 相手ユニットＩＤ MicroMissile.wav
グランドダッシャー(命中), 乱打
グレイブ(攻撃), Whiz.wav
グレイブ(命中), 刺突;4;連突
ライトニング, 落雷
サンダーブレード(攻撃), 光投射 桃
サンダーブレード(命中), 魔法放射 桃 Whip.wav;放電
インディグネイション(攻撃), 五芒星 Applause.wav
インディグネイション(命中), 発光 青 -.wav;Explode(Far).wav
スパークウェブ(攻撃), 光投射 桃
スパークウェブ(命中), 球電
アイシクル, 氷柱
アイストーネード(攻撃), 周囲回転 EFFECT_Particle(Blue)01.bmp Storm.wav
アイストーネード(命中), 凍結 Glass.wav
フリーズランサー(攻撃), 魔法放射 青
フリーズランサー(命中), 拡散ビーム 青 Slash.wav
レイジングミスト(攻撃), 魔法放射 赤 Fire.wav 相手ユニットＩＤ
レイジングミスト(命中), 炎
グラビティ(攻撃), 発光 黒 Whiz.wav 相手ユニットＩＤ
グラビティ(命中), 重力圧縮 FastGun.wav
スパイラルフレア(攻撃), ＭＡＰビーム 赤 Cannon.wav
スパイラルフレア(命中), 中ビーム 赤
ヴォルトアロー(攻撃), 球電
ヴォルトアロー(命中), 放電 Thunder.wav;放電 Thunder.wav
アドプレッシャー(攻撃), 魔法放射 橙 BeamSaber.wav
アドプレッシャー(命中), 連打
マイトアトラス(攻撃), 光投射 緑
マイトアトラス(命中), 旋風 緑 Saber.wav
アブソリュート(攻撃), 光噴出 白 Whiz.wav 相手ユニットＩＤ
アブソリュート(命中), 凍結 Glass.wav
バイトオブアース(攻撃), 光噴出 橙 MultipleRocketLauncher.wav 相手ユニットＩＤ
バイトオブアース(命中), Stab.wav;Stab.wav;Stab.wav;Stab.wav;放電
プリズムソード(攻撃), 六芒星 白
プリズムソード(命中), 発光 白 Flair.wav;1;Flair.wav;1;Flair.wav;1;Flair.wav;1;Flair.wav;1;Flair.wav;1;Flair.wav;飛沫 白 Glass.wav
メテオスォーム(攻撃), 隕石;ＭＡＰ爆発
メテオスォーム(命中), 爆発
フォトン(攻撃), 発光 黄 Hittyuu.wav 相手ユニットＩＤ
フォトン(命中), 飛沫 黄 Cannon.wav
レイ(攻撃), 光投射 白
レイ(命中), 小ビーム 白 ランダム方向
ホーリーランス(攻撃), 魔法放射 白 相手ユニットＩＤ
ホーリーランス(命中), 発光 白
ダークスフィア(攻撃), 発光 黒 Hittyuu.wav 相手ユニットＩＤ
ダークスフィア(命中), 飛沫 黒 Cannon.wav
ブラッディランス(攻撃), 魔法放射 黒 相手ユニットＩＤ
ブラッディランス(命中), 発光 黒
ハートレスサークル(使用), 魔法放射 青 相手ユニットＩＤ
散力符(攻撃), 打突
散力符(命中), 飛沫 青 BreakOff.wav
散力翔符(攻撃), 打突;なぎ払い
散力翔符(命中), 打撃;飛沫 青 BreakOff.wav
散力凄符(攻撃), 打突
散力凄符(命中), 飛沫 青 BreakOff.wav
蛇拘符(攻撃), 打突
蛇拘符(命中), 飛沫 黒 BreakOff.wav
蛇拘翔符(攻撃), 打突;なぎ払い
蛇拘翔符(命中), 打撃;飛沫 黒 BreakOff.wav
蛇拘凄符(攻撃), 打突
蛇拘凄符(命中), 飛沫 黒 BreakOff.wav
幽幻符(攻撃), 打突
幽幻符(命中), 飛沫 桃 BreakOff.wav
幽幻翔符(攻撃), 打突;なぎ払い
幽幻翔符(命中), 打撃;飛沫 桃 BreakOff.wav
幽幻凄符(攻撃), 打突
幽幻凄符(命中), 飛沫 桃 BreakOff.wav
炸力符(攻撃), 打突
炸力符(命中), 発光 橙 Cannon.wav
生吸符(攻撃), 打突
生吸符(命中), 吸収 桃
精吸符(攻撃), 打突
精吸符(命中), 吸収 緑
破魔濤符(攻撃), 打突
破魔濤符(命中), 発光 橙 Whiz.wav
風刃縛封(攻撃), 風
風刃縛封(命中), 発光 緑 Whiz.wav;アッパー
降霊召符・水(準備), 光噴出 青 Whiz.wav
降霊召符・水(攻撃), 粒子集中 青 相手ユニットＩＤ
降霊召符・水(命中), 飛沫 青 Splash.wav
降霊召符・風(準備), 光噴出 緑 Whiz.wav
降霊召符・風(攻撃), 粒子集中 緑 相手ユニットＩＤ
降霊召符・風(命中), 竜巻 Saber.wav
降霊召符・火(準備), 光噴出 赤 Whiz.wav
降霊召符・火(攻撃), 粒子集中 赤 相手ユニットＩＤ
降霊召符・火(命中), 大爆発
降霊召符・光(準備), 光噴出 白 Whiz.wav
降霊召符・光(攻撃), 粒子集中 白 相手ユニットＩＤ
降霊召符・光(命中), @戦闘アニメ_ＭＡＰビーム攻撃 白
降霊召符・氷(準備), 光噴出 青 Whiz.wav
降霊召符・氷(攻撃), 粒子集中 青 相手ユニットＩＤ
降霊召符・氷(命中), 氷柱 Glass.wav
降霊召符・雷(準備), 光噴出 桃 Whiz.wav
降霊召符・雷(攻撃), 粒子集中 桃 相手ユニットＩＤ
降霊召符・雷(命中), 落雷
降霊召符・地(準備), 光噴出 橙 Whiz.wav
降霊召符・地(攻撃), 粒子集中 橙 相手ユニットＩＤ
降霊召符・地(命中), 強打;連打
降霊召符・闇(準備), 光噴出 黒 Whiz.wav
降霊召符・闇(攻撃), 粒子集中 黒 相手ユニットＩＤ
降霊召符・闇(命中), 発光 闇 Fold.wav;ダメージ 黒 BreakOff.wav
降霊召符・源(準備), 光噴出 白 Whiz.wav
降霊召符・源(攻撃), 粒子集中 白 相手ユニットＩＤ
降霊召符・源(命中), 球電;放電
降霊召符・元(準備), 光噴出 白 Whiz.wav
降霊召符・元(攻撃), 粒子集中 白 相手ユニットＩＤ
降霊召符・元(命中), @戦闘アニメ_隕石攻撃;大爆発
爆砕斬(攻撃), ベアリング Punch.wav
爆砕斬(命中), ベアリング
爆焔焼破(攻撃), ベアリング Punch.wav;振り上げ
爆焔焼破(命中), ベアリング;アッパー
爆壊連舞(攻撃), ベアリング Punch.wav;振り上げ Punch.wav
爆壊連舞(命中), ベアリング;ベアリング
連牙爆砕迅(攻撃), ベアリング Punch.wav;白兵回転 Punch.wav
連牙爆砕迅(命中), ベアリング;ベアリング;ベアリング
裂旋斧, なぎ払い
牙旋豪斧, なぎ払い;2;振り上げ
双旋連斧(攻撃), なぎ払い;Swing.wav
双旋連斧(命中), なぎ払い;なぎ払い
空旋連転斧(攻撃), なぎ払い;Swing.wav;なぎ払い;Swing.wav
空旋連転斧(命中), なぎ払い;なぎ払い
弧月閃(攻撃), アッパー
弧月閃(命中), 振り上げ
月閃空破(攻撃), アッパー;2;振り上げ
月閃空破(命中), 振り上げ;2;斬撃
翔月双閃(攻撃), アッパー;2;アッパー
翔月双閃(命中), 振り上げ;3;振り上げ
翔舞烈月華(攻撃), 白兵回転
翔舞烈月華(命中), 振り上げ;2;振り上げ
崩襲撃(攻撃), 振り下ろし
崩襲撃(命中), 唐竹割り
岩砕襲撃(準備), -
岩砕襲撃(攻撃), 振り下ろし;Whiz.wav
岩砕襲撃(命中), アッパー;唐竹割り
崩襲地顎陣(攻撃), 振り下ろし;光噴出 橙 FastGun.wav
崩襲地顎陣(命中), 連打;唐竹割り
崩昇襲撃(攻撃), 振り下ろし;振り上げ
崩昇襲撃(命中), 唐竹割り;アッパー
獅吼滅龍閃(攻撃), なぎ払い;スーパータックル 青 Bazooka.wav
獅吼滅龍閃(命中), 強打
天月閃(攻撃), 振り上げ
天月閃(命中), 振り上げ Punch.wav
裂蹴撃(攻撃), キック;Swing.wav
裂蹴撃(命中), 打撃;打撃
三散華(攻撃), キック;Swing.wav;Swing.wav
三散華(命中), 打撃;打撃;打撃
牙狼連濤打(攻撃), 白兵乱撃
牙狼連濤打(命中), 連打
飛燕脚, アッパー
飛燕連脚(攻撃), アッパー;なぎ払い
飛燕連脚(命中), アッパー;なぎ払い Punch.wav
飛龍顎(攻撃), アッパー Sword.wav
飛龍顎(命中), 振り上げ Punch.wav
鷹爪蹴撃(攻撃), ジャンプ
鷹爪蹴撃(命中), 唐竹割り
鷹爪猛襲脚(攻撃), ジャンプ
鷹爪猛襲脚(命中), 唐竹割り
鷹嘴蹴落(攻撃), ジャンプ
鷹嘴蹴落(命中), 唐竹割り
凄龍昂(攻撃), 振り上げ
凄龍昂(命中), 強打
凄把龍昂(攻撃), 振り上げ;振り上げ
凄把龍昂(命中), アッパー;強打
凄龍衝破昂(攻撃), キック;振り上げ
凄龍衝破昂(命中), Whip.wav;強打
発(攻撃), 発光 赤 対象ユニットＩＤ Bazooka.wav
発(命中), ダメージ
天崩流, タックル
ライトウェーブ, 地表衝撃波 白
ディースネル(攻撃), 発光 白 Beam.wav
ディースネル(命中), ダメージ 白 Explode.wav
アウトバースト(攻撃), 魔法放射 青
アウトバースト(命中), 強打
ライトフォース(攻撃), 中ビーム 白
ライトフォース(命中), 強打
リジェクション(攻撃), 光噴出 青
リジェクション(命中), 連打
イノセント・ゼロ(攻撃), 発光 青 -.wav;魔法放射 白 大
フラッシュボール(攻撃), 光投射 青
テンタクルソード, 刺突
インセイン・フォース(攻撃), 発光 白 Charge.wav
インセイン・フォース(命中), 強打
フラッシュ, 中ビーム 白
フォースリング(攻撃), なぎ払い
フォースリング(命中), ビームサーベル 白
ジャッジメント・レイ(攻撃), ＭＡＰビーム 白
ジャッジメント・レイ(命中), ダメージ 白 Explode.wav
アームショット(攻撃), 実弾発射 EFFECT_Beam(Green)04.bmp Cannon.wav
ダウンバースト(攻撃), 急降下
ダウンバースト(命中), 急降下 緑
爆炎斧(準備), -
爆炎斧(命中), 炎斬撃
煉獄崩爆破(攻撃), 打突
煉獄崩爆破(命中), 強打;粒子集中 赤;爆発
降雷撃, 落雷
護法陣(攻撃), ＭＡＰオーラ 青
浮翔陣(攻撃), Whiz.wav
浮翔陣(命中), 落下 衝突無し
獅現陣(攻撃), なぎ払い;スーパータックル 青 Bazooka.wav
獅現陣(命中), 強打
スパークボール(攻撃), 光投射 青
スパークボール(命中), 放電
翔破爆雷陣(攻撃), 急降下
翔破爆雷陣(命中), 落雷
天翔雷斬撃(攻撃), 粒子集中 青 相手ユニットＩＤ;斬撃
天翔雷斬撃(命中), 雷斬撃;放電
岩砕陣(攻撃), ベアリング Punch.wav
岩砕陣(命中), ベアリング
ストラック, 落雷
カーディナルストラック, 落雷;落雷;落雷
マスターフィールド(攻撃), 魔法放射 桃 大 Thunder.wav
マスターフィールド(命中), 落雷
バーストフォール(攻撃), 魔法放射 赤 小 Explode.wav
バーストフォール(命中), 爆発
バーニング・ブレイク(攻撃), アッパー
バーニング・ブレイク(命中), 立ち掴み;炎
回転蹴り(攻撃), なぎ払い
回転蹴り(命中), なぎ払い Punch.wav
氷槍陣(準備), -
氷槍陣(攻撃), 氷柱 対象ユニットＩＤ
氷槍陣(命中), 氷柱
氷弾(攻撃), 実弾発射 EFFECT_Beam(Blue)04.bmp Cannon.wav
ウィンディライズ(攻撃), 急降下
ウィンディライズ(命中), 急降下 緑
ウィンドアロー, ニードルレーザー 緑
スピットアロー, ニードルレーザー連射 緑
シールドタックル(準備), 振る武器 Shield\EFFECT_MiddleShield01.bmp
シャベル(命中), 打撃
ボディプレス(攻撃), タックル
ボディプレス(命中), 強打
リミテッド・レイ(攻撃), 光投射 白
リミテッド・レイ(命中), 魔法放射 白 小 Beam.wav
翼撃, 連突
光線, 中ビーム 白
指突, 刺突 黒
闇沙雨, 連突 黒
カラップス(攻撃), 発光 青
カラップス(命中), 球電;放電;放電
フライングソーサー(攻撃), タックル
マクスウェル・ロアー(攻撃), Whiz.wav
マクスウェル・ロアー(命中), 落下 衝突無し
クラックネスト(攻撃), 魔法放射 橙 相手ユニットＩＤ MicroMissile.wav
クラックネスト(命中), 乱打
火球, 火炎弾
曼珠沙華(攻撃), ニードルレーザー 赤 Bow.wav
曼珠沙華(命中), 爆発
雷電(攻撃), 小柄
雷電(命中), 落雷
爆裂破(攻撃), 魔法放射 橙 小 Explode.wav
プチメテオ(準備), 振る武器 Event\スペシャルパワー\yuujou02.bmp 32 発光 Sharara.wav
プチメテオ(攻撃), 斬撃
プチメテオ(命中), 超打
スターキャノン(準備), ビームランチャー
スターキャノン(攻撃), バスタービームライフル 黄 EFFECT_Bazooka01.bmp 32
スターキャノン(命中), バスタービームライフル 黄
魔眼イビルアイ(攻撃), 白兵回転
魔装アポカリプス(攻撃), アッパー;なぎ払い
魔装アポカリプス(命中), アッパー;なぎ払い Punch.wav
魔杖ケイオスハート(攻撃), 気斬 赤
魔杖ケイオスハート(命中), 爆発
邪剣ファフニール(攻撃), 風 Whiz.wav 対象ユニットＩＤ
邪剣ファフニール(命中), 連斬撃
魔斧ディアボロス(攻撃), 振り下ろし;Whiz.wav
魔斧ディアボロス(命中), アッパー;唐竹割り
魔符黒翼(攻撃), 打突
魔符黒翼(命中), 発光 橙 Cannon.wav
魔剣ネビリム(攻撃), なぎ払い;スーパータックル 青 Bazooka.wav
魔剣ネビリム(命中), なぎ払い;強打
魔剣ソウルイーター(攻撃), 斬撃突撃
魔剣ソウルイーター(命中), 刺突;風;落雷
ビシャスコア(攻撃), 六芒星 白
ビシャスコア(命中), 発光 白 Flair.wav;1;Flair.wav;1;Flair.wav;1;Flair.wav;1;Flair.wav;1;Flair.wav;1;Flair.wav;飛沫 白 Glass.wav

### 解説 #############################################################

魔将アビシオン
魔眼イビルアイ(解説), $(ユニット)は$(武器)を構え、レンジウィングルで攻撃をかけた。
魔装アポカリプス(解説), $(ユニット)は$(武器)から飛燕連脚で攻撃をかけた。
魔杖ケイオスハート(解説), $(ユニット)は$(武器)を掲げ、フレイムランスの呪文を唱えた。
魔符黒翼(解説), $(ユニット)は$(武器)を構え、炸力符で攻撃をかけた。
邪剣ファフニール(解説), $(ユニット)は$(武器)を構え、閃空衝裂破で攻撃をかけた。
魔斧ディアボロス(解説), $(ユニット)は$(武器)を構え、岩砕襲撃で攻撃をかけた。
魔剣ネビリム(解説), $(ユニット)は$(武器)を構え、獅吼旋破で攻撃をかけた。
魔剣ソウルイーター(解説), $(ユニット)は$(武器)を構え、風雷神剣で攻撃をかけた。
ビシャスコア(解説), $(ユニット)は$(武器)を掲げ、プリズムソードの呪文を唱えた。

