
### 解説 #############################################################

魔将アビシオン
魔眼イビルアイ(解説), $(ユニット)は$(武器)を構え、レンジウィングルで攻撃をかけた。
フレイムランス(命中), Explode.wav
ウィンドカッター(攻撃), Saber.wav;Saber.wav
ウィンドカッター(命中), Slash.wav;Slash.wav
エアスラスト(攻撃), Whiz.wav
エアスラスト(命中), 1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav
サイクロン(攻撃), Storm.wav
サイクロン(命中), 2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav
エアブレイド(命中), Cannon.wav
ストーンブラスト(攻撃), Whiz.wav
ストーンブラスト(命中), 1;Punch.wav;1;Punch.wav;Punch.wav
ロックブレイク(攻撃), Punch.wav
ロックブレイク(命中), Punch(3).wav
グランドダッシャー(攻撃), FastGun.wav
グランドダッシャー(命中), MicroMissile.wav
グレイブ(攻撃), Stab.wav
グレイブ(命中), Stab.wav;Stab.wav;Stab.wav
ライトニング(命中), Thunder.wav
サンダーブレード(攻撃), Whip.wav
サンダーブレード(命中), 1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav
インディグネイション(攻撃), Applause.wav
インディグネイション(命中), 1;White.bmp 480 480;Clear;Explode(Far).wav
スパークウェブ(攻撃), Whiz.wav
スパークウェブ(命中), Thunder.wav
アイシクル(命中), Glass.wav
アイストーネード(攻撃), Storm.wav
アイストーネード(命中), Glass.wav
フリーズランサー(攻撃), Whiz.wav
フリーズランサー(命中), Slash.wav;Slash.wav;Slash.wav
レイジングミスト(攻撃), Fire.wav
グラビティ(攻撃), Whiz.wav
グラビティ(命中), FastGun.wav
スパイラルフレア(命中), Cannon.wav
ヴォルトアロー(攻撃), Whiz.wav
ヴォルトアロー(命中), Thunder.wav;Thunder.wav
アドプレッシャー(攻撃), WarShip.wav
マイトアトラス(攻撃), MultipleRocketLauncher(Light).wav
マイトアトラス(命中), 1;Saber.wav;1;Saber.wav;1;Saber.wav1;Saber.wav;1;Saber.wav
アブソリュート(攻撃), Wind.wav
アブソリュート(命中), Sword.wav;Glass.wav
バイトオブアース(攻撃), MultipleRocketLauncher.wav
バイトアブアース(命中), 2;Stab.wav;2;Stab.wav;2;Stab.wav;4;Stab.wav;2;Stab.wav;2;Stab.wav
プリズムソード(攻撃), Whiz.wav
プリズムソード(命中), 1;Flair.wav;1;Flair.wav;1;Flair.wav;1;Flair.wav;1;Flair.wav;1;Flair.wav;1;Flair.wav;Glass.wav
メテオスォーム(攻撃), Explode(Long).wav
メテオスォーム(命中), Explode(Small).wav
フォトン(攻撃), Hittyuu.wav
フォトン(命中), Cannon.wav
レイ(攻撃), Flair.wav
レイ(命中), Beam.wav
ホーリーランス(攻撃), 2;Beam.wav;2;Beam.wav;2;Beam.wav;2;Beam.wav
ホーリーランス(命中), Glass.wav
ダークスフィア(攻撃), Hittyuu.wav
ダークスフィア(命中), Cannon.wav
ブラッディランス(攻撃), 2;Beam.wav;2;Beam.wav;2;Beam.wav;2;Beam.wav
ブラッディランス(命中), Glass.wav
散力符(命中), BreakOff.wav
散力翔符(攻撃), Whiz.wav
散力翔符(命中), BreakOff.wav
散力凄符(命中), BreakOff.wav
蛇鉤符(命中), BreakOff.wav
蛇鉤翔符(攻撃), Whiz.wav
蛇鉤翔符(命中), BreakOff.wav
蛇鉤凄符(命中), BreakOff.wav
幽幻符(命中), BreakOff.wav
幽幻翔符(攻撃), Whiz.wav
幽幻翔符(命中), BreakOff.wav
幽幻凄符(命中), BreakOff.wav
炸力符(命中), Cannon.wav
生吸符(命中), BeamShot.wav
精吸符(命中), BeamShot.wav
破魔濤符(命中), Whiz.wav
風刃縛封(攻撃), Whiz.wav
風刃縛封(命中), Saber.wav;FallDown.wav
降霊召符・水(準備), Whiz.wav
降霊召符・水(攻撃), Charge.wav
降霊召符・水(命中), Sharara.wav;3;Splash.wav;3;Splash.wav;3;Splash.wav
降霊召符・風(準備), Whiz.wav
降霊召符・風(攻撃), Charge.wav
降霊召符・風(命中), Sharara.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav
降霊召符・火(準備), Whiz.wav
降霊召符・火(攻撃), Charge.wav
降霊召符・火(命中), Sharara.wav;Explode.wav;Explode.wav;Explode.wav
降霊召符・光(準備), Whiz.wav
降霊召符・光(攻撃), Charge.wav
降霊召符・光(命中), Sharara.wav;Beam.wav;Beam.wav;Beam.wav;Beam.wav
降霊召符・氷(準備), Whiz.wav
降霊召符・氷(攻撃), Charge.wav
降霊召符・氷(命中), Sharara.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav
降霊召符・雷(準備), Whiz.wav
降霊召符・雷(攻撃), Charge.wav
降霊召符・雷(命中), Sharara.wav;Thunder.wav;Thunder.wav
降霊召符・地(準備), Whiz.wav
降霊召符・地(攻撃), Charge.wav
降霊召符・地(命中), Sharara.wav;Punch.wav;Combo.wav
降霊召符・闇(準備), Whiz.wav
降霊召符・闇(攻撃), Charge.wav
降霊召符・闇(命中), Sharara.wav;Fold.wav;2;BreakOff.wav;2;BreakOff.wav;2;BreakOff.wav
降霊召符・源(準備), Whiz.wav
降霊召符・源(攻撃), Charge.wav
降霊召符・源(命中), Sharara.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav
降霊召符・元(準備), Whiz.wav
降霊召符・元(攻撃), Charge.wav
降霊召符・元(命中), Sharara.wav;Explode(Long).wav
爆砕斬(攻撃), Punch.wav
爆砕斬(命中), 1;Punch.wav;1;Punch.wav;1;Punch.wav
爆焔焼破(攻撃), Punch.wav;Swing.wav
爆焔焼破(命中), 1;Punch.wav;1;Punch.wav;1;Punch.wav;Whiz.wav
爆壊連舞(攻撃), Punch(2).wav
爆壊連舞(命中), 1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav
連牙爆砕迅(攻撃), Punch(2).wav;Whiz.wav;Punch.wav
連牙爆砕迅(命中), 1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav
裂旋斧(攻撃), Swing.wav;Swing.wav
裂旋斧(命中), Saber.wav
牙旋豪斧(攻撃), Swing.wav;Swing.wav;AntiShipMissile.wav
牙旋豪斧(命中), Saber.wav;Shock(Low).wav
双旋連斧(攻撃), Swing.wav;Swing.wav;Swing.wav
双旋連斧(命中), Saber.wav;Saber.wav
空旋連転斧(攻撃), Swing.wav;Swing.wav;Swing.wav;Swing.wav;Swing.wav
空旋連転斧(命中), Saber.wav;Saber.wav;Saber.wav;Saber.wav
弧月閃(攻撃), Swing.wav
弧月閃(命中), Sword.wav
月閃空破(攻撃), Swing.wav;Swing.wav
月閃空破(命中), Sword.wav;Saber.wav
翔月双閃(攻撃), Swing.wav;Whiz.wav
翔月双閃(命中), Sword.wav;Sword.wav
翔舞烈月華(攻撃), Swing.wav;Whiz.wav;Swing.wav;Swing.wav;Sword.wav
翔舞烈月華(命中), Sword.wav;Sword.wav;Sword.wav
崩襲撃(攻撃), Swing.wav
崩襲撃(命中), Shock(Low).wav
岩砕襲撃(攻撃), AntiAirMissile.wav
岩砕襲撃(命中), Shock(Low).wav
崩襲地顎陣(攻撃), AntiAirMissile.wav
崩襲地顎陣(命中), Punch(2).wav;Shock(Low).wav
崩昇襲撃(攻撃), Swing.wav
崩昇襲撃(命中), Shock(Low).wav;Whiz.wav
獅吼滅龍閃(攻撃), Bazooka.wav
獅吼滅龍閃(命中), Crash.wav
天月閃(攻撃), Swing.wav
天月閃(命中), Sword.wav
裂蹴撃(攻撃), Swing.wav
裂蹴撃(命中), Punch.wav
三散華(攻撃), Swing.wav;Swing.wav;Swing.wav
三散華(命中), Punch(3).wav
牙狼連濤打(攻撃), Swing.wav;Swing.wav;Swing.wav
牙狼連濤打(命中), Punch(3).wav;BreakOff.wav;Saber.wav;Punch.wav
飛燕脚(攻撃), Saber.wav
飛燕脚(命中), Punch.wav
飛燕連脚(攻撃), Saber.wav;Swing.wav;Swing.wav
飛燕連脚(命中), Punch.wav;2;Punch.wav;2;Punch.wav
飛龍顎(攻撃), Saber.wav;Swing.wav
飛龍顎(命中), Punch.wav;Punch.wav;Crash.wav
鷹爪蹴撃(攻撃), Whiz.wav
鷹爪蹴撃(命中), Stab.wav
鷹爪猛襲脚(攻撃), Whiz.wav;AntiShipMissile.wav
鷹爪猛襲脚(命中), Stab.wav
鷹嘴蹴落(攻撃), Whiz.wav;AntiAirMissile.wav
鷹嘴蹴落(命中), Stab.wav
凄龍昂(攻撃), BreakOff.wav
凄龍昂(命中), Punch.wav
凄把龍昂(攻撃), BreakOff.wav;Whiz.wav
凄把龍昂(命中), Punch.wav;Crash.wav
凄龍衝破昂(攻撃), BreakOff.wav
凄龍衝破昂(命中), Whip.wav;Punch.wav
天崩流(攻撃), Whiz.wav;Punch.wav
天崩流(命中), Shock(Low).wav
ライトウェーブ(攻撃), Saber.wav
ディースネル(攻撃), 1;Beam.wav;1;Beam.wav;1;Beam.wav
アウトバースト(攻撃), Explode.wav
ライトフォース(攻撃), Whiz.wav
リジェクション(攻撃), Whiz.wav
イノセント・ゼロ(攻撃), BeamShot.wav;1;White.bmp 480 480;Clear
インセイン・フォース(攻撃), Charge.wav
インセイン・フォース(命中), BreakOff.wav
フラッシュ(攻撃), Beam.wav
フォースリング(攻撃), BeamSaber.wav
フォースリング(命中), Saber.wav
ジャッジメント・レイ(攻撃), Beam.wav;Beam.wav;Beam.wav;Beam.wav
アームショット(攻撃), Cannon.wav
ダウンバースト(攻撃), Whiz.wav
ダウンバースト(命中), Saber.wav;Saber.wav
爆炎斧(攻撃), Swing.wav
爆炎斧(命中), Crash.wav
煉獄崩爆破(攻撃), Swing.wav
煉獄崩爆破(命中), Punch.wav;Charge.wav;Cannon.wav
降雷撃(攻撃), Thunder.wav
護法陣(攻撃), Whiz.wav;BeamCoat.wav
浮翔陣(攻撃), Whiz.wav
獅現陣(攻撃), Bazooka.wav
獅現陣(命中), Crash.wav
スパークボール(攻撃), Whiz.wav
スパークボール(命中), BeamSaber.wav
翔破爆雷陣(攻撃), Saber.wav
翔破爆雷陣(命中), Thunder.wav
岩砕陣(攻撃), Punch.wav
岩砕陣(命中), 1;Punch.wav;1;Punch.wav;1;Punch.wav
ストラック(攻撃), Thunder.wav
マスターフィールド(攻撃), 2;Thunder.wav;Thunder.wav
バーストフォール(攻撃), Explode.wav
バーニング・ブレイク(攻撃), AntiShipMissile.wav
バーニング・ブレイク(命中), BreakOff.wav;Cannon.wav
氷槍陣(攻撃), Slash.wav
氷槍陣(命中), Glass.wav
ウィンディライズ(攻撃), Whiz.wav
ウィンディライズ(命中), Saber.wav;Saber.wav
ウィンドアロー(攻撃), Bow.wav
ウィンドアロー(命中), Stab.wav
スピットアロー(攻撃), LaserGun.wav
スピットアロー(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav
ボディプレス(命中), Crash.wav
リミテッド・レイ(攻撃), BeamShot.wav
光線(攻撃), Beam.wav
闇沙雨(攻撃), 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
闇沙雨(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
カラップス(攻撃), Whiz.wav
カラップス(命中), 1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav;1;Whip.wav
マクスウェル・ロアー(攻撃), Whiz.wav
クラックネスト(攻撃), FastGun.wav
クラックネスト(命中), MicroMissile.wav
曼珠沙華(攻撃), 2;Bow.wav;2;Bow.wav;2;Bow.wav
曼珠沙華(命中), 2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav
雷電(攻撃), Whiz.wav;Swing.wav
雷電(命中), Thunder.wav
プチメテオ(攻撃), Sharara.wav
プチメテオ(命中), Crash.wav
スターキャノン(攻撃), Sharara.wav;Bazooka.wav
スターキャノン(命中), Explode.wav
魔眼イビルアイ(攻撃), Saber.wav;Saber.wav
魔眼イビルアイ(命中), Saber.wav;Saber.wav;Saber.wav;Saber.wav
魔装アポカリプス(攻撃), Saber.wav;Swing.wav;Swing.wav
魔装アポカリプス(命中), Punch.wav;2;Punch.wav;2;Punch.wav
魔杖ケイオスハート(攻撃), Bazooka.wav
魔杖ケイオスハート(命中), Explode.wav
邪剣ファフニール(攻撃), Whiz.wav
邪剣ファフニール(命中), Whiz.wav;Slash.wav
魔斧ディアボロス(攻撃), AntiAirMissile.wav
魔斧ディアボロス(命中), Shock(Low).wav
魔符黒翼(命中), Whiz.wav
魔剣ネビリム(攻撃), Swing.wav;Bazooka.wav
魔剣ネビリム(命中), Crash.wav
魔剣ソウルイーター(攻撃), Saber.wav
魔剣ソウルイーター(命中), Slash.wav;Saber.wav;Thunder.wav
ビシャスコア(攻撃), Whiz.wav
ビシャスコア(命中), 1;Flair.wav;1;Flair.wav;1;Flair.wav;1;Flair.wav;1;Flair.wav;1;Flair.wav;1;Flair.wav;Glass.wav
