
キャバリアー０
キャバリアー排除(攻撃), 瞬間変形 DRG_D-1.bmp;実弾発射 DRG_Cabarier0.bmp
88mmハンドレールガン, マシンガン
50mm２連ガトリングガン, ガトリング ガトリング
１６連ロケット弾ポッド, グレネード 16
280mmレールキャノン, 大キャノン砲 2
１０連デュアルミサイルポッド, 小型ミサイル 20
２連ヘビーデュアルミサイル, ミサイル 4
640mmレールキャノン, 大キャノン砲 2
阻止(ジャマー), 音再生 Search.wav
50mmハンドレールガン, マシンガン
対レーダーミサイル, ミサイル 2
レーザーソード, ライトセイバー ピンク
55.6mmハンドレールガン, マシンガン
460mmレールキャノン, 大キャノン砲
デュアルミサイル, ミサイル 2
７連ＩＲＭポッド, 小型ミサイル 14
105mmレールキャノン, キャノン砲
マニピュレーター, 格闘
機関砲, 機関砲
４連装ミサイルポッド, 小型ミサイル 4
対空機銃, 機関砲
対空ビーム砲, 拡散ビーム
大型対空ビーム砲, 拡散ビーム
２連装主砲, 大キャノン砲 2
３連マルチディスチャージャー, ミサイル 6
レールカノン砲, 対物ライフル
レーザーサーベル, ライトセイバー
５連ミサイル, 小型ミサイル 10
150mm２連ロケット弾ポッド, グレネード 4
200mm３連ロケット弾ポッド, グレネード 6
30mm機関砲, 機関砲
ハンドグレネード, 手榴弾
450mmレールキャノン, 大キャノン砲 2
タックル, タックル
450mmハンドレールキャノン, 対戦車ライフル
２連20mm機関砲, バルカン
フレアグレネード, 閃光手榴弾
ハイブリッドサージ, チェンソー
５連ＩＲＭポッド, 小型ミサイル 10
爆弾投射機, 投下 爆弾
ホログラフィ, 分身斬撃;2;小型ミサイル 10
ホログラフィ(命中), 小型ミサイル 10
220mmハンドレールキャノン, 対物ライフル
コーキングガン(準備), ライフル
コーキングガン(攻撃), 泡
徹甲榴弾, マシンガン
４連機関砲, 機関砲
２連小型ミサイルポッド, ミサイル 2
１００連ミサイルポッド, ＭＡＰ小型ミサイル 100
大口径速射砲, 重機関砲
１２連機関砲, 機関砲 機関砲 機関砲 機関砲
大型巡航ミサイル, スーパーミサイル
ハイブリッドソード, 巨大剣
280mmハンドレールキャノン, 対物ライフル
小型ロケット弾ポッド, グレネード 3
３連ミサイルポッド, 小型ミサイル 6
105mmハンドレールキャノン(準備), 対物ライフル
105mmハンドレールキャノン(攻撃), キャノン砲 4
大型ホーミングミサイル, ミサイル
80mmマルチディスチャージャー, 小型ミサイル 2
105mmレールキャノン, 対物ライフル
50mm自動砲, バルカン
80cm誘導魚雷, ミサイル 4
80mmハンドレールガン, マシンガン
４連デュアルミサイルポッド, 小型ミサイル 4
大型クローアーム, 爪撃
小型連装ミサイル, 小型ミサイル 4
対空ミサイル, ミサイル 4
魚雷, ミサイル 10
突撃, 格闘
突撃(命中), 超爆発
機銃, 機関砲
超大型ビーム砲, ＭＡＰ持続ビーム
Ｄフォーメーションアタック, マシンガン;マシンガン Partner(1);マシンガン Partner(2)
恐怖のトリプルアタック, 同時格闘
恐怖のトリプルアタック(命中), ダメージ BreakOff.wav;3;透明化 Partner(1);透明化 Partner(2);透明化 相手ユニットＩＤ;@戦闘アニメ_急降下攻撃 Jet.wav;8;;急降下 相手ユニットＩＤ


戦艦
対空機銃, 機関砲
対空ビーム砲, 小ビーム
大型対空ビーム砲, 中ビーム
２連装主砲, 大キャノン砲 2
対空砲, 機関砲
小型ミサイル, ミサイル
大口径対空砲, 重機関砲
大型連装ミサイル, スーパーミサイル 2
超大型巡航ミサイル, ＩＣＢＭ
超大型16連装主砲, 大キャノン砲 16
超大型ビームキャノン, 大ビーム
